Symbol,Market Cap
A,42048783333.00
AA,11397007048.00
AAL,9465640338.00
AAMI,1657260259.00
AAOI,1791625662.00
AAON,7089509767.00
AAP,3151167863.00
AAPG,2672946002.00
AAPL,4147722287100.00
AAT,1154559993.00
AAUC,2730480000.00
AB,3783499377.00
ABBV,404218539185.00
ABCB,5247286211.00
ABCL,1075529192.00
ABEV,40393922801.00
ABG,4547146516.00
ABLLL,1890918620.00
ABM,2712049210.00
ABNB,74370721520.00
ABR,1753567290.00
ABT,218054542154.00
ABTC,2244804085.00
ABVX,8596978378.00
ACA,5255664879.00
ACAD,4491777241.00
ACGL,33503010412.00
ACGLN,6262549949.00
ACGLO,7644154773.00
ACHC,1350659550.00
ACHR,5842692791.00
ACI,9700770980.00
ACIW,4778129078.00
ACLS,2762022750.00
ACLX,3957975520.00
ACM,13863593193.00
ACMR,2246022734.00
ACN,177271978606.00
ACT,5475487485.00
ACVA,1358430965.00
AD,4303584000.00
ADAMI,2297094827.00
ADAML,2034634193.00
ADAMM,2248663622.00
ADAMN,2021991105.00
ADAMZ,1764613943.00
ADBE,137606378000.00
ADC,8548819928.00
ADEA,1362306776.00
ADI,135761494934.00
ADM,28526619470.00
ADMA,4786135054.00
ADNT,1501503898.00
ADP,104914004194.00
ADPT,2665534182.00
ADSK,64840200000.00
ADT,6648275789.00
ADUS,2110050217.00
AEE,27279412279.00
AEG,15708430367.00
AEIS,8102069214.00
AEM,86180333021.00
AEO,4094613200.00
AEP,63182751660.00
AER,26134708842.00
AERO,2798427385.00
AES,9919844750.00
AESI,1246020809.00
AFG,11121032290.00
AFGB,1820699977.00
AFGC,1582999797.00
AFGD,1765653619.00
AFGE,1409520367.00
AFL,57254204293.00
AFRM,22672758194.00
AFYA,1373910018.00
AG,7378257147.00
AGCO,7894427047.00
AGI,15182440520.00
AGIO,1598964725.00
AGM,1918031728.00
AGNC,11252875494.00
AGNCL,26646465899.00
AGNCM,26271012474.00
AGNCN,27354463785.00
AGNCO,27225736897.00
AGNCP,26748374685.00
AGNCZ,27611917562.00
AGO,4093104363.00
AGX,4922307214.00
AGYS,3544853436.00
AHCO,1270280253.00
AHL,3398134834.00
AHR,9407791037.00
AI,2111857343.00
AIG,41698437453.00
AIN,1395681000.00
AIR,3025865621.00
AIT,9762526645.00
AIZ,11231690540.00
AJG,63021288000.00
AKAM,12458729524.00
AKR,2586623478.00
AKRO,4496932859.00
AL,7147373796.00
ALAB,25759490476.00
ALB,14022484916.00
ALC,39069743433.00
ALE,3927451772.00
ALEX,1113932023.00
ALG,2019399539.00
ALGM,5335130877.00
ALGN,11253269216.00
ALGT,1454830319.00
ALH,4459270541.00
ALHC,3881779795.00
ALIT,1151711002.00
ALK,5488581167.00
ALKS,4837943014.00
ALKT,2233435314.00
ALL,54003254080.00
ALLE,13838239640.00
ALLY,13067616532.00
ALM,1618643578.00
ALNY,61477844068.00
ALRM,2589752986.00
ALSN,7528037362.00
ALV,8985181361.00
ALVO,1530154782.00
ALX,1104145025.00
AM,8677730500.00
AMAT,214647335531.00
AMBA,3033480766.00
AMBP,2319074394.00
AMC,1195158497.00
AMCR,19205554709.00
AMD,351624411809.00
AME,45861215579.00
AMG,7642343015.00
AMGN,183169585047.00
AMH,11470883245.00
AMKR,10673812610.00
AMLX,1591285555.00
AMP,44047527590.00
AMPH,1247601524.00
AMPL,1469211052.00
AMPX,1594512500.00
AMR,2372434008.00
AMRC,1798281351.00
AMRX,3753493265.00
AMRZ,29169548319.00
AMSC,1491615905.00
AMT,83718660591.00
AMTM,7125241266.00
AMX,66206600000.00
AMZN,2449235390280.00
AN,7846259438.00
ANAB,1198910751.00
ANDE,1715305145.00
ANET,161881095749.00
ANF,4502698790.00
ANIP,1858188820.00
AON,74735140993.00
AORT,2151295980.00
AOS,9356781370.00
APA,9473215694.00
APAM,3422367192.00
APD,58234058850.00
APG,16220330724.00
APGE,5158177290.00
APH,170706781146.00
APLD,8709418148.00
APLE,2737180756.00
APLS,2807594587.00
APO,79372786858.00
APOS,14853453788.00
APP,231086869900.00
APPF,8468822191.00
APPN,2907894588.00
APTV,16517110177.00
AQN,4494239381.00
AQNB,19795844401.00
AR,11290880400.00
ARCB,1565641511.00
ARCC,14973000472.00
ARCO,1607359125.00
ARDT,1270074730.00
ARDX,1438407892.00
ARE,8051919499.00
ARES,53302546420.00
ARGX,55865795286.00
ARHS,1485398781.00
ARI,1385269995.00
ARLO,1525228737.00
ARLP,3055302691.00
ARM,148815999220.00
ARMK,9881063516.00
ARMN,2868205000.00
AROC,4408792800.00
ARQT,3816856703.00
ARR,1951505236.00
ARRY,1249476734.00
ARW,5733729036.00
ARWR,8781446020.00
ARX,3338391662.00
AS,19927355009.00
ASAN,3357336014.00
ASB,4318961217.00
ASBA,3764975334.00
ASGN,1956514000.00
ASH,2664908807.00
ASML,436576391898.00
ASND,12658613198.00
ASO,3283967494.00
ASR,9107400000.00
ASTE,1060523989.00
ASTH,1282812978.00
ASTS,26663954325.00
ASX,33476960378.00
ATAI,1598038297.00
ATAT,5904685686.00
ATEC,3161147937.00
ATEN,1261668906.00
ATGE,3491536556.00
ATHM,2769214524.00
ATHS,5142000150.00
ATI,13640711564.00
ATKR,2182306425.00
ATMU,4310949605.00
ATO,27641475789.00
ATR,8006849171.00
ATRC,1951391779.00
ATRO,1812809676.00
ATS,2569062720.00
AU,41984085596.00
AUB,4985284957.00
AUGO,3475870795.00
AUPH,2018478958.00
AUR,8844645424.00
AVA,3141762959.00
AVAH,1908405484.00
AVAL,4998001647.00
AVAV,14353012902.00
AVB,25404965032.00
AVBP,1005201140.00
AVDL,2085458060.00
AVGO,1799362744333.00
AVNT,2832978650.00
AVPT,2846261038.00
AVT,3995716665.00
AVTR,7602235678.00
AVY,13523602134.00
AWI,7977825209.00
AWK,25157281235.00
AWR,2804473019.00
AX,4802844930.00
AXGN,1515347805.00
AXIA,27991127299.00
AXON,43448891684.00
AXP,255667291011.00
AXS,7662944296.00
AXSM,7463087226.00
AXTA,6242333374.00
AYI,11471292118.00
AZN,279223699972.00
AZO,63877742252.00
AZTA,1608974453.00
AZZ,3209495216.00
B,69032922076.00
BA,153440472125.00
BABA,363572958812.00
BAC,395503158988.00
BAH,10632050443.00
BAK,1341455896.00
BALL,13091175306.00
BAM,85240357519.00
BANC,2862665796.00
BANF,3672759071.00
BANR,2205359671.00
BAP,26205250315.00
BATRA,2675499566.00
BATRK,2428210919.00
BAX,9499751276.00
BB,2509034607.00
BBAI,3064589621.00
BBAR,3408710406.00
BBD,38631077928.00
BBDO,33203571111.00
BBIO,14406910860.00
BBNX,1320738930.00
BBT,2150584107.00
BBU,7622373775.00
BBUC,3522580922.00
BBVA,127656773050.00
BBWI,3891757711.00
BBY,15560099686.00
BC,4535001421.00
BCAT,1569038850.00
BCAX,1173576674.00
BCC,2750818601.00
BCE,21653249471.00
BCH,19455889839.00
BCO,4838389629.00
BCPC,4966432971.00
BCRX,1648553444.00
BCS,81350639042.00
BDC,4738033197.00
BDJ,1618499589.00
BDX,55302698442.00
BE,27929555058.00
BEAM,2933640631.00
BEKE,19550733233.00
BELFA,1800838481.00
BELFB,2066077276.00
BEN,12055259221.00
BEP,18667373245.00
BEPC,14986824086.00
BEPH,4462533844.00
BEPI,4663548882.00
BEPJ,7245156298.00
BETA,6531786367.00
BFAM,5881044637.00
BFC,1283764247.00
BFH,3287635272.00
BG,18251349226.00
BGC,4129668162.00
BGR,1900918440.00
BGSI,4752191146.00
BHC,2734414914.00
BHE,1669774158.00
