,Low,High,Close,Volume
2010-12-09,10.153,10.446,10.285,4127800
2010-12-10,10.012,10.37,10.304,2984700
2010-12-13,9.899,10.389,9.908,5254100
2010-12-14,9.908,10.238,9.927,4353300
2010-12-15,9.55,10.021,9.559,5150200
2010-12-16,9.55,9.701,9.55,3652300
2010-12-17,9.427,9.673,9.484,4170500
2010-12-20,9.446,9.757,9.597,3808600
2010-12-21,9.616,9.946,9.918,4933600
2010-12-22,9.673,9.993,9.729,3112800
2010-12-23,9.324,9.823,9.343,5246300
2010-12-27,9.239,9.361,9.305,2038000
2010-12-28,9.239,9.418,9.324,3389700
2010-12-29,9.286,9.578,9.559,2678200
2010-12-30,9.475,9.663,9.55,1899200
2010-12-31,9.38,9.607,9.437,2191900
2011-01-03,9.503,10.097,10.04,7465800
2011-01-04,9.861,10.2,10.012,5374700
2011-01-05,10.116,10.7,10.464,8735800
2011-01-06,10.464,10.681,10.596,4464100
2011-01-07,10.464,10.747,10.747,4367100
2011-01-10,10.606,10.898,10.813,4006900
2011-01-11,10.153,10.785,10.342,6168400
2011-01-12,10.134,10.342,10.257,5974600
2011-01-13,10.172,10.398,10.266,2383500
2011-01-14,10.134,10.285,10.172,2627800
2011-01-18,9.493,10.097,9.541,6080000
2011-01-19,9.371,10.002,9.456,7070600
2011-01-20,9.116,9.71,9.663,7261600
2011-01-21,9.258,9.71,9.267,6149200
2011-01-24,9.286,9.55,9.522,8032000
2011-01-25,9.333,9.625,9.55,4904300
2011-01-26,9.889,10.634,10.182,18712800
2011-01-27,10.097,10.568,10.417,8105600
2011-01-28,9.437,10.455,9.578,12193100
2011-01-31,9.324,9.927,9.352,7896200
2011-02-01,9.343,9.55,9.343,7210700
2011-02-02,8.965,9.333,8.975,11711100
2011-02-03,8.994,9.248,9.041,7497900
2011-02-04,8.683,8.956,8.711,14741000
2011-02-07,8.749,9.258,9.163,9401400
2011-02-08,9.248,9.522,9.314,7856100
2011-02-09,9.201,9.39,9.314,5590900
2011-02-10,9.097,9.371,9.286,11182000
2011-02-11,9.211,9.616,9.55,5667600
2011-02-14,9.343,9.616,9.399,4085900
2011-02-15,9.399,9.559,9.503,3795500
2011-02-16,9.305,9.625,9.522,4834700
2011-02-17,9.258,9.531,9.352,6105400
2011-02-18,9.069,9.531,9.163,6368400
2011-02-22,8.485,9.013,8.645,18997000
2011-02-23,7.693,8.57,8.004,19813900
2011-02-24,7.759,8.174,7.947,19301800
2011-02-25,7.928,8.192,8.079,9975300
2011-02-28,7.966,8.221,8.117,6397300
2011-03-01,7.467,8.07,7.495,10971500
2011-03-02,7.269,7.617,7.514,8529800
2011-03-03,7.749,8.155,7.881,10080800
2011-03-04,7.551,7.853,7.806,9106100
2011-03-07,7.551,7.891,7.825,9013100
2011-03-08,7.853,8.767,8.749,17391800
2011-03-09,8.249,8.579,8.419,9208600
