,Low,High,Close,Volume
2010-12-09,5.085,5.205,5.154,270844
2010-12-10,5.061,5.164,5.108,296156
2010-12-13,5.062,5.131,5.062,595856
2010-12-14,4.999,5.113,5.038,233888
2010-12-15,4.93,5.106,4.965,185288
2010-12-16,4.967,5.078,5.069,152888
2010-12-17,4.995,5.098,5.009,748744
2010-12-20,4.862,5.106,5.055,262744
2010-12-21,5.052,5.115,5.061,528525
2010-12-22,5.053,5.101,5.057,186806
2010-12-23,5.031,5.131,5.096,183769
2010-12-27,5.068,5.157,5.103,134663
2010-12-28,5.064,5.15,5.066,132131
2010-12-29,5.069,5.106,5.08,47588
2010-12-30,5.08,5.122,5.08,136181
2010-12-31,4.953,5.073,4.967,131119
2011-01-03,5.022,5.12,5.108,521944
2011-01-04,4.925,5.129,4.948,99731
2011-01-05,4.874,5.02,4.974,357413
2011-01-06,4.886,4.972,4.918,161494
2011-01-07,4.67,4.918,4.712,268819
2011-01-10,4.626,4.749,4.749,260719
2011-01-11,4.7,4.839,4.784,217181
2011-01-12,4.807,4.897,4.832,218700
2011-01-13,4.789,4.87,4.87,166556
2011-01-14,4.833,4.902,4.897,301219
2011-01-18,4.825,4.916,4.893,91125
2011-01-19,4.698,4.881,4.705,210094
2011-01-20,4.668,4.909,4.805,401456
2011-01-21,4.693,4.842,4.703,167063
2011-01-24,4.712,4.837,4.777,112894
2011-01-25,4.678,4.756,4.731,90113
2011-01-26,4.696,4.927,4.92,369563
2011-01-27,4.851,4.965,4.932,89606
2011-01-28,4.624,4.932,4.656,205031
2011-01-31,4.68,4.793,4.742,189844
2011-02-01,4.752,4.891,4.891,182756
2011-02-02,4.738,4.886,4.786,63281
2011-02-03,4.668,4.807,4.733,58725
2011-02-04,4.661,4.784,4.747,119475
2011-02-07,4.721,4.784,4.768,239963
2011-02-08,4.742,4.858,4.858,64294
2011-02-09,4.819,4.879,4.858,98719
2011-02-10,4.791,4.897,4.883,130106
2011-02-11,4.84,5.099,5.083,266288
2011-02-14,5.004,5.168,5.134,116944
2011-02-15,5.101,5.281,5.242,609525
2011-02-16,5.212,5.344,5.323,215156
2011-02-17,5.214,5.372,5.351,273375
2011-02-18,5.268,5.511,5.446,201994
2011-02-22,5.351,5.458,5.37,131625
2011-02-23,5.203,5.367,5.314,272363
2011-02-24,5.289,5.427,5.321,244013
2011-02-25,5.272,5.457,5.381,333619
2011-02-28,5.349,5.55,5.406,291094
2011-03-01,5.335,5.48,5.397,798356
2011-03-02,5.37,5.52,5.423,273375
2011-03-03,5.335,5.471,5.358,286031
2011-03-04,5.304,5.395,5.342,299700
2011-03-07,5.21,5.39,5.258,303244
2011-03-08,5.256,5.462,5.458,154913
2011-03-09,5.423,5.547,5.451,189338
2011-03-10,5.198,5.458,5.205,338175
2011-03-11,4.943,5.244,5.05,457144
2011-03-14,4.974,5.098,5.062,275400
2011-03-15,4.932,5.066,5.015,252619
2011-03-16,4.987,5.159,5.08,223256
2011-03-17,5.131,5.256,5.138,220219
2011-03-18,5.177,5.404,5.4,539156
2011-03-21,5.406,5.51,5.467,153394
2011-03-22,5.436,5.569,5.524,165544
2011-03-23,5.453,5.559,5.464,132131
2011-03-24,5.406,5.488,5.436,96694
2011-03-25,5.441,5.568,5.474,151369
2011-03-28,5.457,5.51,5.476,86063
2011-03-29,5.372,5.554,5.511,92644
2011-03-30,5.414,5.696,5.684,146813
2011-03-31,5.687,5.805,5.793,172125
2011-04-01,5.647,5.798,5.657,203006
2011-04-04,5.552,5.693,5.659,264769
2011-04-05,5.608,5.714,5.675,114919
2011-04-06,5.673,5.791,5.789,135675
2011-04-07,5.738,5.853,5.742,187819
2011-04-08,5.585,5.797,5.596,94669
2011-04-11,5.591,5.622,5.613,137700
2011-04-12,5.566,5.694,5.583,112388
2011-04-13,5.497,5.638,5.529,88088
2011-04-14,5.476,5.559,5.511,271856
2011-04-15,5.429,5.517,5.502,242494
2011-04-18,5.374,5.548,5.536,174656
2011-04-19,5.545,5.656,5.654,136688
2011-04-20,5.719,5.819,5.818,144788
2011-04-21,5.782,5.818,5.811,224775
2011-04-25,5.784,5.825,5.802,148331
2011-04-26,5.798,5.874,5.834,151369
2011-04-27,5.761,5.855,5.835,212625
2011-04-28,5.804,5.974,5.83,496125
2011-04-29,5.76,5.812,5.784,126563
2011-05-02,5.742,5.811,5.745,187313
2011-05-03,5.576,5.753,5.652,227813
2011-05-04,5.515,5.68,5.547,103275
2011-05-05,5.436,5.811,5.652,396900
2011-05-06,5.587,5.74,5.596,192375
2011-05-09,5.547,5.682,5.663,156938
2011-05-10,5.664,5.791,5.789,180731
2011-05-11,5.753,5.823,5.793,257175
2011-05-12,5.761,5.943,5.888,99731
