,Low,High,Close,Volume
2021-06-03,19.483,19.529,19.498,3787900
2021-06-04,19.506,19.81,19.709,843000
2021-06-07,19.646,19.771,19.709,728300
2021-06-08,19.615,19.732,19.693,364400
2021-06-09,19.693,19.802,19.748,413400
2021-06-10,19.709,19.787,19.724,157900
2021-06-11,19.724,20.504,19.841,156600
2021-06-14,19.717,19.88,19.81,264100
2021-06-15,19.693,19.81,19.748,349400
2021-06-16,19.724,19.795,19.787,245900
2021-06-17,19.732,19.904,19.857,197900
2021-06-18,19.81,19.888,19.857,78900
2021-06-21,19.787,19.888,19.865,155200
2021-06-22,19.834,20.075,20.005,259400
2021-06-23,19.935,20.083,20.013,380400
2021-06-24,20.036,20.161,20.161,239500
2021-06-25,19.943,20.161,20.013,125300
2021-06-28,20.013,20.099,20.099,53900
2021-06-29,20.06,20.2,20.153,273800
2021-06-30,20.029,20.27,20.13,3592400
2021-07-01,20.044,20.153,20.068,300600
2021-07-02,20.06,20.146,20.107,38200
2021-07-06,20.052,20.216,20.2,49700
2021-07-07,20.06,20.333,20.278,90600
2021-07-08,20.026,20.302,20.044,101300
2021-07-09,20.005,20.153,20.044,91400
2021-07-12,20.068,20.145,20.13,126100
2021-07-13,20.099,20.2,20.107,509900
2021-07-14,20.083,20.185,20.169,76600
2021-07-15,20.138,20.224,20.153,130800
2021-07-16,20.153,20.278,20.192,284200
2021-07-19,20.056,20.2,20.122,44500
2021-07-20,20.114,20.239,20.169,59700
2021-07-21,20.161,20.224,20.185,37000
2021-07-22,19.912,20.246,19.982,122900
2021-07-23,19.857,20.072,19.904,70800
2021-07-26,19.912,20.021,20.005,60500
2021-07-27,19.818,19.997,19.99,104600
2021-07-28,19.888,20.075,20.005,74500
2021-07-29,20.052,20.153,20.091,44400
2021-07-30,20.029,20.114,20.091,28400
2021-08-02,20.099,20.2,20.161,18400
2021-08-03,20.182,20.263,20.263,46500
2021-08-04,20.247,20.465,20.465,71800
2021-08-05,20.426,20.489,20.45,37400
2021-08-06,20.294,20.45,20.348,37200
2021-08-09,20.27,20.372,20.278,50500
2021-08-10,20.13,20.309,20.278,59100
2021-08-11,20.278,20.356,20.348,13600
2021-08-12,20.231,20.434,20.309,28600
2021-08-13,20.263,20.387,20.387,33000
2021-08-16,20.356,20.614,20.52,72200
2021-08-17,20.333,20.543,20.434,32100
2021-08-18,20.294,20.473,20.356,22500
2021-08-19,20.153,20.333,20.309,22400
2021-08-20,20.333,20.429,20.372,18500
