,Low,High,Close,Volume
2021-06-30,17.438,17.647,17.584,1062200
2021-07-01,17.508,17.591,17.57,141400
2021-07-02,17.431,17.591,17.542,117100
2021-07-06,17.48,17.556,17.494,125400
2021-07-07,17.473,17.535,17.473,45200
2021-07-08,17.375,17.473,17.473,99600
2021-07-09,17.431,17.478,17.452,61700
2021-07-12,17.41,17.487,17.445,38700
2021-07-13,17.403,17.494,17.41,42400
2021-07-14,17.41,17.473,17.431,48600
2021-07-15,17.417,17.466,17.417,45000
2021-07-16,17.417,17.459,17.428,39400
2021-07-19,17.264,17.424,17.382,67500
2021-07-20,17.368,17.417,17.417,32200
2021-07-21,17.396,17.459,17.459,36000
2021-07-22,17.334,17.466,17.382,55200
2021-07-23,17.403,17.459,17.431,13600
2021-07-26,17.368,17.438,17.389,43800
2021-07-27,17.278,17.431,17.299,86100
2021-07-28,17.229,17.382,17.264,78500
2021-07-29,17.208,17.347,17.208,199100
2021-07-30,16.881,17.25,16.972,945700
2021-08-02,16.832,17.027,16.909,89800
2021-08-03,16.672,16.93,16.832,91100
2021-08-04,16.798,16.915,16.874,37500
2021-08-05,16.846,16.958,16.895,40800
2021-08-06,16.874,16.944,16.902,28700
2021-08-09,16.892,16.999,16.895,222000
2021-08-10,16.749,16.944,16.846,61100
2021-08-11,16.812,16.986,16.832,17800
2021-08-12,16.846,17.006,16.916,35300
2021-08-13,16.857,17.027,16.926,12900
2021-08-16,16.888,16.979,16.888,44900
2021-08-17,16.843,16.933,16.846,36100
2021-08-18,16.749,16.881,16.749,106500
2021-08-19,16.756,16.839,16.798,12600
2021-08-20,16.77,16.901,16.86,21600
2021-08-23,16.86,16.916,16.867,66300
2021-08-24,16.855,16.915,16.867,10100
2021-08-25,16.867,16.916,16.892,20700
2021-08-26,16.846,16.908,16.846,10600
2021-08-27,16.867,16.912,16.867,7800
2021-08-30,16.861,16.951,16.881,27400
2021-08-31,16.909,16.993,16.93,84100
2021-09-01,16.888,17.02,17.02,31400
2021-09-02,17.041,17.139,17.097,37200
2021-09-03,17.055,17.139,17.125,38900
2021-09-07,17.083,17.201,17.16,27200
2021-09-08,17.153,17.291,17.201,38400
2021-09-09,17.194,17.238,17.194,5800
2021-09-10,17.173,17.264,17.201,21400
2021-09-13,17.194,17.256,17.194,33800
2021-09-14,17.243,17.779,17.751,142600
2021-09-15,17.577,17.696,17.661,58500
2021-09-16,17.48,17.675,17.549,44300
2021-09-17,17.563,17.675,17.563,1800
2021-09-20,17.417,17.563,17.431,4800
2021-09-21,17.438,17.661,17.438,4300
2021-09-22,17.522,17.633,17.553,38200
2021-09-23,17.529,17.647,17.542,24700
2021-09-24,17.542,17.626,17.626,9800
2021-09-27,17.501,17.668,17.508,88800
2021-09-28,17.442,17.558,17.508,26400
2021-09-29,17.508,17.716,17.605,31200
2021-09-30,17.568,17.774,17.589,35900
2021-10-01,17.589,17.639,17.589,2300
2021-10-04,17.519,17.616,17.519,26100
2021-10-05,17.497,17.558,17.497,1700
2021-10-06,17.497,17.554,17.511,9700
2021-10-07,17.519,17.611,17.533,5300
2021-10-08,17.448,17.547,17.533,22300
2021-10-11,17.501,17.54,17.526,9900
2021-10-12,17.526,17.561,17.561,3500
2021-10-13,17.533,17.66,17.554,12900
2021-10-14,17.589,17.731,17.717,8900
2021-10-15,17.724,17.738,17.738,8000
2021-10-18,17.696,17.749,17.696,5200
2021-10-19,17.699,17.753,17.731,5500
2021-10-20,17.703,17.731,17.703,1400
2021-10-21,17.7,17.738,17.703,3000
2021-10-22,17.721,17.724,17.724,400
2021-10-25,17.646,17.737,17.646,13500
2021-10-26,17.653,17.738,17.66,11700
2021-10-27,17.65,17.738,17.738,900
2021-10-28,17.695,17.738,17.738,5100
2021-10-29,17.646,17.731,17.675,39700
2021-11-01,17.625,17.731,17.66,24200
2021-11-02,17.66,17.696,17.696,8600
2021-11-03,17.653,17.724,17.724,23200
2021-11-04,17.71,17.731,17.728,20800
2021-11-05,17.724,17.731,17.731,3200
2021-11-08,17.71,17.731,17.731,5000
2021-11-09,17.631,17.731,17.731,9700
2021-11-10,17.66,17.731,17.66,39000
2021-11-11,17.632,17.672,17.66,2900
2021-11-12,17.604,17.657,17.604,10500
2021-11-15,17.618,17.689,17.639,2300
2021-11-16,17.632,17.696,17.696,7400
2021-11-17,17.554,17.675,17.554,31400
2021-11-18,17.508,17.632,17.554,13700
2021-11-19,17.483,17.618,17.533,4500
2021-11-22,17.533,17.663,17.575,12300
2021-11-23,17.572,17.71,17.625,52800
2021-11-24,17.625,17.731,17.625,20900
2021-11-26,17.625,17.678,17.675,3400
2021-11-29,17.554,17.738,17.646,9200
2021-11-30,17.568,17.653,17.582,3500
2021-12-01,17.448,17.618,17.469,6900
2021-12-02,17.448,17.731,17.476,3300
2021-12-03,17.511,17.511,17.511,400
2021-12-06,17.554,17.597,17.554,800
2021-12-07,17.49,17.731,17.527,3400
2021-12-08,17.507,17.618,17.55,4300
2021-12-09,17.448,17.646,17.543,10100
2021-12-10,17.483,17.604,17.483,7200
2021-12-13,17.448,17.529,17.508,17500
2021-12-14,17.37,17.448,17.37,7200
2021-12-15,17.306,17.455,17.405,11100
2021-12-16,17.43,17.511,17.441,6700
2021-12-17,17.37,17.519,17.412,2800
2021-12-20,17.377,17.441,17.377,5000
2021-12-21,17.441,17.526,17.483,5400
2021-12-22,17.448,17.582,17.581,4500
2021-12-23,17.589,17.65,17.632,6300
2021-12-27,17.589,17.653,17.589,4100
2021-12-28,17.568,17.703,17.604,10100
2021-12-29,17.554,17.711,17.589,26500
2021-12-30,17.626,17.907,17.669,8200
2021-12-31,17.647,17.755,17.719,6400
2022-01-03,17.654,17.82,17.73,11600
2022-01-04,17.755,17.813,17.755,36300
2022-01-05,17.755,17.842,17.77,8700
2022-01-06,17.712,17.734,17.727,2800
2022-01-07,17.705,17.823,17.727,3300
2022-01-10,17.712,17.763,17.712,4000
2022-01-11,17.759,17.82,17.82,3200
2022-01-12,17.813,17.864,17.857,5000
2022-01-13,17.719,17.864,17.849,7500
2022-01-14,17.792,18.008,17.792,11000
2022-01-18,17.77,17.806,17.77,4900
2022-01-19,17.756,17.9,17.777,7800
2022-01-20,17.792,17.9,17.792,5500
2022-01-21,17.719,17.842,17.82,7800
2022-01-24,17.575,17.727,17.626,40200
2022-01-25,17.575,17.64,17.611,5400
2022-01-26,17.575,17.669,17.582,1700
2022-01-27,17.467,17.698,17.467,6200
2022-01-28,17.402,17.564,17.402,7300
2022-01-31,17.402,17.517,17.402,4100
2022-02-01,17.474,17.597,17.503,11800
2022-02-02,17.395,17.611,17.467,10600
2022-02-03,17.322,17.46,17.322,10600
2022-02-04,17.214,17.315,17.221,8700
2022-02-07,17.178,17.315,17.265,7000
2022-02-08,17.229,17.467,17.438,20900
2022-02-09,17.301,17.46,17.373,2700
2022-02-10,17.132,17.351,17.279,14800
2022-02-11,17.091,17.25,17.178,13600
2022-02-14,16.824,17.214,16.933,23600
2022-02-15,16.875,17.135,16.998,7300
2022-02-16,16.889,17.027,16.954,3700
2022-02-17,16.608,16.925,16.709,10200
2022-02-18,16.644,17.063,16.666,6200
2022-02-22,16.565,16.88,16.601,5600
2022-02-23,16.391,16.866,16.514,9500
2022-02-24,16.334,16.507,16.485,10400
2022-02-25,16.449,16.599,16.449,14100
2022-02-28,16.391,16.622,16.42,3600
2022-03-01,16.456,16.593,16.46,6000
2022-03-02,16.55,16.637,16.637,1700
2022-03-03,16.572,16.687,16.601,22400
2022-03-04,16.456,16.601,16.456,4300
