,Low,High,Close,Volume
2017-10-30,11.555,12.098,11.948,49900
2017-10-31,11.953,12.069,12.069,53700
2017-11-01,12.016,12.108,12.074,21700
2017-11-02,12.029,12.074,12.074,19400
2017-11-03,12.001,12.084,12.021,87400
2017-11-06,11.948,12.011,11.953,56900
2017-11-07,11.929,12.016,11.997,87200
2017-11-08,11.895,11.977,11.963,43100
2017-11-09,11.861,11.953,11.882,29000
2017-11-10,11.846,11.934,11.924,25700
2017-11-13,11.851,11.929,11.895,14000
2017-11-14,11.74,11.904,11.904,32000
2017-11-15,11.764,11.904,11.904,30200
2017-11-16,11.832,12.05,11.903,32500
2017-11-17,11.769,11.943,11.938,42900
2017-11-20,11.846,11.963,11.88,37100
2017-11-21,11.813,11.921,11.88,30500
2017-11-22,11.798,11.924,11.9,37600
2017-11-24,11.861,11.929,11.89,9800
2017-11-27,11.89,11.965,11.895,17800
2017-11-28,11.807,11.914,11.904,39300
2017-11-29,11.788,11.909,11.841,41800
2017-11-30,11.57,11.851,11.701,82800
2017-12-01,11.463,11.822,11.812,92200
2017-12-04,11.706,11.858,11.841,54700
2017-12-05,11.735,11.866,11.778,53600
2017-12-06,11.686,11.827,11.706,109800
2017-12-07,11.759,11.827,11.827,38000
2017-12-08,11.832,11.9,11.875,44100
2017-12-11,11.854,11.914,11.914,47300
2017-12-12,11.904,12.026,11.987,73900
2017-12-13,11.953,12.016,12.006,70700
2017-12-14,11.963,12.026,12.026,24100
2017-12-15,12.01,12.082,12.079,18400
2017-12-18,12.011,12.079,12.064,30700
2017-12-19,12.016,12.118,12.064,33600
2017-12-20,12.026,12.069,12.026,15900
2017-12-21,12.031,12.074,12.06,34000
2017-12-22,12.035,12.108,12.098,40700
2017-12-26,12.026,12.123,12.06,128600
2017-12-27,12.045,12.113,12.113,79100
2017-12-28,12.148,12.282,12.168,136300
2017-12-29,12.168,12.252,12.222,48900
2018-01-02,12.128,12.316,12.252,85100
2018-01-03,12.153,12.262,12.227,55600
2018-01-04,12.227,12.287,12.287,50000
2018-01-05,12.275,12.297,12.292,40100
2018-01-08,12.168,12.297,12.222,97300
2018-01-09,12.054,12.267,12.183,97500
2018-01-10,12.089,12.222,12.217,41500
2018-01-11,12.168,12.267,12.203,28200
2018-01-12,12.188,12.267,12.242,51700
2018-01-16,12.212,12.292,12.247,66600
2018-01-17,12.173,12.227,12.222,47300
2018-01-18,12.034,12.227,12.193,107400
2018-01-19,12.099,12.247,12.203,654200
2018-01-22,12.054,12.163,12.138,48800
2018-01-23,12.09,12.163,12.118,64300
2018-01-24,12.109,12.242,12.227,33900
2018-01-25,12.151,12.302,12.222,37500
2018-01-26,12.198,12.331,12.247,40100
2018-01-29,12.054,12.302,12.282,80900
2018-01-30,12.104,12.277,12.217,32200
2018-01-31,12.123,12.252,12.19,21600
2018-02-01,12.079,12.198,12.089,17000
2018-02-02,11.906,12.094,11.975,26800
2018-02-05,11.886,12.104,11.906,30200
2018-02-06,11.594,11.91,11.797,48900
2018-02-07,11.831,12.188,11.93,13700
2018-02-08,11.618,11.955,11.633,27500
2018-02-09,11.505,12.118,11.797,20400
2018-02-12,11.618,11.717,11.668,20600
2018-02-13,11.533,11.707,11.594,18600
2018-02-14,11.599,11.782,11.61,21400
2018-02-15,11.559,11.647,11.579,19500
2018-02-16,11.584,11.668,11.668,5200
2018-02-20,11.634,11.683,11.683,21700
2018-02-21,11.514,11.744,11.618,43200
2018-02-22,11.51,11.643,11.554,17900
2018-02-23,11.396,11.693,11.495,24400
2018-02-26,11.524,11.693,11.663,32900
2018-02-27,11.601,11.722,11.722,28600
2018-02-28,11.698,11.762,11.762,8900
2018-03-01,11.693,11.821,11.726,6000
2018-03-02,11.721,11.757,11.721,3700
2018-03-05,11.633,11.742,11.688,19100
2018-03-06,11.633,11.767,11.767,8000
2018-03-07,11.767,11.881,11.881,6900
2018-03-08,11.683,11.881,11.767,43200
2018-03-09,11.698,11.836,11.836,4100
2018-03-12,11.782,11.836,11.833,6200
2018-03-13,11.698,11.81,11.81,14300
2018-03-14,11.802,11.851,11.841,9500
2018-03-15,11.742,11.82,11.781,25500
2018-03-16,11.782,11.841,11.841,5900
2018-03-19,11.768,11.851,11.782,18300
2018-03-20,11.693,11.816,11.742,22100
2018-03-21,11.708,11.83,11.826,12300
2018-03-22,11.732,11.861,11.737,3700
2018-03-23,11.673,11.802,11.683,12500
2018-03-26,11.732,11.821,11.757,18200
2018-03-27,11.75,11.816,11.782,32600
2018-03-28,11.757,11.974,11.853,23500
2018-03-29,11.822,11.914,11.863,6000
2018-04-02,11.818,12.061,11.877,21300
2018-04-03,11.777,11.883,11.883,10200
2018-04-04,11.787,11.918,11.832,19200
2018-04-05,11.757,11.822,11.772,10200
2018-04-06,11.595,11.782,11.711,18200
2018-04-09,11.678,11.812,11.691,74400
2018-04-10,11.681,11.807,11.802,31200
2018-04-11,11.706,11.822,11.817,24600
2018-04-12,11.736,11.883,11.883,14500
2018-04-13,11.706,11.853,11.807,55400
2018-04-16,11.757,11.858,11.784,8900
