,Low,High,Close,Volume
2010-12-09,27.062,27.453,27.119,4132800
2010-12-10,26.735,27.083,26.842,2795100
2010-12-13,26.621,26.977,26.714,3774300
2010-12-14,26.543,26.913,26.664,3278800
2010-12-15,26.287,26.721,26.415,2885400
2010-12-16,26.287,26.564,26.514,2311900
2010-12-17,26.514,26.749,26.664,2895100
2010-12-20,26.522,26.799,26.685,2282000
2010-12-21,26.849,27.19,27.012,4328300
2010-12-22,26.607,26.899,26.728,3574700
2010-12-23,26.635,26.849,26.792,1568200
2010-12-27,26.628,27.147,27.112,1689100
2010-12-28,26.685,27.147,26.706,1888000
2010-12-29,26.706,26.948,26.771,1648700
2010-12-30,26.685,27.133,26.998,1647700
2010-12-31,26.749,27.041,26.792,826800
2011-01-03,26.408,27.332,26.991,3606200
2011-01-04,26.614,27.169,26.685,2907600
2011-01-05,26.244,26.742,26.742,3651300
2011-01-06,26.714,27.119,26.891,2987200
2011-01-07,26.671,27.098,26.735,3963300
2011-01-10,26.5,26.948,26.813,3407400
2011-01-11,26.756,27.105,27.048,2362200
2011-01-12,26.849,27.112,27.055,2618600
2011-01-13,26.835,27.062,26.92,2124100
2011-01-14,26.82,27.524,27.453,3651100
2011-01-18,27.532,28.349,28.349,5599600
2011-01-19,27.667,28.086,27.766,3999700
2011-01-20,27.318,27.923,27.688,4843600
2011-01-21,27.467,28.051,27.574,3637600
2011-01-24,27.446,28.093,27.987,3161600
2011-01-25,27.432,27.965,27.581,2937700
2011-01-26,27.361,27.752,27.66,3254700
2011-01-27,27.724,28.214,27.866,3211700
2011-01-28,27.211,28.086,27.24,4059500
2011-01-31,27.147,27.752,27.617,3630300
2011-02-01,27.78,28.236,28.214,2860600
2011-02-02,28.122,28.421,28.278,2779200
2011-02-03,27.83,28.307,27.901,2370900
2011-02-04,27.93,28.449,28.449,3040800
2011-02-07,28.257,28.79,28.349,3113400
2011-02-08,27.859,28.321,28.179,2760200
2011-02-09,27.987,28.413,28.314,2338000
2011-02-10,27.937,28.449,28.442,1919200
2011-02-11,28.229,28.982,28.869,2840300
2011-02-14,28.947,29.246,29.153,2524600
2011-02-15,29.075,29.63,29.16,3731500
2011-02-16,28.556,29.238,29.046,5198400
2011-02-17,28.833,29.416,29.295,2863700
2011-02-18,29.068,29.43,29.246,2490300
2011-02-22,28.378,29.025,28.492,2915800
2011-02-23,27.588,28.534,27.887,3064800
2011-02-24,27.645,28.207,27.93,3035200
2011-02-25,28.044,28.506,28.442,1597200
2011-02-28,27.98,28.677,28.364,2184800
2011-03-01,27.759,28.556,27.859,3113600
2011-03-02,27.837,28.66,28.424,2661800
2011-03-03,28.667,29.318,29.296,3159600
2011-03-04,28.846,29.318,29.06,2456500
2011-03-07,27.937,29.139,28.338,3370800
2011-03-08,28.073,28.688,28.481,2225400
2011-03-09,27.329,28.367,27.544,3074700
2011-03-10,26.915,27.515,27.122,2794700
2011-03-11,27.029,27.644,27.286,3498200
2011-03-14,26.993,27.501,27.301,2190000
2011-03-15,26.006,27.043,26.893,4167200
2011-03-16,25.956,27.079,26.135,4665600
2011-03-17,26.35,27.0,26.721,4271000
2011-03-18,26.686,27.136,27.05,4827000
2011-03-21,27.172,27.573,27.265,2204300
2011-03-22,27.05,27.501,27.158,1936800
2011-03-23,26.907,27.501,27.451,1786300
2011-03-24,27.48,27.987,27.966,3714100
2011-03-25,27.887,28.223,27.909,1726300
2011-03-28,27.837,28.252,27.866,1713100
2011-03-29,27.537,28.259,28.252,1543300
2011-03-30,27.973,28.495,28.252,1382600
2011-03-31,28.03,28.367,28.166,1724100
2011-04-01,27.916,28.517,28.009,2003900
2011-04-04,27.387,28.037,27.537,2569600
2011-04-05,27.251,27.887,27.451,4831600
2011-04-06,27.451,28.152,28.095,3163300
2011-04-07,27.823,28.309,28.13,3115600
2011-04-08,27.794,28.324,27.937,2068600
2011-04-11,27.358,27.966,27.494,2796300
2011-04-12,26.822,27.365,27.0,2757000
2011-04-13,26.907,27.244,27.072,2838800
2011-04-14,26.686,26.979,26.943,2999700
2011-04-15,26.628,27.301,27.294,2757300
2011-04-18,26.428,26.986,26.478,3819200
2011-04-19,26.392,26.764,26.707,3026500
2011-04-20,27.143,27.93,27.88,2778900
2011-04-21,27.894,28.166,27.966,1610300
2011-04-25,27.966,28.223,28.009,1482100
2011-04-26,27.98,28.667,28.595,2600000
2011-04-27,28.524,29.017,29.003,2167500
2011-04-28,28.767,29.146,28.996,1514000
2011-04-29,28.796,29.125,28.831,1933500
2011-05-02,28.796,29.168,28.889,2576700
2011-05-03,28.459,28.91,28.738,1391600
2011-05-04,28.452,29.06,28.896,2228900
2011-05-05,28.76,29.325,28.853,2047700
2011-05-06,28.91,29.461,28.989,2114900
2011-05-09,28.91,29.318,29.196,2125800
2011-05-10,29.203,29.733,29.59,2843100
2011-05-11,29.046,29.675,29.146,1992200
2011-05-12,28.96,29.826,29.661,2073200
2011-05-13,29.16,29.683,29.175,2392400
2011-05-16,28.967,29.518,29.003,1897200
2011-05-17,28.481,28.946,28.774,2914000
2011-05-18,29.468,30.956,30.469,10044200
2011-05-19,30.047,30.67,30.262,6321200
2011-05-20,29.861,30.183,29.897,4045000
2011-05-23,29.175,29.64,29.346,4174600
2011-05-24,28.867,29.482,28.932,3647200
2011-05-25,28.694,28.946,28.759,5421500
2011-05-26,28.672,29.176,29.061,2800400
2011-05-27,29.075,29.27,29.183,1895400
2011-05-31,29.234,29.666,29.63,3553400
2011-06-01,28.557,29.558,28.687,3208700
2011-06-02,28.485,28.924,28.672,2371900
2011-06-03,28.039,28.557,28.125,2346600
2011-06-06,28.046,28.32,28.068,2503300
2011-06-07,28.097,28.608,28.385,2946000
2011-06-08,27.665,28.262,27.737,2722400
2011-06-09,27.629,27.996,27.665,3149500
2011-06-10,27.003,27.629,27.255,2875100
2011-06-13,26.83,27.406,26.974,2406900
2011-06-14,27.204,27.435,27.269,3286500
2011-06-15,26.506,27.291,26.6,4330200
2011-06-16,26.305,26.772,26.434,4749100
2011-06-17,26.218,26.816,26.326,3376500
2011-06-20,26.182,26.528,26.441,2569400
2011-06-21,26.333,27.211,27.024,3429600
2011-06-22,26.787,27.104,26.859,1866700
2011-06-23,26.405,27.377,27.334,3872800
2011-06-24,26.772,27.391,26.859,3222400
2011-06-27,26.564,27.42,27.233,2400100
2011-06-28,27.118,27.557,27.55,2628800
2011-06-29,27.435,27.902,27.564,2900100
2011-06-30,27.643,28.291,28.169,3196100
2011-07-01,27.96,28.924,28.766,3090000
2011-07-05,28.262,28.78,28.399,2068100
2011-07-06,27.989,28.543,28.521,2666000
2011-07-07,28.564,29.14,28.924,2435200
2011-07-08,28.212,28.615,28.514,2172600
2011-07-11,27.629,28.493,27.737,3429700
2011-07-12,26.074,27.269,26.312,8342400
2011-07-13,25.974,26.6,26.096,4021700
2011-07-14,25.643,26.441,25.83,4670400
2011-07-15,25.592,26.046,25.743,3904500
2011-07-18,25.218,25.693,25.52,3606900
2011-07-19,25.707,26.06,25.974,3005100
2011-07-20,25.88,26.47,25.988,3820200
2011-07-21,25.621,26.312,26.261,3105900
2011-07-22,26.161,26.751,26.672,3135000
2011-07-25,26.089,26.477,26.197,3678400
2011-07-26,26.254,26.672,26.477,3002400
2011-07-27,25.016,26.074,25.081,6495400
2011-07-28,24.779,25.333,24.966,4097300
2011-07-29,24.484,25.132,24.757,3756700
2011-08-01,24.275,25.146,24.527,4379000
2011-08-02,23.735,24.505,23.735,4854100
2011-08-03,23.44,24.153,24.11,5070100
2011-08-04,22.764,23.894,22.764,6785200
