,Low,High,Close,Volume
2010-12-09,28.928,29.197,29.066,2389394
2010-12-10,28.959,29.203,29.066,2673575
2010-12-13,28.847,29.116,29.028,4879476
2010-12-14,29.041,29.328,29.253,3703231
2010-12-15,29.084,29.341,29.109,3373832
2010-12-16,29.028,29.39,29.266,3991739
2010-12-17,29.084,29.366,29.272,4829132
2010-12-20,29.109,29.353,29.216,3001948
2010-12-21,29.159,29.359,29.266,3464382
2010-12-22,29.228,29.366,29.303,2093368
2010-12-23,28.941,29.353,29.059,1639818
2010-12-27,28.797,29.147,29.091,1504619
2010-12-28,28.941,29.247,29.066,1766475
2010-12-29,29.016,29.172,29.028,2167403
2010-12-30,28.828,29.109,29.003,1877983
2010-12-31,28.741,28.997,28.909,1680595
2011-01-03,29.191,29.634,29.39,3674642
2011-01-04,29.222,29.447,29.284,3259818
2011-01-05,29.241,29.753,29.753,4345627
2011-01-06,29.64,29.99,29.984,3760522
2011-01-07,29.747,30.109,30.053,3759611
2011-01-10,29.665,30.159,30.065,3442400
2011-01-11,30.009,30.402,30.203,3201615
2011-01-12,30.196,30.615,30.596,2614688
2011-01-13,30.096,30.577,30.303,2438485
2011-01-14,30.246,30.571,30.452,1996325
2011-01-18,30.271,30.69,30.584,2887251
2011-01-19,30.359,30.59,30.427,2186311
2011-01-20,30.39,30.752,30.665,3014819
2011-01-21,30.484,30.765,30.634,2481312
2011-01-24,30.621,31.065,30.933,4189014
2011-01-25,30.634,31.046,31.04,2499194
2011-01-26,30.253,31.046,30.278,5101695
2011-01-27,29.778,30.465,30.396,3825901
2011-01-28,29.834,30.684,29.915,3262666
2011-01-31,29.69,30.071,29.921,3015161
2011-02-01,30.028,30.627,30.552,2395089
2011-02-02,30.271,30.652,30.552,2525277
2011-02-03,30.215,30.671,30.659,1938122
2011-02-04,30.434,30.858,30.821,2252031
2011-02-07,30.659,30.965,30.915,2682231
2011-02-08,30.671,30.965,30.933,1877072
2011-02-09,30.602,30.833,30.721,1813971
2011-02-10,30.384,30.977,30.971,2487690
2011-02-11,30.69,31.077,31.065,2093938
2011-02-14,30.827,31.14,31.083,2052136
2011-02-15,30.796,31.033,30.952,1790052
2011-02-16,30.709,31.071,30.921,2223328
2011-02-17,30.746,31.177,31.133,1587994
2011-02-18,30.933,31.202,31.196,3159358
2011-02-22,30.571,31.077,30.677,2692027
2011-02-23,30.39,30.734,30.515,2887251
2011-02-24,30.29,30.759,30.602,2305222
2011-02-25,30.602,31.071,30.99,1902813
2011-02-28,30.902,31.252,31.233,2990331
2011-03-01,30.734,31.296,30.852,3416089
2011-03-02,30.702,31.233,31.127,2903881
2011-03-03,31.264,31.671,31.564,3121543
2011-03-04,31.227,31.577,31.439,2600451
2011-03-07,31.096,31.658,31.277,3811891
2011-03-08,31.158,31.858,31.783,3576232
2011-03-09,31.5,32.091,32.028,3527141
2011-03-10,31.5,31.928,31.701,3588192
2011-03-11,31.374,31.877,31.714,2457393
2011-03-14,31.336,31.613,31.519,2751255
2011-03-15,30.827,31.45,31.034,2975524
2011-03-16,30.279,30.953,30.424,4288221
2011-03-17,30.562,30.909,30.682,2724260
2011-03-18,30.902,31.192,31.022,4708740
2011-03-21,31.154,31.651,31.393,3150930
2011-03-22,31.267,31.619,31.494,2669360
2011-03-23,31.097,31.569,31.519,2460468
2011-03-24,31.21,31.752,31.682,2212052
2011-03-25,31.676,32.022,31.689,1909306
2011-03-28,31.588,31.902,31.676,1897460
2011-03-29,31.456,31.921,31.858,1744948
2011-03-30,31.789,32.211,32.179,2825517
2011-03-31,32.142,32.399,32.28,2833035
2011-04-01,32.311,32.676,32.513,2650225
2011-04-04,32.45,32.72,32.72,2230276
2011-04-05,32.557,32.84,32.582,1796203
2011-04-06,32.62,33.324,33.198,3441489
2011-04-07,32.959,33.337,33.299,2741345
2011-04-08,32.827,33.343,32.997,1880147
2011-04-11,32.947,33.236,32.978,2200206
2011-04-12,32.632,32.922,32.739,1907825
2011-04-13,32.431,32.852,32.752,2902742
2011-04-14,32.324,32.89,32.739,2203168
2011-04-15,32.506,32.934,32.79,2967437
2011-04-18,32.349,32.639,32.538,2020700
2011-04-19,32.462,32.683,32.632,2683142
2011-04-20,32.884,33.261,33.192,2316498
2011-04-21,33.054,33.343,33.343,1742784
2011-04-25,33.198,33.526,33.45,2050883
2011-04-26,33.5,33.947,33.859,2164100
2011-04-27,33.721,34.18,34.148,1998034
2011-04-28,33.865,34.142,34.104,2278000
2011-04-29,34.023,34.262,34.199,4196190
2011-05-02,34.174,34.532,34.413,3121999
2011-05-03,33.991,34.576,34.23,3417000
2011-05-04,33.947,34.532,34.167,4031035
2011-05-05,33.488,34.06,33.683,3872600
2011-05-06,33.57,34.117,33.714,4333667
2011-05-09,33.607,34.048,33.922,3469622
2011-05-10,33.909,34.237,34.073,3437844
2011-05-11,33.576,34.098,33.84,3530900
2011-05-12,33.771,34.356,34.337,3530900
2011-05-13,33.878,34.432,33.979,3351394
2011-05-16,33.607,34.029,33.708,3321210
2011-05-17,33.463,33.834,33.771,2982699
2011-05-18,33.532,34.161,34.123,2451242
2011-05-19,34.073,34.513,34.13,3271208
2011-05-20,33.872,34.243,34.079,2794423
2011-05-23,33.488,33.733,33.607,3189200
2011-05-24,33.406,33.708,33.494,3115279
2011-05-25,33.381,33.639,33.551,3670883
2011-05-26,33.312,33.846,33.74,2809230
2011-05-27,33.721,34.073,34.054,2234832
2011-05-31,34.218,34.677,34.671,4867630
2011-06-01,34.237,34.664,34.237,5077434
2011-06-02,33.941,34.331,34.142,3031790
2011-06-03,33.381,33.84,33.519,3668833
2011-06-06,33.293,33.651,33.438,2906728
2011-06-07,33.268,33.683,33.337,3755625
2011-06-08,33.109,33.432,33.236,3460396
2011-06-09,33.122,33.609,33.394,2371284
2011-06-10,32.9,33.35,32.9,3984336
2011-06-13,32.792,33.47,33.35,3596051
2011-06-14,33.331,33.666,33.369,3745146
2011-06-15,32.627,33.204,32.722,3544226
2011-06-16,32.526,32.912,32.817,3162661
2011-06-17,32.678,33.343,32.729,4927542
2011-06-20,32.482,33.394,33.191,2821303
2011-06-21,32.989,33.464,33.381,2426867
2011-06-22,33.166,33.489,33.172,2555005
2011-06-23,32.526,32.912,32.887,4830385
2011-06-24,32.393,32.963,32.444,3216194
