,Low,High,Close,Volume
2010-12-09,37.91,38.36,38.09,2460900
2010-12-10,38.1,39.19,39.11,3062900
2010-12-13,38.55,39.2,38.55,2874900
2010-12-14,38.44,39.17,38.92,3511700
2010-12-15,38.1,39.01,38.31,3703900
2010-12-16,37.58,38.76,38.71,2641100
2010-12-17,38.63,39.5,39.13,3228700
2010-12-20,38.48,39.51,39.39,2443800
2010-12-21,39.05,39.72,39.65,1509800
2010-12-22,39.25,39.8,39.62,1225900
2010-12-23,39.03,39.63,39.31,1001700
2010-12-27,38.38,39.23,39.13,1108400
2010-12-28,38.75,39.48,39.01,1288700
2010-12-29,38.81,39.41,39.23,892900
2010-12-30,38.77,39.35,38.79,1162500
2010-12-31,37.92,38.82,38.2,1491300
2011-01-03,38.63,39.85,39.27,2969500
2011-01-04,38.04,39.32,38.53,2690200
2011-01-05,39.36,41.33,41.24,6283800
2011-01-06,40.91,41.39,41.26,2867800
2011-01-07,40.35,41.45,40.76,3329000
2011-01-10,39.88,41.12,40.87,1991800
2011-01-11,40.63,41.37,40.8,2374000
2011-01-12,39.36,40.93,40.53,3675100
2011-01-13,40.33,41.24,41.08,2311700
2011-01-14,40.8,41.62,41.44,1960000
2011-01-18,41.41,42.32,42.03,1978100
2011-01-19,41.21,42.0,41.49,1603500
2011-01-20,40.43,41.49,41.31,2247600
2011-01-21,41.26,42.09,41.5,2860800
2011-01-24,40.63,41.65,41.05,2282800
2011-01-25,39.51,40.81,40.33,2529400
2011-01-26,40.26,41.34,40.88,2685700
2011-01-27,39.77,40.99,40.77,2787100
2011-01-28,39.36,41.39,39.97,2590200
2011-01-31,39.88,40.75,40.68,2263800
2011-02-01,40.92,42.3,42.16,3049100
2011-02-02,41.81,43.54,43.41,3536800
2011-02-03,42.84,43.81,43.75,3331200
2011-02-04,43.59,44.37,43.69,2628100
2011-02-07,43.31,43.88,43.52,1841500
2011-02-08,42.32,43.41,42.93,2440600
2011-02-09,42.03,42.89,42.24,1596100
2011-02-10,41.83,42.87,42.75,2429400
2011-02-11,42.32,42.86,42.69,1691200
2011-02-14,42.29,43.09,42.34,2531000
2011-02-15,42.01,42.78,42.71,1369400
2011-02-16,42.73,44.44,43.84,3075900
2011-02-17,42.77,43.86,43.66,2464000
2011-02-18,43.31,44.25,43.4,2041200
2011-02-22,41.75,43.01,42.1,2601700
2011-02-23,39.57,42.1,39.59,5509400
2011-02-24,39.7,41.04,40.43,3937100
2011-02-25,41.12,43.63,42.75,4944700
2011-02-28,41.63,42.76,42.05,3268900
2011-03-01,41.09,42.28,41.21,2799900
2011-03-02,40.26,41.37,40.35,4221500
2011-03-03,40.71,41.93,41.17,1989800
2011-03-04,40.46,41.35,40.71,2012700
2011-03-07,39.72,41.29,40.11,2650800
2011-03-08,39.98,40.94,40.68,2420900
2011-03-09,39.91,40.7,40.34,2697600
2011-03-10,38.51,40.17,39.9,3099100
2011-03-11,39.51,40.4,40.11,2603400
2011-03-14,39.49,40.69,40.38,2293000
2011-03-15,38.68,39.57,39.25,3043900
2011-03-16,38.14,39.4,38.47,3819700
2011-03-17,38.36,39.42,38.56,2682400
2011-03-18,39.02,39.83,39.4,3365000
2011-03-21,40.11,41.45,40.97,2886500
2011-03-22,40.93,41.66,41.51,2904600
2011-03-23,40.58,41.87,41.62,2667000
2011-03-24,41.98,44.0,43.81,3705300
2011-03-25,43.11,44.0,43.27,2266400
2011-03-28,42.8,43.56,42.97,1617000
2011-03-29,42.53,43.69,43.4,1542700
2011-03-30,43.38,43.82,43.6,1309600
2011-03-31,43.54,44.43,44.11,3407600
2011-04-01,42.92,44.0,43.83,3207600
2011-04-04,43.71,44.5,44.0,2532500
2011-04-05,43.46,44.19,43.96,1867600
2011-04-06,43.01,44.5,43.47,2318500
