,Low,High,Close,Volume
2010-12-09,12.142,12.328,12.211,310700
2010-12-10,12.23,12.721,12.632,593400
2010-12-13,12.505,12.75,12.554,518400
2010-12-14,12.456,12.956,12.485,995900
2010-12-15,12.417,12.603,12.485,776300
2010-12-16,12.524,12.642,12.564,362100
2010-12-17,12.927,13.809,13.721,1527100
2010-12-20,13.417,14.104,13.564,575400
2010-12-21,13.495,13.78,13.633,310100
2010-12-22,13.544,14.045,13.986,408400
2010-12-23,13.515,14.192,13.623,340800
2010-12-27,13.211,13.731,13.692,254200
2010-12-28,13.388,13.77,13.437,295500
2010-12-29,13.339,13.682,13.339,405300
2010-12-30,13.27,13.544,13.456,338600
2010-12-31,13.368,13.574,13.378,412200
2011-01-03,13.456,13.888,13.574,536600
2011-01-04,13.103,13.711,13.123,465600
2011-01-05,13.025,13.456,13.172,454300
2011-01-06,13.005,13.339,13.064,381100
2011-01-07,12.887,13.289,13.191,315100
2011-01-10,13.064,13.446,13.26,472500
2011-01-11,13.309,13.721,13.397,456300
2011-01-12,13.495,14.604,14.545,988100
2011-01-13,14.29,14.643,14.466,458100
2011-01-14,14.447,15.075,14.908,1133500
2011-01-18,14.623,15.143,14.79,433600
2011-01-19,14.3,14.996,14.457,523800
2011-01-20,14.084,14.408,14.29,401700
2011-01-21,14.064,14.555,14.074,309900
2011-01-24,14.084,14.535,14.496,339900
2011-01-25,14.123,14.604,14.535,303200
2011-01-26,14.329,14.957,14.869,366700
2011-01-27,14.761,15.163,15.055,274600
2011-01-28,14.447,15.104,14.525,456400
2011-01-31,14.653,15.496,15.153,757500
2011-02-01,15.398,15.79,15.565,661200
2011-02-02,15.32,15.938,15.663,340100
2011-02-03,15.447,16.183,15.889,587100
2011-02-04,14.466,15.182,14.888,997000
2011-02-07,14.869,15.28,15.143,753800
2011-02-08,14.957,15.241,15.075,272200
2011-02-09,14.712,15.143,14.81,474500
2011-02-10,14.574,15.074,15.006,467800
2011-02-11,14.77,15.104,15.045,383700
2011-02-14,15.094,15.565,15.486,564900
2011-02-15,13.947,15.535,14.241,2070700
2011-02-16,14.378,15.143,14.849,1010500
2011-02-17,14.78,15.133,14.996,567700
2011-02-18,14.957,15.3,15.231,801900
2011-02-22,14.82,15.398,15.339,990900
2011-02-23,14.819,15.663,15.212,898100
2011-02-24,14.79,15.241,15.182,543000
2011-02-25,15.182,15.692,15.692,523100
2011-02-28,15.575,15.869,15.81,708000
2011-03-01,15.359,16.065,15.545,750800
2011-03-02,15.447,16.036,15.898,506600
2011-03-03,15.977,16.575,16.418,1004300
2011-03-04,16.34,16.673,16.506,818400
2011-03-07,15.496,16.644,16.271,1062800
2011-03-08,15.8,16.457,16.085,609300
2011-03-09,15.496,16.026,15.585,417300
2011-03-10,14.908,15.575,15.055,590600
2011-03-11,14.564,15.379,15.212,579900
2011-03-14,14.614,15.477,15.241,470400
2011-03-15,14.349,15.182,15.094,903400
2011-03-16,14.77,15.261,14.81,613500
2011-03-17,14.584,15.192,14.741,454400
2011-03-18,14.721,14.986,14.8,450500
2011-03-21,14.79,15.29,15.045,309000
2011-03-22,14.918,15.202,15.065,246400
2011-03-23,14.761,15.153,14.996,387400
2011-03-24,14.996,15.82,15.702,481100
2011-03-25,15.575,16.075,15.751,275300
2011-03-28,15.634,16.036,15.663,370000
2011-03-29,15.516,15.8,15.781,303600
2011-03-30,15.722,15.957,15.918,223300
2011-03-31,15.82,16.134,16.036,453500
2011-04-01,15.781,16.144,15.79,257100
2011-04-04,15.692,15.967,15.702,400600
2011-04-05,15.692,16.134,15.908,350900
2011-04-06,15.82,16.163,15.83,304000
2011-04-07,15.212,15.692,15.349,344200
2011-04-08,14.81,15.477,14.888,383800
2011-04-11,14.574,15.065,14.604,495300
2011-04-12,14.309,14.574,14.359,295200
2011-04-13,14.015,14.545,14.074,515100
2011-04-14,13.76,14.211,14.104,447300
2011-04-15,13.75,14.074,13.898,344700
2011-04-18,13.27,13.79,13.515,621600
2011-04-19,13.211,13.584,13.407,391700
2011-04-20,13.633,14.015,14.005,497400
2011-04-21,14.005,14.251,14.133,266100
2011-04-25,13.79,14.349,13.849,225900
2011-04-26,13.829,14.378,14.26,207400
2011-04-27,14.015,14.388,14.251,228000
2011-04-28,13.839,14.241,13.937,248000
2011-04-29,13.868,14.143,13.878,355000
2011-05-02,13.221,13.956,13.25,1000200
2011-05-03,14.447,15.261,14.564,3000000
2011-05-04,14.309,14.878,14.339,847200
2011-05-05,14.133,14.633,14.496,945000
2011-05-06,14.408,14.8,14.476,334100
2011-05-09,14.241,14.967,14.682,464200
2011-05-10,14.712,15.202,15.094,503100
2011-05-11,14.466,15.133,14.525,462100
2011-05-12,14.329,14.849,14.663,596000
2011-05-13,14.26,14.751,14.319,365100
2011-05-16,13.809,14.26,14.094,443800
2011-05-17,13.829,14.123,14.064,490000
2011-05-18,14.123,14.682,14.633,445900
2011-05-19,14.309,14.761,14.378,419100
2011-05-20,14.3,14.545,14.319,326700
2011-05-23,14.025,14.388,14.349,405600
2011-05-24,14.133,14.535,14.133,455000
2011-05-25,14.025,14.447,14.329,272400
2011-05-26,13.878,14.417,14.398,438800
2011-05-27,14.133,14.466,14.182,204400
2011-05-31,13.927,14.584,14.564,570200
2011-06-01,14.192,14.712,14.221,348700
2011-06-02,14.251,14.633,14.476,351600
2011-06-03,14.015,14.3,14.123,364600
2011-06-06,13.937,14.192,14.074,387600
2011-06-07,13.898,14.241,14.143,272900
2011-06-08,13.731,14.133,13.858,279900
2011-06-09,13.858,14.221,13.888,249000
2011-06-10,13.437,13.888,13.76,290700
2011-06-13,13.28,13.858,13.495,499900
2011-06-14,13.584,14.172,14.045,374200
2011-06-15,13.692,13.927,13.809,248900
2011-06-16,13.564,13.898,13.613,314200
2011-06-17,13.319,13.819,13.456,292700
2011-06-20,13.339,13.574,13.437,358100
2011-06-21,13.348,13.613,13.456,496900
2011-06-22,13.299,13.544,13.348,377200
2011-06-23,13.054,13.495,13.427,572100
2011-06-24,13.368,13.829,13.584,2154100
2011-06-27,13.319,13.672,13.623,358700
2011-06-28,13.535,14.104,14.054,337600
2011-06-29,13.937,14.3,14.251,270500
2011-06-30,14.319,14.614,14.506,297000
2011-07-01,14.309,14.78,14.731,268300
2011-07-05,12.858,13.75,13.015,2309100
2011-07-06,12.701,12.985,12.917,1318600
2011-07-07,12.779,13.388,12.966,1368500
2011-07-08,12.829,13.388,13.24,559800
2011-07-11,12.75,13.152,12.946,527600
2011-07-12,12.515,12.946,12.652,412600
2011-07-13,12.564,12.848,12.75,628100
2011-07-14,12.338,12.907,12.485,557700
2011-07-15,12.073,12.701,12.338,828000
2011-07-18,11.603,12.368,11.916,690300
2011-07-19,11.985,12.348,12.319,563000
2011-07-20,12.014,12.319,12.083,452200
2011-07-21,11.936,12.485,12.436,595500
2011-07-22,11.828,12.446,12.201,1023500
2011-07-25,11.809,12.162,11.877,867400
2011-07-26,10.818,11.416,11.181,2463500
2011-07-27,10.563,11.073,10.73,1642500
2011-07-28,10.602,10.887,10.671,627800
2011-07-29,10.367,10.798,10.406,709100
2011-08-01,10.073,10.681,10.249,1003800
2011-08-02,9.739,10.377,9.739,723700
2011-08-03,9.582,9.984,9.896,1016100
2011-08-04,9.209,9.867,9.209,1361000
2011-08-05,8.749,9.514,9.298,1575400
2011-08-08,8.474,9.288,8.484,1682600
2011-08-09,8.268,9.111,9.092,1624900
2011-08-10,8.562,9.209,8.837,1072600
2011-08-11,8.758,9.337,9.229,832500
2011-08-12,8.954,9.533,9.092,580200
2011-08-15,9.19,9.759,9.729,775900
2011-08-16,9.435,9.778,9.612,801600
2011-08-17,9.396,9.837,9.523,391400
2011-08-18,8.856,9.18,8.915,415900
2011-08-19,8.778,9.239,8.866,578900
2011-08-22,8.778,9.308,8.876,323400
2011-08-23,8.837,9.661,9.641,472100
2011-08-24,9.239,9.719,9.406,299400
2011-08-25,9.2,9.484,9.229,403600
2011-08-26,9.072,9.641,9.621,524800
2011-08-29,9.602,10.2,10.19,317600
2011-08-30,9.896,10.259,10.161,360100
2011-08-31,9.719,10.249,9.808,417500
2011-09-01,9.347,9.974,9.386,428900
2011-09-02,8.974,9.278,9.062,438300
2011-09-06,8.69,8.974,8.954,464100
2011-09-07,9.062,9.592,9.592,324000
2011-09-08,9.268,9.749,9.308,349000
2011-09-09,8.935,9.435,9.072,388200
2011-09-12,8.935,9.298,9.249,327000
2011-09-13,9.17,9.778,9.749,359500
2011-09-14,9.759,10.239,10.102,319000
2011-09-15,10.171,10.484,10.465,312200
2011-09-16,10.318,10.573,10.534,953600
2011-09-19,9.582,10.21,9.759,392200
2011-09-20,9.523,9.925,9.543,248900
2011-09-21,9.209,9.759,9.239,351700
2011-09-22,8.474,9.043,8.621,786900
2011-09-23,8.611,9.151,8.925,364200
2011-09-26,8.435,8.964,8.915,653000
2011-09-27,8.886,9.209,9.013,537200
2011-09-28,8.954,9.543,8.954,540000
2011-09-29,8.533,9.288,8.856,507700
2011-09-30,8.356,8.798,8.454,547700
2011-10-03,7.415,8.297,7.856,885000
2011-10-04,7.562,8.68,8.66,754600
2011-10-05,8.337,8.856,8.739,487900
2011-10-06,8.611,8.798,8.749,505800
2011-10-07,8.592,8.964,8.798,417200
2011-10-10,8.758,9.141,8.984,415200
2011-10-11,8.788,9.053,9.023,312700
2011-10-12,9.033,9.474,9.308,513800
2011-10-13,9.229,9.651,9.651,443200
2011-10-14,9.111,9.68,9.239,362200
2011-10-17,8.67,9.259,8.729,311400
2011-10-18,8.543,9.004,8.954,411100
2011-10-19,8.572,9.004,8.65,340300
2011-10-20,8.278,8.719,8.621,269400
2011-10-21,8.66,8.994,8.749,433500
2011-10-24,8.69,9.317,9.278,354800
2011-10-25,8.935,9.278,9.141,326500
2011-10-26,8.876,9.455,9.327,307500
2011-10-27,9.514,10.082,9.769,772300
2011-10-28,9.641,10.063,9.955,401200
2011-10-31,9.121,9.739,9.121,434900
2011-11-01,8.592,9.033,8.807,443900
2011-11-02,8.346,9.209,8.837,452700
2011-11-03,8.258,8.866,8.758,776000
2011-11-04,8.611,9.141,9.043,442400
2011-11-07,8.552,8.974,8.817,301800
2011-11-08,8.739,9.229,9.19,399600
2011-11-09,8.621,9.023,8.631,389300
2011-11-10,8.572,8.964,8.847,272100
2011-11-11,8.954,9.415,9.366,289000
2011-11-14,8.739,9.386,8.866,390700
2011-11-15,8.778,9.229,9.111,308300
2011-11-16,8.896,9.455,9.062,355700
2011-11-17,8.631,9.072,8.847,426500
2011-11-18,8.729,8.905,8.768,303500
2011-11-21,8.523,8.739,8.68,445800
2011-11-22,8.523,8.886,8.582,372300
2011-11-23,8.386,8.631,8.435,432700
2011-11-25,8.219,8.513,8.219,150400
2011-11-28,8.337,8.935,8.866,542500
2011-11-29,8.788,8.954,8.886,188800
2011-11-30,9.082,9.788,9.788,534100
2011-12-01,9.474,9.886,9.602,335400
2011-12-02,9.631,9.945,9.808,306500
2011-12-05,9.729,10.131,9.827,577900
2011-12-06,9.857,10.288,10.151,372800
2011-12-07,9.837,10.288,10.122,449400
2011-12-08,9.612,10.2,9.621,367000
2011-12-09,9.582,10.239,10.102,562500
2011-12-12,9.563,9.945,9.925,317800
2011-12-13,9.7,10.249,9.759,269300
2011-12-14,9.631,9.916,9.808,318800
2011-12-15,9.739,10.073,9.837,366900
2011-12-16,9.69,10.19,9.925,925100
2011-12-19,9.759,10.406,9.818,389700
2011-12-20,9.935,10.592,10.563,441000
2011-12-21,10.249,10.779,10.769,391700
2011-12-22,10.592,10.838,10.73,357700
2011-12-23,10.573,10.808,10.779,276500
2011-12-27,10.583,10.877,10.798,268300
2011-12-28,10.573,10.838,10.661,373900
2011-12-29,10.612,10.847,10.739,349200
2011-12-30,10.494,10.818,10.524,458600
2012-01-03,10.357,10.916,10.808,583700
2012-01-04,10.69,11.102,10.789,651100
2012-01-05,10.602,10.965,10.955,489900
2012-01-06,10.514,10.945,10.818,475100
2012-01-09,10.828,11.181,11.004,325300
2012-01-10,10.985,11.171,11.112,271600
2012-01-11,10.867,11.171,11.093,456900
2012-01-12,10.965,11.455,11.436,312800
2012-01-13,10.877,11.377,10.945,319300
2012-01-17,10.739,11.112,10.798,527100
2012-01-18,10.739,11.083,11.083,383900
2012-01-19,10.945,11.279,10.975,335500
2012-01-20,10.102,10.965,10.514,781100
2012-01-23,10.406,10.789,10.759,468800
2012-01-24,10.612,10.798,10.739,414400
2012-01-25,10.641,10.847,10.828,394900
2012-01-26,10.749,10.985,10.818,432300
2012-01-27,10.514,11.063,11.044,289300
2012-01-30,10.857,11.073,10.916,359700
2012-01-31,10.298,11.181,10.435,456800
2012-02-01,10.494,10.867,10.828,548600
2012-02-02,10.69,10.985,10.769,339000
2012-02-03,10.759,10.985,10.798,307600
2012-02-06,10.396,10.72,10.553,250000
2012-02-07,10.337,10.484,10.435,274600
2012-02-08,10.269,10.563,10.475,291100
2012-02-09,10.406,10.641,10.524,268500
2012-02-10,10.298,10.72,10.632,259700
2012-02-13,10.416,10.828,10.789,318500
2012-02-14,10.553,10.828,10.71,277800
2012-02-15,10.641,10.838,10.798,320500
2012-02-16,10.779,11.122,11.053,147800
2012-02-17,11.063,11.377,11.269,245600
2012-02-21,11.495,12.211,12.191,724400
2012-02-22,11.926,12.485,12.319,667500
2012-02-23,12.162,12.397,12.22,482700
2012-02-24,12.014,12.338,12.289,314000
2012-02-27,11.818,12.191,12.044,294700
2012-02-28,11.848,12.22,11.956,256400
2012-02-29,11.75,12.122,11.769,354200
2012-03-01,11.779,12.073,11.789,326200
2012-03-02,11.534,11.897,11.632,351800
2012-03-05,11.21,11.632,11.387,343400
2012-03-06,11.161,11.455,11.279,296200
2012-03-07,11.328,11.799,11.759,410600
2012-03-08,11.72,12.044,11.956,361500
2012-03-09,11.877,12.152,12.024,332900
2012-03-12,11.75,12.093,11.936,455600
2012-03-13,11.965,12.662,12.652,884200
2012-03-14,12.181,12.897,12.358,616300
2012-03-15,12.387,12.681,12.681,427900
2012-03-16,12.583,12.799,12.75,1170600
2012-03-19,12.574,12.995,12.956,563500
2012-03-20,12.73,12.966,12.829,237300
2012-03-21,12.681,12.946,12.829,238800
2012-03-22,12.564,12.927,12.799,382600
2012-03-23,12.593,12.995,12.976,251600
2012-03-26,12.868,13.113,13.054,320200
2012-03-27,12.848,13.221,13.142,277200
2012-03-28,12.995,13.231,12.995,637100
2012-03-29,12.721,13.005,12.75,572900
2012-03-30,12.672,13.054,12.868,461400
2012-04-02,12.574,12.887,12.75,466800
2012-04-03,12.309,12.809,12.417,640400
2012-04-04,12.122,12.338,12.269,440700
2012-04-05,12.142,12.328,12.24,424600
2012-04-09,11.691,12.014,11.897,362900
2012-04-10,11.671,11.936,11.71,399600
2012-04-11,11.848,12.024,12.024,242200
2012-04-12,11.975,12.289,12.181,397200
2012-04-13,11.907,12.22,11.907,165400
2012-04-16,11.769,12.103,11.936,180700
2012-04-17,12.054,12.338,12.211,189500
2012-04-18,11.907,12.122,11.995,143200
2012-04-19,11.759,12.044,11.809,254200
2012-04-20,11.769,12.113,11.789,226600
2012-04-23,11.24,11.74,11.495,345500
2012-04-24,11.475,11.848,11.701,276900
2012-04-25,11.75,12.132,11.858,266900
2012-04-26,11.799,12.024,12.014,221400
2012-04-27,11.828,12.122,11.995,262600
2012-04-30,11.671,11.985,11.71,434300
2012-05-01,12.211,14.251,13.123,1809200
2012-05-02,12.789,13.289,13.24,540900
2012-05-03,12.878,13.25,12.927,362600
2012-05-04,12.721,12.985,12.74,276900
2012-05-07,12.534,12.868,12.721,379400
2012-05-08,12.564,13.093,13.015,333300
2012-05-09,12.77,13.289,12.995,457300
2012-05-10,12.819,13.113,12.985,430000
2012-05-11,12.819,13.28,13.113,283800
2012-05-14,12.878,13.358,13.221,504500
2012-05-15,12.927,13.417,13.162,448000
2012-05-16,13.005,13.378,13.084,348500
2012-05-17,12.77,13.182,12.819,383400
2012-05-18,12.711,13.015,12.74,678400
2012-05-21,12.613,13.142,13.103,367700
2012-05-22,12.985,13.28,13.054,279000
2012-05-23,12.799,13.407,13.378,283000
2012-05-24,13.211,13.544,13.397,329000
2012-05-25,13.319,13.574,13.427,407100
2012-05-29,13.299,13.682,13.495,457000
2012-05-30,13.113,13.466,13.339,510900
2012-05-31,13.152,13.564,13.388,454200
2012-06-01,12.662,13.152,12.789,569300
2012-06-04,12.613,12.956,12.77,326100
