,Low,High,Close,Volume
2022-09-09,18.122,18.633,18.207,527400
2022-09-12,17.045,18.207,17.742,155300
2022-09-13,17.068,17.82,17.068,261200
2022-09-14,17.161,17.432,17.277,132200
2022-09-15,17.169,17.812,17.169,124200
2022-09-16,16.851,17.343,16.952,88800
2022-09-19,16.557,17.045,16.805,103200
2022-09-20,16.367,16.665,16.472,139800
2022-09-21,16.425,16.689,16.503,193800
2022-09-22,16.371,16.625,16.58,170300
2022-09-23,16.032,16.541,16.077,283000
2022-09-26,15.736,16.27,15.767,131900
2022-09-27,14.938,16.038,15.302,393300
2022-09-28,15.399,15.867,15.774,197200
2022-09-29,15.356,15.728,15.511,209100
2022-09-30,15.209,15.681,15.263,684100
2022-10-03,15.356,15.883,15.495,99500
2022-10-04,15.666,16.89,16.17,192000
2022-10-05,16.053,16.596,16.294,175200
2022-10-06,16.123,16.34,16.185,34500
2022-10-07,16.053,16.27,16.204,39900
2022-10-10,15.689,16.348,15.821,85200
2022-10-11,15.737,16.27,15.984,82200
2022-10-12,15.712,16.131,15.712,56700
2022-10-13,15.495,15.945,15.534,28800
2022-10-14,15.224,15.733,15.263,27700
2022-10-17,15.214,15.458,15.41,22800
2022-10-18,15.302,15.65,15.41,30200
2022-10-19,14.869,15.399,15.062,28800
2022-10-20,14.761,15.108,14.922,50000
2022-10-21,14.798,15.093,15.054,31000
2022-10-24,14.953,15.186,15.069,34400
2022-10-25,15.031,15.441,15.418,41100
2022-10-26,15.526,16.077,15.914,60500
2022-10-27,15.914,16.27,16.115,47500
2022-10-28,16.154,16.425,16.386,26700
2022-10-31,16.1,16.642,16.1,33300
2022-11-01,15.991,16.497,16.146,49600
2022-11-02,15.58,16.146,15.728,45500
2022-11-03,15.457,15.79,15.612,32700
2022-11-04,15.565,15.736,15.579,17200
2022-11-07,15.341,16.038,15.867,92500
2022-11-08,15.813,16.557,16.309,91200
2022-11-09,15.955,16.286,16.193,51700
2022-11-10,16.309,16.735,16.704,76700
