,Low,High,Close,Volume
2010-12-09,42.392,43.37,42.803,200700
2010-12-10,42.704,43.222,43.222,276700
2010-12-13,41.578,43.526,41.652,161300
2010-12-14,41.282,42.087,41.43,151700
2010-12-15,39.408,41.487,39.753,204800
2010-12-16,39.054,39.975,39.81,171000
2010-12-17,39.375,39.967,39.909,270200
2010-12-20,39.638,40.353,40.024,146000
2010-12-21,40.139,40.657,40.427,167600
2010-12-22,40.485,41.101,40.846,156500
2010-12-23,40.443,40.764,40.559,103600
2010-12-27,40.106,40.69,40.649,131600
2010-12-28,40.476,40.805,40.542,188200
2010-12-29,40.361,40.674,40.501,130100
2010-12-30,40.542,41.126,41.068,75800
2010-12-31,40.443,41.298,40.476,159900
2011-01-03,40.797,42.022,41.792,176300
2011-01-04,41.109,42.326,42.129,169800
2011-01-05,41.857,43.033,42.54,324300
2011-01-06,41.471,42.942,41.57,90400
2011-01-07,41.134,42.211,41.57,83700
2011-01-10,40.427,41.422,40.665,162000
2011-01-11,38.265,40.649,38.61,336700
2011-01-12,38.635,39.416,39.391,111300
2011-01-13,39.26,39.621,39.482,99000
2011-01-14,39.309,39.975,39.827,112300
2011-01-18,38.651,39.687,38.857,106100
2011-01-19,38.701,39.342,39.079,117000
2011-01-20,37.961,39.005,38.742,92500
2011-01-21,38.668,39.432,39.383,127300
2011-01-24,38.882,39.942,38.988,158800
2011-01-25,37.928,38.931,37.961,169600
2011-01-26,37.903,39.654,39.572,184300
2011-01-27,39.539,41.06,40.986,134600
2011-01-28,38.693,40.961,38.832,263900
2011-01-31,38.01,39.252,38.257,190900
2011-02-01,34.558,37.961,35.24,879300
2011-02-02,34.615,35.24,34.714,368800
2011-02-03,34.015,34.977,34.065,494300
2011-02-04,33.686,34.155,33.949,488500
2011-02-07,32.881,34.163,32.889,555200
2011-02-08,33.012,33.941,33.76,369900
2011-02-09,33.169,34.081,33.925,238400
2011-02-10,33.563,34.303,33.966,132300
2011-02-11,33.826,34.755,34.393,219200
2011-02-14,34.393,34.969,34.673,119200
