,Low,High,Close,Volume
2010-12-09,36.165,36.492,36.369,4701300
2010-12-10,36.295,36.778,36.703,6567800
2010-12-13,36.676,37.01,36.853,5523100
2010-12-14,37.623,38.971,38.658,23617700
2010-12-15,37.698,38.787,37.915,14247900
2010-12-16,37.895,38.685,38.569,12950800
2010-12-17,38.535,39.434,39.107,21618900
2010-12-20,39.121,39.489,39.264,6980600
2010-12-21,38.937,39.298,39.087,5598000
2010-12-22,38.569,39.073,38.787,4411800
2010-12-23,38.454,38.869,38.624,4074800
2010-12-27,38.147,38.597,38.44,2758400
2010-12-28,38.099,38.522,38.113,4025200
2010-12-29,38.052,38.392,38.052,3601700
2010-12-30,37.772,38.256,37.82,3414000
2010-12-31,37.303,37.875,37.391,3997500
2011-01-03,37.582,38.331,37.834,5453300
2011-01-04,37.929,38.985,38.651,8429500
2011-01-05,38.413,38.93,38.637,4552000
2011-01-06,38.188,38.944,38.515,3561400
2011-01-07,38.454,38.951,38.808,4680800
2011-01-10,38.283,38.787,38.44,4758900
2011-01-11,38.202,38.74,38.27,5863900
2011-01-12,38.174,38.767,38.719,4566400
2011-01-13,38.297,38.821,38.358,4660300
2011-01-14,38.174,39.012,38.481,5893700
2011-01-18,38.379,39.053,39.019,10611900
2011-01-19,38.549,39.114,38.808,5771500
2011-01-20,38.603,39.264,39.032,6313600
2011-01-21,38.644,39.101,38.801,6032900
2011-01-24,38.692,39.414,39.019,5647800
2011-01-25,38.644,39.632,38.93,8944000
2011-01-26,38.358,39.141,38.467,6833600
2011-01-27,38.181,38.733,38.467,4686000
2011-01-28,37.534,38.556,37.657,6928300
2011-01-31,37.357,37.772,37.514,6021300
2011-02-01,37.534,38.058,37.943,5615800
2011-02-02,37.316,37.902,37.888,5353400
2011-02-03,37.459,37.895,37.766,4227000
2011-02-04,37.282,37.881,37.595,4569900
2011-02-07,37.296,37.684,37.377,3861900
2011-02-08,37.207,37.568,37.418,3399300
2011-02-09,36.989,37.459,37.071,4502700
2011-02-10,36.778,37.323,36.962,4522300
2011-02-11,36.472,36.853,36.601,6896900
2011-02-14,36.329,36.833,36.683,5412600
2011-02-15,36.308,36.737,36.669,5143000
2011-02-16,35.661,36.39,36.063,11461500
2011-02-17,35.668,36.226,35.695,8918600
2011-02-18,35.43,35.913,35.579,9877900
2011-02-22,35.157,35.784,35.334,6473900
2011-02-23,34.783,35.539,34.783,8135500
2011-02-24,34.469,34.898,34.701,8606600
2011-02-25,34.769,35.668,35.593,7791100
2011-02-28,34.946,35.872,34.96,8054800
2011-03-01,35.239,35.75,35.355,6668500
2011-03-02,34.966,35.355,35.0,5437400
2011-03-03,35.048,35.784,35.668,6527500
2011-03-04,35.389,35.777,35.634,5795700
2011-03-07,35.198,35.804,35.239,6334200
2011-03-08,35.007,35.872,35.77,4298400
2011-03-09,35.47,35.961,35.743,4049200
2011-03-10,35.021,35.559,35.307,5675400
2011-03-11,35.266,36.69,36.458,11642100
2011-03-14,36.158,36.696,36.451,7015900
2011-03-15,35.539,36.363,36.097,6001400
2011-03-16,35.709,36.472,35.886,10020100
2011-03-17,36.315,37.255,36.478,10655000
2011-03-18,35.927,36.724,36.056,12834000
2011-03-21,36.131,36.737,36.158,4286100
2011-03-22,35.865,36.288,35.947,5560800
2011-03-23,35.573,36.049,35.886,4528300
2011-03-24,35.709,36.438,36.281,5093600
2011-03-25,36.097,36.635,36.199,5589900
2011-03-28,35.831,36.254,35.859,3808800
2011-03-29,35.865,36.403,36.39,3570800
2011-03-30,36.39,37.023,36.71,4562400
2011-03-31,36.403,36.812,36.403,4501100
2011-04-01,35.934,36.764,36.151,7942400
2011-04-04,36.24,36.982,36.799,5510000
2011-04-05,36.717,37.03,36.826,4638500
2011-04-06,36.771,37.159,36.799,4576400
2011-04-07,36.438,37.044,36.758,4408600
2011-04-08,36.492,36.996,36.71,4423100
2011-04-11,36.424,37.085,36.989,6327000
2011-04-12,36.785,37.289,37.2,6678800
2011-04-13,37.221,37.663,37.418,7572900
2011-04-14,36.969,37.466,37.343,7189000
2011-04-15,37.418,38.133,37.807,8002700
2011-04-18,37.316,37.841,37.609,6936300
2011-04-19,37.221,37.663,37.582,5952800
2011-04-20,37.881,38.44,38.263,7334700
2011-04-21,36.247,37.725,36.567,17489600
2011-04-25,36.206,37.296,37.248,10650800
2011-04-26,37.446,38.351,38.29,12800000
2011-04-27,38.202,38.794,38.699,8362400
2011-04-28,38.597,39.019,38.917,6301100
2011-04-29,38.052,38.821,38.719,19900000
2011-05-02,38.597,39.128,39.08,8552200
2011-05-03,38.869,39.366,39.162,6500000
2011-05-04,38.998,39.434,39.284,7241600
2011-05-05,39.012,39.4,39.107,7204300
2011-05-06,39.053,39.55,39.25,4535300
2011-05-09,39.039,39.462,39.291,3624900
2011-05-10,39.237,39.782,39.707,4717100
2011-05-11,39.536,40.32,40.088,7200000
2011-05-12,39.734,40.694,40.633,5500000
2011-05-13,40.694,41.6,41.185,9402700
2011-05-16,40.463,41.028,40.769,10068100
2011-05-17,40.068,41.668,41.471,11820900
2011-05-18,41.178,41.798,41.661,5182800
2011-05-19,41.334,41.907,41.573,3362000
2011-05-20,41.096,41.702,41.45,5276700
2011-05-23,40.796,41.28,41.178,4200000
2011-05-24,40.694,41.226,40.81,4162600
2011-05-25,40.544,40.878,40.756,3929100
2011-05-26,40.313,40.783,40.701,3771200
2011-05-27,40.265,40.796,40.422,3657500
2011-05-31,40.619,41.369,41.232,7626000
2011-06-01,40.633,41.403,40.66,4968500
2011-06-02,40.238,40.769,40.354,4053500
2011-06-03,39.897,40.258,39.972,4636200
2011-06-06,39.72,40.252,39.911,4144500
2011-06-07,39.87,40.551,40.068,3828700
2011-06-08,39.809,40.258,40.149,3716000
2011-06-09,39.884,40.599,40.102,5362300
2011-06-10,39.482,40.109,39.496,4780200
2011-06-13,39.414,40.04,39.768,5298000
2011-06-14,39.714,40.04,39.863,5146700
2011-06-15,39.407,39.966,39.427,5104300
2011-06-16,39.325,39.802,39.734,5550600
2011-06-17,39.353,40.115,39.509,6610500
2011-06-20,39.434,39.966,39.809,3851100
2011-06-21,39.421,39.904,39.618,4347900
2011-06-22,39.455,39.843,39.605,4015000
2011-06-23,38.794,39.496,39.455,4588000
2011-06-24,38.637,39.489,38.849,11908500
2011-06-27,38.699,39.496,39.421,5289300
2011-06-28,39.237,40.095,39.945,4073200
2011-06-29,39.284,40.013,39.353,7531500
2011-06-30,39.496,39.775,39.741,5069900
2011-07-01,39.427,39.802,39.693,5358000
2011-07-05,39.284,39.673,39.448,4639500
2011-07-06,39.182,39.598,39.298,5102900
2011-07-07,39.189,39.707,39.441,6116000
2011-07-08,39.066,39.707,39.257,4037900
2011-07-11,38.59,39.162,38.753,4186300
2011-07-12,38.712,39.019,38.753,3964400
2011-07-13,38.379,38.978,38.556,4514200
2011-07-14,37.793,38.549,37.922,7201300
2011-07-15,37.282,37.745,37.493,9209200
2011-07-18,36.989,37.636,37.228,6241800
2011-07-19,37.371,37.807,37.643,4977000
2011-07-20,37.411,37.745,37.452,4151300
2011-07-21,37.473,38.086,37.793,5539600
2011-07-22,37.466,37.772,37.609,3098400
2011-07-25,37.262,37.704,37.391,3174100
2011-07-26,37.064,37.507,37.255,4428200
2011-07-27,36.512,37.425,36.642,6502800
2011-07-28,36.322,37.221,36.39,6586100
2011-07-29,36.131,37.595,37.255,10640200
2011-08-01,36.131,37.65,36.621,8875500
2011-08-02,36.24,36.948,36.308,7526200
2011-08-03,35.654,36.39,36.315,7145700
2011-08-04,35.103,36.199,35.116,9918500
2011-08-05,34.891,36.077,35.498,9914200
2011-08-08,33.972,35.716,33.972,13911500
2011-08-09,33.032,34.592,34.428,16124400
2011-08-10,32.746,34.013,32.876,12558400
2011-08-11,32.46,34.122,33.809,14860500
2011-08-12,33.747,34.51,34.054,7919700
2011-08-15,34.176,35.198,35.144,7665700
2011-08-16,34.822,35.404,35.109,6630400
2011-08-17,35.123,35.472,35.417,8150100
2011-08-18,34.671,35.39,35.226,10138400
2011-08-19,34.746,35.897,35.595,9437000
2011-08-22,35.746,36.294,35.821,9289800
2011-08-23,35.76,36.719,36.719,7806600
2011-08-24,36.404,37.177,37.15,5349700
2011-08-25,36.273,37.383,36.609,8776000
2011-08-26,36.054,37.191,37.034,6936600
2011-08-29,37.006,37.759,37.52,4851700
2011-08-30,37.253,38.026,37.828,5380500
2011-08-31,37.718,38.081,37.937,5417000
2011-09-01,37.588,38.232,37.677,5492200
2011-09-02,37.027,37.8,37.047,6219200
2011-09-06,35.952,37.417,37.335,6889500
2011-09-07,37.314,37.992,37.924,6462500
2011-09-08,37.691,38.068,37.876,4501000
2011-09-09,36.561,37.725,37.006,7617300
2011-09-12,36.472,37.088,37.02,5406700
2011-09-13,36.965,37.711,37.602,4950400
2011-09-14,37.253,38.191,37.842,6070400
2011-09-15,38.04,38.663,38.526,5876100
2011-09-16,38.068,38.862,38.835,7635100
2011-09-19,38.287,38.971,38.711,4541400
2011-09-20,38.835,39.608,39.286,5168900
2011-09-21,38.348,39.28,38.376,5160000
2011-09-22,37.17,37.972,37.691,8969100
2011-09-23,36.883,37.828,37.732,5431200
2011-09-26,37.431,38.006,37.958,5903800
2011-09-27,38.095,38.903,38.704,5868700
2011-09-28,38.095,39.061,38.122,5663600
2011-09-29,37.657,38.876,38.198,5152700
2011-09-30,37.616,38.389,37.636,6430000
2011-10-03,36.89,37.896,36.91,7462900
2011-10-04,36.191,37.301,37.218,8517100
2011-10-05,36.944,38.376,38.3,7484200
2011-10-06,37.842,38.93,38.917,4828000
2011-10-07,38.314,38.93,38.533,4418200
2011-10-10,38.917,39.608,39.286,3346200
2011-10-11,38.999,39.458,39.095,4641500
2011-10-12,38.684,39.355,38.787,4798100
2011-10-13,38.622,39.245,39.019,5464400
2011-10-14,38.91,39.382,39.369,3268400
2011-10-17,38.492,39.423,38.65,3108200
2011-10-18,38.369,39.423,39.225,6280800
2011-10-19,39.129,39.718,39.252,4470600
2011-10-20,38.643,39.581,39.218,4086000
2011-10-21,39.375,40.149,40.122,6345100
2011-10-24,39.889,40.437,40.368,4409900
2011-10-25,38.588,40.197,38.67,7676700
2011-10-26,38.341,39.177,38.999,6687800
2011-10-27,39.259,39.985,39.759,5936600
2011-10-28,39.026,39.786,39.197,6023500
2011-10-31,38.78,39.417,39.218,8792500
2011-11-01,37.917,38.8,38.033,7996600
2011-11-02,37.41,38.314,37.527,6826900
2011-11-03,37.609,38.211,38.143,4797000
2011-11-04,37.527,38.191,37.78,3565100
2011-11-07,39.369,40.122,40.012,20318400
2011-11-08,39.41,40.136,39.718,8870200
2011-11-09,39.286,39.848,39.382,9588100
2011-11-10,39.266,39.752,39.691,7661900
2011-11-11,39.581,40.053,39.622,5420700
2011-11-14,39.177,39.581,39.259,6204900
2011-11-15,38.922,39.328,38.943,8218000
2011-11-16,38.385,38.908,38.543,20135000
2011-11-17,38.316,38.922,38.475,9742700
2011-11-18,38.186,38.605,38.241,5523200
2011-11-21,37.786,38.165,37.828,7973800
2011-11-22,37.594,38.337,38.303,9559000
2011-11-23,37.793,38.316,37.807,6026500
2011-11-25,37.566,37.938,37.608,2816700
2011-11-28,37.869,38.516,38.468,6852600
2011-11-29,38.165,38.798,38.633,8167700
2011-11-30,38.867,39.872,39.851,10993600
2011-12-01,39.507,39.954,39.913,10555600
2011-12-02,39.72,40.202,39.982,7834400
2011-12-05,39.369,40.188,39.569,12342100
2011-12-06,39.486,39.961,39.837,15750000
2011-12-07,39.727,40.271,40.147,18663500
2011-12-08,38.537,40.897,40.188,41563500
2011-12-09,40.037,40.567,40.319,7072800
2011-12-12,39.328,40.195,39.335,10176200
2011-12-13,39.438,40.174,39.521,6843600
2011-12-14,39.321,40.03,39.651,6727200
2011-12-15,39.782,40.642,40.339,8683700
2011-12-16,41.048,41.977,41.324,21390500
2011-12-19,41.269,42.06,41.406,8013000
2011-12-20,41.757,42.142,42.087,7284900
2011-12-21,41.977,43.539,43.45,10636700
2011-12-22,43.078,43.766,43.588,5383300
2011-12-23,43.354,43.939,43.828,4134500
2011-12-27,43.608,44.482,44.331,4260500
2011-12-28,43.911,44.31,44.042,3925800
2011-12-29,43.932,44.579,44.551,3525300
2011-12-30,44.186,44.73,44.186,5112100
2012-01-03,43.663,44.861,44.117,10216800
2012-01-04,43.629,44.131,43.877,7096400
2012-01-05,43.753,44.675,44.324,6261500
2012-01-06,44.042,44.64,44.565,4587900
2012-01-09,43.56,44.482,44.179,7540500
2012-01-10,44.186,45.212,45.191,6150500
2012-01-11,44.833,45.728,45.693,4960000
2012-01-12,45.611,46.643,46.478,7191000
2012-01-13,45.948,46.567,46.519,5996400
2012-01-17,46.615,47.118,46.843,6924800
2012-01-18,46.54,47.751,47.634,7159000
2012-01-19,47.276,47.82,47.579,5700100
2012-01-20,47.372,47.916,47.875,6839100
2012-01-23,46.492,47.482,46.643,7258900
2012-01-24,46.23,47.2,46.925,5212600
2012-01-25,46.416,47.751,47.627,6436400
2012-01-26,46.526,47.613,46.849,7036800
2012-01-27,45.907,47.606,47.028,10338100
2012-01-30,46.264,47.063,47.021,6228100
2012-01-31,46.636,47.283,46.746,10033800
2012-02-01,46.856,48.136,48.061,7409700
2012-02-02,47.661,48.171,47.909,5379600
2012-02-03,47.489,48.081,47.675,6595400
2012-02-06,46.299,47.586,47.565,11863300
2012-02-07,46.898,47.648,47.599,6870500
2012-02-08,46.588,47.489,46.836,10922600
2012-02-09,45.879,46.836,45.996,9139700
2012-02-10,45.969,46.361,46.354,5262500
2012-02-13,46.603,47.343,47.184,4404000
2012-02-14,46.7,47.06,46.935,4272300
2012-02-15,46.7,47.129,46.977,4045900
2012-02-16,47.032,47.876,47.662,5452100
2012-02-17,46.887,47.502,46.894,4968700
2012-02-21,46.112,46.894,46.139,5912900
2012-02-22,45.904,46.52,46.209,4293000
2012-02-23,46.07,46.734,46.589,3881300
2012-02-24,46.534,47.129,46.859,3231100
2012-02-27,46.167,46.845,46.658,3170500
2012-02-28,46.368,47.323,47.15,3839000
2012-02-29,46.977,47.447,47.053,4155300
2012-03-01,46.631,47.191,46.762,4770400
2012-03-02,46.465,46.963,46.859,3079200
2012-03-05,46.437,46.838,46.513,3952100
2012-03-06,45.524,46.534,46.036,6155500
2012-03-07,45.911,46.492,46.319,3281700
2012-03-08,46.437,47.163,46.907,3867900
2012-03-09,46.728,47.219,47.053,3167100
2012-03-12,46.914,47.302,47.067,3177400
2012-03-13,47.17,47.689,47.675,2794600
2012-03-14,47.094,47.655,47.226,3484200
2012-03-15,46.894,47.253,47.226,3891200
