,Low,High,Close,Volume
2010-12-09,83.867,85.046,84.89,2070600
2010-12-10,84.416,85.328,85.209,1385000
2010-12-13,85.632,87.167,86.603,2925400
2010-12-14,85.802,87.115,86.195,1890500
2010-12-15,85.38,86.692,86.025,2280500
2010-12-16,85.832,87.122,86.507,2012200
2010-12-17,85.721,86.381,86.344,2729800
2010-12-20,85.869,86.841,86.803,1476200
2010-12-21,87.026,88.101,87.612,1912600
2010-12-22,86.996,87.886,87.656,1476900
2010-12-23,87.145,87.931,87.849,1024100
2010-12-27,87.204,87.908,87.723,830000
2010-12-28,87.53,88.034,87.834,897800
2010-12-29,87.76,88.805,88.679,1059100
2010-12-30,88.309,89.569,88.917,1269100
2010-12-31,88.383,89.332,88.405,1299200
2011-01-03,88.983,90.185,89.74,1893100
2011-01-04,88.576,90.644,90.355,2816000
2011-01-05,89.25,92.683,92.617,3059700
2011-01-06,90.392,93.121,90.741,2178000
2011-01-07,90.585,91.964,91.326,2035300
2011-01-10,90.585,92.861,92.491,2031100
2011-01-11,92.164,92.995,92.78,1857700
2011-01-12,93.158,94.27,93.573,1837500
2011-01-13,92.246,94.292,92.817,2750400
2011-01-14,91.467,93.225,93.15,3199500
2011-01-18,92.906,94.641,94.581,2570900
2011-01-19,91.879,94.819,92.184,2649100
2011-01-20,91.055,92.637,92.169,2075900
2011-01-21,92.05,93.282,93.238,2222000
2011-01-24,91.493,93.305,91.991,2693900
2011-01-25,89.318,91.367,91.04,4035200
2011-01-26,89.986,91.568,90.64,5431900
2011-01-27,84.649,90.491,86.356,12839700
2011-01-28,81.873,86.252,85.25,15891500
2011-01-31,84.857,88.635,88.606,7182700
2011-02-01,86.921,89.296,88.324,8829300
2011-02-02,87.863,90.38,89.868,5444700
2011-02-03,87.336,89.556,87.834,4846900
2011-02-04,86.453,88.286,86.735,5507100
2011-02-07,86.965,88.205,87.425,3766300
2011-02-08,86.883,87.633,87.225,3093100
2011-02-09,85.711,87.314,86.223,3064300
2011-02-10,85.755,88.257,87.41,5626800
2011-02-11,86.869,89.036,88.88,5808300
2011-02-14,89.133,90.714,89.957,3325900
2011-02-15,88.286,90.239,88.591,2941900
2011-02-16,88.034,89.6,89.459,4358900
2011-02-17,87.967,90.461,89.541,5672600
2011-02-18,88.747,90.083,89.088,4280000
2011-02-22,86.319,89.578,86.906,4934200
2011-02-23,87.373,89.964,89.771,4524500
2011-02-24,88.969,90.372,89.452,3288800
2011-02-25,89.452,91.701,91.701,3397600
2011-02-28,91.419,92.681,92.51,3129600
2011-03-01,89.652,93.238,89.719,3131900
2011-03-02,88.368,90.41,89.89,2180100
2011-03-03,89.615,92.547,92.503,3270400
2011-03-04,90.313,92.451,91.026,2808600
2011-03-07,88.702,92.05,89.801,2830000
2011-03-08,89.266,90.914,90.09,2083400
2011-03-09,88.992,90.543,89.578,1876000
2011-03-10,86.015,88.851,86.067,4554700
2011-03-11,85.859,88.613,88.205,3107300
2011-03-14,87.158,88.761,88.427,2538400
2011-03-15,84.79,88.131,87.477,3091300
2011-03-16,83.899,88.338,84.456,6644200
2011-03-17,85.666,87.915,87.678,3269900
2011-03-18,88.294,89.437,89.162,5228700
2011-03-21,89.786,92.867,92.867,5063000
2011-03-22,92.444,93.824,93.446,3756300
2011-03-23,91.545,93.527,92.444,2642800
2011-03-24,91.679,93.527,92.711,2504000
2011-03-25,92.792,94.247,93.49,2293200
2011-03-28,92.815,94.878,93.72,3037700
2011-03-29,92.369,95.354,94.975,2580600
2011-03-30,94.886,97.699,96.823,3667200
2011-03-31,96.979,98.36,97.187,3219100
2011-04-01,96.244,98.234,96.489,2595100
2011-04-04,96.556,97.892,96.727,2160600
2011-04-05,96.4,97.714,97.432,1958200
2011-04-06,95.791,97.915,96.2,2313400
2011-04-07,95.027,96.682,95.606,2127700
2011-04-08,96.14,97.826,96.623,3093800
2011-04-11,93.282,96.504,93.72,3829400
2011-04-12,90.231,92.867,90.862,4060400
2011-04-13,90.231,92.421,90.758,2965200
2011-04-14,89.704,91.315,90.87,2330100
