,Low,High,Close,Volume
2010-12-09,24.833,25.304,25.002,174200
2010-12-10,24.931,25.605,25.41,158000
2010-12-13,24.603,25.472,24.807,177000
2010-12-14,24.789,25.179,25.029,143500
2010-12-15,24.86,25.277,24.913,341900
2010-12-16,24.168,25.791,25.082,390200
2010-12-17,22.811,24.833,23.148,1255700
2010-12-20,23.264,23.92,23.299,295300
2010-12-21,23.539,24.168,23.982,215100
2010-12-22,23.991,24.505,24.186,274000
2010-12-23,23.814,24.301,23.92,128800
2010-12-27,23.716,24.053,23.955,80600
2010-12-28,23.751,24.301,23.84,117200
2010-12-29,23.929,24.39,24.009,101200
2010-12-30,24.0,24.612,24.337,132700
2010-12-31,24.168,24.559,24.319,141800
2011-01-03,24.452,25.304,24.771,230000
2011-01-04,23.867,24.949,24.266,186300
2011-01-05,23.654,24.266,23.805,220600
2011-01-06,23.335,24.044,23.618,141800
2011-01-07,23.166,23.938,23.76,170000
2011-01-10,23.104,23.867,23.406,135200
2011-01-11,22.403,23.468,22.465,328200
2011-01-12,22.634,23.618,23.06,191800
2011-01-13,22.572,23.21,22.873,334700
2011-01-14,22.483,23.273,23.202,154100
2011-01-18,23.042,23.556,23.335,196900
2011-01-19,22.953,23.618,23.024,187900
2011-01-20,22.74,23.157,23.148,142100
2011-01-21,22.616,23.308,22.661,142300
2011-01-24,22.421,23.131,23.077,103900
2011-01-25,22.829,23.432,23.104,102100
2011-01-26,23.104,23.911,23.654,147700
2011-01-27,23.512,23.876,23.618,115300
2011-01-28,22.483,23.725,22.492,131900
2011-01-31,22.377,22.9,22.661,102700
2011-02-01,22.927,23.539,23.237,177900
2011-02-02,22.049,23.157,22.128,428900
2011-02-03,21.809,23.166,22.244,330200
2011-02-04,21.286,22.421,21.348,785500
2011-02-07,21.224,21.65,21.383,188700
2011-02-08,21.41,21.65,21.597,95900
2011-02-09,21.579,22.094,21.943,140600
2011-02-10,21.765,22.085,21.907,103800
2011-02-11,21.685,22.156,22.156,51300
2011-02-14,22.076,22.36,22.165,57400
2011-02-15,22.067,22.698,22.609,178000
2011-02-16,22.582,23.009,22.68,177000
2011-02-17,22.431,22.751,22.431,181400
2011-02-18,22.36,22.769,22.573,140900
2011-02-22,21.739,22.351,21.792,147300
2011-02-23,21.197,21.916,21.295,226000
2011-02-24,20.558,21.348,20.895,288500
2011-02-25,20.593,20.975,20.957,307600
2011-02-28,20.895,21.135,21.064,176100
2011-03-01,20.558,21.161,20.833,212400
2011-03-02,20.637,21.188,20.966,122600
2011-03-03,21.232,21.916,21.712,136600
2011-03-04,21.135,21.721,21.25,144800
2011-03-07,20.673,21.33,21.055,184800
2011-03-08,20.886,21.845,21.81,154400
2011-03-09,21.481,22.334,22.307,243300
2011-03-10,21.765,22.502,21.845,173100
2011-03-11,21.534,22.058,21.543,135300
2011-03-14,21.082,21.49,21.366,107700
2011-03-15,20.7,21.339,21.188,205800
2011-03-16,21.028,22.014,21.25,1450500
2011-03-17,21.108,21.961,21.241,403400
2011-03-18,21.117,21.57,21.348,708900
2011-03-21,21.161,22.591,22.325,1320100
2011-03-22,21.765,22.573,21.854,453700
2011-03-23,21.428,22.422,22.263,335300
2011-03-24,22.422,22.858,22.422,282900
2011-03-25,22.023,22.724,22.067,447100
2011-03-28,21.765,22.245,21.952,360200
2011-03-29,21.845,22.245,22.138,214600
2011-03-30,22.414,23.009,22.742,415500
2011-03-31,22.751,23.222,23.017,231400
2011-04-01,22.92,23.381,23.08,322600
2011-04-04,22.964,23.231,23.231,342600
2011-04-05,22.946,23.355,23.195,401100
2011-04-06,22.937,23.381,23.159,505100
2011-04-07,23.088,23.461,23.151,323100
2011-04-08,22.227,23.266,22.378,200200
2011-04-11,22.174,22.511,22.218,161300
2011-04-12,22.041,22.44,22.129,181100
2011-04-13,22.112,22.449,22.254,347100
2011-04-14,21.934,22.467,22.325,174900
2011-04-15,22.254,22.644,22.627,187800
2011-04-18,22.174,22.502,22.298,136800
2011-04-19,22.342,22.769,22.342,252600
2011-04-20,22.467,22.778,22.644,352400
2011-04-21,22.351,22.84,22.52,490400
2011-04-25,19.803,21.206,20.726,1358300
2011-04-26,19.856,20.984,20.158,1306800
2011-04-27,19.98,20.433,20.176,885600
2011-04-28,20.051,20.611,20.433,335800
2011-04-29,20.336,20.664,20.433,255000
2011-05-02,19.98,20.602,20.069,292000
2011-05-03,19.562,20.096,19.865,258000
2011-05-04,19.713,20.042,19.936,303100
2011-05-05,20.443,21.456,21.065,1200000
2011-05-06,21.092,21.607,21.483,548500
2011-05-09,21.261,21.785,21.447,304100
2011-05-10,21.305,21.732,21.572,263700
2011-05-11,21.038,21.696,21.154,211500
2011-05-12,20.718,21.616,21.394,176800
2011-05-13,20.834,21.447,20.905,201000
2011-05-16,20.781,21.554,21.51,410100
2011-05-17,21.136,21.599,21.225,299200
2011-05-18,20.923,21.581,21.545,380700
2011-05-19,21.394,22.426,22.185,556200
2011-05-20,21.67,22.719,22.541,649500
2011-05-23,21.35,22.221,21.661,554100
2011-05-24,21.483,21.945,21.705,293200
2011-05-25,21.545,22.052,21.874,246000
2011-05-26,21.163,22.114,21.963,526600
2011-05-27,21.51,22.39,21.732,210700
2011-05-31,21.456,22.052,21.776,404400
2011-06-01,20.496,21.839,20.54,357300
2011-06-02,20.514,20.949,20.549,194300
2011-06-03,19.411,20.389,19.536,775000
2011-06-06,18.904,19.713,19.029,420700
2011-06-07,18.94,19.349,19.127,284600
2011-06-08,18.913,19.358,19.162,344400
2011-06-09,19.055,19.527,19.34,158000
2011-06-10,19.207,19.74,19.34,346400
2011-06-13,19.1,19.562,19.207,186500
2011-06-14,19.278,19.9,19.882,376200
2011-06-15,19.367,19.874,19.465,334400
2011-06-16,19.482,20.185,19.776,374800
2011-06-17,19.376,19.882,19.545,407200
2011-06-20,19.393,19.794,19.536,223300
2011-06-21,19.571,19.998,19.954,304700
2011-06-22,19.856,20.309,19.927,327800
2011-06-23,19.402,20.229,20.185,402400
2011-06-24,20.194,20.62,20.371,460500
2011-06-27,20.211,20.585,20.585,349900
2011-06-28,20.452,20.834,20.798,245900
2011-06-29,20.763,20.985,20.834,238200
2011-06-30,20.781,21.181,21.101,393100
2011-07-01,21.101,21.812,21.785,435800
2011-07-05,21.492,21.812,21.643,149800
2011-07-06,21.599,23.999,23.919,2450400
2011-07-07,23.306,24.4,23.848,1402700
2011-07-08,23.297,23.786,23.501,438000
2011-07-11,23.004,23.439,23.181,292000
2011-07-12,23.092,23.759,23.35,422600
2011-07-13,23.368,23.813,23.501,450400
2011-07-14,22.799,23.733,23.252,370300
2011-07-15,23.119,23.608,23.413,394200
2011-07-18,22.879,23.333,22.968,281800
2011-07-19,22.968,23.457,23.324,315400
2011-07-20,22.71,23.59,23.039,456800
2011-07-21,22.897,23.662,23.066,226600
2011-07-22,22.692,23.155,22.897,324900
2011-07-25,22.452,22.968,22.621,332100
2011-07-26,21.439,22.399,21.848,560300
2011-07-27,21.181,21.812,21.243,265400
2011-07-28,21.234,21.928,21.261,249000
2011-07-29,20.896,21.572,21.394,262400
2011-08-01,21.154,21.848,21.412,456500
2011-08-02,21.225,22.47,21.252,1482700
2011-08-03,20.361,21.359,20.994,907600
2011-08-04,20.005,21.1,20.005,465500
2011-08-05,19.16,20.317,19.498,677200
2011-08-08,17.557,19.195,17.557,757700
2011-08-09,16.987,18.51,18.474,565100
2011-08-10,17.05,18.145,17.13,385000
2011-08-11,16.943,17.815,17.504,763800
2011-08-12,17.245,18.474,18.296,472600
2011-08-15,18.198,19.204,19.177,586400
2011-08-16,18.519,19.16,18.892,409300
2011-08-17,18.1,19.071,18.18,297000
2011-08-18,16.845,17.797,16.969,501700
2011-08-19,16.319,17.183,16.373,230400
2011-08-22,16.159,16.88,16.444,190400
2011-08-23,16.141,16.898,16.88,216300
2011-08-24,16.622,17.343,17.245,150700
2011-08-25,17.183,18.527,17.245,332800
2011-08-26,16.613,17.521,17.423,508500
2011-08-29,17.61,18.234,18.198,197500
2011-08-30,17.922,18.777,18.572,183100
2011-08-31,18.082,18.928,18.385,252300
2011-09-01,17.459,18.572,17.664,302000
2011-09-02,16.889,17.441,16.96,203300
2011-09-06,16.088,16.711,16.364,275300
2011-09-07,16.515,16.96,16.952,343400
2011-09-08,16.595,17.263,16.925,346700
2011-09-09,16.408,17.147,16.854,447700
2011-09-12,16.204,17.058,17.05,466900
2011-09-13,17.085,17.771,17.61,690700
2011-09-14,17.201,18.483,18.296,588800
2011-09-15,18.332,18.901,18.848,608200
2011-09-16,18.447,18.99,18.786,508300
2011-09-19,17.655,18.429,18.029,414100
2011-09-20,17.619,18.563,17.673,195200
2011-09-21,16.222,17.913,16.328,479200
2011-09-22,14.637,15.928,15.1,620300
2011-09-23,14.895,15.545,15.42,299000
2011-09-26,15.207,15.848,15.803,274800
2011-09-27,15.883,16.489,16.07,437700
2011-09-28,15.224,16.257,15.251,262800
2011-09-29,14.886,15.767,15.358,249300
2011-09-30,14.325,15.34,14.379,374300
2011-10-03,13.364,14.494,13.364,419300
2011-10-04,12.66,14.521,14.37,1033100
2011-10-05,13.818,14.663,14.423,511700
2011-10-06,14.04,14.859,14.824,495900
2011-10-07,14.245,15.073,14.316,420700
2011-10-10,14.646,15.082,14.904,348800
2011-10-11,14.655,14.966,14.886,499400
2011-10-12,14.886,15.776,15.554,700900
2011-10-13,15.26,15.705,15.554,211100
2011-10-14,15.75,16.311,16.266,361100
2011-10-17,15.42,16.257,15.483,214100
2011-10-18,15.394,16.373,16.213,306300
2011-10-19,15.394,16.257,15.491,200600
2011-10-20,15.215,16.311,16.257,367700
2011-10-21,16.239,16.622,16.444,364000
2011-10-24,16.498,17.326,17.192,382900
2011-10-25,16.578,17.094,16.631,205700
2011-10-26,16.756,17.735,17.619,879100
2011-10-27,18.127,18.777,18.563,1416000
2011-10-28,18.251,19.489,18.34,1046300
2011-10-31,17.699,18.51,18.34,627500
2011-11-01,17.236,18.038,17.334,502200
2011-11-02,17.236,18.011,17.833,564300
2011-11-03,17.459,18.18,17.797,475900
2011-11-04,16.916,17.984,17.967,402600
2011-11-07,17.191,18.118,17.797,272400
2011-11-08,17.405,18.207,18.163,366800
2011-11-09,17.44,18.243,17.503,449600
2011-11-10,17.547,18.181,17.967,293300
2011-11-11,18.091,19.081,19.054,398500
2011-11-14,18.314,19.152,18.591,444200
2011-11-15,18.359,19.054,18.974,367900
2011-11-16,17.61,18.671,17.904,657900
2011-11-17,16.576,17.993,16.718,786700
2011-11-18,16.585,17.316,17.244,540300
2011-11-21,16.05,16.923,16.201,504500
2011-11-22,15.711,16.353,15.943,300100
2011-11-23,15.131,15.996,15.39,293300
2011-11-25,15.024,15.639,15.069,145800
2011-11-28,15.684,16.21,16.103,433200
2011-11-29,15.755,16.255,16.014,450400
2011-11-30,16.718,17.387,17.048,836600
2011-12-01,16.656,17.218,16.727,221000
2011-12-02,16.718,17.289,16.763,238400
2011-12-05,16.995,17.539,17.271,205100
2011-12-06,16.879,17.316,17.226,268000
2011-12-07,16.736,17.333,17.2,250800
2011-12-08,16.549,17.164,16.602,391500
2011-12-09,16.478,17.298,17.182,229500
2011-12-12,16.076,16.861,16.638,393100
2011-12-13,15.898,16.959,15.996,305800
2011-12-14,14.953,15.925,15.176,641600
2011-12-15,15.425,15.871,15.764,468600
2011-12-16,15.648,16.317,15.871,751300
2011-12-19,15.452,16.388,15.523,277900
2011-12-20,15.684,16.745,16.727,380500
2011-12-21,16.192,16.923,16.807,194000
2011-12-22,16.629,17.342,17.307,533600
2011-12-23,16.861,17.333,16.923,176500
2011-12-27,16.638,17.253,17.048,182600
2011-12-28,16.718,17.209,16.79,223400
2011-12-29,16.87,17.191,17.191,314200
2011-12-30,17.084,17.387,17.182,297300
2012-01-03,17.209,17.993,17.271,278100
2012-01-04,17.093,17.735,17.556,362400
2012-01-05,17.28,17.967,17.726,387000
2012-01-06,17.628,18.172,18.118,466300
2012-01-09,17.931,18.305,18.127,413400
2012-01-10,18.118,18.76,18.707,379300
2012-01-11,18.502,18.823,18.805,222700
2012-01-12,18.564,18.974,18.894,129600
2012-01-13,18.386,18.876,18.653,149300
2012-01-17,18.475,18.983,18.51,188400
2012-01-18,18.724,19.072,19.054,401200
