,Low,High,Close,Volume
2010-12-09,4.15,4.194,4.194,1651500
2010-12-10,4.138,4.206,4.182,1585600
2010-12-13,4.199,4.276,4.241,1730200
2010-12-14,4.167,4.244,4.172,1250700
2010-12-15,4.06,4.189,4.078,1303500
2010-12-16,4.058,4.137,4.125,915300
2010-12-17,4.073,4.125,4.097,1066100
2010-12-20,4.013,4.087,4.078,1174300
2010-12-21,4.075,4.179,4.169,966600
2010-12-22,4.132,4.187,4.152,583900
2010-12-23,4.115,4.164,4.152,529100
2010-12-27,4.075,4.152,4.127,620500
2010-12-28,4.07,4.125,4.092,566800
2010-12-29,4.073,4.11,4.102,625200
2010-12-30,4.08,4.117,4.115,909000
2010-12-31,4.087,4.13,4.09,537000
2011-01-03,4.12,4.207,4.197,1001000
2011-01-04,4.162,4.214,4.177,945600
2011-01-05,4.145,4.187,4.167,968700
2011-01-06,4.11,4.177,4.127,904900
2011-01-07,4.097,4.162,4.145,1028400
2011-01-10,4.078,4.132,4.095,1465300
2011-01-11,4.043,4.12,4.09,1412300
2011-01-12,4.073,4.14,4.137,1251700
2011-01-13,4.115,4.177,4.152,1302500
2011-01-14,4.127,4.194,4.189,1037700
2011-01-18,4.172,4.276,4.241,1450300
2011-01-19,4.04,4.212,4.04,4460300
2011-01-20,3.983,4.035,4.003,6058900
2011-01-21,4.003,4.06,4.02,2211600
2011-01-24,4.016,4.083,4.058,1963300
2011-01-25,4.025,4.125,4.1,2238400
2011-01-26,4.065,4.137,4.117,1659400
2011-01-27,4.115,4.189,4.167,1541300
2011-01-28,4.083,4.187,4.083,2095800
2011-01-31,4.102,4.169,4.167,1962500
2011-02-01,4.167,4.239,4.219,2360900
2011-02-02,4.164,4.202,4.192,1524400
2011-02-03,4.152,4.202,4.172,2106100
2011-02-04,4.15,4.239,4.204,3914300
2011-02-07,4.194,4.236,4.231,1816500
2011-02-08,4.207,4.281,4.266,1970600
2011-02-09,4.194,4.261,4.214,1581500
2011-02-10,4.179,4.229,4.219,1819300
2011-02-11,4.184,4.291,4.291,1233200
2011-02-14,4.276,4.321,4.321,1269600
2011-02-15,4.271,4.318,4.313,1210900
2011-02-16,4.316,4.385,4.375,1743300
2011-02-17,4.356,4.435,4.423,1328700
2011-02-18,4.363,4.447,4.37,1163800
2011-02-22,4.269,4.351,4.288,1765200
2011-02-23,4.194,4.336,4.234,1424700
2011-02-24,4.236,4.313,4.284,1559100
2011-02-25,4.311,4.388,4.383,1021200
2011-02-28,4.378,4.437,4.425,1960500
2011-03-01,4.296,4.46,4.365,2667300
2011-03-02,4.326,4.385,4.338,1714600
2011-03-03,4.358,4.413,4.405,1828300
2011-03-04,4.343,4.398,4.358,1550100
2011-03-07,4.346,4.403,4.358,1361000
2011-03-08,4.353,4.427,4.405,1449400
2011-03-09,4.365,4.427,4.403,1358300
2011-03-10,4.338,4.39,4.363,1854400
2011-03-11,4.31,4.386,4.363,1955800
2011-03-14,4.216,4.333,4.259,1520200
2011-03-15,3.983,4.206,4.15,2665800
2011-03-16,4.072,4.216,4.072,2083800
2011-03-17,4.072,4.158,4.1,1614600
2011-03-18,4.105,4.198,4.14,1395100
2011-03-21,4.153,4.244,4.244,1648200
2011-03-22,4.1,4.244,4.102,3212200
2011-03-23,4.029,4.14,4.112,4077800
2011-03-24,4.107,4.193,4.168,2112300
2011-03-25,4.158,4.246,4.196,2365800
2011-03-28,4.206,4.257,4.206,1560300
2011-03-29,4.16,4.219,4.193,1346600
2011-03-30,4.183,4.264,4.262,1805900
2011-03-31,4.254,4.32,4.292,2787800
2011-04-01,4.3,4.365,4.35,1459900
2011-04-04,4.355,4.393,4.371,1449800
2011-04-05,4.343,4.371,4.363,1342100
2011-04-06,4.368,4.452,4.452,1479000
2011-04-07,4.409,4.444,4.411,1775100
2011-04-08,4.391,4.444,4.401,1503000
2011-04-11,4.333,4.434,4.383,1467000
2011-04-12,4.254,4.358,4.307,1280900
2011-04-13,4.259,4.325,4.277,920700
2011-04-14,4.241,4.305,4.292,895100
2011-04-15,4.274,4.307,4.3,622000
2011-04-18,4.203,4.287,4.277,1570100
2011-04-19,4.259,4.31,4.31,938000
2011-04-20,4.34,4.373,4.358,765500
2011-04-21,4.358,4.436,4.434,1123700
2011-04-25,4.36,4.434,4.376,1011400
2011-04-26,4.365,4.439,4.409,1300000
2011-04-27,4.363,4.431,4.406,784100
2011-04-28,4.386,4.431,4.426,549900
2011-04-29,4.419,4.487,4.484,1425800
2011-05-02,4.378,4.492,4.396,1654300
2011-05-03,4.368,4.507,4.406,2454700
2011-05-04,4.32,4.429,4.338,1553400
2011-05-05,4.259,4.322,4.287,2042500
2011-05-06,4.279,4.363,4.292,1312700
2011-05-09,4.284,4.333,4.305,1277600
2011-05-10,4.312,4.386,4.378,1106700
2011-05-11,4.315,4.391,4.348,1017100
2011-05-12,4.307,4.386,4.343,1042100
2011-05-13,4.31,4.373,4.325,711400
2011-05-16,4.302,4.353,4.307,1001400
2011-05-17,4.229,4.307,4.239,1537400
2011-05-18,4.244,4.307,4.287,1661100
2011-05-19,4.257,4.307,4.305,1353900
2011-05-20,4.254,4.305,4.262,824100
2011-05-23,4.158,4.249,4.165,1800000
2011-05-24,4.155,4.208,4.203,975700
2011-05-25,4.183,4.236,4.219,756800
2011-05-26,4.165,4.201,4.193,1548500
2011-05-27,4.168,4.224,4.181,1443100
2011-05-31,4.181,4.259,4.259,1680900
2011-06-01,4.183,4.252,4.183,1429500
2011-06-02,4.191,4.325,4.325,2819500
2011-06-03,4.267,4.368,4.322,1897600
2011-06-06,4.257,4.358,4.259,1170000
2011-06-07,4.262,4.302,4.272,987100
2011-06-08,4.244,4.292,4.246,1200700
2011-06-09,4.254,4.325,4.277,934600
2011-06-10,4.191,4.279,4.219,1936900
2011-06-13,4.159,4.242,4.175,1907200
2011-06-14,4.193,4.257,4.239,976100
2011-06-15,4.144,4.232,4.167,1356200
2011-06-16,4.079,4.188,4.1,1630100
2011-06-17,4.1,4.154,4.115,1389900
2011-06-20,4.1,4.138,4.131,1056600
2011-06-21,4.138,4.203,4.169,1238800
2011-06-22,4.125,4.203,4.125,951300
2011-06-23,4.045,4.162,4.151,1787700
2011-06-24,4.084,4.177,4.102,1204900
2011-06-27,4.05,4.157,4.12,1030700
2011-06-28,4.048,4.146,4.061,2348200
2011-06-29,4.066,4.125,4.113,2405500
2011-06-30,4.131,4.172,4.157,1316800
2011-07-01,4.144,4.216,4.167,1728200
2011-07-05,4.069,4.175,4.069,1893900
2011-07-06,4.035,4.146,4.138,3113700
2011-07-07,4.151,4.216,4.201,1160800
2011-07-08,4.141,4.188,4.172,862700
2011-07-11,4.097,4.177,4.115,1353800
2011-07-12,4.04,4.146,4.053,1613400
2011-07-13,4.05,4.118,4.066,1197000
2011-07-14,4.04,4.087,4.048,1104300
2011-07-15,4.025,4.079,4.043,1221900
2011-07-18,3.875,4.043,3.921,4363000
2011-07-19,3.939,4.038,4.017,2404400
2011-07-20,4.009,4.11,4.102,2310400
2011-07-21,4.11,4.172,4.162,1345400
2011-07-22,4.144,4.206,4.201,968000
2011-07-25,4.149,4.203,4.193,1144100
2011-07-26,4.185,4.232,4.216,1067500
2011-07-27,4.159,4.239,4.18,2463000
2011-07-28,4.167,4.234,4.182,1336100
2011-07-29,4.076,4.185,4.175,1633800
2011-08-01,4.149,4.247,4.203,1868800
2011-08-02,4.066,4.206,4.066,1839800
2011-08-03,4.004,4.118,4.063,2649000
2011-08-04,3.735,4.048,3.745,4037400
2011-08-05,3.613,3.978,3.691,4760400
2011-08-08,3.342,3.673,3.381,5265700
2011-08-09,3.298,3.611,3.593,7031300
2011-08-10,3.404,3.606,3.437,4570000
2011-08-11,3.448,3.738,3.691,2739300
2011-08-12,3.665,3.851,3.712,2083800
2011-08-15,3.756,3.833,3.833,1492500
2011-08-16,3.763,3.864,3.813,1516800
2011-08-17,3.789,3.846,3.81,1439800
2011-08-18,3.588,3.699,3.616,1837000
2011-08-19,3.546,3.701,3.551,1305700
2011-08-22,3.544,3.655,3.577,1734600
2011-08-23,3.559,3.696,3.691,1684200
2011-08-24,3.608,3.745,3.73,1130700
2011-08-25,3.619,3.797,3.642,1296500
2011-08-26,3.572,3.771,3.761,1734900
2011-08-29,3.797,3.911,3.911,1627100
2011-08-30,3.869,3.944,3.906,2033400
2011-08-31,3.888,3.965,3.932,1308500
2011-09-01,3.807,3.937,3.81,2532100
2011-09-02,3.709,3.789,3.725,1410000
2011-09-06,3.59,3.709,3.701,1646500
2011-09-07,3.738,3.849,3.846,1277900
2011-09-08,3.758,3.885,3.758,1943100
2011-09-09,3.668,3.787,3.673,2553500
2011-09-12,3.598,3.694,3.691,2393400
2011-09-13,3.643,3.763,3.752,1671800
2011-09-14,3.667,3.821,3.749,2624000
2011-09-15,3.728,3.816,3.816,1994600
2011-09-16,3.747,3.837,3.802,1296500
2011-09-19,3.68,3.778,3.739,1298200
2011-09-20,3.702,3.794,3.71,928600
2011-09-21,3.572,3.752,3.582,2220600
2011-09-22,3.463,3.585,3.529,2410900
2011-09-23,3.455,3.561,3.561,2020000
2011-09-26,3.513,3.638,3.635,1892200
2011-09-27,3.614,3.747,3.654,2027000
2011-09-28,3.577,3.691,3.585,1963700
2011-09-29,3.67,3.771,3.765,2379000
2011-09-30,3.651,3.771,3.651,2380100
2011-10-03,3.516,3.702,3.516,1896900
2011-10-04,3.383,3.593,3.59,2803100
2011-10-05,3.505,3.635,3.622,2099100
2011-10-06,3.558,3.699,3.696,1892100
2011-10-07,3.601,3.707,3.656,2584200
2011-10-10,3.672,3.771,3.763,1474300
2011-10-11,3.704,3.778,3.771,1334700
2011-10-12,3.773,3.845,3.802,1364100
2011-10-13,3.733,3.805,3.781,1328500
2011-10-14,3.786,3.85,3.847,899000
2011-10-17,3.736,3.842,3.752,1027600
2011-10-18,3.739,3.935,3.914,1823000
2011-10-19,3.813,3.951,3.829,1435300
2011-10-20,3.818,3.94,3.895,2024800
2011-10-21,3.906,3.959,3.948,1389700
2011-10-24,3.964,4.067,4.062,1880700
2011-10-25,3.938,4.044,3.943,1330200
