,Low,High,Close,Volume
2010-12-09,34.962,35.83,35.594,7579572
2010-12-10,35.226,35.688,35.273,2639560
2010-12-13,35.009,35.452,35.207,2027949
2010-12-14,34.792,35.226,35.019,1815737
2010-12-15,34.424,35.103,34.613,1117039
2010-12-16,34.698,35.075,35.047,1029567
2010-12-17,35.33,36.084,36.047,1931853
2010-12-20,35.613,36.103,35.717,1286131
2010-12-21,35.603,36.009,35.82,1037421
2010-12-22,35.82,36.141,36.132,685685
2010-12-23,35.594,35.915,35.707,453376
2010-12-27,35.745,36.301,36.264,503734
2010-12-28,36.009,36.66,36.122,685146
2010-12-29,35.679,36.075,35.886,558327
2010-12-30,36.179,36.575,36.245,896049
2010-12-31,36.018,36.358,36.16,480326
2011-01-03,36.414,36.999,36.462,1992452
2011-01-04,35.066,36.273,35.264,2291289
2011-01-05,34.151,34.839,34.547,3584504
2011-01-06,33.811,34.641,34.255,3064292
2011-01-07,33.717,34.368,34.245,887194
2011-01-10,33.151,33.868,33.859,2609299
2011-01-11,34.453,34.868,34.66,1540154
2011-01-12,35.103,35.415,35.349,1259566
2011-01-13,35.047,35.518,35.169,749441
2011-01-14,36.443,38.753,38.508,9672201
2011-01-18,37.603,38.291,37.82,2992913
2011-01-19,34.849,37.197,35.075,8495949
2011-01-20,34.67,36.48,36.377,5944169
2011-01-21,36.613,37.122,36.735,2000768
2011-01-24,36.254,37.556,37.442,3191881
2011-01-25,37.839,38.904,38.706,5847149
2011-01-26,38.725,39.895,39.48,3924921
2011-01-27,39.725,40.621,40.442,3183642
2011-01-28,38.848,40.187,39.687,3899588
2011-01-31,39.055,39.97,39.621,3023405
2011-02-01,40.545,42.12,41.451,6181021
2011-02-02,40.772,41.621,41.083,3228071
2011-02-03,40.027,40.894,40.649,2477244
2011-02-04,40.366,41.206,40.96,2167396
2011-02-07,41.102,41.79,41.347,1712865
2011-02-08,40.715,41.196,40.866,1868097
2011-02-09,40.583,40.989,40.593,2965809
2011-02-10,39.687,40.583,40.442,1527526
2011-02-11,40.508,41.14,41.064,1567027
2011-02-14,40.838,41.828,41.809,1548932
2011-02-15,40.743,41.356,40.989,2015860
2011-02-16,41.451,42.073,42.064,1560944
2011-02-17,41.583,42.366,42.271,1376452
2011-02-18,41.809,42.781,42.507,1796333
2011-02-22,40.904,42.017,40.941,3250093
2011-02-23,39.998,41.102,40.461,1723260
2011-02-24,40.102,40.885,40.677,1652420
2011-02-25,40.696,41.215,41.055,1084160
2011-02-28,40.725,41.79,41.121,1405558
2011-03-01,40.668,41.734,40.828,1482250
2011-03-02,40.951,41.922,41.687,1540000
2011-03-03,42.828,43.309,43.214,1309385
2011-03-04,42.649,43.035,42.932,920920
2011-03-07,41.008,42.705,41.309,1676829
2011-03-08,40.753,41.837,41.13,1204742
2011-03-09,40.498,41.347,40.809,1682835
2011-03-10,38.404,38.923,38.508,2793252
2011-03-11,37.867,39.121,38.885,2408329
2011-03-14,38.876,39.48,39.187,1616538
2011-03-15,37.244,38.603,38.442,1685299
2011-03-16,36.782,38.442,36.999,1780548
2011-03-17,38.065,38.942,38.687,1758449
2011-03-18,38.357,39.442,38.565,1166242
2011-03-21,39.366,39.734,39.649,1419726
2011-03-22,39.036,39.706,39.395,1444366
2011-03-23,39.583,40.545,40.366,1273734
2011-03-24,40.442,41.102,40.621,2814581
2011-03-25,40.413,41.187,40.602,1181411
2011-03-28,40.809,41.234,40.923,805035
2011-03-29,40.328,41.168,41.036,1013397
2011-03-30,41.658,42.139,41.828,1562407
2011-03-31,41.555,42.177,41.97,1714097
2011-04-01,41.451,42.026,41.781,1131823
2011-04-04,41.356,42.017,41.668,1226610
2011-04-05,41.715,42.243,41.903,902363
2011-04-06,41.149,41.649,41.366,1387771
2011-04-07,40.074,40.791,40.404,2048354
2011-04-08,39.631,40.734,39.951,1471778
2011-04-11,40.112,40.696,40.461,2411948
2011-04-12,39.715,40.442,39.998,1806574
2011-04-13,36.952,39.81,37.376,9794400
2011-04-14,37.122,37.886,37.499,7584885
2011-04-15,37.546,38.122,37.763,2466002
2011-04-18,36.122,36.905,36.528,3117037
2011-04-19,35.849,36.546,36.113,3357431
2011-04-20,38.433,39.366,39.31,4228378
2011-04-21,38.008,38.81,38.452,2355969
2011-04-25,38.367,38.904,38.659,1834910
2011-04-26,38.954,39.881,39.795,3003000
2011-04-27,39.356,40.216,40.111,1619079
2011-04-28,39.06,40.474,39.576,3311000
2011-04-29,39.48,39.977,39.91,1362669
2011-05-02,39.05,40.13,39.212,1951488
2011-05-03,39.298,39.901,39.738,2002000
2011-05-04,39.413,40.694,39.786,3047968
2011-05-05,38.935,39.662,39.298,2464000
2011-05-06,38.305,39.442,38.543,2380917
2011-05-09,38.888,39.509,39.384,1730344
2011-05-10,39.537,40.006,39.862,1889965
2011-05-11,37.416,38.419,37.779,3003000
