,Low,High,Close,Volume
2022-11-11,11.39,16.183,12.225,1841100
2022-11-14,11.959,14.19,12.671,1490300
2022-11-15,13.041,14.494,13.393,1678000
2022-11-16,10.457,13.193,10.811,468900
2022-11-17,11.2,14.902,14.161,1942900
2022-11-18,11.959,14.579,12.462,1038200
2022-11-21,11.58,12.491,11.808,298800
2022-11-22,10.668,11.637,10.773,423200
2022-11-23,10.583,11.485,10.887,293300
2022-11-25,10.621,11.276,11.048,124300
2022-11-28,11.409,12.149,11.77,607300
2022-11-29,11.409,13.089,12.102,1110700
2022-11-30,12.529,14.997,14.456,1493100
2022-12-01,13.905,15.3,15.025,960800
2022-12-02,14.095,17.92,16.791,2141800
2022-12-05,14.332,17.664,14.589,1154100
2022-12-06,13.65,15.187,15.073,580800
2022-12-07,13.601,14.598,14.133,381600
2022-12-08,14.987,16.326,15.756,1029200
2022-12-09,15.386,15.737,15.699,141900
2022-12-12,14.57,15.747,15.747,336100
2022-12-13,15.756,16.852,16.515,365900
2022-12-14,15.657,16.601,15.927,299600
2022-12-15,15.272,16.42,15.671,261000
2022-12-16,15.187,16.031,15.832,187400
2022-12-19,14.892,15.813,15.794,283700
2022-12-20,15.205,16.61,16.553,317600
2022-12-21,16.352,17.844,17.768,354100
2022-12-22,16.8,17.721,17.189,203800
2022-12-23,17.18,17.854,17.559,117500
2022-12-27,16.62,17.949,16.942,559800
2022-12-28,15.528,17.464,15.709,705200
2022-12-29,15.652,17.27,17.094,386000
2022-12-30,16.468,17.227,17.104,292200
2023-01-03,16.895,18.575,18.347,481900
2023-01-04,18.034,18.983,18.357,449300
2023-01-05,17.635,18.698,18.366,411200
2023-01-06,17.408,18.319,17.427,204800
2023-01-09,17.949,19.458,19.41,680200
2023-01-10,19.031,20.355,20.037,240700
2023-01-11,19.206,21.233,20.9,180600
2023-01-12,19.201,21.043,19.315,173800
2023-01-13,19.334,24.204,24.109,580900
2023-01-17,20.919,23.254,21.081,436100
2023-01-18,20.597,22.305,20.758,447300
2023-01-19,20.635,24.052,23.995,298500
2023-01-20,23.264,25.959,25.713,274200
2023-01-23,24.498,26.035,25.2,134000
2023-01-24,24.688,27.905,27.601,166900
2023-01-25,25.447,27.643,25.751,276200
2023-01-26,22.59,26.975,23.406,763500
2023-01-27,23.634,24.887,23.729,326500
2023-01-30,22.305,27.231,26.453,742100
2023-01-31,24.697,25.817,25.532,206300
2023-02-01,23.843,25.694,24.298,146600
2023-02-02,23.539,25.333,25.276,250000
2023-02-03,23.738,25.02,23.757,92400
2023-02-06,21.631,24.109,21.963,324700
2023-02-07,23.046,24.384,24.336,279300
2023-02-08,22.837,24.782,24.754,150300
2023-02-09,24.066,26.747,24.764,297100
2023-02-10,23.729,24.558,23.995,68300
2023-02-13,24.374,26.361,25.827,170600
2023-02-14,24.052,25.846,25.286,89400
2023-02-15,23.966,25.008,24.403,57900
2023-02-16,23.254,24.631,23.615,110500
2023-02-17,22.096,23.69,22.59,131700
2023-02-21,22.542,23.909,23.549,96400
2023-02-22,21.897,24.109,22.03,143600
2023-02-23,22.448,25.513,25.105,348400
2023-02-24,22.495,24.298,22.846,247400
2023-02-27,23.046,23.615,23.254,62100
2023-02-28,23.349,26.045,25.086,263600
2023-03-01,25.115,26.101,25.827,104000
2023-03-02,24.526,25.921,24.754,71400
2023-03-03,23.871,25.532,24.925,88300
2023-03-06,24.298,25.861,25.656,84300
2023-03-07,23.558,25.627,25.39,179700
2023-03-08,23.226,25.058,23.824,140800
2023-03-09,21.821,23.653,22.789,253900
2023-03-10,21.831,23.121,22.296,92700
2023-03-13,21.973,24.894,23.501,104500
2023-03-14,22.02,23.539,22.277,69600
2023-03-15,19.177,22.4,21.261,471600
2023-03-16,20.018,23.074,22.856,148900
2023-03-17,22.182,23.919,22.799,155700
2023-03-20,21.926,23.321,22.647,62300
2023-03-21,20.407,22.951,22.011,202400
2023-03-22,21.1,22.115,21.546,86900
2023-03-23,21.802,23.055,22.656,102600
2023-03-24,21.595,22.77,22.096,47000
2023-03-27,21.966,24.279,23.188,185400
2023-03-28,22.599,23.662,23.349,77800
2023-03-29,22.433,23.862,23.378,125000
2023-03-30,22.115,23.843,22.4,249000
2023-03-31,22.589,25.627,24.877,468200
2023-04-03,23.957,26.102,25.276,280600
2023-04-04,23.216,25.167,23.444,198600
2023-04-05,22.59,23.691,22.951,70000
2023-04-06,23.008,24.868,24.868,111700
2023-04-10,23.776,25.608,25.466,72200
