,Low,High,Close,Volume
2010-12-09,1.805,1.871,1.864,34051000
2010-12-10,1.846,1.884,1.863,14052000
2010-12-13,1.865,1.889,1.881,12177000
2010-12-14,1.838,1.893,1.86,9460000
2010-12-15,1.834,1.901,1.868,18005000
2010-12-16,1.87,1.957,1.956,24425000
2010-12-17,1.948,2.01,1.993,36401000
2010-12-20,1.96,2.013,1.968,14602000
2010-12-21,1.958,1.988,1.973,14950000
2010-12-22,1.938,1.995,1.991,9600000
2010-12-23,1.975,2.014,1.991,5885000
2010-12-27,1.969,2.048,2.035,13311000
2010-12-28,1.997,2.038,2.003,5836000
2010-12-29,1.992,2.029,2.026,6296000
2010-12-30,2.006,2.047,2.044,6815000
2010-12-31,2.002,2.045,2.01,6177000
2011-01-03,1.959,2.031,1.967,14436000
2011-01-04,1.909,2.003,1.981,16262000
2011-01-05,1.964,1.993,1.981,9537000
2011-01-06,1.965,2.019,2.018,9598000
2011-01-07,1.966,2.018,2.001,8774000
2011-01-10,1.976,2.059,2.045,15385000
2011-01-11,2.041,2.071,2.069,13549000
2011-01-12,1.983,2.076,1.993,15599000
2011-01-13,1.983,2.028,2.006,9645000
2011-01-14,1.981,2.056,2.053,9776000
2011-01-18,1.927,1.974,1.964,100182000
2011-01-19,1.947,2.017,1.964,29795000
2011-01-20,1.93,1.969,1.96,20963000
2011-01-21,1.957,1.993,1.965,12490000
2011-01-24,1.952,1.997,1.988,21495000
2011-01-25,1.939,1.992,1.983,14548000
2011-01-26,1.967,2.008,1.999,15209000
2011-01-27,2.011,2.083,2.068,37302000
2011-01-28,1.972,2.078,1.985,13722000
2011-01-31,1.978,2.044,2.032,13104000
2011-02-01,2.035,2.088,2.057,15835000
2011-02-02,2.031,2.081,2.038,11300000
2011-02-03,2.024,2.093,2.081,12326000
2011-02-04,2.103,2.209,2.208,25500000
2011-02-07,2.163,2.228,2.179,9762000
2011-02-08,2.194,2.282,2.258,34684000
2011-02-09,2.247,2.332,2.319,42916000
2011-02-10,2.275,2.335,2.298,35043000
2011-02-11,2.287,2.36,2.356,27725000
2011-02-14,2.376,2.431,2.409,25997000
2011-02-15,2.365,2.424,2.386,19788000
2011-02-16,2.393,2.448,2.433,12605000
2011-02-17,2.357,2.436,2.38,34387000
2011-02-18,2.38,2.411,2.395,15639000
2011-02-22,2.274,2.352,2.307,20118000
2011-02-23,2.188,2.335,2.218,33272000
2011-02-24,2.24,2.415,2.405,35331000
2011-02-25,2.392,2.448,2.432,19132000
2011-02-28,2.37,2.444,2.405,16263000
2011-03-01,2.253,2.298,2.269,101318000
2011-03-02,2.267,2.303,2.297,26617000
2011-03-03,2.289,2.341,2.335,32848000
2011-03-04,2.301,2.346,2.32,20498000
2011-03-07,2.234,2.335,2.263,16709000
2011-03-08,2.235,2.303,2.292,19603000
2011-03-09,2.189,2.257,2.194,43929000
2011-03-10,2.134,2.202,2.194,36191000
2011-03-11,2.173,2.231,2.21,13135000
2011-03-14,2.174,2.206,2.194,16414000
2011-03-15,2.112,2.214,2.199,19796000
2011-03-16,2.086,2.206,2.097,28724000
2011-03-17,2.006,2.15,2.08,38143000
2011-03-18,2.119,2.163,2.151,30697000
2011-03-21,2.17,2.21,2.199,19947000
2011-03-22,2.16,2.221,2.179,15176000
2011-03-23,2.153,2.201,2.2,12364000
2011-03-24,2.171,2.223,2.204,13371000
2011-03-25,2.183,2.213,2.189,9122000
2011-03-28,2.181,2.235,2.199,10740000
2011-03-29,2.172,2.207,2.197,14708000
2011-03-30,2.172,2.241,2.234,17353000
2011-03-31,2.186,2.256,2.206,15803000
2011-04-01,2.204,2.263,2.236,16029000
2011-04-04,2.126,2.241,2.171,18790000
2011-04-05,2.172,2.299,2.247,20444000
2011-04-06,2.252,2.331,2.325,21373000
2011-04-07,2.292,2.339,2.304,16580000
2011-04-08,2.29,2.351,2.311,8340000
2011-04-11,2.252,2.315,2.287,8896000
2011-04-12,2.191,2.282,2.226,18839000
2011-04-13,2.221,2.291,2.256,8770000
2011-04-14,2.178,2.255,2.204,11746000
2011-04-15,2.17,2.259,2.252,12119000
2011-04-18,2.166,2.249,2.242,8052000
2011-04-19,2.231,2.27,2.254,7237000
2011-04-20,2.266,2.314,2.31,11153000
2011-04-21,2.307,2.346,2.313,8335000
2011-04-25,2.27,2.32,2.287,6000000
2011-04-26,2.26,2.312,2.295,11000000
2011-04-27,2.282,2.377,2.369,9822000
2011-04-28,2.331,2.399,2.333,7214000
2011-04-29,2.321,2.377,2.374,8180000
2011-05-02,2.336,2.394,2.352,7082000
2011-05-03,2.28,2.372,2.282,11762000
2011-05-04,2.265,2.314,2.309,7482000
2011-05-05,2.276,2.37,2.358,8190000
2011-05-06,2.385,2.483,2.477,19072000
2011-05-09,2.458,2.529,2.516,13743000
2011-05-10,2.526,2.567,2.541,16750000
2011-05-11,2.521,2.559,2.545,13834000
2011-05-12,2.471,2.559,2.487,20255000
2011-05-13,2.475,2.512,2.475,10121000
2011-05-16,2.422,2.482,2.431,7560000
2011-05-17,2.399,2.443,2.431,12570000
2011-05-18,2.388,2.465,2.457,6843000
2011-05-19,2.457,2.487,2.47,7067000
2011-05-20,2.434,2.498,2.44,13164000
2011-05-23,2.255,2.407,2.272,24924000
2011-05-24,2.233,2.292,2.25,28000000
2011-05-25,2.314,2.46,2.448,67195000
2011-05-26,2.387,2.473,2.463,18410000
2011-05-27,2.424,2.492,2.484,17129000
2011-05-31,2.375,2.417,2.397,107163000
2011-06-01,2.387,2.43,2.396,33826000
2011-06-02,2.34,2.423,2.378,23147000
2011-06-03,2.348,2.422,2.404,40817000
2011-06-06,2.36,2.413,2.365,13823000
2011-06-07,2.37,2.43,2.416,49845000
2011-06-08,2.359,2.424,2.37,17524000
2011-06-09,2.395,2.458,2.429,32459000
2011-06-10,2.368,2.44,2.396,14248000
2011-06-13,2.34,2.434,2.375,23053000
2011-06-14,2.395,2.445,2.428,21844000
2011-06-15,2.382,2.44,2.387,19194000
2011-06-16,2.323,2.381,2.374,21770000
2011-06-17,2.29,2.407,2.312,20208000
2011-06-20,2.29,2.358,2.33,19129000
2011-06-21,2.337,2.447,2.424,18439000
2011-06-22,2.387,2.582,2.561,38382000
2011-06-23,2.478,2.566,2.548,38113000
2011-06-24,2.49,2.549,2.527,102656000
2011-06-27,2.49,2.562,2.522,18084000
2011-06-28,2.547,2.659,2.628,31148000
2011-06-29,2.606,2.688,2.683,25680000
2011-06-30,2.643,2.753,2.703,26329000
2011-07-01,2.718,2.774,2.75,19479000
2011-07-05,2.739,2.78,2.771,9519000
2011-07-06,2.724,2.78,2.78,12312000
2011-07-07,2.742,2.806,2.75,23121000
2011-07-08,2.634,2.718,2.7,20213000
2011-07-11,2.639,2.712,2.66,14573000
2011-07-12,2.49,2.649,2.519,34677000
2011-07-13,2.493,2.58,2.517,19458000
2011-07-14,2.497,2.596,2.503,22356000
2011-07-15,2.486,2.557,2.526,13745000
2011-07-18,2.447,2.54,2.49,11983000
2011-07-19,2.5,2.594,2.575,17896000
2011-07-20,2.555,2.632,2.566,14829000
2011-07-21,2.542,2.646,2.615,20498000
2011-07-22,2.581,2.66,2.637,14929000
2011-07-25,2.553,2.606,2.567,14361000
2011-07-26,2.576,2.628,2.608,27251000
2011-07-27,2.378,2.607,2.392,40519000
2011-07-28,2.306,2.476,2.464,47042000
2011-07-29,2.335,2.44,2.392,38414000
2011-08-01,2.344,2.426,2.362,23795000
2011-08-02,2.279,2.405,2.28,21037000
2011-08-03,2.228,2.336,2.332,17009000
2011-08-04,2.195,2.312,2.198,26030000
2011-08-05,2.069,2.311,2.087,43748000
2011-08-08,1.879,2.063,1.934,43697000
2011-08-09,1.951,2.112,2.108,42112000
2011-08-10,2.033,2.16,2.081,30432000
2011-08-11,2.106,2.216,2.185,27065000
2011-08-12,2.198,2.276,2.208,25743000
2011-08-15,2.219,2.305,2.249,17067000
2011-08-16,2.181,2.254,2.203,17459000
2011-08-17,2.177,2.278,2.184,19023000
2011-08-18,2.012,2.127,2.035,23055000
2011-08-19,2.002,2.116,2.012,12609000
2011-08-22,1.943,2.056,1.966,25793000
2011-08-23,1.939,2.084,2.081,35977000
2011-08-24,2.232,2.38,2.296,69346000
2011-08-25,2.192,2.296,2.197,25065000
2011-08-26,2.113,2.243,2.242,20916000
2011-08-29,2.259,2.34,2.337,13459000
2011-08-30,2.296,2.402,2.357,17145000
2011-08-31,2.329,2.454,2.355,22913000
2011-09-01,2.239,2.358,2.245,31135000
2011-09-02,2.17,2.244,2.214,16862000
2011-09-06,2.15,2.239,2.238,11800000
2011-09-07,2.286,2.365,2.326,14595000
2011-09-08,2.283,2.372,2.354,19383000
2011-09-09,2.276,2.365,2.298,19032000
2011-09-12,2.262,2.396,2.385,20470000
2011-09-13,2.355,2.453,2.441,20511000
2011-09-14,2.447,2.616,2.601,47206000
2011-09-15,2.584,2.683,2.621,29980000
2011-09-16,2.563,2.63,2.604,18030000
2011-09-19,2.527,2.711,2.665,41148000
2011-09-20,2.588,2.695,2.591,27096000
2011-09-21,2.56,2.711,2.567,32939000
2011-09-22,2.352,2.498,2.424,35534000
2011-09-23,2.382,2.501,2.483,20868000
2011-09-26,2.395,2.503,2.433,25446000
2011-09-27,2.452,2.508,2.461,23268000
2011-09-28,2.347,2.397,2.355,106504000
2011-09-29,2.302,2.395,2.367,49076000
2011-09-30,2.314,2.382,2.338,51674000
2011-10-03,2.26,2.371,2.275,36639000
2011-10-04,2.202,2.335,2.307,37205000
2011-10-05,2.255,2.333,2.327,35119000
2011-10-06,2.304,2.365,2.351,24844000
2011-10-07,2.321,2.385,2.346,18240000
2011-10-10,2.355,2.43,2.402,37583000
2011-10-11,2.355,2.419,2.378,13002000
2011-10-12,2.348,2.416,2.401,28894000
2011-10-13,2.375,2.492,2.43,60207000
2011-10-14,2.482,2.555,2.547,35004000
2011-10-17,2.484,2.546,2.502,21298000
2011-10-18,2.491,2.566,2.557,13948000
2011-10-19,2.462,2.529,2.471,30312000
2011-10-20,2.363,2.484,2.424,27141000
2011-10-21,2.385,2.462,2.414,27170000
2011-10-24,2.426,2.541,2.522,25690000
2011-10-25,2.452,2.523,2.457,24614000
2011-10-26,2.4,2.507,2.409,23137000
2011-10-27,2.388,2.479,2.409,43170000
2011-10-28,2.218,2.425,2.397,71596000
2011-10-31,2.353,2.439,2.409,35767000
2011-11-01,2.303,2.385,2.355,16196000
2011-11-02,2.312,2.39,2.326,21439000
2011-11-03,2.341,2.462,2.449,31449000
2011-11-04,2.399,2.476,2.453,17113000
2011-11-07,2.398,2.469,2.467,17289000
2011-11-08,2.417,2.487,2.478,9475000
2011-11-09,2.36,2.464,2.371,15446000
2011-11-10,2.347,2.409,2.362,9560000
2011-11-11,2.372,2.454,2.447,11553000
2011-11-14,2.342,2.448,2.361,16063000
2011-11-15,2.334,2.392,2.354,16231000
2011-11-16,2.274,2.376,2.29,17180000
2011-11-17,2.208,2.292,2.226,17349000
2011-11-18,2.106,2.253,2.131,32279000
2011-11-21,2.054,2.122,2.101,36389000
2011-11-22,2.076,2.156,2.098,24014000
2011-11-23,2.046,2.096,2.067,23819000
2011-11-25,2.02,2.078,2.029,8951000
2011-11-28,2.006,2.108,2.039,47653000
2011-11-29,2.035,2.095,2.06,31500000
2011-11-30,2.068,2.148,2.135,36586000
2011-12-01,2.078,2.168,2.134,48612000
2011-12-02,2.152,2.258,2.223,57689000
2011-12-05,2.196,2.279,2.215,28980000
2011-12-06,2.145,2.226,2.198,27058000
2011-12-07,2.172,2.24,2.228,25019000
2011-12-08,2.183,2.258,2.189,29397000
2011-12-09,2.126,2.187,2.184,33703000
2011-12-12,1.969,2.114,2.102,36729000
2011-12-13,2.074,2.147,2.086,32928000
