,Low,High,Close,Volume
2010-12-09,7.947,8.23,8.089,122586
2010-12-10,8.136,8.418,8.23,161014
2010-12-13,7.995,8.183,7.995,84229
2010-12-14,7.806,8.089,7.9,94786
2010-12-15,7.618,7.948,7.618,164143
2010-12-16,7.524,7.712,7.665,237029
2010-12-17,7.712,8.136,7.995,188229
2010-12-20,7.995,8.371,8.23,226857
2010-12-21,8.23,8.653,8.465,281271
2010-12-22,8.371,9.64,9.64,649843
2010-12-23,9.499,10.346,10.111,556514
2010-12-27,9.923,10.534,10.534,221429
2010-12-28,10.299,10.675,10.628,187200
2010-12-29,10.487,10.91,10.863,242771
2010-12-30,10.487,11.004,10.957,181500
2010-12-31,10.393,11.098,10.91,173343
2011-01-03,10.534,11.145,10.534,213443
2011-01-04,9.923,10.581,10.393,331900
2011-01-05,10.205,10.628,10.346,155800
2011-01-06,10.346,10.534,10.346,115886
2011-01-07,9.499,10.487,10.158,191186
2011-01-10,9.735,10.299,10.064,100900
2011-01-11,10.017,10.346,10.064,116471
2011-01-12,10.111,10.346,10.252,84857
2011-01-13,10.205,10.393,10.299,131371
2011-01-14,10.158,10.675,10.44,263471
2011-01-18,10.252,10.675,10.628,154129
2011-01-19,9.782,10.675,10.158,191900
2011-01-20,9.405,10.111,9.546,233614
2011-01-21,9.546,10.064,9.97,118243
2011-01-24,9.593,10.017,9.735,112671
2011-01-25,9.405,9.97,9.923,170786
2011-01-26,9.735,10.44,10.393,347671
2011-01-27,10.44,12.471,11.149,1007329
2011-01-28,10.865,11.574,11.338,374229
2011-01-31,10.913,11.385,11.149,311900
2011-02-01,11.149,11.905,11.81,310057
2011-02-02,11.574,12.046,11.952,283914
2011-02-03,11.432,11.905,11.527,136629
2011-02-04,11.243,11.716,11.29,81914
2011-02-07,11.243,11.668,11.479,113071
2011-02-08,11.338,11.574,11.338,101586
2011-02-09,11.29,11.668,11.621,114529
2011-02-10,11.479,12.094,11.621,227500
2011-02-11,11.479,11.905,11.763,103514
2011-02-14,11.668,12.046,11.716,100729
2011-02-15,11.574,11.952,11.857,80300
2011-02-16,11.668,12.235,11.857,209000
2011-02-17,11.479,11.905,11.716,114029
2011-02-18,11.574,11.857,11.81,55043
2011-02-22,10.629,11.81,10.96,214657
2011-02-23,10.44,11.149,10.818,134914
2011-02-24,10.676,11.007,10.913,53671
2011-02-25,10.96,11.763,11.621,73371
2011-02-28,11.574,11.999,11.621,94871
2011-03-01,11.527,11.81,11.621,81157
2011-03-02,11.527,11.81,11.716,71571
2011-03-03,11.621,12.094,11.952,109729
2011-03-04,11.574,11.999,11.668,79614
2011-03-07,11.479,11.857,11.479,101500
2011-03-08,11.338,11.574,11.432,74443
2011-03-09,11.196,11.527,11.338,77529
2011-03-10,11.007,11.385,11.149,85886
2011-03-11,11.149,11.338,11.149,49500
2011-03-14,10.913,11.338,11.149,81314
2011-03-15,10.865,11.243,11.243,89571
2011-03-16,10.865,11.29,11.054,81429
2011-03-17,10.913,11.149,11.149,59343
2011-03-18,11.054,11.527,11.385,180214
2011-03-21,11.243,11.574,11.432,62329
2011-03-22,11.29,11.527,11.479,50157
2011-03-23,11.149,11.432,11.29,80086
2011-03-24,11.29,11.668,11.338,90900
2011-03-25,11.243,11.527,11.432,147886
2011-03-28,11.243,11.716,11.29,92071
2011-03-29,11.243,11.479,11.479,52429
2011-03-30,11.149,11.479,11.29,78400
2011-03-31,11.054,11.29,11.149,115043
2011-04-01,10.771,11.338,11.338,377729
2011-04-04,11.054,11.432,11.243,61757
2011-04-05,11.149,11.338,11.243,75871
2011-04-06,11.149,11.338,11.243,93986
2011-04-07,11.148,11.291,11.148,62029
2011-04-08,10.911,11.243,10.911,92971
2011-04-11,10.864,11.053,10.959,69386
2011-04-12,10.769,11.148,11.101,96129
2011-04-13,11.101,11.386,11.338,161800
2011-04-14,11.243,11.528,11.48,85986
2011-04-15,11.338,11.528,11.48,67400
2011-04-18,11.148,11.528,11.243,82171
2011-04-19,11.196,11.433,11.338,64914
2011-04-20,11.196,11.433,11.386,83429
2011-04-21,11.291,11.575,11.528,44643
2011-04-25,11.386,11.575,11.575,46543
2011-04-26,11.528,12.05,11.86,156429
2011-04-27,11.67,12.05,11.955,192586
2011-04-28,11.955,12.951,12.761,1014286
2011-04-29,12.856,13.473,13.046,310429
2011-05-02,12.904,13.236,13.093,128857
2011-05-03,12.334,13.283,12.666,271429
2011-05-04,12.334,12.809,12.809,119000
2011-05-05,12.429,12.761,12.524,104157
2011-05-06,12.524,12.714,12.572,55771
2011-05-09,12.572,12.809,12.666,108671
2011-05-10,12.477,13.283,13.283,185586
2011-05-11,12.951,13.71,13.093,171429
2011-05-12,12.809,13.473,13.425,99857
2011-05-13,13.046,13.568,13.473,87143
2011-05-16,13.046,13.425,13.046,91357
2011-05-17,12.524,13.093,12.619,125443
2011-05-18,12.619,13.236,12.998,85000
2011-05-19,12.809,13.236,12.998,68371
2011-05-20,12.761,13.046,12.951,114414
2011-05-23,12.334,12.856,12.619,142314
2011-05-24,12.429,12.714,12.572,167114
2011-05-25,12.524,12.809,12.809,75300
2011-05-26,12.524,12.809,12.714,80229
