,Low,High,Close,Volume
2010-12-09,29.681,30.283,29.82,91700
2010-12-10,29.801,30.608,30.599,76900
2010-12-13,30.71,31.22,31.007,142300
2010-12-14,30.803,31.359,31.081,215300
2010-12-15,30.608,31.349,30.84,197400
2010-12-16,30.367,30.96,30.766,105500
2010-12-17,30.374,31.147,30.998,389900
2010-12-20,30.402,31.529,30.998,100900
2010-12-21,31.054,31.641,31.576,52000
2010-12-22,30.784,31.557,30.793,75700
2010-12-23,30.766,31.222,30.998,65000
2010-12-27,30.728,31.24,31.138,36500
2010-12-28,30.7,31.259,30.803,51300
2010-12-29,30.84,31.129,30.989,19000
2010-12-30,30.784,31.641,31.529,84500
2010-12-31,31.324,31.929,31.483,87100
2011-01-03,31.538,32.591,32.414,131900
2011-01-04,31.948,32.926,32.47,228300
2011-01-05,32.134,32.609,32.386,73900
2011-01-06,32.358,33.522,33.159,130800
2011-01-07,32.423,33.699,32.889,135200
2011-01-10,32.591,33.661,33.447,149300
2011-01-11,33.028,33.661,33.038,115900
2011-01-12,33.093,33.661,33.298,86900
2011-01-13,33.056,33.531,33.242,62200
2011-01-14,33.01,33.838,33.838,89700
2011-01-18,33.503,35.04,34.807,160400
2011-01-19,32.274,34.928,32.339,157200
2011-01-20,31.427,32.321,31.79,113100
2011-01-21,31.622,32.311,31.706,87400
2011-01-24,30.905,31.78,31.678,133400
2011-01-25,31.129,31.939,31.892,52800
2011-01-26,31.864,33.308,33.27,190900
2011-01-27,32.404,33.708,32.47,93500
2011-01-28,31.296,32.693,31.306,110800
2011-01-31,30.998,31.939,31.334,89700
2011-02-01,31.343,32.525,32.339,97400
2011-02-02,32.06,32.702,32.172,54200
2011-02-03,31.371,32.293,31.939,64000
2011-02-04,31.492,32.283,32.181,96600
2011-02-07,31.725,32.507,31.939,80400
2011-02-08,31.659,32.097,31.957,68900
2011-02-09,31.129,31.939,31.622,56500
2011-02-10,31.222,31.706,31.548,67400
2011-02-11,31.427,32.013,32.004,47000
2011-02-14,31.725,32.172,32.125,40000
2011-02-15,32.051,32.544,32.339,107600
2011-02-16,32.181,32.982,32.926,51900
2011-02-17,32.74,33.336,33.168,97400
2011-02-18,32.693,33.475,33.056,94200
2011-02-22,31.976,33.187,32.237,86300
2011-02-23,30.877,32.162,31.212,115300
2011-02-24,30.97,32.125,32.032,112600
2011-02-25,31.79,32.944,32.898,95900
2011-02-28,33.14,34.295,33.522,144100
2011-03-01,32.06,33.755,32.591,133000
2011-03-02,32.47,33.205,32.795,214200
2011-03-03,33.112,33.708,33.596,86300
2011-03-04,32.488,33.987,33.056,97900
2011-03-07,31.464,33.633,31.929,96100
2011-03-08,31.24,32.982,32.348,74700
2011-03-09,31.734,32.376,32.041,40500
2011-03-10,30.728,31.576,31.082,105100
2011-03-11,30.374,31.306,31.082,69700
2011-03-14,30.542,31.557,31.427,76700
2011-03-15,29.797,31.25,31.008,76000
2011-03-16,30.151,31.212,30.644,113100
2011-03-17,30.309,30.989,30.412,76700
2011-03-18,30.356,30.933,30.924,158800
2011-03-21,31.296,31.92,31.753,62700
2011-03-22,31.492,32.218,31.902,36800
2011-03-23,31.436,32.572,32.246,45200
2011-03-24,32.265,32.851,32.674,44000
2011-03-25,32.786,34.406,33.587,130500
2011-03-28,33.429,34.406,33.578,61700
2011-03-29,33.298,33.885,33.633,49000
2011-03-30,33.568,34.378,34.341,51100
2011-03-31,33.931,34.937,34.937,118400
2011-04-01,34.797,35.291,34.872,70500
2011-04-04,35.086,35.431,35.356,55800
2011-04-05,35.105,36.129,35.971,70300
2011-04-06,36.129,36.65,36.176,92000
2011-04-07,35.924,36.632,35.943,62000
2011-04-08,34.639,36.399,34.872,94300
2011-04-11,34.006,35.254,34.481,57900
2011-04-12,33.484,34.686,33.54,113500
2011-04-13,33.466,34.239,33.95,121600
2011-04-14,33.475,34.611,34.611,58400
2011-04-15,33.987,35.198,35.002,103100
2011-04-18,34.453,35.095,34.853,72700
2011-04-19,34.453,35.356,35.216,54700
2011-04-20,35.03,36.222,36.045,88300
2011-04-21,35.961,36.688,36.641,75000
2011-04-25,35.803,36.725,36.269,82600
2011-04-26,36.306,37.516,37.051,181300
2011-04-27,36.222,37.321,36.595,153000
2011-04-28,36.595,36.92,36.781,52000
2011-04-29,36.809,37.339,36.958,62000
2011-05-02,36.138,37.405,36.203,80000
2011-05-03,35.235,36.874,36.017,187000
2011-05-04,35.002,36.157,35.412,87700
2011-05-05,35.179,37.423,36.241,180700
2011-05-06,36.287,37.107,36.622,82000
2011-05-09,36.678,37.526,37.33,96000
2011-05-10,37.339,38.448,38.448,135800
2011-05-11,37.833,38.569,38.364,113200
2011-05-12,38.075,38.932,38.736,122600
2011-05-13,37.935,38.848,38.317,76800
2011-05-16,37.693,38.466,37.87,115600
2011-05-17,37.274,38.289,38.103,76000
2011-05-18,37.665,38.522,38.373,85500
2011-05-19,38.01,39.118,38.801,148700
2011-05-20,38.299,38.876,38.513,101000
2011-05-23,37.814,38.28,37.87,67100
2011-05-24,37.069,38.168,37.554,109300
2011-05-25,37.256,38.913,38.643,79700
2011-05-26,38.28,39.071,39.025,76500
2011-05-27,38.839,39.518,39.118,63100
2011-05-31,38.876,40.226,40.18,208300
2011-06-01,38.01,39.993,38.131,172000
2011-06-02,37.321,38.913,37.963,91900
2011-06-03,36.641,37.507,37.079,153000
2011-06-06,36.716,37.572,36.967,151800
2011-06-07,36.883,37.554,37.209,74600
2011-06-08,36.446,37.321,36.557,109300
2011-06-09,36.604,37.852,37.619,84100
2011-06-10,36.725,37.619,36.79,84500
2011-06-13,37.032,37.759,37.246,85600
2011-06-14,37.656,38.792,38.261,112900
2011-06-15,37.125,38.029,37.414,87600
2011-06-16,36.185,37.665,37.228,78300
2011-06-17,36.958,37.479,37.135,179700
2011-06-20,37.004,38.112,38.103,49700
2011-06-21,38.401,39.081,39.034,68700
2011-06-22,38.047,39.351,38.047,53900
2011-06-23,36.883,38.485,38.438,72000
2011-06-24,38.131,38.671,38.438,99000
2011-06-27,38.168,39.304,39.23,75500
2011-06-28,39.23,40.273,39.882,59300
2011-06-29,39.425,40.319,39.965,62200
2011-06-30,39.965,40.841,40.766,83000
2011-07-01,40.161,41.651,41.427,114300
2011-07-05,39.844,41.641,40.105,158600
2011-07-06,39.788,41.222,41.111,122000
2011-07-07,40.682,41.492,40.962,93800
2011-07-08,40.403,41.362,41.25,76200
2011-07-11,40.301,41.092,40.785,71800
2011-07-12,40.552,41.437,40.85,61600
2011-07-13,40.813,41.846,41.073,53900
2011-07-14,39.788,41.148,40.161,56000
2011-07-15,39.965,42.256,41.902,274500
2011-07-18,41.688,42.731,41.986,116400
2011-07-19,42.628,43.755,43.439,191500
2011-07-20,41.781,43.979,41.902,158400
2011-07-21,41.995,43.15,42.545,117400
2011-07-22,42.172,42.908,42.191,83800
2011-07-25,41.446,42.042,41.455,125900
2011-07-26,40.766,41.837,41.148,69800
2011-07-27,39.621,41.111,39.658,160100
2011-07-28,39.77,40.878,39.947,67600
2011-07-29,39.211,40.766,40.757,85800
2011-08-01,40.599,42.331,40.729,210500
2011-08-02,39.649,41.679,39.723,125200
2011-08-03,37.703,40.822,40.375,193100
