,Low,High,Close,Volume
2010-12-09,20.408,20.408,20.408,200
2010-12-10,20.374,21.647,21.169,8000
2010-12-13,20.784,21.086,20.784,3400
2010-12-14,20.91,20.91,20.91,100
2010-12-15,20.91,20.91,20.91,0
2010-12-16,21.571,22.835,21.931,3000
2010-12-17,21.513,23.337,21.513,15700
2010-12-20,22.099,22.442,22.283,5700
2010-12-21,21.345,22.601,21.345,1700
2010-12-22,21.153,22.241,21.153,200
2010-12-23,21.153,21.153,21.153,0
2010-12-27,21.412,21.722,21.722,600
2010-12-28,21.722,21.722,21.722,0
2010-12-29,20.927,21.429,21.203,1900
2010-12-30,20.96,21.58,21.086,2200
2010-12-31,21.086,21.086,21.086,0
2011-01-03,21.546,21.747,21.613,1300
2011-01-04,21.462,21.848,21.462,900
2011-01-05,21.555,22.015,22.015,1100
2011-01-06,21.806,21.822,21.806,200
2011-01-07,21.362,21.421,21.395,300
2011-01-10,21.981,21.981,21.981,1300
2011-01-11,21.278,21.303,21.303,700
2011-01-12,21.782,22.554,22.554,800
2011-01-13,22.05,22.503,22.445,1000
2011-01-14,23.284,23.284,23.284,300
2011-01-18,22.965,23.787,23.485,500
2011-01-19,22.864,23.544,22.906,4100
2011-01-20,22.906,22.906,22.906,0
2011-01-21,21.522,21.866,21.522,1200
2011-01-24,21.127,21.589,21.236,1300
2011-01-25,21.236,21.236,21.236,0
2011-01-26,21.236,21.236,21.236,0
2011-01-27,21.236,21.236,21.236,0
2011-01-28,20.557,21.018,20.557,3000
2011-01-31,20.557,20.557,20.557,0
2011-02-01,19.298,20.095,19.642,7400
2011-02-02,20.104,20.129,20.129,600
2011-02-03,20.389,20.976,20.976,900
2011-02-04,20.733,20.733,20.733,200
2011-02-07,20.733,20.733,20.733,0
2011-02-08,20.171,20.171,20.171,200
2011-02-09,20.171,20.171,20.171,0
2011-02-10,20.339,20.976,20.339,800
2011-02-11,20.339,20.339,20.339,0
2011-02-14,20.506,20.531,20.506,4600
2011-02-15,20.506,20.515,20.506,2300
2011-02-16,19.843,19.894,19.852,600
2011-02-17,19.852,19.852,19.852,0
2011-02-18,20.473,20.557,20.557,700
2011-02-22,20.557,20.557,20.557,0
2011-02-23,19.13,19.382,19.382,1000
2011-02-24,19.382,19.382,19.382,0
2011-02-25,19.382,19.382,19.382,0
2011-02-28,20.146,20.38,20.38,500
2011-03-01,20.053,20.389,20.137,19600
2011-03-02,20.053,20.087,20.053,5000
2011-03-03,20.12,20.632,20.531,2800
2011-03-04,19.776,20.162,19.995,2600
2011-03-07,19.323,19.953,19.541,1600
2011-03-08,20.196,20.28,20.28,500
2011-03-09,20.28,20.28,20.28,0
2011-03-10,19.273,20.297,19.34,2500
2011-03-11,19.483,19.483,19.483,100
2011-03-14,19.147,19.885,19.147,3300
2011-03-15,18.845,19.147,18.845,500
2011-03-16,18.618,18.635,18.618,600
2011-03-17,18.593,18.694,18.694,700
2011-03-18,19.139,19.39,19.39,900
2011-03-21,20.036,20.414,20.137,2100
2011-03-22,20.095,20.347,20.213,2600
2011-03-23,20.213,20.213,20.213,0
2011-03-24,20.104,20.213,20.12,600
