,Low,High,Close,Volume
2010-12-09,31.659,31.659,31.659,8000
2010-12-10,31.659,31.659,31.659,0
2010-12-13,31.659,31.659,31.659,0
2010-12-14,31.659,31.659,31.659,0
2010-12-15,32.413,33.906,33.906,4000
2010-12-16,31.659,31.659,31.659,4000
2010-12-17,31.659,31.659,31.659,0
2010-12-20,33.167,33.167,33.167,4000
2010-12-21,33.167,33.167,33.167,0
2010-12-22,33.242,33.242,33.242,0
2010-12-23,31.132,33.167,32.413,4000
2010-12-27,33.921,39.951,33.921,4000
2010-12-28,33.921,33.921,33.921,0
2010-12-29,34.675,34.675,34.675,0
2010-12-30,34.675,34.675,34.675,0
2010-12-31,34.675,34.675,34.675,0
2011-01-03,33.921,33.921,33.921,4000
2011-01-04,32.413,33.167,32.413,4000
2011-01-05,32.413,32.941,32.413,8000
2011-01-06,32.489,32.941,32.941,4000
2011-01-07,32.941,32.941,32.941,0
2011-01-10,32.639,34.675,32.639,4000
2011-01-11,32.639,32.639,32.639,0
2011-01-12,34.675,34.675,34.675,0
2011-01-13,34.675,34.675,34.675,0
2011-01-14,34.675,34.675,34.675,0
2011-01-18,34.675,34.675,34.675,0
2011-01-19,33.167,33.469,33.469,4000
2011-01-20,33.469,33.469,33.469,4000
2011-01-21,33.469,33.469,33.469,0
2011-01-24,32.504,32.504,32.504,4000
2011-01-25,32.564,32.579,32.579,4000
2011-01-26,32.579,32.579,32.579,0
2011-01-27,32.579,32.579,32.579,0
2011-01-28,32.489,32.489,32.489,4000
2011-01-31,32.489,32.489,32.489,0
2011-02-01,32.489,32.489,32.489,0
2011-02-02,32.489,32.489,32.489,0
2011-02-03,32.489,32.489,32.489,0
2011-02-04,32.489,32.489,32.489,0
2011-02-07,32.489,32.489,32.489,0
2011-02-08,32.489,32.79,32.79,4000
2011-02-09,32.79,33.016,32.941,4000
2011-02-10,32.79,32.79,32.79,4000
2011-02-11,32.79,32.79,32.79,0
2011-02-14,32.79,32.79,32.79,0
2011-02-15,32.79,32.79,32.79,0
2011-02-16,33.428,33.428,33.428,4000
2011-02-17,33.2,33.428,33.2,20000
2011-02-18,33.352,33.732,33.732,4000
2011-02-22,33.352,33.352,33.352,4000
2011-02-23,34.188,34.188,34.188,0
2011-02-24,34.188,34.188,34.188,0
2011-02-25,34.188,34.188,34.188,0
2011-02-28,34.188,34.188,34.188,0
2011-03-01,34.188,34.948,34.188,4000
2011-03-02,34.188,34.188,34.188,0
2011-03-03,34.188,34.188,34.188,4000
2011-03-04,34.948,34.948,34.948,0
2011-03-07,34.948,34.948,34.948,4000
2011-03-08,34.948,34.948,34.948,4000
2011-03-09,34.948,34.948,34.948,4000
2011-03-10,34.948,34.948,34.948,0
2011-03-11,34.948,34.948,34.948,0
2011-03-14,34.948,34.948,34.948,0
2011-03-15,34.948,34.948,34.948,0
2011-03-16,34.948,34.948,34.948,0
2011-03-17,34.948,34.948,34.948,0
2011-03-18,34.948,34.948,34.948,4000
2011-03-21,34.568,34.948,34.948,4000
2011-03-22,34.948,34.948,34.948,0
2011-03-23,37.987,37.987,37.987,4000
2011-03-24,37.987,37.987,37.987,0
2011-03-25,37.987,37.987,37.987,0
2011-03-28,37.987,37.987,37.987,0
2011-03-29,37.987,37.987,37.987,0
2011-03-30,37.987,37.987,37.987,4000
2011-03-31,37.987,37.987,37.987,0
2011-04-01,37.987,37.987,37.987,0
2011-04-04,37.987,37.987,37.987,0
2011-04-05,35.708,37.227,35.708,4000
2011-04-06,37.227,37.227,37.227,4000
2011-04-07,37.227,37.227,37.227,0
2011-04-08,37.227,37.227,37.227,0
2011-04-11,35.1,36.467,36.467,4000
2011-04-12,36.467,36.467,36.467,0
2011-04-13,36.467,36.467,36.467,0
2011-04-14,37.227,37.227,37.227,0
2011-04-15,37.227,37.227,37.227,0
2011-04-18,37.987,37.987,37.987,0
2011-04-19,36.467,36.467,36.467,4000
2011-04-20,36.467,36.467,36.467,0
2011-04-21,36.467,36.467,36.467,0
2011-04-25,35.708,36.467,36.087,4000
2011-04-26,36.087,36.087,36.087,0
2011-04-27,36.087,36.087,36.087,0
2011-04-28,35.708,36.087,36.087,4000
2011-04-29,36.087,36.087,36.087,0
2011-05-02,35.1,35.708,35.708,4000
2011-05-03,35.1,35.404,35.404,4000
2011-05-04,35.1,35.1,35.1,0
2011-05-05,35.1,35.708,35.708,4000
2011-05-06,35.1,35.1,35.1,0
2011-05-09,35.1,35.1,35.1,0
2011-05-10,35.1,35.1,35.1,0
2011-05-11,35.1,35.1,35.1,0
2011-05-12,35.1,35.1,35.1,4000
2011-05-13,34.948,35.708,35.708,60000
2011-05-16,35.708,35.708,35.708,0
2011-05-17,35.975,35.975,35.975,0
2011-05-18,35.975,35.975,35.975,0
2011-05-19,35.975,35.975,35.975,0
2011-05-20,35.975,35.975,35.975,0
2011-05-23,35.21,35.21,35.21,0
2011-05-24,35.21,35.21,35.21,0
2011-05-25,35.21,35.21,35.21,0
2011-05-26,35.21,35.21,35.21,0
2011-05-27,35.21,35.21,35.21,4000
2011-05-31,35.975,35.975,35.975,4000
2011-06-01,35.977,36.023,36.023,8000
2011-06-02,36.023,36.023,36.023,0
2011-06-03,35.975,35.975,35.975,4000
2011-06-06,36.741,36.741,36.741,4000
2011-06-07,37.124,37.889,37.124,4000
2011-06-08,37.124,37.124,37.124,0
2011-06-09,37.124,37.124,37.124,0
2011-06-10,35.975,35.976,35.976,4000
2011-06-13,35.976,35.976,35.976,0
2011-06-14,35.975,35.975,35.975,4000
2011-06-15,35.975,35.975,35.975,0
2011-06-16,36.358,36.358,36.358,4000
2011-06-17,36.358,36.358,36.358,0
2011-06-20,36.358,36.358,36.358,0
2011-06-21,35.822,35.975,35.822,4000
2011-06-22,35.746,36.404,36.358,24000
2011-06-23,36.358,36.358,36.358,0
2011-06-24,36.358,36.358,36.358,4000
2011-06-27,36.358,36.358,36.358,4000
2011-06-28,36.358,36.358,36.358,0
2011-06-29,36.358,36.358,36.358,0
2011-06-30,36.358,36.358,36.358,0
2011-07-01,35.348,35.394,35.394,4000
2011-07-05,36.358,36.358,36.358,4000
2011-07-06,35.348,35.348,35.348,0
2011-07-07,35.593,35.639,35.639,4000
2011-07-08,36.358,36.358,36.358,4000
2011-07-11,35.348,36.358,36.358,4000
2011-07-12,36.358,36.358,36.358,0
2011-07-13,36.358,36.358,36.358,0
2011-07-14,35.348,35.348,35.348,4000
2011-07-15,35.593,35.639,35.639,4000
2011-07-18,36.343,36.343,36.343,0
2011-07-19,36.358,36.358,36.358,0
2011-07-20,36.358,36.358,36.358,0
2011-07-21,36.358,36.358,36.358,0
2011-07-22,36.358,36.358,36.358,0
2011-07-25,36.358,36.358,36.358,0
2011-07-26,36.358,36.358,36.358,0
2011-07-27,36.358,36.358,36.358,0
2011-07-28,35.973,36.358,35.973,4000
2011-07-29,35.973,35.973,35.973,0
2011-08-01,35.973,35.973,35.973,0
2011-08-02,35.363,36.358,36.358,4000
2011-08-03,36.358,36.358,36.358,0
2011-08-04,36.358,36.358,36.358,0
2011-08-05,35.975,35.975,35.975,4000
2011-08-08,35.363,35.363,35.363,4000
2011-08-09,35.363,36.358,36.358,4000
2011-08-10,36.644,36.644,36.644,0
2011-08-11,35.872,35.872,35.872,0
2011-08-12,35.872,35.872,35.872,0
2011-08-15,35.872,35.872,35.872,4000
2011-08-16,35.872,35.872,35.872,0
2011-08-17,35.872,35.872,35.872,0
2011-08-18,35.872,35.872,35.872,0
2011-08-19,36.644,36.644,36.644,4000
2011-08-22,36.644,36.644,36.644,4000
2011-08-23,36.644,36.644,36.644,0
2011-08-24,35.872,35.872,35.872,4000
2011-08-25,35.487,35.872,35.487,4000
2011-08-26,35.487,35.487,35.487,0
