,Low,High,Close,Volume
2010-12-09,404.885,414.212,408.466,523700
2010-12-10,406.843,416.879,413.209,900900
2010-12-13,404.875,415.777,405.367,1086700
2010-12-14,390.687,406.135,393.796,1180000
2010-12-15,388.906,399.887,392.458,748000
2010-12-16,389.625,397.988,393.836,657100
2010-12-17,393.177,398.755,394.19,1312500
2010-12-20,386.575,401.628,398.804,1336400
2010-12-21,394.958,403.311,400.448,645800
2010-12-22,407.148,414.084,409.47,1097000
2010-12-23,403.537,410.188,406.538,597200
2010-12-27,397.693,406.312,401.668,605100
2010-12-28,397.142,403.212,398.283,419700
2010-12-29,396.099,401.737,399.169,536200
2010-12-30,393.669,400.94,397.762,433200
2010-12-31,392.754,397.093,393.118,583900
2011-01-03,395.774,409.293,409.293,1323200
2011-01-04,401.727,410.897,402.789,1088300
2011-01-05,404.029,427.948,426.619,2406400
2011-01-06,423.166,434.432,430.28,1634500
2011-01-07,427.456,434.776,433.497,1098800
2011-01-10,428.144,434.392,433.467,616100
2011-01-11,422.221,436.055,424.268,1445600
2011-01-12,424.789,428.459,427.249,585900
2011-01-13,426.442,433.507,432.434,616000
2011-01-14,427.997,432.405,430.939,789700
2011-01-18,430.171,434.392,433.812,693000
2011-01-19,422.635,433.812,425.075,826700
2011-01-20,409.303,422.861,417.39,1425800
2011-01-21,417.518,424.071,418.748,1137100
2011-01-24,410.601,419.988,416.977,706500
2011-01-25,412.058,421.956,421.956,724300
2011-01-26,414.242,422.064,415.895,911400
2011-01-27,416.593,432.1,430.102,1118600
2011-01-28,417.174,431.932,418.463,1278300
2011-01-31,414.97,422.949,421.621,706200
2011-02-01,424.986,437.787,430.88,1033100
2011-02-02,428.312,434.678,430.152,559600
2011-02-03,428.243,433.9,428.971,778300
2011-02-04,426.059,432.916,426.452,1114200
2011-02-07,424.12,434.51,430.161,951700
2011-02-08,428.263,436.262,435.622,801500
2011-02-09,433.349,451.709,443.847,1364500
2011-02-10,438.052,449.151,448.098,1100100
2011-02-11,441.329,450.361,448.059,1167300
2011-02-14,446.229,452.171,449.653,666900
2011-02-15,445.254,456.992,449.839,888200
2011-02-16,448.482,454.169,450.666,658500
2011-02-17,446.642,454.907,447.941,709700
2011-02-18,439.272,450.213,441.703,968500
2011-02-22,423.372,437.747,426.796,1333300
2011-02-23,409.303,431.814,419.132,2583500
2011-02-24,445.815,461.843,454.897,4461500
2011-02-25,452.112,458.468,452.624,1229800
2011-02-28,442.982,456.52,446.573,1332900
2011-03-01,433.713,444.959,438.062,1795200
2011-03-02,435.878,447.173,441.949,1300100
2011-03-03,446.445,457.317,457.307,1545700
2011-03-04,454.129,462.178,461.577,1346800
2011-03-07,451.866,467.097,459.177,1450000
2011-03-08,452.703,464.106,461.528,1273500
2011-03-09,457.189,466.723,460.977,1126900
2011-03-10,449.859,461.145,456.933,1325900
2011-03-11,449.938,459.246,455.733,925500
2011-03-14,448.108,457.022,456.146,897000
2011-03-15,443.985,456.874,453.913,1221600
2011-03-16,442.755,459.019,448.619,1317100
2011-03-17,444.497,455.054,444.91,915500
2011-03-18,441.28,450.42,442.303,1352500
2011-03-21,435.986,451.089,449.574,1032900
2011-03-22,441.496,454.749,448.364,1331700
2011-03-23,442.814,460.456,458.754,1174700
2011-03-24,460.466,470.305,468.347,1191600
2011-03-25,470.452,482.495,479.16,1236100
2011-03-28,476.198,483.449,476.198,771400
2011-03-29,473.256,485.496,483.774,981900
2011-03-30,485.683,498.533,495.886,1237900
2011-03-31,492.541,500.805,498.287,1087800
2011-04-01,499.654,507.339,505.577,1393700
2011-04-04,501.297,510.33,510.241,883700
2011-04-05,506.522,513.596,508.618,710500
2011-04-06,495.433,512.612,498.119,1306900
2011-04-07,494.135,503.61,500.668,956500
2011-04-08,496.427,507.673,498.661,927000
2011-04-11,492.413,504.249,504.2,1074700
2011-04-12,497.362,506.709,503.895,946000
2011-04-13,501.297,507.988,506.522,833500
2011-04-14,499.831,505.725,504.397,959900
2011-04-15,501.15,511.963,511.697,933200
2011-04-18,499.379,509.513,508.46,1016700
2011-04-19,504.416,517.109,517.069,821200
2011-04-20,521.487,528.355,522.796,1011300
2011-04-21,521.822,535.508,535.193,901600
2011-04-25,533.501,539.089,535.547,567400
2011-04-26,523.799,537.407,529.034,809400
2011-04-27,526.19,535.793,530.765,729300
2011-04-28,528.925,542.297,541.175,832200
2011-04-29,537.161,547.315,538.204,1132200
2011-05-02,542.346,552.834,546.705,1228500
2011-05-03,528.384,551.968,531.415,1200000
2011-05-04,519.5,535.468,528.906,1139700
