,Low,High,Close,Volume
2019-10-10,12.84,16.481,14.054,2805800
2019-10-11,13.324,15.139,13.639,1364300
2019-10-14,12.361,13.728,12.583,899100
2019-10-15,12.366,12.83,12.751,484700
2019-10-16,12.445,13.699,12.771,524200
2019-10-17,12.509,13.304,12.83,413000
2019-10-18,13.126,14.064,13.955,231900
2019-10-21,14.626,16.067,16.067,290000
2019-10-22,16.827,20.37,20.37,407900
2019-10-23,16.571,21.703,17.409,476600
2019-10-24,16.886,19.739,18.604,269200
2019-10-25,16.531,18.258,17.34,231500
2019-10-28,16.245,17.942,16.245,253000
2019-10-29,16.413,17.059,16.778,136700
2019-10-30,16.215,16.965,16.571,94100
2019-10-31,16.176,16.6,16.6,63900
2019-11-01,15.909,16.58,16.304,82900
2019-11-04,16.827,19.423,18.722,206800
2019-11-05,17.992,20.123,18.238,97900
2019-11-06,16.807,18.416,17.153,88100
2019-11-07,17.133,18.337,18.179,47700
2019-11-08,18.11,18.89,18.623,78100
2019-11-11,18.791,19.719,19.482,148100
2019-11-12,16.847,19.452,17.409,228200
2019-11-13,17.567,18.673,18.308,55700
2019-11-14,18.403,19.117,18.752,61800
2019-11-15,18.771,19.541,18.988,65600
2019-11-18,18.9,20.232,19.442,120000
2019-11-19,19.245,20.42,20.064,99200
2019-11-20,19.719,21.387,20.084,160300
2019-11-21,18.357,21.712,19.423,190000
2019-11-22,19.739,21.693,21.051,89900
2019-11-25,20.114,23.094,20.479,188900
2019-11-26,20.222,21.17,21.081,89300
2019-11-27,20.888,21.693,21.594,29700
2019-11-29,21.564,22.912,21.693,57000
2019-12-02,20.814,22.828,21.584,106500
2019-12-03,20.449,22.847,20.498,88400
2019-12-04,20.775,22.66,21.091,146500
2019-12-05,21.071,22.374,22.196,129900
2019-12-06,22.364,24.15,24.051,251500
2019-12-09,24.673,29.578,28.621,393900
2019-12-10,26.923,29.105,27.634,180200
2019-12-11,28.275,30.891,30.891,205200
2019-12-12,28.601,33.556,29.45,380900
2019-12-13,30.299,32.421,32.026,232700
2019-12-16,34.207,38.243,34.542,622900
2019-12-17,34.365,36.435,36.428,261600
2019-12-18,32.687,35.352,34.542,146500
2019-12-19,27.366,33.427,28.956,250500
2019-12-20,31.394,34.513,34.513,447900
2019-12-23,32.667,35.431,34.276,103500
2019-12-24,32.578,34.158,33.032,23900
2019-12-26,31.178,33.556,32.766,53900
2019-12-27,31.601,33.141,32.154,38100
2019-12-30,32.569,34.454,34.454,33500
2019-12-31,33.25,34.305,33.437,40000
2020-01-02,34.898,37.997,37.997,139500
2020-01-03,35.944,40.711,39.526,176000
2020-01-06,39.576,44.412,43.997,333300
2020-01-07,40.642,48.211,42.773,562100
2020-01-08,43.602,45.724,44.51,193900
2020-01-09,42.152,46.099,42.704,234900
2020-01-10,37.711,44.402,39.161,369100
2020-01-13,34.799,40.78,37.335,459400
2020-01-14,32.786,35.011,34.079,266300
2020-01-15,33.161,39.329,34.098,361000
2020-01-16,30.866,35.431,31.828,692100
2020-01-17,29.934,33.161,32.746,615100
2020-01-21,33.075,36.062,36.062,264500
2020-01-22,36.27,38.52,38.372,318200
2020-01-23,34.848,37.059,36.22,192900
2020-01-24,33.127,35.431,34.533,209700
2020-01-27,32.322,34.084,32.766,120000
2020-01-28,32.174,34.375,33.773,165200
2020-01-29,31.325,33.506,31.384,184200
2020-01-30,28.206,30.782,29.509,228600
2020-01-31,28.127,30.545,28.828,138700
2020-02-03,28.404,30.289,29.874,177600
2020-02-04,28.789,32.49,32.49,137600
2020-02-05,28.315,33.556,28.868,405000
2020-02-06,29.292,32.5,32.5,387400
2020-02-07,29.677,32.065,30.476,166700
2020-02-10,29.716,31.73,31.7,121700
2020-02-11,29.41,31.068,30.309,175300
2020-02-12,28.621,30.693,29.174,157700
2020-02-13,28.7,30.239,30.239,107100
2020-02-14,29.331,31.157,30.348,128700
2020-02-18,29.864,31.128,31.128,66200
2020-02-19,30.348,31.868,31.828,253800
2020-02-20,30.6,32.154,31.957,152200
2020-02-21,30.861,32.036,31.927,158700
2020-02-24,28.759,30.693,30.2,148400
2020-02-25,29.608,33.516,33.003,201500
2020-02-26,31.138,33.94,33.309,213300
2020-02-27,30.643,33.526,33.437,112400
2020-02-28,32.421,34.641,34.641,234400
2020-03-02,33.556,36.122,36.122,185100
2020-03-03,36.122,40.462,37.977,297900
2020-03-04,37.503,38.786,38.678,127100
2020-03-05,35.174,37.562,36.635,77000
2020-03-06,35.145,40.411,37.592,279200
