,Low,High,Close,Volume
2021-07-27,16.218,16.601,16.554,641300
2021-07-28,16.528,16.706,16.581,708300
2021-07-29,16.508,16.64,16.64,534300
2021-07-30,16.429,16.574,16.475,2846900
2021-08-02,16.416,16.502,16.455,607000
2021-08-03,16.376,16.455,16.436,420200
2021-08-04,16.376,16.475,16.396,589700
2021-08-05,16.323,16.442,16.336,510800
2021-08-06,16.264,16.356,16.29,349500
2021-08-09,16.257,16.429,16.323,203800
2021-08-10,16.224,16.389,16.231,105000
2021-08-11,16.191,16.356,16.191,153000
2021-08-12,16.178,16.343,16.27,143000
2021-08-13,16.27,16.363,16.31,194600
2021-08-16,16.31,16.35,16.317,228400
2021-08-17,16.31,16.409,16.343,154100
2021-08-18,16.29,16.442,16.343,126300
2021-08-19,16.277,16.409,16.343,273900
2021-08-20,16.317,16.508,16.449,249400
2021-08-23,16.455,16.64,16.607,287300
2021-08-24,16.594,16.7,16.693,209200
2021-08-25,16.627,16.7,16.686,408700
2021-08-26,16.653,16.733,16.726,262500
2021-08-27,16.554,16.726,16.719,278400
2021-08-30,16.706,16.871,16.825,366200
2021-08-31,16.86,17.314,17.234,2629200
2021-09-01,16.954,17.254,17.248,485600
2021-09-02,17.181,17.268,17.208,2613900
2021-09-03,17.194,17.248,17.201,170000
2021-09-07,17.021,17.234,17.081,36800
2021-09-08,16.987,17.087,17.027,24300
2021-09-09,16.76,16.987,16.8,160400
2021-09-10,16.533,16.927,16.547,186200
2021-09-13,16.42,16.654,16.473,200300
2021-09-14,16.487,16.72,16.5,33000
2021-09-15,16.493,16.727,16.674,205900
2021-09-16,16.627,16.767,16.627,56700
2021-09-17,16.56,16.834,16.62,52100
2021-09-20,16.473,16.667,16.54,54000
2021-09-21,16.493,16.573,16.493,49700
2021-09-22,16.473,16.573,16.52,69500
2021-09-23,16.507,16.967,16.52,36800
2021-09-24,16.46,16.68,16.52,21000
2021-09-27,16.42,16.674,16.48,197600
2021-09-28,16.286,16.547,16.333,89900
2021-09-29,16.333,16.407,16.387,35700
2021-09-30,16.326,16.473,16.326,116800
2021-10-01,16.326,16.48,16.36,43400
2021-10-04,16.387,16.553,16.533,233400
2021-10-05,16.453,16.58,16.487,83100
2021-10-06,16.36,16.553,16.52,18800
2021-10-07,16.407,16.52,16.46,80000
2021-10-08,16.367,16.453,16.367,26900
2021-10-11,16.353,16.407,16.353,41000
2021-10-12,16.367,16.487,16.413,61100
2021-10-13,16.387,16.58,16.54,39800
2021-10-14,16.54,16.654,16.607,1188900
2021-10-15,16.533,16.82,16.8,382600
2021-10-18,16.774,16.921,16.82,363100
2021-10-19,16.767,16.901,16.787,117200
2021-10-20,16.774,16.847,16.78,46100
2021-10-21,16.7,16.941,16.707,185500
2021-10-22,16.687,16.82,16.7,37400
2021-10-25,16.587,16.734,16.614,326400
2021-10-26,16.54,16.68,16.614,1220400
2021-10-27,16.62,16.76,16.76,53300
2021-10-28,16.62,16.78,16.66,33100
2021-10-29,16.56,16.814,16.573,477200
2021-11-01,16.567,16.654,16.654,31400
2021-11-02,16.58,16.734,16.647,64500
2021-11-03,16.587,16.7,16.7,18200
2021-11-04,16.667,16.8,16.72,25900
