,Low,High,Close,Volume
2019-08-21,14.006,14.062,14.034,261000
2019-08-22,14.034,14.101,14.099,156700
2019-08-23,14.034,14.101,14.043,81900
2019-08-26,14.045,14.112,14.101,131100
2019-08-27,14.045,14.128,14.067,112700
2019-08-28,14.051,14.151,14.145,283500
2019-08-29,14.156,14.206,14.19,199400
2019-08-30,14.156,14.306,14.306,788800
2019-09-03,14.234,14.323,14.268,131300
2019-09-04,14.162,14.295,14.217,430400
2019-09-05,14.145,14.212,14.156,118300
2019-09-06,14.134,14.212,14.157,68300
2019-09-09,14.156,14.192,14.179,60100
2019-09-10,14.101,14.206,14.145,64500
2019-09-11,13.6,14.156,14.134,58200
2019-09-12,14.123,14.206,14.162,128800
2019-09-13,13.99,14.179,14.091,42800
2019-09-16,14.001,14.073,14.006,83000
2019-09-17,13.989,14.078,14.051,104200
2019-09-18,14.073,14.128,14.128,66400
2019-09-19,14.128,14.175,14.128,38200
2019-09-20,14.134,14.223,14.223,28800
2019-09-23,14.165,14.251,14.232,50500
2019-09-24,14.19,14.306,14.268,58300
2019-09-25,14.229,14.295,14.279,38500
2019-09-26,14.229,14.29,14.29,27900
2019-09-27,14.279,14.407,14.362,73200
2019-09-30,14.329,14.44,14.44,103600
2019-10-01,14.374,14.457,14.44,36200
2019-10-02,14.357,14.457,14.407,30300
2019-10-03,14.379,14.434,14.428,32900
2019-10-04,14.402,15.018,14.518,47800
2019-10-07,14.418,14.518,14.518,46200
2019-10-08,14.468,14.674,14.674,56300
2019-10-09,14.657,14.768,14.757,51700
2019-10-10,14.518,14.686,14.601,22300
2019-10-11,14.19,14.651,14.568,103300
2019-10-14,14.54,14.668,14.661,7400
2019-10-15,14.572,14.668,14.646,19400
2019-10-16,14.579,14.662,14.655,8400
2019-10-17,14.601,14.74,14.74,68800
2019-10-18,14.696,15.152,14.98,110500
2019-10-21,14.635,14.98,14.923,44600
2019-10-22,14.787,14.918,14.796,13000
2019-10-23,14.852,15.013,15.007,22200
2019-10-24,14.918,15.013,14.967,19300
2019-10-25,14.935,15.085,15.051,17000
2019-10-28,14.996,15.124,15.03,20700
2019-10-29,15.018,15.074,15.035,26000
2019-10-30,15.018,15.065,15.041,19700
2019-10-31,14.896,15.308,15.258,225000
2019-11-01,15.069,15.174,15.152,23000
2019-11-04,15.046,15.158,15.091,41100
2019-11-05,14.948,15.158,15.013,27500
2019-11-06,14.935,15.063,14.935,23600
2019-11-07,14.779,15.035,14.891,34400
2019-11-08,14.668,14.929,14.874,33500
2019-11-11,14.768,14.912,14.896,8300
2019-11-12,14.685,14.846,14.779,10700
2019-11-13,14.662,14.857,14.835,15600
2019-11-14,14.763,14.882,14.868,10900
2019-11-15,14.785,14.902,14.824,9200
2019-11-18,14.796,14.935,14.852,22300
2019-11-19,14.735,14.891,14.852,31500
2019-11-20,14.668,14.824,14.746,19600
2019-11-21,14.696,14.768,14.74,9100
2019-11-22,14.732,14.813,14.813,7600
2019-11-25,14.701,14.813,14.701,37500
2019-11-26,14.635,14.779,14.674,53500
2019-11-27,14.596,14.685,14.624,51900
2019-11-29,14.311,14.663,14.419,119400
2019-12-02,14.292,14.498,14.328,41100
2019-12-03,14.316,14.441,14.39,16500
2019-12-04,14.396,14.47,14.453,38100
2019-12-05,14.424,14.498,14.442,27500
2019-12-06,14.39,14.467,14.424,64900
2019-12-09,14.436,14.529,14.476,17900
2019-12-10,14.476,14.533,14.515,8400
2019-12-11,14.488,14.578,14.567,27200
2019-12-12,14.544,14.624,14.572,53400
2019-12-13,14.572,14.641,14.641,12400
2019-12-16,14.464,14.663,14.521,30300
2019-12-17,14.544,14.622,14.587,12700
2019-12-18,14.561,14.658,14.624,37200
2019-12-19,14.658,14.686,14.669,17300
2019-12-20,14.646,14.777,14.76,20200
2019-12-23,14.76,14.959,14.851,48100
2019-12-24,14.893,14.924,14.924,700
2019-12-26,14.824,14.902,14.902,23100
2019-12-27,14.845,15.016,15.016,20200
2019-12-30,14.845,14.954,14.931,9500
2019-12-31,14.857,15.09,15.09,33700
2020-01-02,14.862,15.09,14.931,52700
2020-01-03,14.797,14.976,14.97,22700
2020-01-06,14.919,15.042,14.959,24700
2020-01-07,14.857,14.993,14.885,32700
2020-01-08,14.845,14.953,14.953,449200
2020-01-09,14.879,14.976,14.942,17400
2020-01-10,14.854,14.959,14.959,143000
2020-01-13,14.817,14.959,14.845,46800
2020-01-14,14.821,14.845,14.845,23200
2020-01-15,14.815,14.862,14.845,11400
2020-01-16,14.84,14.874,14.845,299700
2020-01-17,14.817,14.914,14.914,39300
2020-01-21,14.84,14.919,14.919,3200
2020-01-22,14.857,14.936,14.936,3600
2020-01-23,14.877,14.942,14.942,2900
2020-01-24,14.931,14.948,14.948,10700
2020-01-27,14.651,14.97,14.919,7600
2020-01-28,14.919,14.953,14.931,3800
2020-01-29,14.919,14.96,14.936,3700
2020-01-30,14.902,14.976,14.948,24300
2020-01-31,14.976,15.107,15.107,44700
2020-02-03,14.914,15.101,15.01,31900
2020-02-04,14.953,15.039,15.005,11900
2020-02-05,15.016,15.124,15.124,12800
2020-02-06,15.13,15.238,15.221,19200
2020-02-07,15.067,15.215,15.067,15800
2020-02-10,15.01,15.17,15.039,31700
2020-02-11,15.016,15.158,15.158,19300
2020-02-12,15.141,15.187,15.141,9300
2020-02-13,15.073,15.181,15.107,12000
2020-02-14,15.005,15.162,15.033,32900
2020-02-18,15.016,15.073,15.067,59900
2020-02-19,14.982,15.073,14.982,8900
2020-02-20,14.993,15.044,15.044,6200
2020-02-21,14.965,15.056,14.965,5100
2020-02-24,14.811,14.953,14.823,30000
2020-02-25,14.629,14.906,14.65,54200
2020-02-26,14.504,14.72,14.624,21500
2020-02-27,14.293,14.544,14.39,22200
2020-02-28,14.096,14.389,14.326,35800
2020-03-02,14.187,14.571,14.425,47000
2020-03-03,14.216,14.638,14.302,76600
2020-03-04,14.389,14.742,14.742,80800
2020-03-05,14.62,14.747,14.684,27100
2020-03-06,13.889,14.753,14.453,66200
2020-03-09,12.812,14.089,12.812,20400
2020-03-10,12.858,13.34,13.32,62000
2020-03-11,12.401,13.209,12.736,42200
2020-03-12,9.893,11.615,10.373,75200
2020-03-13,10.997,12.713,11.864,81700
2020-03-16,9.218,10.744,9.391,51600
2020-03-17,7.821,9.391,7.952,57600
2020-03-18,4.837,7.512,5.403,73300
2020-03-19,4.698,7.143,7.143,180300
2020-03-20,7.018,8.09,7.079,210100
2020-03-23,5.925,6.802,6.357,67600
2020-03-24,7.235,8.067,8.05,47700
2020-03-25,8.359,9.928,9.899,36600
2020-03-26,9.922,11.095,10.396,48200
2020-03-27,9.246,10.321,9.333,39500
2020-03-30,9.096,10.113,9.396,27500
2020-03-31,9.073,9.807,9.211,48700
2020-04-01,8.377,9.333,8.813,29800
2020-04-02,8.535,9.228,8.668,30700
2020-04-03,7.975,8.95,8.593,39400
2020-04-06,8.957,9.274,9.015,117600
2020-04-07,9.159,10.119,10.119,46300
2020-04-08,10.165,10.999,10.824,132500
2020-04-09,11.267,12.141,11.754,116600
2020-04-13,10.974,11.569,11.367,51900
2020-04-14,11.162,11.835,11.794,126600
2020-04-15,11.269,11.881,11.702,68100
2020-04-16,11.307,11.731,11.514,163800
2020-04-17,11.601,12.02,11.708,194700
2020-04-20,11.541,11.777,11.702,75900
2020-04-21,11.072,11.782,11.136,68400
2020-04-22,11.298,11.61,11.5,33500
2020-04-23,11.165,11.667,11.5,23500
2020-04-24,11.376,11.771,11.5,49600
2020-04-27,11.355,11.627,11.61,52400
2020-04-28,11.558,11.91,11.673,74800
2020-04-29,11.685,12.216,12.176,24500
2020-04-30,12.291,12.621,12.407,86400
2020-05-01,12.038,12.453,12.291,76300
2020-05-04,12.124,12.338,12.309,31400
2020-05-05,12.182,12.557,12.442,76900
2020-05-06,11.875,12.424,11.875,6500
2020-05-07,11.558,12.127,11.904,21800
2020-05-08,12.049,12.471,12.274,9900
2020-05-11,12.234,12.557,12.43,19400
2020-05-12,11.852,12.609,12.069,27400
2020-05-13,11.384,12.222,11.442,45100
2020-05-14,10.725,11.448,11.217,46300
2020-05-15,10.887,11.592,11.298,24900
2020-05-18,11.575,12.02,11.578,20500
2020-05-19,11.511,11.766,11.54,62600
