,Low,High,Close,Volume
2010-12-09,15.546,16.055,15.94,835700
2010-12-10,15.873,16.718,16.718,753000
2010-12-13,16.583,16.89,16.766,636400
2010-12-14,16.41,16.564,16.535,898300
2010-12-15,16.334,16.948,16.478,452800
2010-12-16,16.247,16.535,16.535,923100
2010-12-17,16.583,16.89,16.698,1061800
2010-12-20,16.266,16.698,16.266,1070500
2010-12-21,16.122,16.631,16.468,364400
2010-12-22,16.276,16.612,16.382,343100
2010-12-23,16.237,16.506,16.314,212700
2010-12-27,16.132,16.362,16.266,128200
2010-12-28,16.055,16.276,16.141,239900
2010-12-29,15.671,16.228,16.122,359700
2010-12-30,16.065,16.199,16.132,182600
2010-12-31,15.882,16.132,15.94,163200
2011-01-03,15.796,16.026,15.892,438900
2011-01-04,15.489,16.132,15.585,776500
2011-01-05,15.392,15.585,15.45,739500
2011-01-06,15.383,15.815,15.556,546700
2011-01-07,15.325,15.748,15.364,461700
2011-01-10,15.892,16.487,16.333,1068700
2011-01-11,15.978,16.506,16.151,673200
2011-01-12,16.401,17.419,16.67,1636800
2011-01-13,16.478,17.082,16.65,624800
2011-01-14,16.161,16.775,16.295,693500
2011-01-18,16.036,16.324,16.276,610000
2011-01-19,16.247,16.814,16.526,1479100
2011-01-20,16.17,16.468,16.401,475100
2011-01-21,16.285,16.641,16.382,513000
2011-01-24,16.353,16.727,16.574,351000
2011-01-25,16.324,16.794,16.487,462800
2011-01-26,16.478,17.169,16.842,616900
2011-01-27,16.67,17.255,17.082,513500
2011-01-28,16.727,17.198,16.804,1041400
2011-01-31,16.66,16.91,16.804,543700
2011-02-01,16.766,17.275,17.246,605700
2011-02-02,17.044,17.332,17.188,405000
2011-02-03,16.804,17.15,17.015,458200
2011-02-04,16.794,17.13,17.063,377300
2011-02-07,17.207,17.505,17.294,308000
2011-02-08,17.217,17.543,17.534,337900
2011-02-09,17.265,17.726,17.649,440900
2011-02-10,17.515,17.87,17.831,372600
2011-02-11,17.687,18.052,17.966,214300
2011-02-14,17.649,18.139,17.831,375000
2011-02-15,17.515,17.956,17.63,435700
2011-02-16,17.524,18.043,17.947,529100
2011-02-17,17.764,18.081,17.985,229400
2011-02-18,17.803,18.379,18.168,391300
2011-02-22,17.678,18.1,17.908,539300
2011-02-23,17.284,17.697,17.678,1161200
2011-02-24,17.505,18.033,17.543,1211200
2011-02-25,17.428,18.091,18.072,315400
2011-02-28,18.196,18.897,18.427,915100
2011-03-01,18.216,18.696,18.216,764400
2011-03-02,18.072,18.657,18.504,491400
2011-03-03,18.59,18.993,18.792,637900
2011-03-04,18.696,19.157,19.08,448600
2011-03-07,18.494,19.157,18.705,530600
2011-03-08,18.494,19.205,18.955,466300
2011-03-09,18.532,19.08,18.897,713800
2011-03-10,18.004,18.907,18.35,666200
2011-03-11,17.975,18.571,18.427,432900
2011-03-14,17.793,18.235,18.052,331400
2011-03-15,17.169,18.177,18.081,1856800
2011-03-16,17.438,18.033,17.467,861500
2011-03-17,17.476,17.908,17.505,406200
2011-03-18,17.841,18.302,18.024,674600
2011-03-21,18.177,18.59,18.398,408600
2011-03-22,18.187,18.6,18.331,299500
2011-03-23,18.1,18.35,18.187,734100
2011-03-24,18.168,18.686,18.657,401900
2011-03-25,18.734,19.262,19.061,580200
2011-03-28,18.888,19.185,18.965,351300
2011-03-29,18.869,19.137,19.137,546800
2011-03-30,19.387,20.088,19.781,939300
2011-03-31,19.714,20.069,20.021,387900
2011-04-01,20.088,20.635,20.434,908800
2011-04-04,20.395,20.616,20.559,1257100
2011-04-05,20.414,20.789,20.587,1139700
2011-04-06,20.366,20.703,20.376,897000
2011-04-07,19.81,20.539,19.819,889900
2011-04-08,18.936,19.493,19.185,1188900
2011-04-11,19.185,19.377,19.262,522800
2011-04-12,19.003,19.329,19.157,437800
2011-04-13,18.993,19.358,19.185,329100
2011-04-14,18.869,19.205,19.089,415900
2011-04-15,18.83,19.157,18.849,654800
2011-04-18,18.187,18.628,18.456,478200
2011-04-19,18.379,18.782,18.696,324200
2011-04-20,18.984,19.406,19.291,583100
2011-04-21,19.301,19.627,19.464,357600
2011-04-25,19.224,19.493,19.301,271900
2011-04-26,19.253,20.51,20.376,875600
2011-04-27,20.117,20.587,20.539,457800
2011-04-28,19.416,20.414,19.445,985600
2011-04-29,18.772,19.617,18.955,1000000
2011-05-02,18.609,19.233,18.792,508000
2011-05-03,18.139,18.811,18.254,581000
2011-05-04,17.659,18.446,18.033,897300
2011-05-05,17.745,18.235,17.841,651200
2011-05-06,18.12,18.552,18.388,788900
2011-05-09,17.966,18.974,18.859,788000
2011-05-10,18.484,18.84,18.744,839200
2011-05-11,18.619,18.83,18.724,765000
2011-05-12,18.571,19.003,18.945,570000
2011-05-13,18.926,19.166,18.955,541800
2011-05-16,18.532,18.917,18.58,663400
