,Low,High,Close,Volume
2024-01-26,41.034,43.408,41.561,1850700
2024-01-29,40.453,42.023,41.099,765000
2024-01-30,40.859,43.14,42.9,634900
2024-01-31,40.817,42.946,42.115,312200
2024-02-01,42.115,42.992,42.641,62000
2024-02-02,42.087,42.483,42.087,20400
2024-02-05,40.591,42.327,41.976,111500
2024-02-06,42.669,42.827,42.715,271000
2024-02-07,39.723,42.946,42.706,417500
2024-02-08,42.42,43.131,42.42,206800
2024-02-09,42.346,42.715,42.346,25200
2024-02-12,42.355,42.448,42.429,55800
2024-02-13,42.069,42.411,42.254,68900
2024-02-14,41.238,41.561,41.339,166600
2024-02-15,40.545,41.561,40.61,327200
2024-02-16,40.351,41.007,40.36,1100
2024-02-20,40.046,40.665,40.129,202500
2024-02-21,38.799,40.231,38.864,102100
2024-02-22,37.405,38.689,37.617,497600
2024-02-23,35.789,37.266,35.789,143600
2024-02-26,35.779,36.509,36.019,101500
2024-02-27,36.527,37.571,37.571,46000
2024-02-28,37.276,37.469,37.469,5700
2024-02-29,35.096,36.287,35.096,59500
2024-03-01,34.828,35.65,35.364,392800
2024-03-04,32.214,36.768,36.241,70800
2024-03-05,35.53,36.066,36.066,16300
2024-03-06,35.401,36.01,35.761,102300
2024-03-07,35.345,36.204,35.345,131600
2024-03-08,35.244,35.382,35.318,900
2024-03-11,35.798,36.176,36.121,1400
2024-03-12,35.77,35.927,35.825,700
2024-03-13,34.81,35.151,34.81,124000
2024-03-14,32.473,34.551,33.276,207800
2024-03-15,31.91,33.664,33.36,472300
2024-03-18,34.311,35.308,35.031,27100
2024-03-19,35.059,36.527,36.278,9700
2024-03-20,35.087,35.789,35.558,2700
2024-03-21,35.678,36.684,36.62,2200
2024-03-22,36.426,37.331,37.331,2400
2024-03-25,36.888,38.181,37.673,119500
2024-03-26,37.765,38.328,38.079,15500
2024-03-27,37.682,39.492,38.947,797200
2024-03-28,39.067,42.032,41.635,1481900
2024-04-01,41.154,42.484,41.367,200800
2024-04-02,40.194,41.164,40.342,23400
2024-04-03,39.935,40.48,39.935,97500
2024-04-04,39.575,40.055,39.658,5400
2024-04-05,39.27,39.714,39.27,3400
2024-04-08,39.095,40.36,39.871,4200
2024-04-09,38.245,40.434,39.861,4300
2024-04-10,39.409,40.018,39.732,4600
2024-04-11,39.233,40.314,40.028,3900
2024-04-12,38.153,39.603,38.181,154100
2024-04-15,38.088,39.15,39.15,6100
2024-04-16,38.144,39.658,39.418,4300
2024-04-17,38.716,40.166,38.781,5800
2024-04-18,38.476,39.095,38.679,4500
2024-04-19,38.568,39.52,39.52,6100
2024-04-22,39.252,40.092,39.557,166000
2024-04-23,39.298,40.175,40.175,138900
2024-04-24,39.631,40.425,40.425,2600
2024-04-25,39.224,39.922,39.307,4400
2024-04-26,39.197,39.797,39.64,7900
2024-04-29,39.52,40.776,40.776,3900
2024-04-30,39.714,40.979,39.926,19700
2024-05-01,39.557,40.249,40.083,2100
2024-05-02,39.788,41.09,40.914,3800
2024-05-03,41.404,42.438,42.115,23100
2024-05-06,42.254,42.577,42.397,17800
2024-05-07,42.06,42.346,42.06,485000
2024-05-08,41.981,42.568,42.235,5800
2024-05-09,42.309,42.715,42.715,5600
2024-05-10,42.715,42.715,42.715,400
2024-05-13,41.884,42.263,41.884,800
2024-05-14,42.078,42.133,42.078,800
2024-05-15,42.29,42.928,42.808,106600
2024-05-16,42.346,42.347,42.346,1000
2024-05-17,42.235,42.42,42.42,11200
2024-05-20,42.549,43.408,42.558,1700
2024-05-21,41.93,41.93,41.93,1700
2024-05-22,41.949,43.214,42.448,9200
2024-05-23,40.647,42.254,42.17,2400
2024-05-24,42.17,42.17,42.17,400
2024-05-28,42.17,42.17,42.17,500
2024-05-29,42.17,42.226,42.226,800
2024-05-30,42.484,42.484,42.484,500
2024-05-31,41.626,42.711,42.586,78800
2024-06-03,42.623,43.279,42.835,1700
2024-06-04,42.84,42.891,42.891,1300
2024-06-05,42.969,43.149,43.048,2700
2024-06-06,40.453,44.646,42.872,108300
2024-06-07,40.877,41.949,41.432,3500
2024-06-10,41.515,41.755,41.755,300
2024-06-11,41.081,41.376,41.108,2600
2024-06-12,41.131,41.542,41.131,2300
2024-06-13,39.946,40.517,40.517,1700
2024-06-14,40.102,40.102,40.102,300
2024-06-17,40.102,40.102,40.102,400
2024-06-18,40.305,40.36,40.305,1800
2024-06-20,40.019,40.019,40.019,300
2024-06-21,40.517,40.517,40.517,200
2024-06-24,40.665,41.081,41.081,1200
2024-06-25,40.97,41.228,40.97,300
2024-06-26,40.499,40.822,40.776,10300
2024-06-27,40.397,41.062,41.062,5900
2024-06-28,41.653,43.777,43.473,391100
2024-07-01,41.801,43.122,41.801,20500
2024-07-02,41.801,41.801,41.801,1000
2024-07-03,42.032,42.411,42.411,800
2024-07-05,42.235,42.438,42.263,35300
2024-07-08,41.792,42.143,41.792,800
2024-07-09,41.727,41.727,41.727,500
2024-07-10,41.312,41.312,41.312,300
2024-07-11,41.755,41.755,41.755,21000
2024-07-12,41.653,41.838,41.681,3800
2024-07-15,42.4,42.899,42.579,1300
2024-07-16,43.285,43.727,43.699,2500
2024-07-17,44.574,44.744,44.574,2100
2024-07-18,43.624,44.319,43.624,117700
2024-07-19,43.624,43.624,43.624,0
2024-07-22,43.802,45.318,43.939,35700
2024-07-23,44.518,44.546,44.518,25500
2024-07-24,44.941,45.289,45.289,25400
2024-07-25,44.602,45.355,45.242,1600
2024-07-26,45.393,45.487,45.393,900
2024-07-29,46.296,46.306,46.296,50400
2024-07-30,46.296,46.296,46.296,110100
