,Low,High,Close,Volume
2021-06-11,32.66,37.314,36.528,16812400
2021-06-14,34.142,44.148,39.406,5819400
2021-06-15,36.381,39.219,37.432,2213200
2021-06-16,33.975,37.304,35.654,3816800
2021-06-17,35.645,38.266,37.579,1009000
2021-06-18,35.743,37.422,37.314,374100
2021-06-21,35.645,37.157,35.782,1037000
2021-06-22,35.144,36.381,36.018,1622100
2021-06-23,35.497,37.697,37.569,1498800
2021-06-24,36.911,40.417,39.916,1464400
2021-06-25,40.044,41.801,41.291,1194600
2021-06-28,37.0,40.878,37.314,3128700
2021-06-29,36.823,38.649,37.952,2904000
2021-06-30,38.296,39.769,38.934,1465900
2021-07-01,36.165,38.787,36.43,1995100
2021-07-02,35.654,37.098,35.654,1084500
2021-07-06,29.174,33.092,29.969,9393900
2021-07-07,30.794,31.923,31.432,5370700
2021-07-08,28.486,31.815,30.637,2530800
2021-07-09,31.422,35.537,35.517,1496300
2021-07-12,33.308,35.743,33.543,882800
2021-07-13,33.013,34.928,34.123,646200
2021-07-14,34.231,35.208,34.309,389900
2021-07-15,33.73,34.79,34.633,210900
2021-07-16,33.936,35.635,34.889,1041600
2021-07-19,33.106,34.844,34.25,318000
2021-07-20,33.936,34.574,34.388,411600
2021-07-21,33.887,35.389,34.643,467200
2021-07-22,34.319,36.204,34.368,379700
2021-07-23,31.088,33.317,31.943,2120400
2021-07-26,29.237,33.907,30.44,1453800
2021-07-27,27.396,29.959,28.928,2751700
2021-07-28,30.46,34.201,33.504,1448600
2021-07-29,33.641,34.83,34.604,2187600
2021-07-30,33.239,34.349,33.828,520100
2021-08-02,33.828,34.859,34.319,454700
2021-08-03,32.581,34.093,33.013,969000
2021-08-04,33.033,33.867,33.573,236400
2021-08-05,33.278,34.005,33.642,1846700
2021-08-06,33.276,34.172,34.005,864300
2021-08-09,33.941,35.546,34.741,413700
2021-08-10,34.27,35.704,35.507,508900
2021-08-11,34.957,36.411,35.635,525900
2021-08-12,34.859,36.312,36.224,206900
2021-08-13,35.939,37.461,36.293,897100
2021-08-16,34.054,35.497,34.319,457200
2021-08-17,32.699,33.828,33.533,367100
2021-08-18,32.807,34.908,34.388,131100
2021-08-19,32.129,33.484,32.748,480300
2021-08-20,31.422,32.689,31.815,1027000
2021-08-23,31.324,32.286,31.56,714000
2021-08-24,32.66,35.595,34.712,1140400
2021-08-25,32.826,35.267,33.926,354900
2021-08-26,33.229,34.496,33.396,365600
2021-08-27,34.368,35.782,34.623,726500
2021-08-30,34.172,34.957,34.565,436700
2021-08-31,34.633,36.459,36.195,368200
2021-09-01,36.087,37.019,36.401,679900
2021-09-02,36.381,37.412,36.627,394100
2021-09-03,36.361,37.893,37.235,434300
2021-09-07,37.216,39.592,37.717,1155800
2021-09-08,36.519,38.232,37.667,1122000
2021-09-09,36.764,38.532,38.384,898300
2021-09-10,35.767,38.669,35.782,444200
2021-09-13,34.741,36.303,35.605,705700
2021-09-14,34.859,36.371,35.861,356400
2021-09-15,35.861,38.64,38.09,1368900
2021-09-16,36.823,39.248,37.51,680200
2021-09-17,37.019,38.924,37.844,279000
2021-09-20,35.743,36.902,36.283,950900
2021-09-21,34.908,37.422,35.134,1296900
2021-09-22,35.173,36.882,36.882,407400
2021-09-23,36.813,38.09,37.314,300500
2021-09-24,35.831,36.774,36.342,445200
2021-09-27,34.859,36.204,35.144,379600
2021-09-28,34.319,35.581,35.154,423400
2021-09-29,34.545,35.674,34.83,282100
2021-09-30,34.898,35.694,35.34,731300
2021-10-01,34.643,36.46,36.096,205400
2021-10-04,35.1,35.9,35.438,265800
2021-10-05,34.378,35.566,35.046,550800
2021-10-06,32.459,34.609,32.738,381800
2021-10-07,32.64,33.936,33.219,953000
2021-10-08,32.237,34.299,32.237,233200
2021-10-11,31.491,33.553,32.699,630900
2021-10-12,31.845,33.111,32.473,403200
2021-10-13,31.756,33.583,33.406,711600
2021-10-14,32.11,34.24,33.416,1105200
2021-10-15,32.453,34.103,33.926,661300
2021-10-18,33.101,33.848,33.445,818500
2021-10-19,33.494,35.222,35.006,884600
2021-10-20,34.712,35.861,35.37,1492000
