,Low,High,Close,Volume
2010-12-09,25.52,25.968,25.782,561700
2010-12-10,25.62,25.906,25.736,655000
2010-12-13,25.049,25.821,25.141,893100
2010-12-14,23.836,25.327,24.354,2387500
2010-12-15,23.967,24.832,24.13,1421300
2010-12-16,24.199,24.701,24.678,902000
2010-12-17,24.377,25.072,24.871,1367100
2010-12-20,24.693,25.08,24.732,639700
2010-12-21,24.253,24.879,24.801,859100
2010-12-22,24.284,24.771,24.354,876100
2010-12-23,23.998,24.577,24.021,646900
2010-12-27,23.612,24.238,24.091,465800
2010-12-28,23.766,24.238,23.867,343500
2010-12-29,23.875,24.253,23.952,407700
2010-12-30,23.766,24.114,23.936,330700
2010-12-31,23.682,24.021,23.682,607100
2011-01-03,23.612,24.601,24.199,1166700
2011-01-04,23.743,24.786,24.238,2306200
2011-01-05,23.867,24.415,24.052,1026500
2011-01-06,23.921,24.91,24.021,1346700
2011-01-07,23.411,24.415,23.96,977600
2011-01-10,23.566,24.315,24.145,837500
2011-01-11,22.314,23.481,22.322,4765100
2011-01-12,22.368,23.056,22.716,1779500
2011-01-13,22.901,23.55,23.172,1703100
2011-01-14,23.01,23.736,23.651,972000
2011-01-18,23.21,23.743,23.504,839600
2011-01-19,22.932,23.527,23.079,892600
2011-01-20,22.847,23.944,23.357,1797100
2011-01-21,23.025,23.751,23.581,1349400
2011-01-24,23.01,23.55,23.179,755500
2011-01-25,23.411,24.245,24.083,1974400
2011-01-26,23.102,23.921,23.589,1502200
2011-01-27,23.264,23.821,23.272,1088600
2011-01-28,22.708,23.473,22.778,947400
2011-01-31,22.677,23.349,22.793,1089700
2011-02-01,22.824,23.365,23.234,841600
2011-02-02,23.017,23.396,23.11,725600
2011-02-03,22.971,23.643,23.473,1095900
2011-02-04,23.28,23.689,23.458,1179400
2011-02-07,23.133,23.851,23.141,907200
2011-02-08,23.133,23.62,23.55,705900
2011-02-09,23.218,23.751,23.558,808500
2011-02-10,23.349,23.782,23.458,1084800
2011-02-11,22.075,23.419,22.647,3623400
2011-02-14,22.515,22.979,22.778,1005400
2011-02-15,22.6,23.056,22.855,911800
2011-02-16,22.847,23.488,22.847,993600
2011-02-17,22.747,23.156,22.809,893900
2011-02-18,22.701,23.125,22.778,1042400
2011-02-22,21.442,22.693,21.866,2315600
2011-02-23,20.94,21.936,21.519,1706600
2011-02-24,21.38,21.951,21.905,1665000
2011-02-25,22.152,22.979,22.338,1577500
2011-02-28,22.307,22.639,22.43,1147500
2011-03-01,21.959,22.6,21.99,1611200
2011-03-02,21.681,22.16,22.013,1343500
2011-03-03,22.183,22.917,22.647,1012400
2011-03-04,22.052,22.778,22.376,1100600
2011-03-07,22.09,22.94,22.206,1388400
2011-03-08,22.129,22.816,22.747,1131600
2011-03-09,22.33,23.141,23.04,977700
2011-03-10,22.662,23.056,22.809,763700
2011-03-11,22.507,23.133,23.048,829800
2011-03-14,22.399,22.963,22.886,979700
2011-03-15,22.214,22.955,22.855,830100
2011-03-16,22.268,22.894,22.276,875200
