,Low,High,Close,Volume
2010-12-09,10.431,10.684,10.603,185200
2010-12-10,10.557,10.703,10.694,91000
2010-12-13,10.567,10.729,10.7,157000
2010-12-14,10.574,10.726,10.716,204600
2010-12-15,10.557,10.81,10.587,237000
2010-12-16,10.473,10.707,10.703,195200
2010-12-17,10.583,10.707,10.668,481200
2010-12-20,10.681,11.018,11.005,347400
2010-12-21,10.934,11.028,10.982,100000
2010-12-22,10.921,11.08,10.963,292000
2010-12-23,10.924,11.07,10.969,272200
2010-12-27,10.379,10.775,10.577,612800
2010-12-28,10.385,10.677,10.496,415800
2010-12-29,10.207,10.489,10.295,363400
2010-12-30,10.262,10.47,10.402,329200
2010-12-31,10.243,10.437,10.243,254200
2011-01-03,9.944,10.324,9.957,544000
2011-01-04,9.607,9.938,9.652,494200
2011-01-05,9.497,9.659,9.568,320000
2011-01-06,9.361,9.617,9.438,343200
2011-01-07,9.26,9.464,9.419,274400
2011-01-10,9.351,9.471,9.396,250800
2011-01-11,9.396,9.536,9.425,147400
2011-01-12,9.412,9.516,9.435,266400
2011-01-13,9.357,9.468,9.399,276000
2011-01-14,9.331,9.422,9.396,240000
2011-01-18,9.202,9.39,9.318,313200
2011-01-19,9.169,9.328,9.176,143200
2011-01-20,9.121,9.221,9.14,237200
2011-01-21,9.159,9.325,9.267,252600
2011-01-24,9.283,9.404,9.342,155400
2011-01-25,9.297,9.431,9.365,139600
2011-01-26,9.316,9.46,9.44,168200
2011-01-27,9.362,9.594,9.568,207400
2011-01-28,9.283,9.604,9.283,243200
2011-01-31,9.228,9.368,9.267,169200
2011-02-01,9.169,9.388,9.303,405200
2011-02-02,9.15,9.306,9.182,180600
2011-02-03,9.15,9.254,9.225,167200
2011-02-04,9.169,9.287,9.251,305400
2011-02-07,9.241,9.401,9.329,120000
2011-02-08,9.234,9.339,9.244,139400
2011-02-09,9.199,9.277,9.248,239400
2011-02-10,9.215,9.306,9.248,106400
2011-02-11,9.215,9.29,9.274,108200
2011-02-14,9.248,9.313,9.261,176400
2011-02-15,9.202,9.303,9.202,239600
2011-02-16,9.182,9.297,9.297,322000
2011-02-17,9.261,9.339,9.31,198000
2011-02-18,9.303,9.463,9.411,187800
2011-02-22,9.375,9.46,9.395,237000
2011-02-23,9.153,9.417,9.163,227800
2011-02-24,9.055,9.218,9.156,233200
2011-02-25,9.15,9.319,9.303,196800
2011-02-28,9.342,9.46,9.434,283600
2011-03-01,9.199,9.489,9.205,322200
2011-03-02,9.084,9.248,9.146,229800
2011-03-03,9.065,9.248,9.156,336000
2011-03-04,9.078,9.192,9.15,196600
2011-03-07,8.891,9.221,8.891,407000
2011-03-08,8.888,9.025,9.006,326000
2011-03-09,8.95,9.078,9.032,253200
