,Low,High,Close,Volume
2010-12-09,13.748,14.157,13.919,2002900
2010-12-10,13.957,14.366,14.356,1876300
2010-12-13,14.204,14.537,14.214,1261000
2010-12-14,13.995,14.328,14.1,1595400
2010-12-15,13.729,14.337,13.805,1375700
2010-12-16,13.615,14.033,13.967,1074900
2010-12-17,13.416,13.967,13.701,2102300
2010-12-20,13.644,14.005,13.967,1162400
2010-12-21,13.967,14.347,14.318,1002000
2010-12-22,14.176,14.442,14.233,1078100
2010-12-23,14.185,14.318,14.223,748600
2010-12-27,14.071,14.252,14.242,495900
2010-12-28,14.062,14.347,14.214,849000
2010-12-29,14.157,14.347,14.233,769600
2010-12-30,14.157,14.565,14.489,961000
2010-12-31,14.347,14.86,14.784,996500
2011-01-03,13.796,15.031,14.081,3521600
2011-01-04,13.482,14.404,13.748,3988000
2011-01-05,13.634,14.071,13.976,2175200
2011-01-06,13.701,14.109,13.872,1471000
2011-01-07,13.501,14.09,13.758,1051000
2011-01-10,13.378,13.805,13.568,1336700
2011-01-11,13.606,14.043,13.796,2136000
2011-01-12,13.691,14.052,13.796,1270700
2011-01-13,13.596,13.948,13.834,872900
2011-01-14,13.52,13.938,13.815,970100
2011-01-18,13.729,13.919,13.796,877600
2011-01-19,13.035,13.824,13.206,1873300
2011-01-20,12.883,13.292,13.007,1529100
2011-01-21,12.997,13.225,13.073,1535400
2011-01-24,12.836,13.71,13.311,2110600
2011-01-25,13.026,13.263,13.244,1234700
2011-01-26,13.206,13.777,13.672,2052200
2011-01-27,13.501,13.948,13.872,992000
2011-01-28,13.111,13.872,13.235,2218400
2011-01-31,13.045,13.425,13.149,1592500
2011-02-01,13.121,13.786,13.587,1708500
2011-02-02,13.378,13.834,13.416,843000
2011-02-03,13.159,13.634,13.558,901400
2011-02-04,13.511,13.9,13.853,1149000
2011-02-07,13.862,14.565,14.204,1818300
2011-02-08,14.043,14.413,14.413,1671000
2011-02-09,14.252,14.698,14.442,1147400
2011-02-10,14.081,14.736,14.632,2379300
2011-02-11,14.432,14.793,14.727,836100
2011-02-14,14.575,14.85,14.746,1146100
2011-02-15,14.508,14.831,14.765,1358400
2011-02-16,14.793,15.154,14.879,1733900
2011-02-17,14.841,15.914,15.696,3096300
2011-02-18,15.306,15.677,15.392,2949200
2011-02-22,14.85,15.268,15.021,2098900
2011-02-23,13.862,15.202,14.508,2967900
2011-02-24,14.024,14.518,14.271,2013400
2011-02-25,14.204,14.622,14.499,1367600
2011-02-28,14.252,14.584,14.556,1011400
2011-03-01,13.948,14.755,14.081,1854800
2011-03-02,14.062,14.565,14.451,1104700
2011-03-03,14.594,15.515,15.354,2488600
2011-03-04,14.993,15.354,15.202,1122300
2011-03-07,14.565,15.306,14.603,1523000
2011-03-08,14.451,15.287,15.145,1335100
2011-03-09,14.822,15.24,15.088,3296900
2011-03-10,14.461,15.107,14.651,3230100
2011-03-11,14.413,14.964,14.831,2171400
2011-03-14,14.404,14.869,14.822,1576400
2011-03-15,13.986,14.983,14.831,1627300
2011-03-16,14.47,15.23,14.66,1973900
2011-03-17,14.679,15.012,14.917,1600000
2011-03-18,14.955,15.534,15.373,2857400
2011-03-21,15.268,15.753,15.658,1952200
2011-03-22,15.629,16.361,15.648,2072600
2011-03-23,15.477,16.218,16.123,2153200
2011-03-24,16.161,17.149,16.874,3451000
2011-03-25,16.836,17.52,17.102,2287500
2011-03-28,16.997,17.453,17.349,1336500
2011-03-29,17.035,17.415,17.178,2014800
2011-03-30,17.197,17.425,17.311,1266600
