,Low,High,Close,Volume
2010-12-09,10.531,11.109,11.067,1079000
2010-12-10,10.883,11.32,11.313,561500
2010-12-13,11.137,11.595,11.433,659500
2010-12-14,10.749,11.236,10.827,1278100
2010-12-15,10.637,11.236,10.651,1128200
2010-12-16,10.651,10.926,10.799,624400
2010-12-17,10.707,10.926,10.749,2043500
2010-12-20,10.785,11.165,11.038,854300
2010-12-21,11.017,11.468,11.433,615900
2010-12-22,11.335,11.715,11.511,712300
2010-12-23,11.384,11.624,11.468,308600
2010-12-27,11.384,11.701,11.673,525900
2010-12-28,11.504,11.955,11.941,598200
2010-12-29,11.631,11.955,11.793,616000
2010-12-30,11.8,12.025,11.955,465700
2010-12-31,11.772,12.011,11.772,480400
2011-01-03,11.609,12.082,11.898,654400
2011-01-04,11.602,12.039,11.793,756300
2011-01-05,11.786,12.103,12.061,582400
2011-01-06,11.765,11.983,11.807,948600
2011-01-07,11.095,11.807,11.179,1169400
2011-01-10,10.855,11.645,11.56,803400
2011-01-11,11.476,11.757,11.581,411800
2011-01-12,11.511,11.891,11.574,512100
2011-01-13,11.468,11.736,11.504,465800
2011-01-14,11.539,12.251,12.202,1043400
2011-01-18,11.934,12.216,12.018,774700
2011-01-19,11.609,12.082,11.631,629900
2011-01-20,11.356,11.793,11.433,961700
2011-01-21,11.412,11.574,11.419,466000
2011-01-24,11.306,11.525,11.426,423100
2011-01-25,11.539,12.335,12.328,1692100
2011-01-26,12.286,12.871,12.519,1369400
2011-01-27,12.357,12.646,12.42,713200
2011-01-28,12.054,12.568,12.068,710000
2011-01-31,11.997,12.42,12.202,617600
2011-02-01,12.209,12.737,12.624,1033700
2011-02-02,12.547,12.829,12.667,473000
2011-02-03,12.575,12.857,12.794,432300
2011-02-04,12.639,12.871,12.737,457600
2011-02-07,12.73,13.266,13.083,786600
2011-02-08,12.949,13.195,13.125,318300
2011-02-09,12.935,13.153,13.097,448600
2011-02-10,12.885,13.146,13.033,434000
2011-02-11,12.878,13.308,13.287,334000
2011-02-14,13.195,13.343,13.301,211600
2011-02-15,13.076,13.379,13.139,334700
2011-02-16,13.054,13.301,13.139,252200
2011-02-17,12.913,13.146,13.054,305400
2011-02-18,13.04,13.308,13.245,387800
2011-02-22,12.688,13.238,12.702,398900
2011-02-23,12.371,12.906,12.441,473500
2011-02-24,12.004,12.462,12.166,838300
2011-02-25,12.18,12.575,12.533,538500
2011-02-28,12.378,12.716,12.498,462000
2011-03-01,11.976,12.561,12.032,433900
2011-03-02,11.905,12.336,12.293,648200
2011-03-03,12.399,12.949,12.625,1046900
2011-03-04,12.166,12.674,12.484,462400
2011-03-07,12.068,12.547,12.244,374100
2011-03-08,12.3,12.582,12.519,581700
2011-03-09,12.357,12.667,12.533,342200
2011-03-10,12.053,12.364,12.124,459300
2011-03-11,11.912,12.23,11.927,912300
2011-03-14,11.39,11.891,11.426,1140800
2011-03-15,11.073,11.461,11.383,634800
2011-03-16,10.988,11.348,11.024,615900
2011-03-17,11.073,11.271,11.122,413600
2011-03-18,11.101,11.341,11.214,980800
2011-03-21,11.313,11.651,11.644,440000
2011-03-22,11.278,11.694,11.327,1828100
2011-03-23,11.108,11.44,11.39,409000
2011-03-24,11.341,11.637,11.553,389300
2011-03-25,11.51,11.905,11.757,742900
2011-03-28,11.602,11.771,11.666,438300
2011-03-29,11.524,11.898,11.863,365800
2011-03-30,11.821,12.061,12.046,376100
2011-03-31,11.785,12.061,12.025,316200
2011-04-01,12.11,12.371,12.343,790300
2011-04-04,12.152,12.427,12.202,604200
2011-04-05,12.039,12.251,12.068,749200
2011-04-06,12.103,12.582,12.54,412500
2011-04-07,12.54,12.808,12.625,646800
2011-04-08,12.082,12.738,12.124,376900
2011-04-11,12.032,12.293,12.166,332100
2011-04-12,12.032,12.209,12.046,281100
2011-04-13,11.8,12.187,11.891,507100
2011-04-14,11.658,11.891,11.863,355300
2011-04-15,11.729,12.096,12.039,549400
2011-04-18,11.658,11.955,11.828,538200
2011-04-19,11.771,11.99,11.962,387200
2011-04-20,11.941,12.195,12.025,612000
2011-04-21,11.715,12.166,12.046,671400
2011-04-25,11.969,12.089,12.025,264900
2011-04-26,11.884,12.082,11.927,907700
2011-04-27,11.927,12.096,12.046,440900
2011-04-28,11.997,12.195,12.124,429500
2011-04-29,12.004,12.23,12.025,347000
2011-05-02,12.032,12.159,12.11,384300
2011-05-03,11.919,12.272,12.068,273000
2011-05-04,11.771,12.082,11.828,279900
2011-05-05,11.623,11.898,11.701,230900
2011-05-06,11.539,11.898,11.574,541300
2011-05-09,11.285,11.574,11.574,580500
2011-05-10,11.398,11.722,11.433,934500
2011-05-11,11.256,11.489,11.264,465800
2011-05-12,11.13,11.32,11.221,407000
