,Low,High,Close,Volume
2013-06-27,15.204,16.402,16.07,8285800
2013-06-28,16.079,16.77,16.289,717400
2013-07-01,16.044,16.534,16.044,394200
2013-07-02,15.974,17.181,16.814,223800
2013-07-03,16.332,16.805,16.691,103700
2013-07-05,16.227,16.936,16.814,111800
2013-07-08,16.499,17.041,16.822,110500
2013-07-09,16.674,17.426,17.058,206400
2013-07-10,16.665,17.452,16.709,334900
2013-07-11,16.665,17.19,17.128,108800
2013-07-12,16.805,17.093,17.067,114600
2013-07-15,16.814,17.277,17.111,177300
2013-07-16,16.656,18.064,17.583,239300
2013-07-17,17.251,17.907,17.82,139200
2013-07-18,17.548,18.371,18.222,162000
2013-07-19,18.169,18.712,18.231,631400
2013-07-22,17.688,18.108,17.793,492900
2013-07-23,17.496,18.099,17.688,41500
2013-07-24,17.54,18.099,17.995,43600
2013-07-25,17.496,19.228,19.228,232400
2013-07-26,18.414,19.368,18.887,141300
2013-07-29,18.423,19.245,18.983,85200
2013-07-30,18.196,19.071,18.896,94600
2013-07-31,18.537,19.062,18.808,52500
2013-08-01,18.511,19.071,18.948,181600
2013-08-02,18.519,19.683,19.622,224500
2013-08-05,19.473,20.12,19.937,104800
2013-08-06,19.762,20.208,19.954,419400
2013-08-07,19.805,20.112,20.077,82800
2013-08-08,19.945,20.208,20.181,74100
2013-08-09,19.989,20.225,20.164,67400
2013-08-12,19.989,20.295,20.26,116200
2013-08-13,19.989,20.601,20.47,102400
2013-08-14,20.251,20.47,20.435,72100
2013-08-15,19.945,20.47,20.12,280100
2013-08-16,19.945,20.199,20.164,82200
2013-08-19,19.858,20.243,20.199,196100
2013-08-20,20.007,20.776,20.216,138000
2013-08-21,19.945,20.383,20.146,89000
2013-08-22,19.989,20.383,20.129,52600
2013-08-23,20.007,20.391,20.356,38900
2013-08-26,20.077,20.356,20.103,126500
2013-08-27,19.245,20.042,19.438,280700
2013-08-28,19.158,19.63,19.228,78300
2013-08-29,18.607,19.368,19.315,171500
2013-08-30,19.114,19.385,19.184,110900
2013-09-03,19.053,20.269,19.709,94000
2013-09-04,19.263,20.129,20.129,117900
2013-09-05,19.945,20.776,20.4,84400
2013-09-06,20.112,20.776,20.33,103000
2013-09-09,19.823,20.575,20.085,123700
2013-09-10,19.762,20.33,20.146,125600
2013-09-11,19.692,20.575,20.488,124700
2013-09-12,20.138,20.593,20.199,672200
2013-09-13,20.033,20.575,20.558,213800
2013-09-16,20.339,20.969,20.881,187000
2013-09-17,20.199,20.978,20.321,315500
2013-09-18,20.085,20.986,20.811,273600
2013-09-19,20.26,20.908,20.523,336900
2013-09-20,19.84,20.584,20.024,1170900
2013-09-23,19.893,20.951,20.873,442400
2013-09-24,20.864,21.336,21.257,393900
2013-09-25,20.995,21.371,21.109,263200
2013-09-26,20.846,21.441,20.986,473400
2013-09-27,20.811,21.345,20.978,156900
2013-09-30,19.928,21.074,19.972,1433100
2013-10-01,19.797,20.295,20.295,118500
2013-10-02,19.482,20.251,19.928,177400
2013-10-03,19.805,20.4,20.4,91000
2013-10-04,20.26,20.444,20.426,110300
2013-10-07,20.094,20.4,20.164,56700
2013-10-08,19.954,20.374,20.225,127000
2013-10-09,19.692,20.409,19.84,64900
2013-10-10,19.893,20.4,20.164,108700
2013-10-11,20.007,20.356,20.112,71400
2013-10-14,19.7,20.077,19.928,91100
2013-10-15,19.692,20.042,19.814,77600
2013-10-16,19.56,20.042,19.832,74400
2013-10-17,19.368,20.181,19.928,100700
2013-10-18,19.744,20.251,20.112,94000
2013-10-21,19.683,20.234,19.735,40700
2013-10-22,19.263,20.042,19.945,46800
2013-10-23,18.992,20.208,19.875,126400
2013-10-24,18.546,19.858,19.254,237200
2013-10-25,18.799,19.814,19.377,163800
2013-10-28,19.105,19.657,19.289,121700
2013-10-29,19.036,19.56,19.202,68200
2013-10-30,18.441,19.403,19.333,170200
2013-10-31,18.642,19.455,19.237,150000
2013-11-01,19.158,20.61,19.289,304900
2013-11-04,18.983,20.155,20.068,216000
2013-11-05,19.797,20.426,20.12,173600
2013-11-06,19.945,20.339,20.112,113100
2013-11-07,19.788,20.33,20.103,301400
2013-11-08,19.718,20.173,20.077,554400
