,Low,High,Close,Volume
2025-04-17,29.981,39.162,30.393,14716000
2025-04-21,28.182,33.597,28.725,5470000
2025-04-22,27.17,30.252,29.072,4516500
2025-04-23,29.615,32.642,30.637,3448400
2025-04-24,29.175,30.59,29.325,1575200
2025-04-25,28.669,29.569,29.147,919800
2025-04-28,29.456,32.407,32.323,3083900
2025-04-29,33.073,36.979,33.166,3735100
2025-04-30,30.637,33.176,31.377,1850100
2025-05-01,31.442,33.148,32.567,813200
2025-05-02,32.417,33.644,33.438,785500
2025-05-05,32.323,33.251,32.895,501400
2025-05-06,31.733,34.155,32.417,1045200
2025-05-07,29.625,32.089,30.0,1805800
2025-05-08,29.615,31.096,30.449,1065100
2025-05-09,29.531,30.431,29.981,573600
2025-05-12,28.116,30.918,28.763,1951300
2025-05-13,25.493,28.435,25.634,2354900
2025-05-14,26.477,28.618,27.114,1659600
2025-05-15,26.758,28.557,28.116,834100
2025-05-16,26.702,28.669,27.676,857400
2025-05-19,26.889,28.641,27.985,751400
2025-05-20,27.17,29.653,27.32,1367500
2025-05-21,27.498,28.818,27.863,1148400
2025-05-22,27.311,28.36,27.92,396900
2025-05-23,26.983,27.873,27.751,292700
2025-05-27,27.498,29.484,27.713,1770600
2025-05-28,27.357,29.081,28.931,1007800
2025-05-29,28.107,29.044,29.025,1065000
2025-05-30,26.121,28.913,26.243,1681200
2025-06-02,25.858,28.997,28.847,1322400
2025-06-03,28.407,29.484,28.538,1120100
2025-06-04,29.03,33.185,32.866,2517200
2025-06-05,29.559,31.845,29.662,2408900
2025-06-06,29.934,30.918,30.524,803500
2025-06-09,29.419,31.569,30.683,1280000
2025-06-10,28.472,30.168,28.707,1238500
2025-06-11,28.416,29.334,28.95,719900
2025-06-12,27.713,29.016,28.107,1366100
2025-06-13,27.381,28.201,27.526,752200
2025-06-16,27.47,28.294,27.723,760700
2025-06-17,26.271,27.573,26.505,1373800
2025-06-18,26.196,26.664,26.514,740000
2025-06-20,26.224,27.076,26.683,757000
2025-06-23,25.776,26.505,26.486,936100
2025-06-24,26.046,27.058,26.355,615900
2025-06-25,23.9,26.58,24.031,3501100
2025-06-26,23.666,24.481,24.416,1502800
2025-06-27,24.209,25.165,24.603,549800
2025-06-30,24.106,24.781,24.462,774200
2025-07-01,24.481,25.39,24.547,655500
2025-07-02,25.006,25.858,25.165,1317800
2025-07-03,25.17,25.933,25.577,911600
2025-07-07,26.074,27.226,26.936,2081800
2025-07-08,26.111,27.264,26.243,1087200
2025-07-09,24.922,26.552,26.327,1427500
2025-07-10,26.364,27.058,26.627,520800
2025-07-11,25.765,26.275,25.812,688700
2025-07-14,25.362,26.168,25.502,680000
2025-07-15,24.744,25.577,24.865,999100
2025-07-16,24.275,24.95,24.678,719600
2025-07-17,24.322,24.898,24.519,792600
2025-07-18,22.903,24.734,23.001,2369100
2025-07-21,22.682,23.151,22.823,931000
2025-07-22,22.814,23.66,23.441,1016900
2025-07-23,23.371,24.219,24.013,930800
2025-07-24,22.626,24.078,22.795,1124700
2025-07-25,21.83,22.692,22.045,1185500
2025-07-28,21.717,22.383,21.727,595400
2025-07-29,21.549,22.148,21.652,599500
2025-07-30,21.605,22.279,21.923,940700
2025-07-31,20.668,21.734,20.715,1329100
2025-08-01,19.825,20.799,19.9,990000
2025-08-04,19.872,20.79,20.321,1041400
2025-08-05,19.553,20.481,19.553,1148700
2025-08-06,19.637,20.968,20.349,1644500
2025-08-07,20.293,20.987,20.406,864900
2025-08-08,19.694,20.424,20.349,663100
2025-08-11,20.293,21.043,20.415,510500
2025-08-12,20.08,20.631,20.293,505100
2025-08-13,20.265,20.902,20.312,519400
2025-08-14,19.263,20.312,20.162,1175200
2025-08-15,19.89,20.874,20.837,875700
2025-08-18,20.79,22.101,21.68,2250100
2025-08-19,21.286,22.209,21.389,1036200
2025-08-20,21.015,21.78,21.099,1163300
2025-08-21,20.625,21.558,21.324,539900
2025-08-22,21.361,22.158,21.923,850800
2025-08-25,20.902,22.392,20.968,1064600
2025-08-26,20.94,21.577,21.549,737100
2025-08-27,20.059,21.141,20.734,1542200
2025-08-28,20.518,21.107,20.612,1075100
2025-08-29,17.801,19.272,17.904,4871700
2025-09-02,16.461,17.801,17.333,3914600
2025-09-03,16.864,17.445,17.239,763700
2025-09-04,16.321,17.052,16.714,1373600
2025-09-05,15.777,16.873,15.993,1945600
2025-09-08,15.937,16.296,16.04,1056900
2025-09-09,15.712,16.471,15.88,1145200
2025-09-10,15.718,16.208,15.937,620600
2025-09-11,15.88,16.33,16.077,891600
2025-09-12,15.534,16.115,15.59,839900
2025-09-15,15.147,15.707,15.506,1160200
2025-09-16,15.435,16.265,16.18,1180300
2025-09-17,16.386,17.295,16.667,1644200
2025-09-18,16.133,16.653,16.302,831600
2025-09-19,16.068,16.396,16.274,604500
2025-09-22,16.101,16.555,16.162,627500
2025-09-23,15.74,16.583,15.806,700900
2025-09-24,15.801,16.208,15.899,741500
2025-09-25,15.787,16.105,15.852,404500
2025-09-26,15.562,15.965,15.806,473800
2025-09-29,15.665,16.04,15.777,479300
2025-09-30,15.468,15.984,15.506,730000
2025-10-01,15.178,15.674,15.234,640400
2025-10-02,15.346,16.227,16.096,995100
2025-10-03,15.754,16.302,15.937,703900
2025-10-06,15.609,16.012,15.684,465600
2025-10-07,15.103,15.927,15.234,1433900
2025-10-08,15.271,15.693,15.674,626900
2025-10-09,15.159,15.786,15.234,989900
2025-10-10,14.794,16.208,14.859,1857200
2025-10-13,14.986,15.553,15.084,994800
2025-10-14,14.658,15.646,15.365,804500
2025-10-15,15.234,15.683,15.412,617000
2025-10-16,14.822,15.459,14.99,674400
2025-10-17,14.438,14.981,14.972,683300
2025-10-20,14.934,16.04,16.03,1491700
2025-10-21,15.583,16.302,16.265,665800
2025-10-22,15.759,16.274,15.862,575300
2025-10-23,15.768,16.546,16.443,560300
2025-10-24,16.133,16.485,16.246,790900
2025-10-27,15.834,16.372,16.049,831300
2025-10-28,15.309,16.012,15.506,692200
2025-10-29,14.869,15.605,14.897,679200
2025-10-30,14.531,14.944,14.597,359300
2025-10-31,14.499,14.756,14.662,410700
2025-11-03,14.11,14.658,14.26,675500
2025-11-04,13.885,14.316,13.941,556900
2025-11-05,13.969,14.503,14.175,697200
2025-11-06,13.585,14.26,13.96,729500
2025-11-07,13.341,13.777,13.707,862800
2025-11-10,13.651,14.405,13.688,991500
2025-11-11,13.697,14.171,13.81,606600
2025-11-12,13.979,14.662,13.997,626800
2025-11-13,14.053,14.923,14.353,856300
2025-11-14,13.782,14.232,13.791,668500
2025-11-17,13.351,13.866,13.388,393200
2025-11-18,13.304,13.875,13.679,446100
2025-11-19,13.313,13.75,13.323,370600
2025-11-20,12.217,13.435,12.245,1014300
2025-11-21,12.245,12.892,12.798,466300
2025-11-24,12.405,12.882,12.47,509500
2025-11-25,12.283,13.37,13.304,659200
2025-11-26,13.023,13.529,13.238,535800
2025-11-28,13.585,14.513,14.044,1022800
2025-12-01,13.96,15.328,14.897,1082100
2025-12-02,14.288,15.515,15.215,889300
2025-12-03,14.119,15.047,14.316,928800
2025-12-04,12.266,14.381,13.679,2149500
2025-12-05,12.433,13.707,13.66,1567700
2025-12-08,12.99,14.29,13.73,1161500
