,Low,High,Close,Volume
2010-12-09,16.098,16.804,16.573,333200
2010-12-10,16.454,17.586,17.06,457500
2010-12-13,16.485,17.31,16.598,710100
2010-12-14,16.166,16.71,16.185,792800
2010-12-15,15.948,16.292,16.191,552100
2010-12-16,16.36,17.242,16.917,1325100
2010-12-17,16.754,17.11,17.048,1075700
2010-12-20,17.048,17.979,17.786,679400
2010-12-21,17.754,18.355,18.311,356600
2010-12-22,17.254,18.286,17.436,1171800
2010-12-23,17.192,17.629,17.367,196200
2010-12-27,17.029,17.436,17.098,151400
2010-12-28,16.779,17.229,16.829,171300
2010-12-29,16.567,17.192,17.117,392200
2010-12-30,16.767,17.617,16.823,412300
2010-12-31,16.585,17.192,16.954,405400
2011-01-03,17.185,18.229,17.598,620000
2011-01-04,16.629,18.148,17.135,560800
2011-01-05,16.848,17.298,17.16,328200
2011-01-06,16.479,17.223,16.66,360300
2011-01-07,16.104,16.723,16.679,625200
2011-01-10,16.41,17.067,17.035,404000
2011-01-11,17.11,17.717,17.554,454400
2011-01-12,17.229,17.992,17.423,361100
2011-01-13,17.235,18.254,17.879,796700
2011-01-14,17.692,18.348,18.129,577800
2011-01-18,18.067,18.705,18.573,560100
2011-01-19,18.023,18.717,18.311,565600
2011-01-20,17.229,18.148,17.704,581400
2011-01-21,17.042,17.886,17.098,659300
2011-01-24,16.985,17.698,17.367,822400
2011-01-25,16.648,17.285,16.798,466800
2011-01-26,16.642,17.886,17.873,1033300
2011-01-27,17.973,18.38,18.336,968100
2011-01-28,18.279,19.061,18.88,1268700
2011-01-31,18.88,20.249,19.986,1558000
2011-02-01,19.936,20.355,20.042,1079000
2011-02-02,19.855,20.299,19.917,777500
2011-02-03,19.505,20.036,20.005,473800
2011-02-04,19.361,20.086,19.374,522300
2011-02-07,19.386,20.08,19.98,386100
2011-02-08,19.355,20.111,20.005,442600
2011-02-09,19.742,20.08,20.036,468900
2011-02-10,19.43,20.005,19.574,599000
2011-02-11,19.111,19.867,19.642,784300
2011-02-14,19.517,20.355,20.324,639400
2011-02-15,19.724,20.48,19.917,830100
2011-02-16,19.767,20.167,20.049,694000
2011-02-17,19.499,20.13,19.936,685500
2011-02-18,19.667,20.155,19.711,511500
2011-02-22,19.43,20.443,19.467,1017000
2011-02-23,19.692,20.43,20.28,1223000
2011-02-24,19.749,20.924,19.88,1249900
2011-02-25,20.042,20.73,20.724,614200
2011-02-28,20.955,21.88,21.58,1503100
2011-03-01,20.993,21.999,21.618,1091800
2011-03-02,21.124,22.524,22.355,971700
2011-03-03,21.83,22.599,21.88,796300
2011-03-04,21.699,22.218,22.062,517700
2011-03-07,21.043,22.362,22.037,750900
2011-03-08,20.836,22.037,20.943,814000
2011-03-09,19.567,20.73,20.267,1530300
2011-03-10,18.798,19.905,19.348,2057200
2011-03-11,18.536,19.911,19.655,1372800
2011-03-14,18.867,19.761,19.692,621200
2011-03-15,18.129,20.086,19.536,1237900
2011-03-16,18.179,20.311,18.692,2013300
2011-03-17,18.736,19.999,19.88,1254500
2011-03-18,18.517,19.524,18.605,4351400
2011-03-21,18.867,19.211,19.205,1047500
2011-03-22,18.686,19.267,19.098,1127700
2011-03-23,18.686,19.223,19.048,1320800
2011-03-24,18.442,19.33,18.455,1184900
2011-03-25,18.38,18.955,18.655,1137000
2011-03-28,18.411,18.786,18.698,1416300
2011-03-29,18.48,19.155,18.767,1281600
2011-03-30,18.655,19.123,19.055,977700
2011-03-31,19.286,19.924,19.767,1994900
2011-04-01,19.686,20.061,19.867,1371800
2011-04-04,19.867,20.468,20.424,1117900
2011-04-05,20.142,20.618,20.555,891700
2011-04-06,20.061,20.999,20.124,1890100
2011-04-07,19.717,20.43,20.08,1105800
2011-04-08,19.336,20.48,19.842,1109800
2011-04-11,19.424,20.249,19.442,992700
2011-04-12,18.167,19.411,18.267,1901500
2011-04-13,18.555,19.586,18.805,1601100
2011-04-14,18.348,18.911,18.636,973500
2011-04-15,18.505,19.136,19.061,1335100
2011-04-18,18.229,18.83,18.38,1015400
2011-04-19,18.198,18.973,18.636,1859300
2011-04-20,18.586,19.067,18.692,1830600
2011-04-21,18.667,19.342,19.067,1055100
2011-04-25,18.973,19.792,19.78,1219800
2011-04-26,19.567,20.105,19.78,1100000
2011-04-27,18.723,19.755,19.355,950600
2011-04-28,18.88,19.336,19.098,697200
2011-04-29,18.998,19.367,19.211,839000
