,Low,High,Close,Volume
2010-12-09,13.099,13.276,13.209,47700
2010-12-10,13.178,13.533,13.515,93500
2010-12-13,13.258,13.546,13.435,124800
2010-12-14,13.215,13.515,13.252,82700
2010-12-15,12.915,13.423,12.964,88700
2010-12-16,12.756,13.16,12.799,88900
2010-12-17,12.554,12.903,12.554,176100
2010-12-20,12.107,12.652,12.327,323000
2010-12-21,12.045,12.774,12.664,261300
2010-12-22,12.486,13.019,12.835,111400
2010-12-23,12.799,13.007,12.933,64500
2010-12-27,12.866,13.086,12.946,61300
2010-12-28,12.903,13.331,13.307,115000
2010-12-29,13.227,13.448,13.319,111400
2010-12-30,13.031,13.472,13.197,117200
2010-12-31,13.037,13.227,13.043,109300
2011-01-03,13.043,13.295,13.105,91300
2011-01-04,13.117,13.295,13.264,84000
2011-01-05,13.166,13.448,13.319,99200
2011-01-06,13.239,13.423,13.356,56300
2011-01-07,13.203,13.429,13.38,48100
2011-01-10,13.35,13.833,13.76,178200
2011-01-11,13.589,14.078,13.895,175500
2011-01-12,13.84,14.078,14.023,105000
2011-01-13,13.956,14.342,14.146,180200
2011-01-14,14.207,14.807,14.752,306900
2011-01-18,14.574,14.985,14.691,139800
2011-01-19,14.293,14.844,14.427,102400
2011-01-20,14.085,14.489,14.213,120100
2011-01-21,14.238,14.636,14.409,118800
2011-01-24,14.532,14.721,14.666,148500
2011-01-25,14.55,14.752,14.685,92100
2011-01-26,14.636,14.954,14.887,225000
2011-01-27,14.777,14.979,14.844,107700
2011-01-28,14.728,14.905,14.893,136200
2011-01-31,14.832,15.132,15.107,162800
2011-02-01,15.064,15.279,15.138,227500
2011-02-02,14.807,14.982,14.969,141600
2011-02-03,14.726,15.088,14.957,74900
2011-02-04,14.851,15.007,14.944,73000
2011-02-07,14.857,15.119,14.876,78900
2011-02-08,14.501,14.938,14.676,113500
2011-02-09,14.139,14.607,14.308,132000
2011-02-10,14.127,14.333,14.164,76900
2011-02-11,14.045,14.445,14.17,100700
2011-02-14,14.176,14.451,14.432,84200
2011-02-15,14.283,14.52,14.395,87500
2011-02-16,14.27,14.701,14.526,124000
2011-02-17,14.545,14.951,14.907,113100
2011-02-18,14.794,14.982,14.876,98400
2011-02-22,14.345,14.832,14.37,148900
2011-02-23,14.045,14.57,14.077,126000
2011-02-24,12.953,13.234,13.084,3782400
2011-02-25,13.059,13.221,13.184,1026100
2011-02-28,13.115,13.296,13.203,289400
2011-03-01,12.984,13.203,13.053,345900
2011-03-02,13.003,13.146,13.084,194300
2011-03-03,13.059,13.203,13.178,194100
2011-03-04,13.14,13.203,13.203,208800
2011-03-07,13.146,13.24,13.19,213000
2011-03-08,13.165,13.29,13.184,167800
2011-03-09,12.953,13.228,12.965,304400
2011-03-10,12.366,13.034,12.759,387400
2011-03-11,12.772,13.003,12.922,156700
2011-03-14,12.809,13.009,12.916,109500
2011-03-15,12.647,12.803,12.722,216700
2011-03-16,12.566,12.909,12.641,217900
2011-03-17,12.603,12.791,12.722,258400
2011-03-18,12.485,12.741,12.666,735900
2011-03-21,12.672,13.053,12.922,330600
2011-03-22,12.953,13.234,13.134,171800
2011-03-23,13.078,13.296,13.246,90400
2011-03-24,13.215,13.39,13.315,150000
2011-03-25,13.259,13.39,13.278,81400
2011-03-28,13.203,13.415,13.278,176700
2011-03-29,13.122,13.34,13.184,117000
2011-03-30,13.047,13.384,13.34,148700
2011-03-31,13.19,13.359,13.265,117200
2011-04-01,13.165,13.415,13.19,211600
2011-04-04,13.178,13.527,13.352,335700
2011-04-05,13.296,13.459,13.352,100600
