,Low,High,Close,Volume
2010-12-09,5.523,5.59,5.553,18100
2010-12-10,5.516,5.545,5.516,300
2010-12-13,5.516,5.568,5.53,10300
2010-12-14,5.478,5.583,5.478,12300
2010-12-15,5.411,5.516,5.434,16300
2010-12-16,5.448,5.523,5.471,89000
2010-12-17,5.478,5.665,5.642,48800
2010-12-20,5.597,5.702,5.612,29200
2010-12-21,5.59,5.665,5.665,15700
2010-12-22,5.59,5.739,5.657,32200
2010-12-23,5.665,5.836,5.799,18600
2010-12-27,5.665,5.94,5.873,20700
2010-12-28,5.829,6.037,5.993,35700
2010-12-29,5.881,6.03,6.0,30000
2010-12-30,6.037,6.112,6.045,9400
2010-12-31,6.052,6.112,6.075,14100
2011-01-03,5.858,6.179,5.858,26500
2011-01-04,5.963,6.164,6.03,12100
2011-01-05,6.06,6.201,6.186,20700
2011-01-06,6.246,6.417,6.388,9200
2011-01-07,6.343,6.708,6.604,53200
2011-01-10,6.201,6.507,6.417,5500
2011-01-11,6.35,6.47,6.365,4900
2011-01-12,6.365,6.485,6.425,4700
2011-01-13,6.358,6.5,6.358,3700
2011-01-14,6.358,6.522,6.507,6900
2011-01-18,6.47,6.694,6.619,5100
2011-01-19,6.395,6.709,6.395,23200
2011-01-20,6.141,6.545,6.44,10700
2011-01-21,6.402,6.672,6.485,3900
2011-01-24,6.305,6.447,6.395,9800
2011-01-25,6.32,6.477,6.47,11500
2011-01-26,6.395,6.515,6.515,4700
2011-01-27,6.47,6.545,6.545,14200
2011-01-28,6.417,6.545,6.507,5500
2011-01-31,6.545,6.732,6.732,3300
2011-02-01,6.649,6.732,6.679,14600
2011-02-02,6.664,6.732,6.717,10700
2011-02-03,6.657,6.694,6.687,2400
2011-02-04,6.664,6.709,6.679,1300
2011-02-07,6.664,7.061,6.769,28700
2011-02-08,6.702,6.732,6.702,1100
2011-02-09,6.709,6.844,6.829,21300
2011-02-10,6.769,6.836,6.769,19400
2011-02-11,6.769,6.836,6.791,23800
2011-02-14,6.769,6.829,6.784,22200
2011-02-15,6.784,6.948,6.881,38800
2011-02-16,6.799,6.926,6.896,4800
2011-02-17,6.829,6.918,6.829,2200
2011-02-18,6.851,6.904,6.881,4500
2011-02-22,6.769,6.844,6.844,5900
2011-02-23,6.806,6.836,6.821,3800
2011-02-24,6.769,6.881,6.769,3200
2011-02-25,6.806,6.874,6.836,13400
2011-02-28,6.784,6.874,6.866,3300
2011-03-01,6.814,6.866,6.814,7700
2011-03-02,6.814,6.844,6.821,3200
2011-03-03,6.784,6.844,6.799,15200
2011-03-04,6.791,6.851,6.791,12500
2011-03-07,6.754,6.806,6.769,39000
2011-03-08,6.754,6.829,6.821,19100
2011-03-09,6.821,6.874,6.851,16500
2011-03-10,6.814,6.874,6.866,8000
2011-03-11,6.836,6.911,6.851,15600
2011-03-14,6.799,6.844,6.836,12100
2011-03-15,6.799,6.851,6.851,25200
2011-03-16,6.754,6.836,6.814,5900
2011-03-17,6.776,6.821,6.776,1000
2011-03-18,6.776,6.836,6.836,7500
2011-03-21,6.732,6.844,6.799,9900
2011-03-22,6.732,6.814,6.814,7000
2011-03-23,6.821,7.292,7.061,34200
2011-03-24,6.844,7.105,6.874,28700
2011-03-25,6.933,7.105,7.031,7400
2011-03-28,7.031,7.479,7.031,6300
2011-03-29,7.053,7.105,7.076,6400
2011-03-30,7.068,7.143,7.143,3800
2011-03-31,7.143,7.188,7.173,4700
2011-04-01,7.016,7.173,7.173,2900
2011-04-04,7.105,7.203,7.135,9400
2011-04-05,7.068,7.255,7.218,8800
2011-04-06,7.105,7.248,7.218,28000
2011-04-07,7.188,7.255,7.248,13000
2011-04-08,7.248,7.509,7.352,48400
2011-04-11,7.195,7.405,7.367,6900
2011-04-12,7.345,7.427,7.427,11200
2011-04-13,7.33,7.495,7.33,8600
2011-04-14,7.345,7.427,7.39,9600
2011-04-15,7.172,7.427,7.285,63100
2011-04-18,7.27,7.36,7.36,5200
2011-04-19,7.352,7.487,7.442,11200
2011-04-20,7.352,7.487,7.465,22700
2011-04-21,7.337,7.457,7.412,5700
2011-04-25,7.3,7.397,7.39,9200
2011-04-26,7.135,7.39,7.135,12100
2011-04-27,7.142,7.382,7.322,15000
2011-04-28,7.142,7.315,7.27,9900
2011-04-29,7.12,7.307,7.187,7200
2011-05-02,7.142,7.307,7.18,9500
2011-05-03,7.142,7.24,7.202,14000
2011-05-04,7.127,7.255,7.225,16100
2011-05-05,7.195,7.315,7.307,15100
2011-05-06,7.292,7.427,7.382,14000
2011-05-09,7.292,7.427,7.427,9700
2011-05-10,7.36,7.465,7.45,7700
2011-05-11,7.405,7.487,7.427,10200
2011-05-12,7.39,7.652,7.502,26900
2011-05-13,7.457,7.532,7.472,13000
2011-05-16,7.435,7.577,7.555,6400
2011-05-17,7.472,7.555,7.48,26100
2011-05-18,7.502,7.585,7.562,13400
2011-05-19,7.502,7.577,7.54,15900
2011-05-20,7.427,7.532,7.48,4300
2011-05-23,7.285,7.517,7.465,5600
2011-05-24,7.307,7.615,7.525,13400
2011-05-25,7.202,7.547,7.547,4500
2011-05-26,7.45,7.54,7.502,2300
2011-05-27,7.48,7.577,7.555,8900
2011-05-31,7.375,7.652,7.615,40500
2011-06-01,7.577,7.652,7.652,4400
2011-06-02,7.615,7.652,7.615,9800
2011-06-03,7.525,7.652,7.63,3700
2011-06-06,7.622,7.727,7.727,29500
2011-06-07,7.675,7.742,7.72,20700
2011-06-08,7.652,7.877,7.877,19500
2011-06-09,7.757,7.802,7.787,18700
2011-06-10,7.555,7.802,7.667,41600
2011-06-13,7.54,7.697,7.66,34900
2011-06-14,7.592,7.712,7.712,10100
2011-06-15,7.592,7.69,7.675,20300
2011-06-16,7.6,7.802,7.802,19900
2011-06-17,7.54,7.795,7.735,15800
2011-06-20,7.675,7.795,7.757,9600
2011-06-21,7.637,7.802,7.802,9700
2011-06-22,7.66,7.802,7.735,21700
2011-06-23,7.54,7.772,7.675,42800
2011-06-24,7.465,7.855,7.487,1583500
2011-06-27,7.277,7.765,7.765,60500
2011-06-28,7.63,7.855,7.84,63900
2011-06-29,7.742,7.855,7.832,11800
2011-06-30,7.787,7.84,7.832,21000
2011-07-01,7.832,8.23,8.11,75400
2011-07-05,7.997,8.155,8.155,30300
2011-07-06,7.967,8.163,8.163,21200
2011-07-07,8.102,8.2,8.2,27100
2011-07-08,8.102,8.185,8.163,11200
2011-07-11,8.08,8.193,8.132,22500
2011-07-12,8.11,8.26,8.132,17800
2011-07-13,8.072,8.163,8.14,15600
2011-07-14,7.929,8.132,7.99,22100
2011-07-15,7.99,8.17,7.997,20500
2011-07-18,7.847,8.223,7.922,15900
2011-07-19,7.884,8.223,8.223,25500
2011-07-20,8.02,8.193,8.095,7600
2011-07-21,7.719,8.2,8.117,27100
2011-07-22,8.035,8.132,8.102,4300
2011-07-25,7.862,8.117,8.035,12600
2011-07-26,7.681,8.027,7.741,21900
2011-07-27,7.26,7.749,7.312,41400
2011-07-28,7.335,7.884,7.869,19100
2011-07-29,7.455,7.779,7.553,26300
2011-08-01,7.448,7.779,7.734,23300
2011-08-02,7.546,7.786,7.553,20900
2011-08-03,7.516,7.854,7.839,20600
2011-08-04,7.568,7.854,7.636,22400
2011-08-05,7.335,7.719,7.35,31600
2011-08-08,7.034,7.651,7.034,56200
2011-08-09,7.072,7.508,7.418,27500
2011-08-10,6.966,7.433,7.027,42600
2011-08-11,6.989,7.41,7.267,34000
2011-08-12,7.042,7.305,7.079,17500
2011-08-15,7.102,7.403,7.17,10900
2011-08-16,6.989,7.245,7.012,30900
2011-08-17,7.072,7.267,7.102,9400
2011-08-18,6.891,7.275,6.959,50400
2011-08-19,6.899,7.087,6.944,27000
2011-08-22,6.854,7.117,6.936,17000
2011-08-23,6.778,7.102,6.966,52200
2011-08-24,6.929,7.147,7.124,8200
2011-08-25,6.899,7.147,6.921,20700
2011-08-26,6.906,7.124,7.102,13100
2011-08-29,7.027,7.147,7.139,17500
2011-08-30,6.966,7.328,7.32,12400
2011-08-31,7.192,7.523,7.215,16600
2011-09-01,6.891,7.493,6.899,17200
2011-09-02,6.771,7.109,6.778,41800
2011-09-06,6.598,6.929,6.831,21800
2011-09-07,6.899,7.132,7.064,13700
2011-09-08,6.726,7.079,6.771,17700
2011-09-09,6.696,6.891,6.696,27700
2011-09-12,6.711,7.027,6.959,17300
2011-09-13,7.004,7.388,7.237,21600
2011-09-14,6.936,7.29,7.192,21700
2011-09-15,6.929,7.185,7.185,14300
2011-09-16,7.072,7.185,7.177,29500
2011-09-19,6.891,7.094,6.891,8500
2011-09-20,6.801,7.064,6.831,16700
2011-09-21,6.703,6.831,6.703,22600
2011-09-22,6.319,6.741,6.402,38100
2011-09-23,6.327,6.793,6.583,16400
2011-09-26,6.658,7.139,7.064,12600
2011-09-27,6.974,7.207,7.124,24800
2011-09-28,6.681,7.177,6.688,24200
2011-09-29,6.771,6.951,6.899,10400
2011-09-30,6.771,7.29,7.26,42000
2011-10-03,6.703,7.245,6.703,37200
2011-10-04,6.703,7.335,7.23,47100
2011-10-05,6.891,7.358,7.29,18900
2011-10-06,7.215,7.418,7.328,27900
2011-10-07,6.929,7.403,6.989,26600
2011-10-10,7.042,7.328,7.312,24400
2011-10-11,7.169,7.358,7.312,24000
2011-10-12,7.124,7.358,7.35,30600
2011-10-13,7.26,7.35,7.35,8900
2011-10-14,7.169,7.546,7.509,17600
2011-10-17,7.094,7.509,7.101,16600
2011-10-18,7.026,7.456,7.441,23300
2011-10-19,7.033,7.395,7.063,13700
2011-10-20,6.845,7.139,6.875,10900
2011-10-21,6.905,7.358,7.245,27800
2011-10-24,7.162,7.335,7.335,15700
2011-10-25,6.965,7.312,7.056,14600
2011-10-26,7.071,7.169,7.169,18100
2011-10-27,7.245,7.486,7.486,68300
2011-10-28,7.245,7.501,7.32,21600
2011-10-31,6.996,7.32,7.003,38400
