,Low,High,Close,Volume
2021-08-13,19.31,19.31,19.31,402500
2021-08-16,19.271,19.714,19.462,155200
2021-08-17,19.325,19.607,19.447,142200
2021-08-18,19.271,19.531,19.386,243800
2021-08-19,19.378,19.577,19.577,109000
2021-08-20,19.539,19.943,19.92,37800
2021-08-23,19.691,19.958,19.92,22400
2021-08-24,19.92,20.065,19.958,11200
2021-08-25,19.768,19.859,19.844,41000
2021-08-26,19.737,19.874,19.768,34800
2021-08-27,19.836,19.913,19.913,400
2021-08-30,19.904,20.096,20.035,112700
2021-08-31,19.79,20.073,19.844,108700
2021-09-01,19.737,20.035,19.882,39500
2021-09-02,19.829,19.958,19.958,32200
2021-09-03,19.958,20.027,20.019,25800
2021-09-07,19.851,20.027,20.027,42000
2021-09-08,19.859,20.027,19.958,27800
2021-09-09,19.806,19.989,19.867,25500
2021-09-10,19.76,19.997,19.76,44500
2021-09-13,19.768,19.958,19.913,30500
2021-09-14,19.79,19.989,19.802,22500
2021-09-15,19.806,19.981,19.958,20100
2021-09-16,19.851,20.035,20.035,16600
2021-09-17,19.997,20.157,20.073,54900
2021-09-20,19.868,20.073,19.958,16400
2021-09-21,19.981,20.088,20.073,13600
2021-09-22,19.92,20.08,20.073,11100
2021-09-23,19.905,20.088,19.92,49100
2021-09-24,19.974,20.225,20.142,80900
2021-09-27,20.08,20.416,20.225,49500
2021-09-28,20.004,20.271,20.149,38100
2021-09-29,20.042,20.134,20.111,32500
2021-09-30,20.08,20.416,20.111,434100
2021-10-01,20.012,20.225,20.012,2300
2021-10-04,19.951,20.142,19.951,56200
2021-10-05,20.004,20.79,20.004,10700
2021-10-06,19.905,20.218,20.171,9600
2021-10-07,20.119,20.279,20.214,4300
2021-10-08,20.153,20.225,20.153,1100
2021-10-11,20.271,20.271,20.271,200
2021-10-12,20.035,20.438,20.271,10700
2021-10-13,20.317,20.561,20.355,10100
2021-10-14,20.493,20.806,20.607,4600
2021-10-15,20.164,20.538,20.538,8100
2021-10-18,20.149,20.538,20.225,2700
2021-10-19,20.225,20.454,20.233,1700
2021-10-20,20.149,20.447,20.18,1100
2021-10-21,20.157,20.393,20.317,7100
2021-10-22,20.149,20.322,20.172,2900
2021-10-25,20.157,20.187,20.172,3600
2021-10-26,20.119,20.195,20.119,8000
2021-10-27,20.126,20.508,20.134,1700
2021-10-28,20.119,20.546,20.119,2400
2021-10-29,20.164,20.416,20.317,7200
2021-11-01,20.462,20.661,20.584,2500
2021-11-02,20.187,20.676,20.355,6500
2021-11-03,20.477,20.676,20.676,800
2021-11-04,20.577,20.645,20.63,2100
2021-11-05,20.126,20.63,20.569,1900
2021-11-08,20.599,20.645,20.638,1100
2021-11-09,20.638,20.638,20.638,300
2021-11-10,20.592,20.607,20.607,2400
2021-11-11,20.599,20.599,20.599,600
2021-11-12,20.599,20.599,20.599,0
2021-11-15,20.195,20.37,20.355,2900
2021-11-16,20.355,20.355,20.355,400
2021-11-17,20.283,20.592,20.287,4600
2021-11-18,20.302,20.378,20.378,800
2021-11-19,20.378,20.378,20.378,0
2021-11-22,20.449,20.449,20.449,400
2021-11-23,20.26,20.635,20.318,900
2021-11-24,20.178,20.418,20.418,5900
2021-11-26,20.202,20.271,20.271,1000
2021-11-29,20.163,20.434,20.403,1400
2021-11-30,20.403,20.403,20.403,0
2021-12-01,20.349,20.411,20.349,2700
2021-12-02,20.349,20.349,20.349,400
2021-12-03,20.349,20.349,20.349,0
2021-12-06,20.356,20.433,20.433,1200
2021-12-07,20.465,20.496,20.496,2000
2021-12-08,20.128,20.569,20.434,3700
2021-12-09,20.411,20.509,20.411,900
2021-12-10,20.117,20.325,20.117,3500
2021-12-13,20.403,20.511,20.403,500
