,Low,High,Close,Volume
2020-11-24,74.817,74.817,74.817,1000
2020-11-25,74.817,74.817,74.817,0
2020-11-27,74.817,74.817,74.817,0
2020-11-30,74.817,74.817,74.817,0
2020-12-01,74.817,106.614,98.197,1633700
2020-12-02,89.79,100.442,93.465,603900
2020-12-03,93.512,98.665,95.139,488300
2020-12-04,93.306,97.178,94.653,818500
2020-12-07,92.586,109.214,107.68,418300
2020-12-08,97.056,107.531,97.608,471300
2020-12-09,94.672,99.993,96.103,299300
2020-12-10,93.708,97.552,94.213,242000
2020-12-11,92.614,95.205,93.615,441700
2020-12-14,86.414,95.345,88.144,538000
2020-12-15,86.629,94.129,93.026,520100
2020-12-16,89.332,93.568,92.97,237500
2020-12-17,91.623,96.374,93.839,447800
2020-12-18,91.464,95.42,92.278,918000
2020-12-21,90.262,93.802,92.717,486200
2020-12-22,90.828,93.4,91.361,276700
2020-12-23,90.725,93.203,91.772,169700
2020-12-24,91.81,94.372,93.409,79500
2020-12-28,92.119,96.322,95.392,101000
2020-12-29,92.306,95.392,94.644,245800
2020-12-30,92.119,94.419,92.867,226000
2020-12-31,91.651,93.512,92.306,230500
2021-01-04,90.192,93.933,93.231,182100
2021-01-05,92.595,94.428,93.68,212800
2021-01-06,92.586,96.262,94.653,236200
2021-01-07,93.872,97.192,96.196,251400
2021-01-08,95.336,103.407,102.743,287100
2021-01-11,100.133,105.314,104.557,269300
2021-01-12,104.323,111.449,110.823,370900
2021-01-13,109.411,112.609,111.945,278200
2021-01-14,109.457,115.19,114.872,256000
2021-01-15,110.252,115.312,112.441,198800
2021-01-19,106.251,115.478,107.54,327400
2021-01-20,107.569,112.819,111.964,243200
2021-01-21,109.813,113.641,109.925,186900
2021-01-22,107.98,111.805,110.954,128300
2021-01-25,107.596,112.637,110.299,125000
2021-01-26,107.755,111.431,110.991,119100
2021-01-27,105.843,109.177,107.568,230900
2021-01-28,105.941,110.103,108.812,169100
2021-01-29,99.741,108.98,99.993,257400
2021-02-01,100.105,103.809,103.547,123500
2021-02-02,103.435,107.016,104.753,129000
2021-02-03,101.976,105.614,102.331,156500
2021-02-04,100.171,104.632,102.125,155800
2021-02-05,100.844,103.767,103.042,108400
2021-02-08,102.49,105.146,103.444,103200
2021-02-09,100.073,104.819,103.182,127800
2021-02-10,102.116,104.678,103.743,69000
2021-02-11,102.209,104.529,103.154,84700
2021-02-12,101.368,103.519,103.341,73800
2021-02-16,100.554,104.276,103.584,199400
2021-02-17,102.613,107.391,104.894,147500
2021-02-18,102.761,107.484,105.913,208600
2021-02-19,104.875,106.951,106.577,129000
2021-02-22,102.069,106.577,104.66,144800
2021-02-23,98.59,106.549,105.174,173900
2021-02-24,99.881,107.419,106.624,116200
2021-02-25,105.296,111.01,109.934,199300
2021-02-26,103.912,116.967,115.508,309900
2021-03-01,115.508,120.537,119.474,182100
2021-03-02,115.546,118.936,117.051,236400
2021-03-03,112.104,117.453,114.302,151900
2021-03-04,111.552,116.443,114.919,245700
2021-03-05,110.29,116.574,114.33,132700
2021-03-08,114.442,124.57,123.523,289000
2021-03-09,124.075,127.105,125.403,189500
2021-03-10,126.244,130.49,126.946,207200
2021-03-11,126.047,135.578,132.033,260200
2021-03-12,127.32,132.908,130.182,187800
2021-03-15,129.275,135.012,131.154,179000
2021-03-16,129.742,136.186,133.193,253100
2021-03-17,124.991,133.212,129.761,426400
2021-03-18,124.009,135.943,125.964,391300
2021-03-19,123.729,127.558,124.14,584200
2021-03-22,120.652,127.708,124.056,329600
