,Low,High,Close,Volume
2010-12-09,10.571,10.885,10.643,173100
2010-12-10,10.61,10.99,10.907,260100
2010-12-13,10.648,11.006,10.676,187700
2010-12-14,10.615,10.99,10.94,185500
2010-12-15,10.852,11.067,10.968,252500
2010-12-16,10.946,11.287,11.166,249000
2010-12-17,11.078,11.315,11.177,505000
2010-12-20,11.177,11.403,11.309,160300
2010-12-21,11.287,11.75,11.529,199800
2010-12-22,11.568,12.113,11.888,273400
2010-12-23,11.529,11.981,11.744,137800
2010-12-27,11.607,11.876,11.832,52400
2010-12-28,11.706,11.965,11.843,76300
2010-12-29,11.667,11.854,11.706,82900
2010-12-30,11.618,11.888,11.777,152700
2010-12-31,11.601,11.882,11.601,198700
2011-01-03,11.601,12.196,11.915,251300
2011-01-04,11.144,11.865,11.618,461200
2011-01-05,11.557,11.948,11.937,155000
2011-01-06,11.574,11.932,11.651,229000
2011-01-07,11.072,11.761,11.094,257000
2011-01-10,10.808,11.276,11.232,201400
2011-01-11,11.028,11.315,11.155,75000
2011-01-12,11.199,11.441,11.441,136300
2011-01-13,11.243,11.502,11.337,115000
2011-01-14,11.26,11.651,11.618,228800
2011-01-18,11.568,11.744,11.623,252300
2011-01-19,11.083,11.601,11.166,175700
2011-01-20,11.012,11.26,11.094,148700
2011-01-21,10.984,11.26,11.001,228900
2011-01-24,10.786,11.061,10.808,138300
2011-01-25,10.753,11.023,11.001,166900
2011-01-26,10.709,11.171,11.078,175500
2011-01-27,11.028,11.348,11.127,101200
2011-01-28,10.835,11.171,10.863,215100
2011-01-31,10.725,11.1,11.072,256500
2011-02-01,10.901,11.375,11.375,180200
2011-02-02,11.188,11.32,11.298,127700
2011-02-03,11.122,11.397,11.249,129700
2011-02-04,10.824,11.551,10.968,455300
2011-02-07,10.951,11.293,11.193,258800
2011-02-08,11.083,11.215,11.177,263600
2011-02-09,10.879,11.232,10.995,103300
2011-02-10,10.791,11.017,10.846,119500
2011-02-11,10.78,11.221,11.155,196100
2011-02-14,11.001,11.177,11.122,85800
2011-02-15,10.802,11.116,10.818,268400
2011-02-16,10.802,11.166,11.089,275200
2011-02-17,10.967,11.21,11.144,119100
2011-02-18,11.122,11.276,11.238,166600
2011-02-22,10.901,11.293,10.951,192900
2011-02-23,10.824,10.978,10.84,173500
2011-02-24,10.653,10.885,10.796,174600
2011-02-25,10.785,11.083,11.072,151100
2011-02-28,10.863,11.183,10.945,136700
2011-03-01,10.554,10.967,10.587,262500
2011-03-02,10.405,10.73,10.708,116200
2011-03-03,10.796,11.177,11.111,311900
2011-03-04,10.868,11.089,11.006,125200
