,Low,High,Close,Volume
2010-12-09,23.822,24.254,24.135,322600
2010-12-10,24.217,25.069,24.843,522200
2010-12-13,24.736,25.081,25.061,315000
2010-12-14,24.867,25.287,25.127,263800
2010-12-15,24.168,25.258,24.188,734200
2010-12-16,24.081,24.481,24.476,540200
2010-12-17,24.349,25.159,25.061,534400
2010-12-20,24.579,25.254,25.065,344000
2010-12-21,24.925,25.279,25.25,217800
2010-12-22,24.699,25.616,25.468,549400
2010-12-23,24.834,25.287,25.085,331200
2010-12-27,24.88,25.061,25.028,115600
2010-12-28,24.904,25.118,24.97,169800
2010-12-29,24.999,25.225,25.077,192000
2010-12-30,25.024,25.209,25.09,80200
2010-12-31,24.814,25.118,24.814,115000
2011-01-03,24.81,25.287,25.098,269400
2011-01-04,24.234,25.164,24.476,171600
2011-01-05,24.073,24.851,24.83,163800
2011-01-06,24.394,25.007,24.563,212000
2011-01-07,23.991,24.633,24.11,329000
2011-01-10,23.752,24.39,24.386,287400
2011-01-11,24.04,24.559,24.176,217200
2011-01-12,24.374,24.587,24.411,225600
2011-01-13,24.328,24.505,24.427,162600
2011-01-14,24.312,25.011,24.983,157200
2011-01-18,24.793,25.036,24.95,109200
2011-01-19,24.567,24.95,24.633,126800
2011-01-20,24.415,24.88,24.678,153600
2011-01-21,24.501,24.88,24.505,278600
2011-01-24,24.398,25.028,25.015,240600
2011-01-25,24.637,25.209,24.884,568000
2011-01-26,24.851,25.485,25.423,284200
2011-01-27,25.275,25.941,25.76,240600
2011-01-28,24.999,25.925,25.176,413800
2011-01-31,24.789,25.542,25.094,373000
2011-02-01,25.028,25.859,25.682,308800
2011-02-02,24.999,25.789,25.18,248000
2011-02-03,24.843,25.439,25.299,353000
2011-02-04,25.192,25.995,25.908,275400
2011-02-07,25.719,26.127,26.024,242600
2011-02-08,25.736,26.127,26.11,203200
2011-02-09,25.962,26.806,26.188,463600
2011-02-10,25.517,26.258,26.147,148600
2011-02-11,26.007,26.303,26.25,198600
2011-02-14,26.229,26.423,26.303,104600
2011-02-15,25.862,26.18,25.977,135800
2011-02-16,25.87,26.303,26.196,110400
2011-02-17,26.089,26.881,26.613,262000
2011-02-18,26.448,26.861,26.828,239600
2011-02-22,26.048,26.824,26.109,213200
2011-02-23,25.288,26.109,25.494,171800
2011-02-24,25.234,25.759,25.358,327000
2011-02-25,25.379,26.184,25.874,251800
2011-02-28,25.754,26.13,25.92,159800
2011-03-01,25.346,26.155,25.379,268000
2011-03-02,25.098,25.536,25.21,254600
2011-03-03,25.3,25.878,25.688,182800
2011-03-04,25.338,25.701,25.565,224000
2011-03-07,24.983,25.899,25.164,432200
2011-03-08,24.76,25.792,25.701,271600
2011-03-09,25.375,25.874,25.738,502200
2011-03-10,25.139,25.503,25.168,251200
2011-03-11,24.813,25.305,25.276,309200
2011-03-14,24.747,25.259,25.061,193200
2011-03-15,23.959,24.722,24.277,399200
2011-03-16,23.835,24.491,23.839,319600
2011-03-17,23.645,24.206,23.69,304800
2011-03-18,23.162,24.0,23.228,406800
2011-03-21,23.472,23.951,23.711,116800
2011-03-22,23.567,23.913,23.62,132800
2011-03-23,23.216,23.827,23.633,114400
2011-03-24,23.162,23.93,23.769,128400
2011-03-25,23.723,24.355,23.839,85000
2011-03-28,23.575,24.128,23.62,191000
2011-03-29,23.501,23.769,23.703,326200
2011-03-30,23.62,24.38,24.256,447200
2011-03-31,24.087,24.582,24.528,388000
2011-04-01,24.0,24.661,24.202,427000
2011-04-04,24.029,24.318,24.293,148200
2011-04-05,24.223,24.632,24.557,194400
2011-04-06,24.012,24.739,24.367,129400
2011-04-07,24.409,25.3,25.02,351200
2011-04-08,24.524,25.127,24.768,308800
2011-04-11,24.978,25.787,25.057,255800
2011-04-12,24.863,25.532,24.921,210800
2011-04-13,24.202,25.585,24.962,197800
2011-04-14,24.669,25.057,24.817,92600
2011-04-15,24.566,25.086,24.921,191400
2011-04-18,24.235,24.755,24.71,100400
2011-04-19,24.661,25.152,24.846,132400
2011-04-20,25.255,25.606,25.499,267400
2011-04-21,25.135,25.701,25.144,194800
2011-04-25,25.23,25.705,25.672,180600
2011-04-26,25.445,25.833,25.816,169200
2011-04-27,25.721,26.456,26.448,198000
2011-04-28,26.052,26.522,26.522,240000
2011-04-29,27.154,28.834,28.066,862000
2011-05-02,26.935,27.682,27.645,432000
2011-05-03,27.657,28.116,28.058,494000
2011-05-04,27.868,28.26,28.124,356800
2011-05-05,27.951,28.516,28.124,423000
2011-05-06,28.004,28.594,28.289,350000
2011-05-09,28.083,28.809,28.533,136000
2011-05-10,28.483,29.16,29.082,162800
2011-05-11,28.161,29.032,28.343,179000
2011-05-12,28.211,29.106,28.702,293800
2011-05-13,28.227,28.916,28.326,156000
2011-05-16,27.785,28.467,27.814,182000
2011-05-17,27.226,27.939,27.355,295600
2011-05-18,27.421,27.818,27.686,199400
2011-05-19,27.487,28.17,27.818,238000
2011-05-20,26.936,27.955,27.16,170600
2011-05-23,26.767,27.131,26.858,205400
2011-05-24,26.485,27.164,26.555,134600
2011-05-25,26.203,26.663,26.489,159000
2011-05-26,26.274,27.073,27.04,261800
2011-05-27,26.895,27.201,27.156,307200
2011-05-31,26.99,27.524,27.168,292800
2011-06-01,26.311,27.181,26.348,174000
2011-06-02,25.719,26.365,25.884,211000
2011-06-03,25.247,25.777,25.429,300000
2011-06-06,24.783,25.354,25.135,466000
2011-06-07,25.006,25.578,25.06,254600
2011-06-08,24.48,24.99,24.584,223600
2011-06-09,24.381,24.779,24.414,213400
2011-06-10,24.104,24.551,24.195,175400
2011-06-13,24.385,25.015,24.613,335200
2011-06-14,24.687,24.986,24.799,103000
2011-06-15,24.207,24.75,24.335,208000
2011-06-16,24.356,24.808,24.745,194800
2011-06-17,24.816,25.271,24.977,276200
2011-06-20,24.907,25.665,25.45,134000
2011-06-21,25.652,26.199,25.843,264600
2011-06-22,25.474,25.822,25.507,227000
2011-06-23,25.284,25.839,25.773,269000
2011-06-24,25.011,25.934,25.52,749000
2011-06-27,25.507,25.905,25.652,143400
2011-06-28,25.789,26.158,26.017,242400
2011-06-29,25.764,26.166,25.967,155800
2011-06-30,25.901,26.539,26.257,136000
2011-07-01,26.199,26.982,26.775,124600
2011-07-05,26.336,26.824,26.754,102000
2011-07-06,26.456,26.998,26.829,79000
2011-07-07,26.891,27.446,27.181,108800
2011-07-08,26.452,26.874,26.8,144400
2011-07-11,26.149,26.75,26.344,133600
2011-07-12,25.975,26.34,26.17,207600
2011-07-13,26.071,26.663,26.443,189600
2011-07-14,26.203,26.501,26.241,227000
2011-07-15,26.021,26.46,26.108,105800
2011-07-18,25.553,26.253,25.632,161200
2011-07-19,25.802,26.058,25.967,183400
2011-07-20,25.528,25.967,25.623,243000
2011-07-21,25.802,26.1,26.038,202600
