,Low,High,Close,Volume
2010-12-09,14.178,14.395,14.348,1932800
2010-12-10,14.213,14.42,14.39,2476400
2010-12-13,14.358,14.524,14.447,3143200
2010-12-14,14.422,14.621,14.504,2161200
2010-12-15,14.462,14.706,14.502,2000400
2010-12-16,14.487,14.656,14.562,1781600
2010-12-17,14.447,14.559,14.517,2414400
2010-12-20,14.335,14.614,14.343,1324400
2010-12-21,14.121,14.425,14.243,1873600
2010-12-22,14.091,14.258,14.163,1478000
2010-12-23,14.054,14.241,14.096,1103200
2010-12-27,13.92,14.121,14.032,921200
2010-12-28,13.92,14.131,14.076,1094000
2010-12-29,13.982,14.158,14.027,509600
2010-12-30,13.992,14.283,14.094,1482800
2010-12-31,13.882,14.134,14.017,1568800
2011-01-03,14.049,14.186,14.144,1500400
2011-01-04,13.964,14.178,14.029,2114800
2011-01-05,13.867,14.014,13.947,1785600
2011-01-06,13.895,13.972,13.947,1174800
2011-01-07,13.808,14.044,13.95,942800
2011-01-10,13.81,14.106,14.081,1111600
2011-01-11,14.124,14.387,14.363,2498800
2011-01-12,14.263,14.452,14.365,1506000
2011-01-13,14.206,14.452,14.275,1831600
2011-01-14,14.176,14.33,14.275,1141200
2011-01-18,14.246,14.397,14.303,2207200
2011-01-19,14.203,14.387,14.285,1147600
2011-01-20,14.151,14.34,14.3,1497600
2011-01-21,13.964,14.37,14.036,1559600
2011-01-24,13.977,14.285,14.226,1494400
2011-01-25,14.104,14.35,14.338,1450000
2011-01-26,14.313,14.457,14.422,1001200
2011-01-27,14.392,14.542,14.482,1082400
2011-01-28,14.124,14.462,14.171,899600
2011-01-31,14.168,14.427,14.273,850000
2011-02-01,14.298,14.542,14.308,914800
2011-02-02,14.228,14.397,14.375,853200
2011-02-03,14.226,14.529,14.504,908000
2011-02-04,14.452,14.619,14.599,941200
2011-02-07,14.604,14.813,14.773,1208400
2011-02-08,14.768,14.898,14.843,1237600
2011-02-09,14.798,14.92,14.873,734800
2011-02-10,14.838,14.995,14.94,894400
2011-02-11,14.903,15.475,15.361,2950800
2011-02-14,15.368,15.679,15.433,1620800
2011-02-15,15.224,15.448,15.244,1608800
2011-02-16,15.256,15.42,15.371,1112400
2011-02-17,15.251,15.453,15.378,1311200
2011-02-18,15.286,15.565,15.348,1050400
2011-02-22,15.022,15.269,15.147,1828000
2011-02-23,14.639,15.167,14.709,2094000
2011-02-24,14.704,14.982,14.803,1242800
2011-02-25,14.885,15.331,15.323,1373600
2011-02-28,15.313,15.642,15.388,1873200
2011-03-01,15.251,15.515,15.376,2032400
2011-03-02,15.261,15.545,15.338,1464800
2011-03-03,15.368,15.868,15.836,3010800
2011-03-04,16.603,17.501,17.449,9274000
2011-03-07,16.807,17.524,17.257,5188400
2011-03-08,17.076,17.795,17.549,3638800
2011-03-09,17.287,17.686,17.564,2146000
2011-03-10,17.066,17.484,17.148,1856800
2011-03-11,16.941,17.248,17.17,1390400
2011-03-14,17.038,17.245,17.101,1806000
2011-03-15,16.414,16.951,16.466,3316000
2011-03-16,16.224,16.583,16.299,1608400
2011-03-17,16.187,16.538,16.187,2037600
2011-03-18,16.252,16.466,16.309,2030000
2011-03-21,16.446,16.77,16.732,1351600
2011-03-22,16.528,16.78,16.6,1042400
2011-03-23,16.381,16.792,16.677,1198400
2011-03-24,16.673,16.961,16.874,2127200
2011-03-25,17.001,17.322,17.262,2448800
2011-03-28,17.123,17.364,17.128,2193200
2011-03-29,17.041,17.282,17.213,1792400
2011-03-30,17.056,17.243,17.098,1707600
2011-03-31,17.021,17.29,17.287,30396800
2011-04-01,17.252,17.424,17.325,2668000
2011-04-04,17.252,17.424,17.307,3345600
2011-04-05,17.18,17.322,17.215,2489600
2011-04-06,17.188,17.3,17.272,2030800
2011-04-07,17.25,18.353,18.298,7396400
2011-04-08,18.042,18.726,18.089,3843200
2011-04-11,17.93,18.203,18.066,1734400
2011-04-12,17.88,18.146,18.047,1328800
2011-04-13,17.962,18.131,18.076,2089600
2011-04-14,17.917,18.38,18.325,2044800
2011-04-15,18.251,18.415,18.315,1010800
2011-04-18,17.855,18.273,18.261,1572400
2011-04-19,18.238,18.37,18.345,822800
2011-04-20,18.4,18.766,18.495,942000
2011-04-21,18.447,18.669,18.477,1466000
2011-04-25,18.074,18.49,18.079,1814400
2011-04-26,18.086,18.457,18.452,2635200
2011-04-27,18.178,18.495,18.308,1694000
2011-04-28,18.303,18.567,18.467,878000
2011-04-29,18.36,18.689,18.644,1132000
2011-05-02,18.634,18.836,18.721,1289600
2011-05-03,18.502,18.766,18.554,1798000
2011-05-04,18.246,18.534,18.345,1546800
2011-05-05,18.144,18.455,18.256,1014800
2011-05-06,18.355,18.619,18.402,1240000
2011-05-09,18.298,18.821,18.719,1459600
2011-05-10,18.636,18.853,18.771,892000
2011-05-11,18.462,18.791,18.719,930800
2011-05-12,18.559,18.973,18.933,1356000
2011-05-13,18.694,19.065,18.746,769200
2011-05-16,18.629,18.94,18.808,1130000
2011-05-17,18.472,18.734,18.664,1249600
2011-05-18,18.547,18.776,18.748,1545200
2011-05-19,18.691,18.975,18.838,1694400
2011-05-20,18.323,18.86,18.505,1699200
2011-05-23,18.066,18.415,18.266,1420800
2011-05-24,17.92,18.318,17.949,1362400
2011-05-25,17.847,18.338,18.315,1565600
2011-05-26,18.171,18.564,18.529,1069600
2011-05-27,18.467,18.686,18.51,1262800
2011-05-31,18.492,18.676,18.646,1626800
2011-06-01,18.293,18.744,18.315,1209600
2011-06-02,18.029,18.383,18.094,1253200
2011-06-03,18.248,18.781,18.345,3864400
2011-06-06,18.203,18.398,18.345,4467600
2011-06-07,18.318,18.522,18.447,2747600
2011-06-08,18.33,18.482,18.385,1878000
2011-06-09,18.36,18.49,18.393,2228000
2011-06-10,18.096,18.42,18.186,2720400
2011-06-13,18.111,18.323,18.193,1139600
2011-06-14,18.295,18.669,18.607,1538800
2011-06-15,18.111,18.51,18.119,2818400
2011-06-16,17.778,18.101,17.944,2008400
2011-06-17,18.044,18.236,18.139,2352800
2011-06-20,18.129,18.719,18.676,1682400
2011-06-21,18.729,19.341,19.154,2309200
2011-06-22,19.137,19.411,19.291,1888000
2011-06-23,18.831,19.406,19.214,2822800
2011-06-24,18.786,19.321,18.918,2662000
2011-06-27,18.741,19.005,18.778,1383200
2011-06-28,18.614,18.853,18.826,3287600
2011-06-29,18.729,19.301,19.109,1704000
2011-06-30,19.112,19.729,19.724,2906400
2011-07-01,19.664,20.01,19.986,1872000
2011-07-05,19.831,20.038,19.911,1185200
2011-07-06,19.893,20.356,20.344,1435600
2011-07-07,20.361,20.471,20.429,1534000
