,Low,High,Close,Volume
2010-12-09,18.888,19.455,19.089,23600
2010-12-10,18.862,19.848,19.63,20300
2010-12-13,19.228,19.752,19.42,10100
2010-12-14,19.237,19.586,19.438,18900
2010-12-15,19.307,19.9,19.673,28800
2010-12-16,19.673,20.354,20.17,16500
2010-12-17,19.961,21.723,21.095,70900
2010-12-20,19.193,21.322,20.554,38900
2010-12-21,20.127,21.549,20.563,33200
2010-12-22,20.362,21.296,20.973,51200
2010-12-23,20.72,21.819,20.799,19100
2010-12-27,20.799,21.636,21.392,46100
2010-12-28,20.816,21.252,20.842,14200
2010-12-29,20.72,21.148,20.755,12400
2010-12-30,20.72,21.217,20.729,15400
2010-12-31,20.362,20.868,20.511,32100
2011-01-03,20.118,20.764,20.537,15000
2011-01-04,20.179,20.668,20.284,17800
2011-01-05,20.188,20.423,20.319,33200
2011-01-06,19.987,20.249,20.17,27200
2011-01-07,19.795,20.162,20.162,12600
2011-01-10,19.952,20.362,20.24,19400
2011-01-11,20.205,20.406,20.371,8000
2011-01-12,20.519,20.999,20.842,20400
2011-01-13,20.737,21.994,21.88,26700
2011-01-14,21.872,22.735,22.369,36500
2011-01-18,21.767,22.552,21.828,48800
2011-01-19,20.851,21.872,20.921,56700
2011-01-20,20.563,21.086,20.764,39200
2011-01-21,20.903,21.235,21.052,27100
2011-01-24,20.764,21.339,21.226,43800
2011-01-25,20.895,21.366,21.191,17100
2011-01-26,20.929,22.762,22.404,25300
2011-01-27,22.16,22.814,22.413,25200
2011-01-28,21.479,22.413,21.68,29100
2011-01-31,21.104,21.776,21.182,28400
2011-02-01,21.278,22.343,22.308,10900
2011-02-02,21.078,22.194,21.278,8600
2011-02-03,20.65,21.209,20.912,12200
2011-02-04,19.909,20.912,20.17,24100
2011-02-07,19.394,20.301,20.258,97600
2011-02-08,19.621,20.423,20.423,20600
2011-02-09,20.022,20.694,20.537,23100
2011-02-10,20.231,20.772,20.484,19700
2011-02-11,20.249,20.493,20.476,21600
2011-02-14,19.752,20.624,20.397,16700
2011-02-15,20.38,21.069,21.043,16000
2011-02-16,21.078,22.064,21.767,37100
2011-02-17,21.592,22.186,21.872,23800
2011-02-18,21.985,22.622,22.351,57900
2011-02-22,21.462,22.282,22.029,29400
2011-02-23,21.627,22.107,21.907,15200
2011-02-24,20.938,22.125,22.125,30000
2011-02-25,21.654,22.561,22.482,19400
2011-02-28,22.072,22.7,22.631,26700
2011-03-01,21.715,22.762,21.784,10400
2011-03-02,21.261,21.776,21.645,13900
2011-03-03,21.592,21.976,21.968,15100
2011-03-04,20.022,22.186,21.662,34600
2011-03-07,20.258,21.723,20.275,26800
2011-03-08,20.205,21.322,21.156,21300
2011-03-09,21.034,21.654,21.296,31200
2011-03-10,20.659,21.113,20.676,26400
2011-03-11,20.45,20.877,20.825,17400
2011-03-14,20.511,20.868,20.781,12400
2011-03-15,20.109,21.086,20.642,26600
2011-03-16,20.301,21.182,20.301,43500
2011-03-17,20.415,21.61,21.13,30600
2011-03-18,21.104,21.741,21.688,61700
2011-03-21,21.453,22.29,22.168,45000
2011-03-22,21.819,22.474,22.351,19400
2011-03-23,21.968,22.919,22.849,11600
2011-03-24,22.901,23.416,23.311,22100
2011-03-25,23.294,23.922,23.302,21700
2011-03-28,23.084,23.852,23.843,21600
2011-03-29,23.678,24.175,24.149,25800
2011-03-30,24.253,25.196,25.117,17600
2011-03-31,24.611,25.553,25.152,33500
2011-04-01,24.768,25.885,24.786,48500
2011-04-04,24.995,25.649,25.161,35300
2011-04-05,25.004,25.841,25.169,38100
2011-04-06,23.049,24.681,23.067,120400
2011-04-07,22.029,23.686,22.962,61200
2011-04-08,22.107,23.206,22.194,37400
2011-04-11,21.994,22.491,22.186,35600
2011-04-12,21.706,22.229,21.706,9800
2011-04-13,21.06,21.994,21.13,43400
2011-04-14,20.956,21.68,21.671,13500
2011-04-15,21.339,22.256,22.194,35300
2011-04-18,21.619,22.116,21.976,32400
2011-04-19,21.592,22.064,21.802,38700
2011-04-20,21.915,22.264,22.221,12100
2011-04-21,21.793,22.447,22.116,12700
2011-04-25,21.837,22.395,22.317,41900
2011-04-26,22.168,22.561,22.273,22200
2011-04-27,22.081,22.788,22.788,19000
2011-04-28,23.939,25.998,24.122,47000
2011-04-29,23.878,24.838,24.82,30000
2011-05-02,24.009,25.806,24.035,40000
2011-05-03,23.442,24.506,23.486,33000
