,Low,High,Close,Volume
2010-12-09,12.613,12.893,12.815,91965400
2010-12-10,12.692,12.854,12.815,64813100
2010-12-13,12.724,12.958,12.737,62987200
2010-12-14,12.698,12.926,12.711,57015900
2010-12-15,12.639,12.796,12.666,57939500
2010-12-16,12.639,12.854,12.848,61253000
2010-12-17,12.685,12.867,12.718,115525000
2010-12-20,12.698,12.828,12.763,49113500
2010-12-21,12.685,12.861,12.705,62386300
2010-12-22,12.692,12.731,12.724,42787100
2010-12-23,12.685,12.854,12.809,41599200
2010-12-27,12.887,13.27,13.114,62054900
2010-12-28,13.192,13.342,13.238,57275400
2010-12-29,13.173,13.342,13.173,32977000
2010-12-30,13.147,13.238,13.16,25576700
2010-12-31,13.062,13.166,13.16,28677200
2011-01-03,13.257,13.414,13.329,54310200
2011-01-04,13.27,13.401,13.349,46273800
2011-01-05,13.355,13.563,13.511,69380400
2011-01-06,13.505,13.635,13.628,65845400
2011-01-07,13.55,13.661,13.641,67732200
2011-01-10,13.466,13.628,13.524,40679700
2011-01-11,13.524,13.635,13.583,38343800
2011-01-12,13.635,13.752,13.739,40646100
2011-01-13,13.667,13.81,13.713,35006700
2011-01-14,13.7,13.817,13.797,35176400
2011-01-18,13.797,13.875,13.804,46668500
2011-01-19,13.466,13.875,13.544,53574600
2011-01-20,13.336,13.602,13.511,53291700
2011-01-21,13.453,13.648,13.485,40172600
2011-01-24,13.485,13.778,13.771,44068400
2011-01-25,13.713,14.032,14.012,72726400
2011-01-26,13.83,14.058,13.934,65525000
2011-01-27,13.83,13.98,13.947,36827200
2011-01-28,13.57,14.032,13.615,46540500
2011-01-31,13.472,13.778,13.758,40390800
2011-02-01,13.83,14.025,13.967,40519800
2011-02-02,13.934,14.11,14.064,41287400
2011-02-03,14.084,14.292,14.253,54002000
2011-02-04,14.188,14.409,14.344,60134800
2011-02-07,14.331,14.532,14.331,52408400
2011-02-08,14.123,14.318,14.305,73163000
2011-02-09,14.246,14.409,14.337,125425600
2011-02-10,12.223,12.815,12.308,560040200
2011-02-11,12.106,12.451,12.165,189326900
2011-02-14,12.152,12.327,12.236,109308400
2011-02-15,12.119,12.308,12.145,90320500
2011-02-16,12.074,12.223,12.087,101531800
2011-02-17,12.087,12.204,12.152,89097600
