,Low,High,Close,Volume
2010-12-09,2.655,2.682,2.661,451600
2010-12-10,2.661,2.682,2.667,448300
2010-12-13,2.67,2.694,2.67,610300
2010-12-14,2.667,2.694,2.676,539100
2010-12-15,2.661,2.688,2.673,481500
2010-12-16,2.664,2.688,2.688,407700
2010-12-17,2.676,2.697,2.676,432900
2010-12-20,2.664,2.694,2.688,407000
2010-12-21,2.679,2.703,2.688,379900
2010-12-22,2.679,2.717,2.705,518700
2010-12-23,2.697,2.726,2.723,485900
2010-12-27,2.705,2.735,2.732,303400
2010-12-28,2.717,2.735,2.723,507300
2010-12-29,2.712,2.727,2.715,466000
2010-12-30,2.715,2.733,2.727,562200
2010-12-31,2.721,2.745,2.739,290900
2011-01-03,2.742,2.774,2.765,415000
2011-01-04,2.739,2.777,2.751,441500
2011-01-05,2.751,2.789,2.789,633400
2011-01-06,2.762,2.792,2.777,579900
2011-01-07,2.757,2.792,2.768,452800
2011-01-10,2.748,2.777,2.774,512200
2011-01-11,2.762,2.789,2.771,419700
2011-01-12,2.774,2.801,2.792,385200
2011-01-13,2.786,2.81,2.798,543900
2011-01-14,2.786,2.819,2.819,459700
2011-01-18,2.795,2.813,2.798,430100
2011-01-19,2.765,2.798,2.765,437000
2011-01-20,2.748,2.765,2.762,351200
2011-01-21,2.76,2.786,2.762,399200
2011-01-24,2.745,2.783,2.777,580600
2011-01-25,2.762,2.795,2.783,548600
2011-01-26,2.777,2.804,2.792,448600
2011-01-27,2.783,2.81,2.795,384100
2011-01-28,2.742,2.801,2.742,475000
2011-01-31,2.745,2.768,2.748,442200
2011-02-01,2.762,2.798,2.795,430300
2011-02-02,2.777,2.813,2.783,502000
2011-02-03,2.774,2.804,2.798,333600
2011-02-04,2.783,2.807,2.798,304100
2011-02-07,2.807,2.839,2.836,488400
2011-02-08,2.822,2.855,2.855,398500
2011-02-09,2.822,2.846,2.843,517700
2011-02-10,2.814,2.855,2.84,497800
2011-02-11,2.825,2.864,2.864,364200
2011-02-14,2.852,2.87,2.87,422600
2011-02-15,2.846,2.87,2.858,633300
2011-02-16,2.858,2.882,2.876,717900
2011-02-17,2.87,2.906,2.9,649500
2011-02-18,2.888,2.929,2.915,929100
2011-02-22,2.84,2.9,2.855,666700
2011-02-23,2.811,2.867,2.831,627700
2011-02-24,2.796,2.846,2.822,798500
2011-02-25,2.834,2.861,2.852,327800
2011-02-28,2.861,2.894,2.888,426300
2011-03-01,2.846,2.9,2.849,490000
2011-03-02,2.84,2.864,2.852,406200
2011-03-03,2.864,2.897,2.897,498100
2011-03-04,2.852,2.894,2.879,332000
2011-03-07,2.843,2.894,2.867,383000
2011-03-08,2.856,2.898,2.877,439200
2011-03-09,2.859,2.892,2.877,463900
2011-03-10,2.823,2.874,2.841,575400
2011-03-11,2.817,2.868,2.862,411800
2011-03-14,2.817,2.844,2.835,370900
