,Low,High,Close,Volume
2010-12-09,31.052,31.357,31.291,3306400
2010-12-10,31.029,31.362,31.167,3273600
2010-12-13,31.034,31.473,31.154,3813000
2010-12-14,30.786,31.282,30.888,4175000
2010-12-15,30.568,31.029,30.693,4924600
2010-12-16,30.604,31.278,31.211,4612200
2010-12-17,31.362,32.204,32.093,11690200
2010-12-20,31.841,32.492,32.049,5238800
2010-12-21,32.018,32.355,32.293,3452000
2010-12-22,32.217,32.439,32.279,2506400
2010-12-23,32.111,32.315,32.284,1831000
2010-12-27,31.965,32.563,32.399,1384400
2010-12-28,32.297,32.563,32.426,1931800
2010-12-29,32.368,33.029,32.873,2831000
2010-12-30,32.696,33.153,32.732,2432200
2010-12-31,32.448,32.794,32.488,2594200
2011-01-03,32.856,33.627,33.405,5809800
2011-01-04,32.616,33.521,32.873,6062200
2011-01-05,32.745,33.778,33.773,4636400
2011-01-06,33.29,33.849,33.472,4410200
2011-01-07,32.962,33.476,33.286,4295000
2011-01-10,33.077,33.538,33.397,3674800
2011-01-11,33.281,33.556,33.472,3853800
2011-01-12,33.246,33.822,33.352,3950400
2011-01-13,32.599,33.401,33.064,6447200
2011-01-14,32.958,33.303,33.25,4769600
2011-01-18,33.37,33.889,33.472,4725400
2011-01-19,32.705,33.467,33.046,4296200
2011-01-20,32.47,33.104,32.63,4190200
2011-01-21,32.306,33.042,32.381,4613000
2011-01-24,32.417,33.06,32.922,4015400
2011-01-25,32.169,32.709,32.514,2941200
2011-01-26,32.297,32.656,32.457,6075800
2011-01-27,32.359,32.568,32.435,3460600
2011-01-28,31.318,32.559,31.752,4453600
2011-01-31,31.796,32.643,32.337,3943400
2011-02-01,32.497,33.467,33.401,5812600
2011-02-02,33.241,33.76,33.76,5101400
2011-02-03,33.135,33.906,33.193,6007400
2011-02-04,32.807,33.512,33.432,6815000
2011-02-07,32.639,33.884,33.122,8263000
2011-02-08,32.78,34.168,34.013,6074400
2011-02-09,32.811,33.875,32.9,5469400
2011-02-10,32.625,33.414,33.401,3931200
2011-02-11,32.953,33.485,33.467,3186600
2011-02-14,33.388,33.866,33.858,3188000
