,Low,High,Close,Volume
2010-12-09,13.972,14.402,14.054,20100
2010-12-10,13.717,14.199,13.972,7200
2010-12-13,13.978,14.478,14.001,14400
2010-12-14,14.112,14.454,14.251,3400
2010-12-15,14.286,14.408,14.286,2600
2010-12-16,14.309,14.873,14.71,5900
2010-12-17,14.449,14.902,14.902,19300
2010-12-20,14.664,14.809,14.768,2700
2010-12-21,14.739,15.047,14.937,8100
2010-12-22,14.28,15.088,14.937,16900
2010-12-23,14.739,14.931,14.873,2400
2010-12-27,14.96,14.96,14.96,700
2010-12-28,14.89,15.165,15.089,12300
2010-12-29,14.96,15.153,15.054,8000
2010-12-30,14.421,15.048,14.808,2400
2010-12-31,14.45,14.978,14.45,3800
2011-01-03,14.638,15.265,15.206,12400
2011-01-04,14.702,15.159,14.731,9800
2011-01-05,14.714,14.995,14.936,5800
2011-01-06,14.614,14.901,14.884,9200
2011-01-07,14.385,14.948,14.426,15500
2011-01-10,14.233,14.638,14.327,17200
2011-01-11,14.262,14.579,14.262,18700
2011-01-12,13.934,14.573,13.952,13500
2011-01-13,13.565,14.21,13.571,11700
2011-01-14,13.606,13.893,13.764,12600
2011-01-18,13.483,13.852,13.606,8200
2011-01-19,13.025,13.694,13.119,26000
2011-01-20,12.896,13.377,12.896,21200
2011-01-21,12.762,13.19,12.803,24700
2011-01-24,12.902,13.436,13.266,9200
2011-01-25,13.113,13.623,13.377,21300
2011-01-26,13.424,13.799,13.747,6800
2011-01-27,13.453,13.776,13.717,6900
2011-01-28,12.668,13.746,12.721,18100
2011-01-31,12.832,13.307,13.307,13000
2011-02-01,13.395,13.84,13.793,18900
2011-02-02,13.582,13.77,13.705,4200
2011-02-03,13.266,13.752,13.594,5200
2011-02-04,13.342,13.612,13.424,10500
2011-02-07,13.342,13.618,13.395,5000
2011-02-08,13.102,13.518,13.26,7200
2011-02-09,12.855,13.195,13.049,9800
2011-02-10,12.891,13.242,13.002,12700
2011-02-11,12.814,13.149,13.143,9700
2011-02-14,12.967,13.278,13.072,7300
2011-02-15,12.615,13.108,12.885,12200
2011-02-16,12.873,13.154,13.008,6800
2011-02-17,12.926,13.131,13.031,9900
2011-02-18,13.008,13.477,13.102,8600
2011-02-22,12.756,13.418,12.832,13500
2011-02-23,12.779,13.055,12.779,8800
2011-02-24,12.791,12.996,12.961,11000
2011-02-25,12.791,12.984,12.803,3600
2011-02-28,12.932,13.002,12.973,5700
2011-03-01,12.633,12.984,12.644,11600
2011-03-02,12.375,12.756,12.486,12300
2011-03-03,12.545,12.943,12.562,9900
2011-03-04,12.398,12.545,12.398,5000
2011-03-07,12.111,12.492,12.275,21900
2011-03-08,12.316,12.75,12.732,18900
2011-03-09,12.75,13.219,13.061,19000
2011-03-10,12.697,13.119,12.721,19900
2011-03-11,12.691,12.855,12.809,13300
2011-03-14,12.609,12.897,12.715,9300
2011-03-15,12.322,12.703,12.527,17500
2011-03-16,12.404,12.703,12.404,9000
2011-03-17,12.51,12.744,12.65,15300
2011-03-18,12.68,12.867,12.861,25800
2011-03-21,12.768,13.219,12.938,22500
2011-03-22,12.938,13.031,12.938,1800
2011-03-23,12.838,13.037,13.031,6400
2011-03-24,12.85,13.365,13.213,37400
2011-03-25,12.902,13.377,12.902,14400
2011-03-28,12.785,13.184,12.797,23800
2011-03-29,12.826,12.961,12.92,6700
2011-03-30,12.973,13.26,13.096,36000
2011-03-31,12.908,13.19,13.113,14100
2011-04-01,12.955,13.16,13.16,14300
2011-04-04,13.049,13.219,13.166,4700
2011-04-05,13.02,13.184,13.108,7700
2011-04-06,13.131,13.371,13.195,12000
2011-04-07,13.154,13.26,13.254,5000
2011-04-08,13.118,13.45,13.118,4400
2011-04-11,12.792,13.236,12.792,16000
2011-04-12,12.603,12.922,12.739,9900
2011-04-13,12.603,12.94,12.668,15200
2011-04-14,12.591,12.697,12.614,12500
2011-04-15,12.46,12.644,12.49,17400
2011-04-18,12.241,12.449,12.277,20700
2011-04-19,12.354,12.982,12.603,36800
2011-04-20,12.472,12.851,12.537,15400
2011-04-21,12.443,12.65,12.484,5000
2011-04-25,12.443,12.626,12.597,5600
2011-04-26,12.603,12.822,12.733,14800
2011-04-27,12.68,12.899,12.686,13000
2011-04-28,12.472,12.614,12.579,7900
2011-04-29,12.443,12.709,12.674,23000
2011-05-02,12.502,12.751,12.644,20000
2011-05-03,12.674,12.768,12.674,4700
2011-05-04,12.508,12.715,12.532,14500
2011-05-05,12.449,12.727,12.478,13900
2011-05-06,12.478,12.626,12.543,8200
2011-05-09,12.472,12.65,12.65,5800
2011-05-10,12.656,12.851,12.851,2100
2011-05-11,12.65,12.845,12.68,9000
2011-05-12,12.65,12.834,12.727,4900
