,Low,High,Close,Volume
2010-12-09,9.115,9.631,9.151,4691951
2010-12-10,9.178,9.466,9.409,12142508
2010-12-13,9.329,9.502,9.449,2517152
2010-12-14,9.195,9.488,9.209,2298300
2010-12-15,9.071,9.244,9.075,2122835
2010-12-16,9.111,9.284,9.244,1575150
2010-12-17,9.218,9.382,9.364,2193566
2010-12-20,9.289,9.417,9.355,1373653
2010-12-21,9.337,9.462,9.462,1338136
2010-12-22,9.475,9.608,9.528,1035638
2010-12-23,9.355,9.56,9.417,1109799
2010-12-27,9.36,9.528,9.511,866933
2010-12-28,9.44,9.773,9.644,1674738
2010-12-29,9.662,9.759,9.742,1003854
2010-12-30,9.68,9.893,9.773,1383036
2010-12-31,9.724,9.875,9.746,1142491
2011-01-03,9.733,9.897,9.888,1471324
2011-01-04,9.728,9.928,9.782,1561831
2011-01-05,9.733,9.897,9.893,1258727
2011-01-06,9.826,9.959,9.831,1001735
2011-01-07,9.799,9.888,9.844,918089
2011-01-10,9.746,9.897,9.813,1287383
2011-01-11,9.728,9.871,9.791,1748698
2011-01-12,9.641,9.89,9.741,1407555
2011-01-13,9.709,9.8,9.745,1029785
2011-01-14,9.641,9.772,9.691,1369516
2011-01-18,9.614,9.813,9.813,2908846
2011-01-19,9.705,9.858,9.777,1590588
2011-01-20,9.727,9.904,9.831,1504116
2011-01-21,9.759,9.854,9.84,1969366
2011-01-24,9.813,9.908,9.849,1215240
2011-01-25,9.763,10.053,10.048,1515316
2011-01-26,9.98,10.102,10.025,1113331
2011-01-27,10.007,10.17,10.147,1152278
2011-01-28,10.003,10.202,10.057,1608043
2011-01-31,10.071,10.175,10.129,1603604
2011-02-01,9.971,10.22,10.048,1531057
2011-02-02,9.962,10.111,10.016,1301610
2011-02-03,9.944,10.062,10.025,1093453
2011-02-04,9.899,10.057,9.931,1031702
2011-02-07,9.894,9.994,9.944,1105763
2011-02-08,9.971,10.138,10.062,1362856
2011-02-09,10.007,10.143,10.12,887920
2011-02-10,10.098,10.206,10.179,804173
2011-02-11,10.057,10.197,10.197,953606
2011-02-14,10.111,10.269,10.242,917484
2011-02-15,10.152,10.26,10.251,643540
2011-02-16,10.184,10.355,10.242,752008
2011-02-17,10.184,10.288,10.193,1103947
2011-02-18,10.233,10.432,10.387,907898
