,Low,High,Close,Volume
2021-06-03,28.229,31.938,30.88,15482700
2021-06-04,29.116,36.972,32.91,3501300
2021-06-07,29.745,33.34,32.539,1959100
2021-06-08,29.173,32.326,30.67,1179100
2021-06-09,30.022,31.371,30.041,357300
2021-06-10,29.192,30.622,30.546,321700
2021-06-11,29.269,30.832,29.555,333000
2021-06-14,28.191,30.079,29.841,183500
2021-06-15,28.954,29.755,29.698,178800
2021-06-16,29.078,32.567,31.461,675100
2021-06-17,31.337,33.254,32.844,982800
2021-06-18,32.024,38.154,35.828,1863500
2021-06-21,34.15,41.09,36.791,1105000
2021-06-22,37.167,39.66,38.612,645900
2021-06-23,38.612,43.836,42.969,939200
2021-06-24,43.388,47.573,43.445,2038400
2021-06-25,44.437,46.858,45.562,1063700
2021-06-28,46.477,49.394,49.089,1600200
2021-06-29,48.041,53.57,50.052,1092400
2021-06-30,49.566,51.482,50.081,794100
2021-07-01,48.851,50.453,49.642,1219300
2021-07-02,48.737,50.882,50.519,847800
2021-07-06,43.865,50.929,45.943,1040200
2021-07-07,45.6,48.193,47.669,450100
2021-07-08,44.641,46.62,45.047,500300
2021-07-09,45.275,49.594,47.373,479700
2021-07-12,47.297,49.385,48.994,321200
2021-07-13,48.803,49.928,49.595,321200
2021-07-14,49.156,54.342,49.604,1055500
2021-07-15,45.181,49.213,46.668,1036500
2021-07-16,42.587,47.573,43.56,1003800
2021-07-19,40.642,43.293,41.491,430700
2021-07-20,40.871,46.234,45.085,450900
2021-07-21,43.398,47.659,44.008,585000
2021-07-22,44.332,49.957,49.366,523300
2021-07-23,48.26,51.482,49.604,603300
2021-07-26,49.356,52.083,50.033,649600
2021-07-27,44.098,50.677,47.354,477000
2021-07-28,45.476,48.365,45.752,397400
2021-07-29,43.483,46.239,43.55,668200
2021-07-30,42.521,44.218,43.035,351900
2021-08-02,41.729,44.589,43.512,676800
2021-08-03,41.5,44.567,42.187,699200
2021-08-04,40.518,42.902,40.614,1106000
2021-08-05,40.44,46.143,45.257,705100
2021-08-06,42.235,45.514,43.283,822800
2021-08-09,42.868,48.088,47.373,779300
2021-08-10,44.875,48.546,46.41,422900
2021-08-11,45.495,48.136,47.993,335000
2021-08-12,46.839,49.46,49.099,595600
2021-08-13,46.944,49.575,47.869,639600
2021-08-16,43.865,48.508,45.609,646500
2021-08-17,44.046,46.801,46.248,1523500
2021-08-18,44.799,50.996,46.982,1356900
2021-08-19,57.088,65.506,59.519,9571800
2021-08-20,58.585,64.686,63.819,2259000
2021-08-23,60.663,66.212,61.979,1506700
2021-08-24,59.004,66.908,65.783,1346600
2021-08-25,61.502,66.593,62.36,1364600
2021-08-26,59.147,63.876,60.177,821700
2021-08-27,60.539,65.993,64.191,1175100
