,Low,High,Close,Volume
2010-12-09,7.012,7.136,7.02,49600
2010-12-10,7.014,7.215,7.102,76800
2010-12-13,7.009,7.165,7.041,100300
2010-12-14,7.041,7.104,7.049,42300
2010-12-15,6.811,7.041,6.932,169800
2010-12-16,6.819,6.932,6.845,82300
2010-12-17,6.612,6.837,6.612,898400
2010-12-20,6.679,6.956,6.821,122200
2010-12-21,6.795,6.93,6.922,82100
2010-12-22,6.877,6.993,6.925,72500
2010-12-23,6.906,7.017,6.999,30200
2010-12-27,6.959,7.165,7.083,60400
2010-12-28,7.086,7.234,7.213,70000
2010-12-29,7.197,7.268,7.229,18000
2010-12-30,7.229,7.266,7.26,29100
2010-12-31,7.229,7.279,7.266,20600
2011-01-03,7.237,7.369,7.3,63200
2011-01-04,7.102,7.337,7.173,29000
2011-01-05,7.009,7.152,7.139,48400
2011-01-06,7.081,7.128,7.107,18700
2011-01-07,7.099,7.213,7.157,31800
2011-01-10,7.155,7.364,7.258,42300
2011-01-11,7.313,7.512,7.419,80100
2011-01-12,7.411,7.52,7.448,50100
2011-01-13,7.316,7.512,7.393,61300
2011-01-14,7.274,7.464,7.319,53200
2011-01-18,7.223,7.409,7.271,54900
2011-01-19,7.102,7.279,7.128,77900
2011-01-20,6.952,7.169,6.955,449100
2011-01-21,6.942,7.102,7.035,46800
2011-01-24,7.132,7.204,7.204,120400
2011-01-25,7.143,7.271,7.244,108200
2011-01-26,7.25,7.429,7.36,44700
2011-01-27,7.384,7.437,7.387,22500
2011-01-28,7.389,7.504,7.432,36900
2011-01-31,7.504,7.62,7.588,61800
2011-02-01,7.574,7.767,7.719,61200
2011-02-02,7.571,7.732,7.638,36900
2011-02-03,7.507,7.638,7.563,35300
2011-02-04,7.521,7.636,7.542,31500
2011-02-07,7.478,7.585,7.478,44000
2011-02-08,7.451,7.531,7.478,25100
2011-02-09,7.32,7.539,7.344,40100
2011-02-10,7.255,7.448,7.346,53100
2011-02-11,7.183,7.472,7.311,38400
2011-02-14,7.263,7.413,7.33,33600
2011-02-15,7.186,7.338,7.298,41100
2011-02-16,7.239,7.411,7.293,30400
2011-02-17,7.236,7.446,7.37,34800
2011-02-18,7.269,7.421,7.298,35500
2011-02-22,7.183,7.37,7.236,58500
2011-02-23,7.231,7.451,7.277,79500
2011-02-24,7.234,7.432,7.306,51600
2011-02-25,7.303,7.475,7.384,47200
2011-02-28,7.244,7.384,7.271,74800
2011-03-01,7.186,7.338,7.212,52100
2011-03-02,7.236,7.437,7.411,43100
2011-03-03,7.263,7.478,7.322,64500
2011-03-04,7.293,7.502,7.443,41800
2011-03-07,7.277,7.504,7.277,42300
2011-03-08,7.279,7.33,7.298,43400
2011-03-09,7.236,7.362,7.32,78600
2011-03-10,7.129,7.293,7.151,85400
2011-03-11,7.129,7.247,7.194,13000
2011-03-14,7.129,7.234,7.231,101100
2011-03-15,7.129,7.306,7.212,39100
2011-03-16,7.191,7.357,7.212,34400
2011-03-17,7.236,7.357,7.317,52100
2011-03-18,7.344,7.448,7.346,331000
2011-03-21,7.44,7.558,7.464,79200
2011-03-22,7.451,7.558,7.523,50500
2011-03-23,7.475,7.663,7.63,40000
2011-03-24,7.665,7.839,7.7,53600
2011-03-25,7.644,7.799,7.681,52700
2011-03-28,7.609,7.756,7.655,26300
2011-03-29,7.596,7.813,7.746,37700
2011-03-30,7.633,7.807,7.722,28700
2011-03-31,7.665,7.837,7.837,29600
2011-04-01,7.802,8.065,7.839,84500
2011-04-04,7.813,8.006,7.853,19400
2011-04-05,7.767,7.971,7.826,32600
2011-04-06,7.732,7.845,7.732,27800
2011-04-07,7.66,7.826,7.716,37900
2011-04-08,7.663,7.778,7.73,23900
2011-04-11,7.523,7.775,7.558,53500
2011-04-12,7.317,7.529,7.344,363700
2011-04-13,7.36,7.539,7.408,79200
2011-04-14,7.384,7.689,7.66,43100
2011-04-15,7.577,7.716,7.652,15900
2011-04-18,7.504,7.636,7.571,18900
2011-04-19,7.582,7.845,7.794,83900
2011-04-20,7.769,7.964,7.788,48000
2011-04-21,7.619,7.861,7.801,51400
2011-04-25,7.644,7.856,7.722,65400
2011-04-26,7.66,7.856,7.763,65700
2011-04-27,7.703,7.845,7.79,22000
2011-04-28,7.714,7.858,7.793,17000
2011-04-29,7.725,7.848,7.848,33000
2011-05-02,7.739,7.858,7.777,27000
2011-05-03,7.649,7.788,7.684,52000
2011-05-04,7.527,7.777,7.608,110400
2011-05-05,7.328,7.682,7.431,80400
2011-05-06,7.434,7.78,7.589,31000
2011-05-09,7.507,7.744,7.657,42000
2011-05-10,7.573,7.692,7.644,27100
2011-05-11,7.499,7.69,7.57,90900
2011-05-12,7.361,7.72,7.48,58800
2011-05-13,7.467,7.731,7.684,48000
2011-05-16,7.562,7.777,7.567,19700
2011-05-17,7.361,7.562,7.374,112300
2011-05-18,7.371,7.603,7.461,66100
2011-05-19,7.461,7.589,7.494,19600
2011-05-20,7.445,7.554,7.513,18400
2011-05-23,7.309,7.551,7.453,85400
2011-05-24,7.331,7.535,7.448,72500
2011-05-25,7.399,7.516,7.486,40400
2011-05-26,7.415,7.548,7.478,26900
2011-05-27,7.464,7.597,7.578,46300
2011-05-31,7.426,7.597,7.535,36500
2011-06-01,7.317,7.54,7.369,150000
2011-06-02,7.317,7.385,7.347,33200
2011-06-03,7.317,7.399,7.363,17000
2011-06-06,7.094,7.404,7.214,93800
2011-06-07,7.086,7.312,7.143,67400
2011-06-08,7.023,7.222,7.034,93400
2011-06-09,7.01,7.181,7.14,45900
2011-06-10,7.04,7.274,7.08,56300
2011-06-13,6.849,7.072,6.923,72800
2011-06-14,6.925,7.089,6.977,57100
2011-06-15,6.868,6.969,6.909,57900
2011-06-16,6.89,7.094,7.04,38200
2011-06-17,6.98,7.167,7.086,50400
2011-06-20,7.089,7.284,7.148,73500
2011-06-21,7.129,7.328,7.252,69300
2011-06-22,7.211,7.331,7.238,5500
2011-06-23,7.078,7.176,7.176,24700
2011-06-24,7.064,7.252,7.105,13700
2011-06-27,7.061,7.132,7.08,30300
2011-06-28,7.08,7.233,7.208,24300
2011-06-29,7.146,7.284,7.255,13200
2011-06-30,7.249,7.361,7.32,19000
2011-07-01,7.214,7.339,7.306,9400
2011-07-05,7.211,7.388,7.361,56100
2011-07-06,7.29,7.439,7.382,27800
2011-07-07,7.41,7.652,7.537,50000
2011-07-08,7.48,7.638,7.54,24900
2011-07-11,7.459,7.605,7.554,32400
2011-07-12,7.374,7.695,7.589,45600
2011-07-13,7.551,7.654,7.589,74400
2011-07-14,7.282,7.657,7.347,108300
2011-07-15,7.48,7.633,7.559,53000
2011-07-18,7.48,7.66,7.488,27600
2011-07-19,7.456,7.611,7.529,26300
2011-07-20,7.494,7.616,7.548,26200
2011-07-21,7.531,7.608,7.597,15600
2011-07-22,7.489,7.592,7.572,12800
2011-07-25,7.489,7.592,7.556,16500
2011-07-26,7.398,7.542,7.462,34900
2011-07-27,7.249,7.409,7.329,54300
2011-07-28,7.208,7.343,7.241,46100
2011-07-29,7.18,7.318,7.233,41700
2011-08-01,7.164,7.385,7.233,58200
2011-08-02,7.119,7.327,7.128,32500
2011-08-03,6.932,7.503,7.081,51600
2011-08-04,6.807,7.324,6.838,80200
2011-08-05,6.517,7.003,6.879,94500
2011-08-08,5.747,6.537,6.269,169000
2011-08-09,6.214,6.785,6.597,67500
2011-08-10,6.465,6.763,6.523,53300
2011-08-11,6.448,6.863,6.816,53800
2011-08-12,6.713,6.959,6.771,34300
2011-08-15,6.763,7.001,6.992,38300
2011-08-16,6.871,7.042,6.901,18100
2011-08-17,6.86,6.998,6.965,77100
2011-08-18,6.628,6.959,6.794,85400
2011-08-19,6.683,6.879,6.794,44500
2011-08-22,6.697,6.898,6.777,48800
2011-08-23,6.711,6.896,6.852,444200
2011-08-24,6.711,6.876,6.771,45700
2011-08-25,6.7,6.84,6.766,32100
2011-08-26,6.738,6.838,6.802,21500
2011-08-29,6.843,6.973,6.956,48400
2011-08-30,6.84,6.973,6.965,17500
2011-08-31,6.824,7.012,6.871,67500
2011-09-01,6.713,6.94,6.766,27200
2011-09-02,6.633,6.713,6.644,37300
2011-09-06,6.379,6.62,6.531,68600
2011-09-07,6.465,6.622,6.606,68400
2011-09-08,6.462,6.575,6.495,60800
2011-09-09,6.327,6.476,6.468,83300
2011-09-12,6.288,6.476,6.448,124600
2011-09-13,6.341,6.52,6.443,129800
2011-09-14,6.36,6.493,6.432,125800
