,Low,High,Close,Volume
2013-08-07,24.766,24.766,24.766,100
2013-08-08,24.856,25.769,24.856,400
2013-08-09,25.614,25.614,25.614,100
2013-08-12,25.614,25.614,25.614,0
2013-08-13,25.568,25.568,25.568,500
2013-08-14,25.568,25.568,25.568,0
2013-08-15,25.568,25.568,25.568,0
2013-08-16,25.568,25.568,25.568,0
2013-08-19,25.568,25.568,25.568,0
2013-08-20,25.568,25.568,25.568,0
2013-08-21,25.568,25.568,25.568,0
2013-08-22,25.568,25.568,25.568,0
2013-08-23,25.568,25.568,25.568,0
2013-08-26,25.568,25.568,25.568,0
2013-08-27,25.568,25.568,25.568,0
2013-08-28,25.568,25.568,25.568,0
2013-08-29,25.568,25.568,25.568,0
2013-08-30,25.568,25.568,25.568,0
2013-09-03,25.568,25.568,25.568,0
2013-09-04,24.714,25.473,24.714,700
2013-09-05,24.714,24.714,24.714,0
2013-09-06,25.574,25.574,25.574,100
2013-09-09,24.986,24.986,24.986,100
2013-09-10,24.986,24.986,24.986,0
2013-09-11,24.5,24.5,24.5,400
2013-09-12,24.5,24.5,24.5,0
2013-09-13,24.159,24.448,24.159,300
2013-09-16,24.159,24.159,24.159,0
2013-09-17,24.842,24.842,24.842,300
2013-09-18,24.842,24.842,24.842,0
2013-09-19,24.842,24.842,24.842,0
2013-09-20,24.842,24.842,24.842,0
2013-09-23,24.842,24.842,24.842,0
2013-09-24,24.842,24.842,24.842,0
2013-09-25,24.842,24.842,24.842,0
2013-09-26,24.842,24.842,24.842,0
2013-09-27,24.842,24.842,24.842,0
2013-09-30,24.842,24.842,24.842,0
2013-10-01,24.842,24.842,24.842,0
2013-10-02,24.842,24.842,24.842,0
2013-10-03,24.842,24.842,24.842,0
2013-10-04,24.842,24.842,24.842,0
2013-10-07,24.842,24.842,24.842,0
2013-10-08,24.033,24.033,24.033,100
2013-10-09,24.033,24.033,24.033,0
2013-10-10,24.033,24.033,24.033,0
2013-10-11,24.033,24.033,24.033,0
2013-10-14,24.033,24.033,24.033,0
2013-10-15,24.033,24.033,24.033,0
2013-10-16,24.033,24.033,24.033,0
2013-10-17,24.033,24.033,24.033,0
2013-10-18,24.033,24.033,24.033,0
2013-10-21,24.033,24.033,24.033,0
2013-10-22,24.033,24.033,24.033,0
2013-10-23,24.033,24.033,24.033,0
2013-10-24,24.033,24.033,24.033,0
2013-10-25,24.033,24.033,24.033,0
2013-10-28,24.033,24.033,24.033,0
2013-10-29,24.033,24.033,24.033,0
2013-10-30,24.033,24.033,24.033,0
2013-10-31,24.033,24.033,24.033,0
2013-11-01,24.033,24.033,24.033,0
2013-11-04,24.033,24.033,24.033,0
2013-11-05,24.033,24.033,24.033,0
2013-11-06,24.033,24.033,24.033,0
2013-11-07,24.033,24.033,24.033,0
