,Low,High,Close,Volume
2010-12-09,15.255,15.537,15.314,6850600
2010-12-10,15.246,15.44,15.382,3115000
2010-12-13,15.294,15.459,15.323,3487800
2010-12-14,15.216,15.43,15.353,3670400
2010-12-15,15.197,15.382,15.275,4393600
2010-12-16,14.983,15.44,15.43,4366900
2010-12-17,15.372,15.489,15.469,5273800
2010-12-20,15.401,15.528,15.411,3854100
2010-12-21,15.411,15.537,15.489,2449000
2010-12-22,15.44,15.703,15.537,5999000
2010-12-23,15.479,15.586,15.498,1952900
2010-12-27,15.372,15.722,15.683,2498400
2010-12-28,15.586,15.761,15.703,1687300
2010-12-29,15.703,16.121,16.091,4800700
2010-12-30,15.994,16.198,16.16,2429600
2010-12-31,15.722,16.179,15.926,4571200
2011-01-03,15.771,16.091,15.926,5643700
2011-01-04,15.878,16.091,15.926,3379100
2011-01-05,15.771,16.091,15.829,5312000
2011-01-06,15.634,16.014,15.78,4779300
2011-01-07,15.528,15.829,15.605,3853600
2011-01-10,15.401,15.634,15.566,5726100
2011-01-11,15.323,15.722,15.557,4850700
2011-01-12,15.479,15.664,15.586,6902600
2011-01-13,15.479,15.712,15.596,5722400
2011-01-14,15.071,15.547,15.508,9191100
2011-01-18,15.45,15.654,15.557,4525400
2011-01-19,15.372,15.625,15.401,4398300
2011-01-20,15.148,15.469,15.323,3971200
2011-01-21,14.701,15.343,14.711,10497600
2011-01-24,14.584,15.002,14.866,5943900
2011-01-25,14.721,14.973,14.954,3250100
2011-01-26,14.857,15.071,14.915,3407000
2011-01-27,14.643,14.973,14.662,4182800
2011-01-28,14.39,14.837,14.584,6476500
2011-01-31,14.584,15.158,15.158,8707500
2011-02-01,14.847,15.537,15.187,14463400
2011-02-02,15.78,17.696,17.589,43990200
2011-02-03,16.957,17.686,17.608,14102000
2011-02-04,17.394,17.88,17.725,7617000
2011-02-07,17.56,17.861,17.774,5535000
2011-02-08,17.54,17.842,17.793,3830200
2011-02-09,17.424,17.978,17.53,8071900
2011-02-10,17.317,17.822,17.696,7184600
2011-02-11,17.501,17.832,17.705,5252900
2011-02-14,17.686,18.046,17.89,3758000
2011-02-15,17.735,18.036,18.017,3778500
2011-02-16,18.075,19.64,18.406,16810000
2011-02-17,18.347,19.106,18.824,8064100
2011-02-18,18.639,19.144,18.746,5856300
2011-02-22,18.328,18.726,18.347,5494700
2011-02-23,17.851,18.61,18.337,11198800
2011-02-24,18.133,18.512,18.279,4532300
2011-02-25,18.435,18.843,18.649,3520500
2011-02-28,18.143,18.649,18.279,5585100
2011-03-01,17.88,18.474,17.89,5274600
2011-03-02,17.929,18.386,18.192,4260800
2011-03-03,18.328,18.697,18.435,5323200
2011-03-04,17.861,18.474,18.269,5422800
2011-03-07,17.754,18.425,17.939,6825900
2011-03-08,17.88,18.474,18.231,4518700
2011-03-09,17.939,18.24,18.104,2724200
2011-03-10,17.628,18.075,18.017,4444700
2011-03-11,17.676,18.085,18.026,3820600
2011-03-14,17.599,18.114,18.085,4769100
2011-03-15,17.569,17.958,17.861,5520000
2011-03-16,17.647,18.085,17.705,8157700
2011-03-17,17.774,18.221,18.153,6131600
2011-03-18,17.929,18.376,18.075,8189400
2011-03-21,18.221,18.639,18.415,4824000
2011-03-22,18.211,18.542,18.299,4219900
2011-03-23,18.104,18.619,18.571,7811800
2011-03-24,18.61,19.436,19.29,6859400
2011-03-25,18.999,19.349,19.154,3704600
2011-03-28,19.115,19.397,19.164,3459600
2011-03-29,18.95,19.261,19.115,3362900
2011-03-30,19.057,19.3,19.135,3296000
2011-03-31,18.863,19.232,18.989,3862000
2011-04-01,19.067,19.446,19.183,5693200
2011-04-04,19.008,19.339,19.144,3590000
2011-04-05,19.047,19.728,19.475,6911700
2011-04-06,19.436,19.806,19.689,5056500
2011-04-07,19.533,19.893,19.689,3121700
2011-04-08,19.174,19.951,19.31,4536900
2011-04-11,19.086,19.524,19.3,3777000
2011-04-12,19.038,19.242,19.193,4186200
2011-04-13,19.193,19.631,19.339,4645400
2011-04-14,19.096,19.475,19.397,3352300
2011-04-15,19.213,19.611,19.572,3775200
2011-04-18,19.018,19.388,19.319,5033200
2011-04-19,19.29,19.465,19.436,3994300
2011-04-20,19.572,19.951,19.932,4900800
2011-04-21,19.786,20.107,19.845,2593600
2011-04-25,19.835,20.146,19.971,2622800
2011-04-26,19.572,19.942,19.67,8800000
2011-04-27,19.358,19.699,19.679,5143200
2011-04-28,19.582,19.981,19.922,4100000
2011-04-29,19.601,20.146,19.621,5710300
2011-05-02,19.31,19.883,19.738,5406100
2011-05-03,19.397,20.156,19.601,3500000
2011-05-04,18.96,19.747,19.368,7049900
2011-05-05,20.058,21.118,21.079,18000000
2011-05-06,20.788,21.556,21.147,7552400
2011-05-09,21.089,21.614,21.429,5603600
2011-05-10,21.361,22.246,22.129,7405700
2011-05-11,21.711,22.343,21.984,5600000
2011-05-12,21.818,22.45,22.246,4200000
2011-05-13,22.285,23.384,23.043,10671300
2011-05-16,22.46,23.024,22.47,5474700
2011-05-17,22.45,23.034,22.732,5705200
2011-05-18,22.586,23.189,23.063,3411000
2011-05-19,22.936,23.286,23.121,3651500
