,Low,High,Close,Volume
2020-10-15,10.52,10.996,10.696,39485500
2020-10-16,10.485,10.679,10.485,6006800
2020-10-19,10.335,10.511,10.467,5884300
2020-10-20,10.392,10.511,10.459,2929400
2020-10-21,10.388,11.004,10.916,20829300
2020-10-22,10.811,11.004,10.987,4070800
2020-10-23,10.661,10.996,10.793,2034700
2020-10-26,10.608,10.784,10.635,2336600
2020-10-27,10.564,10.714,10.564,1562900
2020-10-28,10.406,10.564,10.503,2149500
2020-10-29,10.467,10.608,10.582,1256600
2020-10-30,10.467,10.591,10.52,690200
2020-11-02,10.476,10.564,10.52,680000
2020-11-03,10.52,10.696,10.608,1792800
2020-11-04,10.529,10.696,10.617,1281200
2020-11-05,10.564,10.819,10.793,2224900
2020-11-06,10.723,10.916,10.837,1227700
2020-11-09,10.872,11.251,11.207,4309600
2020-11-10,11.172,11.4,11.365,1337300
2020-11-11,11.374,11.607,11.515,1867100
2020-11-12,11.418,11.607,11.533,1320100
2020-11-13,11.577,12.052,11.99,2064000
2020-11-16,12.087,12.285,12.272,2327900
2020-11-17,12.158,12.624,12.607,2429500
2020-11-18,12.607,12.915,12.651,1490400
2020-11-19,12.219,12.642,12.466,1186100
2020-11-20,12.298,12.607,12.589,664000
2020-11-23,12.501,12.765,12.756,1117300
2020-11-24,12.743,13.012,12.941,1548200
2020-11-25,12.783,12.985,12.95,643300
2020-11-27,12.871,13.012,12.968,610600
2020-11-30,12.624,13.135,13.029,1825200
2020-12-01,13.047,13.232,13.223,2590500
2020-12-02,13.152,13.284,13.249,1474600
2020-12-03,13.214,13.751,13.566,2512500
2020-12-04,13.487,13.777,13.698,1633100
2020-12-07,13.54,13.777,13.716,1618700
2020-12-08,13.645,13.865,13.786,1436000
2020-12-09,13.707,14.077,14.024,1503300
2020-12-10,13.918,14.13,14.13,1664300
2020-12-11,13.953,14.297,14.253,3208500
2020-12-14,14.297,14.675,14.306,3702500
2020-12-15,13.689,14.438,13.777,2777500
2020-12-16,13.469,14.121,13.901,3581200
2020-12-17,13.892,14.086,13.918,3424600
2020-12-18,13.707,14.165,13.927,31548800
2020-12-21,13.223,13.936,13.927,2206400
2020-12-22,13.777,14.464,14.438,2142000
2020-12-23,14.209,14.693,14.684,2347400
2020-12-24,14.552,14.834,14.79,775100
2020-12-28,14.491,14.869,14.587,1263200
2020-12-29,14.297,14.671,14.649,1152100
2020-12-30,14.42,14.702,14.491,858900
2020-12-31,14.297,14.561,14.358,844400
2021-01-04,13.632,14.416,13.857,2042900
2021-01-05,13.83,14.279,14.244,1401700
2021-01-06,14.332,14.799,14.649,2296800
2021-01-07,14.728,15.01,14.931,1572700
2021-01-08,14.288,14.895,14.561,810100
2021-01-11,14.341,14.614,14.552,536800
2021-01-12,14.185,14.702,14.332,851500
2021-01-13,14.042,14.354,14.314,2071500
2021-01-14,14.165,14.605,14.535,640300
2021-01-15,14.257,14.526,14.429,493600
2021-01-19,14.297,14.587,14.438,576900
2021-01-20,14.218,14.517,14.367,453200
2021-01-21,14.165,14.35,14.218,585000
2021-01-22,13.98,14.288,14.288,926700
2021-01-25,14.05,14.464,14.35,810800
2021-01-26,14.191,14.473,14.235,557700
2021-01-27,13.98,14.253,14.086,1081200
2021-01-28,14.042,14.314,14.174,876200
2021-01-29,13.971,14.376,14.033,1255800
2021-02-01,14.05,14.262,14.174,565000
2021-02-02,14.187,14.53,14.27,909200
2021-02-03,14.138,14.367,14.367,502900
2021-02-04,14.297,14.473,14.35,788600
2021-02-05,14.2,14.42,14.244,1165600
2021-02-08,14.147,14.402,14.394,1184600
2021-02-09,14.174,14.429,14.288,1029500
2021-02-10,14.2,14.446,14.288,598800
2021-02-11,14.244,14.513,14.491,582300
2021-02-12,14.411,14.772,14.719,954100
2021-02-16,14.759,14.931,14.781,742700
2021-02-17,14.587,14.843,14.605,391300
2021-02-18,14.605,14.869,14.702,519700
2021-02-19,14.658,14.843,14.834,509200
2021-02-22,14.834,15.23,15.186,1097800
2021-02-23,14.895,15.476,15.168,1279700
2021-02-24,15.142,15.855,15.811,1117000
2021-02-25,15.591,16.11,15.829,1487200
2021-02-26,15.336,15.89,15.503,902800
2021-03-01,15.459,15.798,15.679,509900
2021-03-02,15.493,16.05,15.953,541300
2021-03-03,15.555,16.156,15.944,721100
2021-03-04,15.705,16.28,15.794,1112600
2021-03-05,15.573,16.138,15.829,848100
2021-03-08,15.838,16.227,16.059,653100
2021-03-09,15.692,16.302,16.271,675500
2021-03-10,16.094,16.589,16.306,1035100
2021-03-11,15.997,16.704,16.668,1222400
2021-03-12,16.492,17.057,16.916,1049300
2021-03-15,16.889,17.225,17.004,1317300
2021-03-16,16.562,16.986,16.792,1375800
2021-03-17,16.6,17.083,17.083,745800
2021-03-18,16.889,17.799,16.969,1747100
2021-03-19,16.509,17.516,17.41,7884300
2021-03-22,16.907,17.437,17.207,994000
2021-03-23,16.721,17.384,16.792,847400
2021-03-24,16.606,17.092,16.633,631600
2021-03-25,16.386,16.827,16.757,555200
2021-03-26,16.721,17.198,17.189,591700
2021-03-29,16.845,17.251,16.924,538400
2021-03-30,16.916,17.242,17.039,472300
2021-03-31,16.845,17.225,17.039,673900
2021-04-01,16.871,17.313,17.313,455300
2021-04-05,16.942,17.49,17.11,451800
2021-04-06,17.075,17.375,17.123,439500
2021-04-07,16.889,17.287,16.96,504600
2021-04-08,16.447,17.128,16.898,2218800
2021-04-09,16.942,17.225,17.181,1094400
2021-04-12,17.234,17.512,17.357,836600
2021-04-13,17.11,17.428,17.181,499600
2021-04-14,17.26,17.525,17.348,519600
2021-04-15,17.331,17.666,17.64,800800
2021-04-16,17.631,17.993,17.87,1161800
2021-04-19,17.666,18.126,17.702,528600
2021-04-20,17.437,17.94,17.463,846600
2021-04-21,17.242,17.834,17.799,728200
2021-04-22,17.742,18.161,17.825,605100
2021-04-23,17.799,18.638,18.594,1249400
2021-04-26,18.567,19.027,18.735,1138900
2021-04-27,18.532,18.832,18.744,1276800
2021-04-28,18.656,18.903,18.771,531900
2021-04-29,18.7,19.248,19.062,842700
2021-04-30,18.824,19.371,18.841,880600
2021-05-03,18.965,19.265,19.071,726000
2021-05-04,18.806,19.212,19.212,772300
2021-05-05,19.089,19.605,19.433,720500
2021-05-06,19.38,19.645,19.61,753500
2021-05-07,19.23,19.627,19.592,729400
2021-05-10,19.486,19.91,19.513,938200
2021-05-11,18.974,19.468,19.354,856000
2021-05-12,18.612,19.654,18.665,1109300
2021-05-13,18.506,19.053,18.894,1043800
2021-05-14,18.841,19.203,19.15,560300
2021-05-17,18.815,19.212,19.203,946600
2021-05-18,19.15,19.561,19.345,804000
