,Low,High,Close,Volume
2010-12-09,61.613,62.996,61.97,797200
2010-12-10,62.089,63.731,63.04,1117100
2010-12-13,62.758,64.058,62.966,768800
2010-12-14,62.327,63.315,62.661,594400
2010-12-15,61.814,63.352,61.859,901200
2010-12-16,61.524,62.58,62.074,773200
2010-12-17,59.302,62.602,60.402,2561200
2010-12-20,59.354,60.997,60.774,1021200
2010-12-21,60.432,61.012,60.514,643200
2010-12-22,59.719,60.722,59.934,611600
2010-12-23,59.6,60.268,60.12,562400
2010-12-27,59.533,60.32,60.224,256200
2010-12-28,59.392,60.261,59.399,302100
2010-12-29,58.544,60.573,60.343,780700
2010-12-30,60.343,61.866,60.833,666400
2010-12-31,60.023,61.086,60.387,444900
2011-01-03,60.766,62.944,62.022,1110000
2011-01-04,60.573,62.476,61.197,599500
2011-01-05,61.041,61.97,61.561,800800
2011-01-06,60.751,61.97,60.937,1128600
2011-01-07,60.246,61.346,61.064,727400
2011-01-10,60.848,64.036,63.821,1309400
2011-01-11,64.118,65.701,64.735,916900
2011-01-12,64.207,65.366,65.017,579300
2011-01-13,64.378,65.389,64.69,310600
2011-01-14,64.437,65.292,65.181,372000
2011-01-18,64.943,66.139,65.953,774200
2011-01-19,63.553,65.879,64.281,676800
2011-01-20,62.245,64.088,63.263,1051100
2011-01-21,63.04,64.504,63.256,881600
2011-01-24,63.873,66.184,65.991,1193100
2011-01-25,64.735,66.429,65.351,843100
2011-01-26,64.816,66.384,65.062,561900
2011-01-27,64.824,65.671,65.158,1020600
2011-01-28,65.381,69.127,66.005,2320000
2011-01-31,64.519,66.176,65.708,677000
2011-02-01,66.072,66.875,66.414,693600
2011-02-02,65.626,68.205,67.209,1077400
2011-02-03,66.793,68.257,67.469,698200
2011-02-04,66.719,68.71,68.019,508100
2011-02-07,68.034,68.837,68.688,678500
2011-02-08,66.295,68.971,67.12,1848100
2011-02-09,65.626,67.009,65.872,1610400
2011-02-10,64.318,69.595,68.599,3667500
2011-02-11,67.373,69.312,67.804,1320700
2011-02-14,67.128,68.294,67.209,577900
2011-02-15,67.061,68.777,67.975,628300
2011-02-16,67.388,68.227,67.945,493400
2011-02-17,65.887,68.473,67.499,1390400
2011-02-18,67.38,68.391,67.618,878900
2011-02-22,65.262,66.927,65.693,1201300
2011-02-23,63.085,65.983,64.237,1039900
2011-02-24,63.523,65.106,64.125,922300
2011-02-25,64.482,65.768,65.017,927800
2011-02-28,63.85,65.604,64.237,792200
2011-03-01,62.795,64.943,63.323,1141400
2011-03-02,61.249,63.583,62.632,1002600
2011-03-03,63.137,64.162,63.308,693600
