,Low,High,Close,Volume
2010-12-09,6.89,6.982,6.969,3867000
2010-12-10,6.936,7.035,6.982,4246700
2010-12-13,6.969,7.042,7.002,3578700
2010-12-14,6.996,7.107,7.088,3457500
2010-12-15,6.989,7.074,7.009,2243000
2010-12-16,7.285,7.383,7.337,9947200
2010-12-17,7.403,7.482,7.41,2985900
2010-12-20,7.502,7.574,7.561,5588900
2010-12-21,7.614,7.699,7.62,5680200
2010-12-22,7.469,7.528,7.502,3598100
2010-12-23,7.357,7.423,7.416,2356800
2010-12-27,7.39,7.495,7.482,1524600
2010-12-28,7.403,7.522,7.443,1418400
2010-12-29,7.508,7.62,7.574,2589500
2010-12-30,7.535,7.666,7.554,1830000
2010-12-31,7.568,7.64,7.581,2404500
2011-01-03,7.673,7.745,7.692,3711500
2011-01-04,7.377,7.581,7.469,6559000
2011-01-05,7.357,7.502,7.475,3998000
2011-01-06,7.324,7.456,7.403,3830400
2011-01-07,7.226,7.298,7.272,7666800
2011-01-10,7.226,7.311,7.265,4817900
2011-01-11,7.291,7.357,7.337,2939800
2011-01-12,7.475,7.548,7.495,3808500
2011-01-13,7.495,7.594,7.528,2053800
2011-01-14,7.502,7.614,7.614,1576500
2011-01-18,7.522,7.653,7.607,3424800
2011-01-19,7.541,7.686,7.587,3092600
2011-01-20,7.495,7.607,7.528,4520600
2011-01-21,7.673,7.784,7.752,5045100
2011-01-24,7.633,7.725,7.712,5615800
2011-01-25,7.798,8.041,8.015,15213700
2011-01-26,8.159,8.271,8.212,10079300
2011-01-27,8.205,8.291,8.251,5302900
2011-01-28,8.008,8.225,8.021,4740800
2011-01-31,8.047,8.159,8.133,3383200
2011-02-01,8.317,8.435,8.435,6794500
2011-02-02,8.258,8.429,8.422,6827800
2011-02-03,8.271,8.396,8.383,2750100
2011-02-04,8.245,8.389,8.389,3429700
2011-02-07,8.33,8.468,8.422,6181400
2011-02-08,8.245,8.363,8.35,3140300
2011-02-09,8.271,8.376,8.284,4036100
2011-02-10,8.179,8.343,8.324,4682900
2011-02-11,8.199,8.343,8.33,2353300
2011-02-14,8.232,8.31,8.271,2116900
2011-02-15,8.218,8.35,8.284,2783900
2011-02-16,8.159,8.343,8.317,6481100
2011-02-17,8.12,8.199,8.179,3670900
2011-02-18,8.107,8.251,8.232,2717900
2011-02-22,8.001,8.133,8.015,2839500
2011-02-23,7.949,8.067,8.015,3631400
2011-02-24,8.028,8.232,8.1,3419200
2011-02-25,8.1,8.179,8.172,1794400
2011-02-28,8.389,8.501,8.442,5631900
2011-03-01,8.245,8.455,8.251,2654000
2011-03-02,8.12,8.251,8.205,5142500
2011-03-03,8.435,8.587,8.462,11980100
2011-03-04,8.435,8.587,8.514,5669200
2011-03-07,8.383,8.587,8.449,3132800
2011-03-08,8.383,8.462,8.435,2933200
2011-03-09,8.291,8.403,8.363,4809300
2011-03-10,8.087,8.232,8.12,4052400
2011-03-11,8.008,8.12,8.041,5341000
2011-03-14,7.877,8.001,7.962,4343900
2011-03-15,7.475,7.745,7.692,10448500
2011-03-16,7.528,7.936,7.64,20967300
2011-03-17,7.725,7.857,7.738,10728600
2011-03-18,7.923,8.034,7.988,6994900
2011-03-21,7.929,8.028,7.975,6384000
2011-03-22,7.942,8.1,7.988,10019800
2011-03-23,8.034,8.133,8.113,4072300
2011-03-24,8.172,8.264,8.264,4224200
2011-03-25,8.199,8.284,8.258,5802300
2011-03-28,8.251,8.403,8.376,8565500
2011-03-29,8.317,8.495,8.435,16629100
2011-03-30,8.363,8.442,8.383,9408600
2011-03-31,8.455,8.567,8.455,9100300
2011-04-01,8.383,8.514,8.435,5660900
2011-04-04,8.389,8.468,8.449,1874100
2011-04-05,8.409,8.534,8.508,4001900
2011-04-06,8.495,8.606,8.573,5202600
2011-04-07,8.613,8.718,8.659,7552300
2011-04-08,8.712,8.804,8.784,4550900
2011-04-11,8.639,8.797,8.679,5851600
2011-04-12,8.324,8.527,8.435,15199400
2011-04-13,8.356,8.488,8.449,7185300
2011-04-14,8.373,8.454,8.407,5941300
2011-04-15,8.353,8.413,8.373,4396300
2011-04-18,8.15,8.305,8.231,3603500
2011-04-19,8.157,8.278,8.238,3702400
2011-04-20,8.515,8.589,8.569,5177400
2011-04-21,8.603,8.799,8.724,3825300
2011-04-25,8.663,8.866,8.826,4392900
2011-04-26,8.826,8.981,8.88,5006800
2011-04-27,9.839,10.103,10.062,27800800
2011-04-28,10.13,10.366,10.306,15805800
2011-04-29,10.224,10.366,10.272,6633300
2011-05-02,10.218,10.407,10.326,6325000
2011-05-03,10.069,10.218,10.123,6000000
2011-05-04,10.069,10.299,10.177,5967900
2011-05-05,9.947,10.15,9.988,4306300
2011-05-06,9.974,10.272,10.042,6985700
2011-05-09,10.076,10.252,10.238,6263600
2011-05-10,10.279,10.434,10.393,4986600
2011-05-11,10.238,10.373,10.272,8900000
2011-05-12,9.995,10.333,10.285,11900000
2011-05-13,9.968,10.197,10.056,7039300
2011-05-16,10.103,10.339,10.157,7234400
2011-05-17,9.873,10.029,9.981,7835500
2011-05-18,9.981,10.177,10.116,4748600
2011-05-19,10.076,10.218,10.184,2972600
2011-05-20,10.096,10.252,10.17,7622300
2011-05-23,9.704,9.839,9.792,6500000
2011-05-24,9.67,9.833,9.691,6986800
2011-05-25,9.684,9.887,9.839,4142800
2011-05-26,9.799,9.927,9.887,2985600
2011-05-27,9.853,9.954,9.893,3436000
2011-05-31,9.954,10.137,10.029,4184200
2011-06-01,9.9,10.265,9.907,4594300
2011-06-02,9.934,10.123,10.076,4361400
2011-06-03,9.995,10.137,10.029,3090300
2011-06-06,9.853,10.001,9.866,2303200
2011-06-07,9.887,10.042,9.893,6001400
2011-06-08,9.549,9.799,9.582,4694900
2011-06-09,9.657,9.799,9.704,4372000
2011-06-10,9.326,9.63,9.339,7175800
2011-06-13,9.238,9.441,9.285,5161900
2011-06-14,9.488,9.576,9.501,3381400
2011-06-15,9.157,9.447,9.218,4905400
2011-06-16,9.035,9.218,9.136,8797600
2011-06-17,9.177,9.339,9.204,3907400
2011-06-20,9.103,9.204,9.15,5176400
2011-06-21,9.224,9.434,9.4,3302000
2011-06-22,9.245,9.407,9.258,3358700
2011-06-23,8.866,9.157,9.143,7901500
2011-06-24,8.886,9.136,8.893,3566100
2011-06-27,9.082,9.339,9.299,4492200
2011-06-28,9.272,9.387,9.319,2319800
2011-06-29,9.38,9.61,9.576,4578300
2011-06-30,9.67,9.826,9.718,5327700
2011-07-01,9.603,9.758,9.718,6748500
2011-07-05,9.711,9.826,9.745,3675900
2011-07-06,9.623,9.772,9.643,5006200
2011-07-07,9.866,10.015,10.001,5589900
2011-07-08,9.549,9.765,9.603,4977600
2011-07-11,9.251,9.42,9.278,6571400
2011-07-12,9.123,9.272,9.13,4011400
2011-07-13,9.204,9.447,9.326,4943000
2011-07-14,9.184,9.481,9.238,4995000
2011-07-15,9.285,9.393,9.353,5786000
2011-07-18,9.042,9.332,9.184,5214900
2011-07-19,9.393,9.67,9.637,7553100
2011-07-20,9.542,9.711,9.589,4615500
2011-07-21,8.724,8.92,8.772,15351900
2011-07-22,8.778,8.941,8.907,6826100
2011-07-25,8.799,8.92,8.846,3710900
2011-07-26,8.765,8.907,8.826,3471100
2011-07-27,8.542,8.711,8.555,3394700
2011-07-28,8.481,8.596,8.494,4448700
2011-07-29,8.326,8.549,8.447,5458800
2011-08-01,8.204,8.616,8.299,7397500
2011-08-02,8.13,8.413,8.143,6497500
2011-08-03,7.9,8.13,7.967,19296100
2011-08-04,7.44,7.69,7.461,13460800
2011-08-05,7.575,7.947,7.751,19582800
2011-08-08,7.055,7.555,7.082,9843000
2011-08-09,7.042,7.521,7.515,18708700
2011-08-10,7.177,7.434,7.19,11230200
2011-08-11,7.265,7.65,7.569,16303700
2011-08-12,7.508,7.738,7.63,16376500
2011-08-15,7.542,7.751,7.643,22427400
2011-08-16,7.183,7.542,7.305,19982100
2011-08-17,7.359,7.602,7.427,9760000
2011-08-18,6.846,7.143,6.913,9318800
2011-08-19,6.812,7.116,6.832,9003300
2011-08-22,6.852,7.123,6.873,7640400
2011-08-23,6.96,7.224,7.217,12943300
2011-08-24,7.211,7.434,7.4,10499100
2011-08-25,7.075,7.393,7.109,7353000
2011-08-26,6.988,7.332,7.278,7352800
2011-08-29,7.413,7.542,7.535,6002800
2011-08-30,7.298,7.481,7.434,5302400
2011-08-31,7.501,7.677,7.569,6833400
2011-09-01,7.528,7.778,7.548,5748500
2011-09-02,7.359,7.575,7.406,6596300
2011-09-06,7.028,7.183,7.17,4566800
2011-09-07,7.285,7.488,7.474,3974000
2011-09-08,7.325,7.501,7.346,4721900
2011-09-09,6.96,7.211,7.028,6127600
2011-09-12,6.548,6.771,6.744,7666100
2011-09-13,6.724,6.92,6.886,6044300
2011-09-14,6.717,7.042,6.927,7617700
2011-09-15,7.082,7.373,7.325,10326000
2011-09-16,7.156,7.312,7.258,4558200
2011-09-19,6.852,7.055,7.015,4350100
2011-09-20,6.967,7.15,7.028,4227300
2011-09-21,6.819,7.089,6.819,3985900
2011-09-22,6.325,6.535,6.427,6263700
2011-09-23,6.305,6.481,6.413,4835200
2011-09-26,6.46,6.798,6.785,7011900
2011-09-27,6.96,7.183,7.116,9676300
2011-09-28,6.737,7.042,6.771,8611900
2011-09-29,6.596,6.839,6.724,6023600
2011-09-30,6.454,6.609,6.454,4967900
2011-10-03,6.048,6.447,6.062,9198600
2011-10-04,5.967,6.298,6.291,8440200
2011-10-05,6.291,6.474,6.46,9006800
2011-10-06,6.454,6.994,6.967,14793500
2011-10-07,6.731,6.947,6.751,4861600
2011-10-10,7.008,7.143,7.123,4523600
2011-10-11,7.042,7.183,7.123,4192100
2011-10-12,7.069,7.244,7.075,4460800
2011-10-13,6.913,7.048,6.981,4887700
2011-10-14,7.197,7.366,7.292,6298600
2011-10-17,6.913,7.109,6.92,3787700
2011-10-18,6.839,7.082,7.028,5690900
2011-10-19,6.514,6.737,6.542,7498200
2011-10-20,6.717,7.048,6.832,24826500
2011-10-21,6.731,6.879,6.812,8820100
2011-10-24,6.771,6.9,6.873,3337300
2011-10-25,6.731,6.893,6.751,4128100
2011-10-26,6.737,6.96,6.92,5095100
2011-10-27,7.379,7.602,7.555,9648300
2011-10-28,7.332,7.501,7.379,3384400
2011-10-31,7.035,7.319,7.035,7686000
2011-11-01,6.609,6.92,6.825,8801600
2011-11-02,6.954,7.136,7.075,6562200
2011-11-03,7.082,7.352,7.325,6790400
2011-11-04,7.028,7.217,7.17,4054500
2011-11-07,7.156,7.312,7.298,3827600
2011-11-08,7.177,7.352,7.312,3987000
2011-11-09,6.744,6.927,6.771,5636400
2011-11-10,6.609,6.805,6.724,5620100
2011-11-11,6.832,7.021,6.94,4510000
2011-11-14,6.792,6.967,6.873,2734400
2011-11-15,6.832,6.954,6.906,3986000
2011-11-16,6.751,6.893,6.758,3501000
2011-11-17,6.771,6.974,6.825,4401600
2011-11-18,6.69,6.846,6.704,3027400
2011-11-21,6.481,6.609,6.555,3924400
2011-11-22,6.514,6.65,6.555,4233200
2011-11-23,6.393,6.542,6.427,4889000
2011-11-25,6.19,6.4,6.197,3111600
2011-11-28,6.487,6.623,6.562,3924500
2011-11-29,6.582,6.71,6.643,3430600
2011-11-30,7.042,7.244,7.183,9602400
2011-12-01,7.001,7.123,7.055,2336600
2011-12-02,6.886,7.082,6.9,3953000
2011-12-05,6.967,7.102,7.015,2982300
2011-12-06,6.96,7.055,7.021,2243100
2011-12-07,6.927,7.109,7.069,2567900
2011-12-08,6.825,6.994,6.839,3383000
2011-12-09,6.69,6.792,6.758,3198400
2011-12-12,6.494,6.65,6.562,3459100
2011-12-13,6.379,6.69,6.42,3832600
2011-12-14,6.366,6.487,6.42,3870200
2011-12-15,6.474,6.575,6.501,3448200
2011-12-16,6.264,6.406,6.332,4574900
2011-12-19,6.312,6.474,6.319,3093200
2011-12-20,6.555,6.731,6.656,6424700
2011-12-21,6.535,6.677,6.616,3296700
2011-12-22,6.575,6.683,6.67,2329400
2011-12-23,6.69,6.744,6.737,1118800
2011-12-27,6.69,6.778,6.765,1741300
2011-12-28,6.65,6.737,6.69,4772800
2011-12-29,6.69,6.792,6.785,3627100
2011-12-30,6.805,6.906,6.846,2250500
2012-01-03,6.988,7.116,7.021,6594100
2012-01-04,6.683,6.778,6.737,6801900
2012-01-05,6.562,6.636,6.582,3892000
2012-01-06,6.467,6.589,6.494,4500900
2012-01-09,6.487,6.609,6.569,6088700
2012-01-10,6.596,6.663,6.609,2378900
2012-01-11,6.555,6.67,6.65,2323200
2012-01-12,6.575,6.67,6.629,2700300
2012-01-13,6.42,6.508,6.454,2824200
2012-01-17,6.379,6.508,6.447,3429800
2012-01-18,6.521,6.677,6.656,4731500
2012-01-19,6.737,6.933,6.879,6023500
2012-01-20,6.839,6.906,6.906,5089400
2012-01-23,6.792,6.913,6.852,4356000
2012-01-24,6.697,6.92,6.913,6221800
2012-01-25,5.798,5.913,5.845,15165200
2012-01-26,6.001,6.102,6.048,8767400
2012-01-27,6.035,6.109,6.068,7593500
2012-01-30,6.041,6.197,6.17,4759800
2012-01-31,6.197,6.285,6.264,4382400
2012-02-01,6.319,6.46,6.366,7387000
2012-02-02,6.177,6.251,6.183,4887600
2012-02-03,6.359,6.447,6.427,6607600
2012-02-06,6.305,6.366,6.332,2648100
2012-02-07,6.393,6.514,6.494,7094900
2012-02-08,6.339,6.501,6.406,19971900
2012-02-09,6.319,6.427,6.413,5524400
2012-02-10,6.386,6.501,6.474,14498000
2012-02-13,6.467,6.589,6.542,4657600
2012-02-14,6.413,6.521,6.474,2372900
2012-02-15,6.386,6.474,6.4,5670500
2012-02-16,6.373,6.596,6.582,4804400
2012-02-17,6.629,6.737,6.717,4203400
2012-02-21,6.704,6.812,6.731,3583000
2012-02-22,6.487,6.589,6.542,3042500
2012-02-23,6.69,6.825,6.805,5027200
2012-02-24,6.906,7.021,6.94,4828300
