,Low,High,Close,Volume
2010-12-09,37.036,37.579,37.098,7400
2010-12-10,36.951,37.269,37.269,12200
2010-12-13,38.501,38.858,38.532,22200
2010-12-14,38.494,38.92,38.703,16100
2010-12-15,39.54,39.788,39.788,18500
2010-12-16,40.06,40.696,40.145,14500
2010-12-17,39.944,40.316,40.223,9200
2010-12-20,40.858,41.479,41.052,13800
2010-12-21,39.936,40.967,40.168,26600
2010-12-22,39.695,40.044,39.765,8100
2010-12-23,39.967,40.401,40.401,16900
2010-12-27,39.316,40.153,39.37,12200
2010-12-28,38.998,39.54,39.207,28900
2010-12-29,39.3,40.3,40.06,45300
2010-12-30,40.804,41.176,40.936,20000
2010-12-31,40.866,41.192,41.192,11300
2011-01-03,41.983,42.409,42.254,27800
2011-01-04,41.998,42.487,42.192,39500
2011-01-05,42.37,42.642,42.541,16100
2011-01-06,43.223,43.44,43.378,7200
2011-01-07,43.114,43.525,43.223,19300
2011-01-10,40.804,41.386,41.037,15100
2011-01-11,41.556,42.409,42.409,20100
2011-01-12,41.641,41.874,41.796,7800
2011-01-13,41.533,41.866,41.866,5500
2011-01-14,41.595,41.866,41.866,2300
2011-01-18,41.843,42.06,42.06,11900
2011-01-19,42.432,42.804,42.525,26700
2011-01-20,41.595,42.099,41.68,7000
2011-01-21,41.564,41.859,41.564,6800
2011-01-24,40.703,41.231,41.013,11500
2011-01-25,40.207,40.641,40.517,14100
2011-01-26,39.936,40.463,40.176,37100
2011-01-27,39.54,40.261,39.664,30800
2011-01-28,37.78,39.54,37.819,149900
2011-01-31,39.005,39.401,39.401,59000
2011-02-01,38.788,39.199,38.99,12100
2011-02-02,38.315,38.843,38.315,4400
2011-02-03,37.494,38.129,38.098,14800
2011-02-04,37.742,38.005,37.943,15700
2011-02-07,38.61,38.92,38.881,14700
2011-02-08,39.106,39.54,39.463,21600
2011-02-09,39.393,39.657,39.525,11500
2011-02-10,39.246,39.525,39.316,9500
2011-02-11,39.122,39.471,39.401,10900
2011-02-14,39.378,39.556,39.463,6900
2011-02-15,39.3,39.447,39.3,2800
2011-02-16,40.006,40.579,40.168,16400
2011-02-17,40.06,40.254,40.114,2600
2011-02-18,40.106,40.323,40.145,5800
2011-02-22,39.447,39.998,39.533,6100
2011-02-23,38.54,39.881,38.75,8400
2011-02-24,38.494,39.122,38.726,5200
2011-02-25,38.688,39.16,39.16,3000
2011-02-28,39.385,40.285,39.92,19600
2011-03-01,39.215,39.688,39.269,7600
2011-03-02,38.61,39.075,38.726,4400
2011-03-03,39.571,39.889,39.889,2700
2011-03-04,39.502,39.719,39.719,2100
2011-03-07,38.936,39.339,39.246,31700
2011-03-08,39.711,40.23,40.223,21200
2011-03-09,39.308,39.68,39.37,26200
2011-03-10,38.827,39.075,38.85,3100
2011-03-11,38.067,38.804,38.246,6500
2011-03-14,38.354,38.532,38.47,3800
2011-03-15,39.129,39.641,39.641,8300
2011-03-16,39.106,39.843,39.23,8100
2011-03-17,39.719,40.843,40.401,12000
2011-03-18,40.688,40.944,40.944,5000
2011-03-21,41.68,41.99,41.882,8800
2011-03-22,41.789,42.595,42.161,23700
2011-03-23,41.37,41.828,41.665,6600
2011-03-24,40.316,41.269,40.401,14900
2011-03-25,40.541,41.143,40.963,9200
2011-03-28,41.728,42.087,41.97,15600
2011-03-29,42.118,42.314,42.314,6600
2011-03-30,42.321,42.86,42.86,10600
2011-03-31,43.071,43.625,43.071,19000
2011-04-01,43.094,43.695,43.695,12300
2011-04-04,43.157,43.641,43.165,4400
2011-04-05,42.673,42.93,42.673,3700
2011-04-06,42.595,42.743,42.735,2300
2011-04-07,42.001,42.821,42.079,11900
2011-04-08,41.923,42.392,42.001,28600
2011-04-11,43.141,43.688,43.461,61500
2011-04-12,43.555,43.781,43.711,28600
2011-04-13,43.578,44.109,43.797,14800
2011-04-14,43.664,43.898,43.672,23200
2011-04-15,43.625,43.937,43.859,18300
2011-04-18,43.516,43.859,43.539,10300
2011-04-19,43.539,43.672,43.649,5900
2011-04-20,44.187,44.5,44.304,48500
2011-04-21,44.062,44.5,44.062,9200
2011-04-25,44.14,44.281,44.211,24400
2011-04-26,43.61,44.32,43.937,17300
2011-04-27,43.883,44.742,44.25,25000
2011-04-28,43.43,43.953,43.43,3800
2011-04-29,43.485,43.774,43.656,18000
2011-05-02,42.649,43.571,42.649,8100
2011-05-03,42.001,42.407,42.228,8100
2011-05-04,42.025,42.368,42.321,7900
2011-05-05,41.884,42.267,41.884,3900
2011-05-06,41.221,42.298,41.611,22000
2011-05-09,41.494,41.791,41.759,4300
2011-05-10,41.759,41.876,41.759,3300
2011-05-11,41.197,41.9,41.33,6400
2011-05-12,40.487,40.783,40.588,16100
2011-05-13,40.229,40.924,40.299,12000
2011-05-16,39.261,40.26,39.425,33700
2011-05-17,39.605,40.19,39.854,23400
2011-05-18,40.042,40.518,40.44,46600
2011-05-19,40.206,40.674,40.338,7600
2011-05-20,40.221,40.496,40.221,17100
2011-05-23,39.395,39.859,39.466,11800
2011-05-24,39.78,40.425,40.197,38700
2011-05-25,39.081,39.576,39.293,97500
2011-05-26,39.285,39.568,39.458,7300
2011-05-27,39.521,39.655,39.639,6500
2011-05-31,40.189,40.519,40.268,17000
2011-06-01,39.584,40.276,39.584,6700
2011-06-02,39.136,39.395,39.246,2400
2011-06-03,39.073,39.324,39.088,4800
2011-06-06,39.026,39.639,39.026,15100
