,Low,High,Close,Volume
2010-12-09,13.423,13.657,13.657,745800
2010-12-10,13.657,14.118,14.103,1711400
2010-12-13,13.782,14.242,13.906,3041000
2010-12-14,13.796,13.971,13.884,1293000
2010-12-15,13.628,14.066,13.628,1807400
2010-12-16,13.687,13.913,13.869,997600
2010-12-17,13.752,14.066,13.752,18105100
2010-12-20,13.533,14.045,13.533,2660200
2010-12-21,13.621,14.14,14.118,2593700
2010-12-22,14.154,14.739,14.571,2193900
2010-12-23,14.278,14.52,14.3,1004800
2010-12-27,14.154,14.527,14.498,555300
2010-12-28,14.33,14.498,14.432,878400
2010-12-29,14.256,14.498,14.3,731000
2010-12-30,14.337,14.666,14.432,1017700
2010-12-31,14.278,14.483,14.286,865000
2011-01-03,14.322,14.534,14.417,1577000
2011-01-04,14.103,14.468,14.33,1667600
2011-01-05,14.256,14.812,14.783,2946300
2011-01-06,14.615,14.943,14.87,2925600
2011-01-07,14.563,15.258,14.768,2992500
2011-01-10,14.585,15.031,14.921,1325000
2011-01-11,14.841,15.25,15.082,1345700
2011-01-12,15.104,15.301,15.184,1048000
2011-01-13,14.914,15.206,15.082,1120200
2011-01-14,14.98,15.696,15.572,2730900
2011-01-18,15.316,15.667,15.608,2144400
2011-01-19,15.228,15.638,15.258,1421100
2011-01-20,14.973,15.309,15.068,1472000
2011-01-21,15.06,15.309,15.184,1214500
2011-01-24,14.753,15.206,14.848,1518300
2011-01-25,14.71,15.046,15.016,1525600
2011-01-26,15.477,16.354,15.952,3037500
2011-01-27,15.791,16.091,16.069,1629300
2011-01-28,15.733,16.222,15.754,2272500
2011-01-31,15.711,15.974,15.864,1149900
2011-02-01,15.966,16.12,16.039,1475000
2011-02-02,15.923,16.186,16.076,1096500
2011-02-03,15.923,16.171,16.076,1604600
2011-02-04,16.003,16.222,16.164,1728300
2011-02-07,16.251,16.734,16.58,1480900
2011-02-08,16.449,16.69,16.514,1187800
2011-02-09,16.39,16.843,16.631,2679300
2011-02-10,16.522,16.69,16.639,1279700
2011-02-11,16.551,17.18,17.18,2401200
2011-02-14,16.931,17.275,17.15,2435500
2011-02-15,16.931,17.202,17.012,1520500
2011-02-16,17.048,17.333,17.282,1317700
2011-02-17,16.931,17.326,16.938,2390000
2011-02-18,16.624,17.019,16.982,1685500
2011-02-22,16.463,16.997,16.631,1126800
2011-02-23,16.207,16.821,16.368,1195900
2011-02-24,15.922,16.441,16.2,1371500
