,Low,High,Close,Volume
2021-02-10,34.195,39.762,35.778,1836900
2021-02-11,33.996,36.16,34.036,1652100
2021-02-12,33.042,34.593,33.806,2088200
2021-02-16,34.203,36.215,34.633,1369100
2021-02-17,34.593,35.468,35.197,1910200
2021-02-18,34.02,35.786,34.195,1589500
2021-02-19,34.203,35.492,34.991,1048200
2021-02-22,34.712,35.81,34.863,1449400
2021-02-23,33.4,34.951,34.72,888400
2021-02-24,33.909,35.849,35.786,3153100
2021-02-25,35.07,36.183,35.587,2485000
2021-02-26,34.525,35.738,35.134,466100
2021-03-01,35.054,36.008,35.523,718900
2021-03-02,35.523,37.177,36.024,756600
2021-03-03,35.961,37.885,37.575,1214600
2021-03-04,36.414,38.8,36.724,679700
2021-03-05,35.006,37.44,35.81,968200
2021-03-08,34.203,35.889,35.285,1125500
2021-03-09,34.688,35.738,35.213,183400
2021-03-10,34.808,35.682,35.587,484300
2021-03-11,35.396,36.438,36.056,578900
2021-03-12,35.698,36.828,36.382,684300
2021-03-15,35.865,36.78,36.382,626800
2021-03-16,34.947,36.482,35.635,717600
2021-03-17,35.15,36.263,36.008,543100
2021-03-18,34.37,35.985,34.593,886900
2021-03-19,34.036,34.8,34.442,537100
2021-03-22,33.336,34.593,33.996,539100
2021-03-23,32.637,33.973,33.161,447000
2021-03-24,32.827,34.036,33.082,688700
2021-03-25,31.81,33.662,33.527,675200
2021-03-26,33.511,34.466,34.458,325000
2021-03-29,33.67,34.601,33.814,204000
2021-03-30,32.835,34.513,34.307,480200
2021-03-31,33.551,35.402,34.505,446700
2021-04-01,34.056,36.418,35.73,619000
2021-04-05,34.593,35.909,35.515,580000
2021-04-06,35.03,36.541,35.953,725400
2021-04-07,35.309,36.581,35.865,943000
2021-04-08,35.603,36.438,36.048,732100
2021-04-09,35.372,36.509,36.215,686000
2021-04-12,35.985,36.517,36.144,640400
2021-04-13,36.04,36.438,36.191,312000
2021-04-14,35.985,36.828,36.732,821100
2021-04-15,36.064,37.042,36.732,465700
2021-04-16,36.044,37.289,36.303,390800
2021-04-19,36.112,37.078,36.557,386400
2021-04-20,35.237,36.828,36.35,595800
2021-04-21,35.612,37.05,36.772,593000
2021-04-22,36.462,37.297,36.645,1098600
2021-04-23,36.12,37.551,36.947,471700
2021-04-26,36.796,37.742,37.281,380100
2021-04-27,36.883,37.774,37.273,721700
2021-04-28,36.533,37.631,36.724,599700
2021-04-29,36.414,38.569,37.336,1033800
2021-04-30,36.04,37.758,36.239,766100
2021-05-03,36.112,37.074,36.867,870300
2021-05-04,36.263,36.979,36.581,772200
2021-05-05,36.657,37.877,37.169,1923400
2021-05-06,37.13,38.036,37.782,1222600
2021-05-07,37.503,39.364,39.102,1809500
2021-05-10,39.166,39.738,39.42,840000
2021-05-11,38.299,39.547,39.014,1135800
2021-05-12,38.394,41.893,39.348,2008400
2021-05-13,38.323,40.231,39.364,831200
2021-05-14,38.744,39.619,38.863,2141500
2021-05-17,38.816,40.08,39.754,1427100
2021-05-18,40.239,41.352,40.796,2565200
2021-05-19,39.772,40.754,40.557,928100
2021-05-20,40.017,40.859,40.152,913100
