,Low,High,Close,Volume
2018-02-07,4.627,5.847,5.518,219600
2018-02-08,5.528,5.842,5.711,106800
2018-02-09,5.495,5.758,5.701,46200
2018-02-12,5.518,5.856,5.842,48800
2018-02-13,5.678,6.053,5.805,118600
2018-02-14,5.631,5.941,5.762,78000
2018-02-15,5.631,5.88,5.678,181600
2018-02-16,5.636,5.791,5.772,31200
2018-02-20,5.701,6.03,6.03,122200
2018-02-21,5.866,6.035,5.875,50800
2018-02-22,5.866,6.006,6.006,65600
2018-02-23,5.748,6.006,6.006,40400
2018-02-26,5.847,6.1,5.983,62800
2018-02-27,5.913,6.006,5.959,20400
2018-02-28,5.913,6.077,6.049,54800
2018-03-01,5.983,6.1,6.002,60400
2018-03-02,5.936,6.096,6.044,64000
2018-03-05,5.941,6.053,6.008,29400
2018-03-06,5.959,6.03,5.988,41600
2018-03-07,5.96,6.03,6.006,59800
2018-03-08,5.983,6.03,6.006,28800
2018-03-09,5.959,6.025,6.025,36000
2018-03-12,5.917,6.039,5.936,39000
2018-03-13,5.659,5.959,5.715,91200
2018-03-14,5.584,5.772,5.725,59800
2018-03-15,5.537,5.699,5.678,30800
2018-03-16,5.608,5.701,5.699,67200
2018-03-19,5.514,5.697,5.547,56600
2018-03-20,5.256,5.537,5.256,79600
2018-03-21,4.739,5.185,4.974,132400
2018-03-22,4.739,5.077,4.819,82400
2018-03-23,4.692,4.908,4.73,87000
2018-03-26,4.735,4.88,4.88,55000
2018-03-27,4.875,5.631,5.514,74000
2018-03-28,5.209,5.509,5.359,41600
2018-03-29,5.162,5.392,5.18,49000
2018-04-02,5.138,5.396,5.265,75200
2018-04-03,5.18,5.392,5.288,87400
2018-04-04,5.288,5.866,5.701,166800
2018-04-05,5.725,5.955,5.95,127400
2018-04-06,5.856,6.166,6.1,126600
2018-04-09,5.889,6.213,6.11,110800
2018-04-10,5.983,6.218,6.11,107400
2018-04-11,6.053,6.147,6.1,123000
2018-04-12,5.725,6.1,6.044,81800
2018-04-13,5.683,5.959,5.683,77200
2018-04-16,5.518,5.772,5.561,78800
2018-04-17,5.209,5.556,5.514,53200
2018-04-18,5.467,6.096,6.096,62200
2018-04-19,6.03,6.616,6.569,173400
2018-04-20,5.983,6.546,6.476,132600
2018-04-23,6.354,6.523,6.386,32800
2018-04-24,6.147,6.415,6.279,50200
2018-04-25,6.171,6.443,6.443,51400
2018-04-26,6.288,6.569,6.569,62400
2018-04-27,6.452,6.569,6.546,31400
2018-04-30,6.401,6.56,6.424,64200
2018-05-01,6.335,6.457,6.457,47200
2018-05-02,6.246,6.499,6.429,35200
2018-05-03,6.191,6.429,6.335,26000
2018-05-04,6.241,6.335,6.311,22200
2018-05-07,6.18,6.311,6.241,32000
2018-05-08,6.053,6.274,6.114,57000
2018-05-09,5.913,6.119,5.983,86400
2018-05-10,5.959,6.218,6.105,39200
2018-05-11,6.006,6.288,6.288,47800
2018-05-14,6.096,6.335,6.194,47200
2018-05-15,6.124,7.029,6.926,280200
2018-05-16,7.043,8.329,8.019,407000
2018-05-17,8.024,8.479,8.146,272400
2018-05-18,8.141,8.456,8.446,103000
2018-05-21,8.47,9.056,8.705,276800
2018-05-22,7.043,8.916,7.222,472200
2018-05-23,7.25,8.446,8.306,386000
2018-05-24,8.141,8.587,8.231,144600
2018-05-25,7.32,8.35,8.085,169400
2018-05-29,7.461,8.212,7.484,139800
2018-05-30,7.574,7.937,7.827,70600
2018-05-31,7.747,7.968,7.958,54600
2018-06-01,7.682,7.968,7.949,53000
2018-06-04,7.391,7.968,7.4,249200
2018-06-05,7.32,7.623,7.32,155000
2018-06-06,7.32,7.555,7.391,90000
2018-06-07,7.32,7.63,7.398,106400
2018-06-08,7.133,7.508,7.194,173400
2018-06-11,6.593,7.273,6.673,347000
2018-06-12,6.645,6.953,6.832,109200
2018-06-13,6.785,7.013,6.795,63600
2018-06-14,6.659,6.799,6.659,91200
2018-06-15,6.682,6.799,6.745,68600
2018-06-18,6.152,6.743,6.18,208600
2018-06-19,6.053,6.564,6.175,165200
2018-06-20,6.1,6.241,6.166,127400
2018-06-21,5.894,6.218,5.917,218800
2018-06-22,5.983,6.1,6.002,85600
2018-06-25,5.913,6.027,5.917,87600
2018-06-26,5.894,5.983,5.899,124600
2018-06-27,5.711,6.1,5.711,116800
2018-06-28,5.425,5.768,5.443,121400
2018-06-29,5.28,5.523,5.312,162400
2018-07-02,5.396,5.669,5.41,71600
2018-07-03,5.42,5.542,5.528,43200
2018-07-05,5.396,5.547,5.406,50400
2018-07-06,5.115,5.514,5.148,195200
2018-07-09,5.11,5.387,5.115,197600
2018-07-10,5.115,5.24,5.152,76600
2018-07-11,5.115,5.319,5.115,93000
2018-07-12,5.12,5.279,5.213,63000
2018-07-13,5.199,5.256,5.217,55200
2018-07-16,5.199,5.248,5.227,59800
2018-07-17,5.204,5.256,5.232,60600
2018-07-18,5.218,5.713,5.701,169400
2018-07-19,5.684,6.377,6.147,333200
2018-07-20,6.072,6.565,6.518,309600
2018-07-23,6.518,7.015,6.87,324400
2018-07-24,6.546,6.992,6.701,338000
2018-07-25,6.546,6.921,6.828,169400
2018-07-26,6.64,6.893,6.846,232400
2018-07-27,6.846,7.025,6.921,152200
2018-07-30,6.208,6.898,6.246,254000
2018-07-31,6.433,7.039,6.649,244400
2018-08-01,6.471,6.789,6.71,192400
2018-08-02,6.372,6.799,6.734,131000
2018-08-03,6.569,6.776,6.776,119800
