,Low,High,Close,Volume
2012-10-12,13.533,14.136,13.533,6467100
2012-10-15,13.533,13.788,13.726,633100
2012-10-16,13.339,13.881,13.757,180300
2012-10-17,13.533,13.973,13.687,121000
2012-10-18,13.548,13.819,13.687,146100
2012-10-19,13.463,13.765,13.463,298100
2012-10-22,13.092,13.54,13.169,359800
2012-10-23,12.953,13.378,13.246,166100
2012-10-24,13.084,13.509,13.447,158200
2012-10-25,12.566,13.904,13.169,206900
2012-10-26,12.837,13.54,13.254,199500
2012-10-31,12.759,13.169,13.169,36400
2012-11-01,12.767,13.517,13.324,203000
2012-11-02,12.806,13.324,13.146,72100
2012-11-05,12.759,13.146,12.922,33300
2012-11-06,12.442,13.517,13.154,370600
2012-11-07,12.953,13.455,13.192,155800
2012-11-08,12.597,13.355,12.953,141600
2012-11-09,12.628,13.099,12.798,209600
2012-11-12,12.651,12.798,12.759,12800
2012-11-13,12.349,12.96,12.404,47600
2012-11-14,12.102,12.736,12.411,123400
2012-11-15,12.148,13.347,12.914,367000
2012-11-16,12.581,13.679,13.007,104600
2012-11-19,12.759,13.339,13.239,77200
2012-11-20,13.014,13.37,13.246,251400
2012-11-21,13.03,13.517,13.301,33100
2012-11-23,13.192,13.571,13.393,94000
2012-11-26,13.192,13.471,13.347,77400
2012-11-27,13.092,13.401,13.324,55800
2012-11-28,13.13,13.525,13.339,94000
2012-11-29,13.301,14.19,14.043,164400
2012-11-30,13.741,14.29,13.919,44200
2012-12-03,13.447,14.306,13.997,47600
2012-12-04,13.463,14.097,13.788,30100
2012-12-05,13.594,13.996,13.904,33000
2012-12-06,13.393,13.749,13.625,41900
2012-12-07,13.61,13.803,13.726,42500
2012-12-10,13.424,13.857,13.625,72300
2012-12-11,13.301,13.795,13.563,72200
2012-12-12,13.509,13.749,13.641,58000
2012-12-13,13.37,13.904,13.826,135900
2012-12-14,13.339,13.649,13.587,44700
2012-12-17,13.533,14.306,13.904,107600
2012-12-18,13.687,14.886,14.538,142600
2012-12-19,14.02,15.381,14.832,192600
2012-12-20,14.259,14.708,14.708,200500
2012-12-21,13.672,14.832,14.677,1936500
2012-12-24,13.927,15.04,14.414,159000
2012-12-26,14.128,14.692,14.422,81300
2012-12-27,14.221,15.071,14.337,162100
2012-12-28,14.159,14.631,14.522,66400
2012-12-31,14.36,14.863,14.785,125600
2013-01-02,14.383,15.404,14.878,189700
2013-01-03,14.422,15.048,14.801,89100
2013-01-04,14.669,15.845,15.504,173300
2013-01-07,15.187,16.425,16.061,210300
2013-01-08,15.76,16.316,15.93,229400
2013-01-09,15.775,16.216,15.829,171800
2013-01-10,15.729,17.005,16.726,235200
2013-01-11,15.891,16.842,16.757,166300
2013-01-14,16.765,17.376,16.858,130400
2013-01-15,16.37,17.708,16.796,59300
2013-01-16,15.512,16.641,16.456,239500
2013-01-17,16.053,16.865,16.332,129800
2013-01-18,15.705,16.85,15.883,119400
2013-01-22,15.93,16.927,16.85,160100
2013-01-23,16.2,16.811,16.572,42700
2013-01-24,16.386,17.469,16.572,114500
2013-01-25,16.664,17.561,17.012,71200
2013-01-28,16.502,17.206,16.734,91000
2013-01-29,16.726,17.136,17.113,113700
2013-01-30,17.043,17.693,17.53,340500
2013-01-31,16.664,17.422,17.337,260400
2013-02-01,17.291,17.747,17.554,93600
2013-02-04,16.896,17.561,17.43,80100
2013-02-05,17.136,17.515,17.499,38700
2013-02-06,17.175,17.654,17.499,136100
2013-02-07,17.012,17.546,17.337,61300
2013-02-08,17.043,17.592,17.051,96400
2013-02-11,16.471,17.113,16.672,59100
2013-02-12,16.278,16.827,16.68,154700
2013-02-13,16.417,17.02,16.672,321700
2013-02-14,16.664,17.731,17.012,379500
2013-02-15,16.78,17.515,17.244,146500
2013-02-19,17.19,17.646,17.646,102000
2013-02-20,16.401,18.002,16.456,96200
2013-02-21,15.891,16.463,16.03,76900
2013-02-22,15.644,17.499,16.224,310600
2013-02-25,15.133,16.301,15.265,167600
2013-02-26,15.234,15.868,15.504,119300
2013-02-27,15.35,16.626,16.208,158500
2013-02-28,15.62,18.025,17.561,205000
2013-03-01,16.943,17.639,17.275,46000
2013-03-04,16.881,17.685,17.314,39000
2013-03-05,17.314,18.466,18.327,108700
2013-03-06,18.079,18.582,18.211,13800
2013-03-07,17.422,19.247,18.953,129700
2013-03-08,18.474,19.301,19.255,127200
2013-03-11,18.621,19.324,18.938,218100
2013-03-12,18.791,19.324,19.278,107300
2013-03-13,19.077,20.407,19.912,308800
2013-03-14,18.729,19.997,19.224,153000
2013-03-15,18.172,19.301,18.675,186000
2013-03-18,18.273,18.984,18.551,38800
2013-03-19,18.226,19.44,18.373,87200
2013-03-20,18.288,18.791,18.559,81000
2013-03-21,18.474,18.922,18.799,133000
2013-03-22,18.744,19.038,18.984,48100
2013-03-25,19.038,19.587,19.487,197000
2013-03-26,19.394,20.005,19.835,191400
2013-03-27,19.672,20.314,20.191,83600
2013-03-28,20.136,21.041,20.755,157500
2013-04-01,20.825,21.629,21.188,216600
2013-04-02,20.685,21.567,20.91,493300
2013-04-03,18.93,20.917,19.27,526600
2013-04-04,18.427,19.541,19.371,135100
2013-04-05,19.0,19.618,19.471,56400
2013-04-08,19.348,20.376,20.144,144200
2013-04-09,20.214,21.18,20.693,285300
