,Low,High,Close,Volume
2010-12-09,174.019,176.386,175.75,7600
2010-12-10,174.356,177.453,175.947,7300
2010-12-13,173.692,177.322,173.832,12500
2010-12-14,173.645,176.658,174.019,8500
2010-12-15,173.926,176.134,174.019,16100
2010-12-16,174.207,176.709,175.491,10600
2010-12-17,175.003,177.477,175.772,20400
2010-12-20,175.622,178.039,176.727,19100
2010-12-21,177.112,181.019,180.082,16800
2010-12-22,180.363,185.602,185.602,11800
2010-12-23,182.2,185.077,182.2,5400
2010-12-27,182.594,183.878,183.69,2400
2010-12-28,181.872,183.587,182.875,3900
2010-12-29,182.463,183.999,182.837,2900
2010-12-30,179.942,182.444,179.942,3900
2010-12-31,177.159,181.694,177.159,5300
2011-01-03,178.845,182.519,180.86,8800
2011-01-04,178.424,180.86,179.651,4500
2011-01-05,179.173,181.347,180.766,6600
2011-01-06,179.923,180.86,180.504,4900
2011-01-07,178.077,180.86,178.077,9000
2011-01-10,176.934,178.836,178.677,5500
2011-01-11,177.393,179.164,178.742,4200
2011-01-12,179.492,180.86,179.904,9700
2011-01-13,178.62,179.886,178.911,3600
2011-01-14,178.152,183.381,183.203,18800
2011-01-18,181.629,182.687,182.219,6300
2011-01-19,180.823,183.4,180.823,16400
2011-01-20,181.048,182.678,182.125,8200
2011-01-21,181.853,183.418,183.259,7600
2011-01-24,182.734,187.382,186.483,20400
2011-01-25,184.206,189.013,186.117,24400
2011-01-26,186.483,187.663,186.914,13000
2011-01-27,185.546,189.135,188.694,7400
2011-01-28,186.586,189.734,187.42,12100
2011-01-31,186.82,190.1,188.516,9700
2011-02-01,187.514,189.697,188.535,4300
2011-02-02,185.696,189.959,185.714,3900
2011-02-03,183.671,186.351,185.667,25100
2011-02-04,184.74,185.911,185.911,6800
2011-02-07,185.555,186.492,186.22,6200
2011-02-08,184.524,185.546,185.302,4100
2011-02-09,182.528,185.339,182.528,5900
2011-02-10,181.535,184.627,183.625,15200
2011-02-11,182.734,187.701,187.701,4000
2011-02-14,186.314,187.617,186.689,900
2011-02-15,186.351,188.057,187.41,6300
2011-02-16,187.045,188.91,188.357,14200
2011-02-17,187.41,189.847,189.847,6600
2011-02-18,189.153,190.69,190.69,4300
2011-02-22,185.33,189.969,187.326,9700
2011-02-23,187.888,189.472,188.048,11700
2011-02-24,187.42,189.003,187.542,8800
2011-02-25,188.169,189.463,189.294,8500
2011-02-28,189.294,190.409,189.294,2800
2011-03-01,189.294,189.987,189.435,5000
2011-03-02,189.219,190.334,189.303,2700
2011-03-03,190.494,194.298,194.298,11000
2011-03-04,192.293,194.42,193.089,13400
2011-03-07,192.958,194.86,192.958,9100
2011-03-08,191.59,195.432,191.787,19200
2011-03-09,192.761,194.223,194.092,16500
2011-03-10,191.637,193.136,192.246,11600
2011-03-11,191.955,192.911,192.564,9200
2011-03-14,190.812,192.658,192.105,3300
2011-03-15,186.267,189.041,186.342,7800
2011-03-16,182.669,186.764,183.465,13800
2011-03-17,184.413,187.98,187.595,14200
2011-03-18,186.553,189.875,186.553,14000
2011-03-21,186.985,189.012,188.909,4500
2011-03-22,187.567,191.555,188.205,4100
2011-03-23,184.704,187.867,185.83,18000
2011-03-24,185.361,186.168,186.14,11400
2011-03-25,185.83,187.492,185.83,9100
2011-03-28,185.83,187.567,185.83,8200
2011-03-29,185.83,187.126,185.83,14200
2011-03-30,185.915,187.801,187.679,5000
2011-03-31,187.398,189.087,188.252,9100
2011-04-01,187.623,189.791,188.834,9600
2011-04-04,187.801,189.068,188.383,3100
2011-04-05,187.52,188.796,188.299,3200
2011-04-06,187.923,190.467,190.054,5600
2011-04-07,189.819,192.287,190.326,3400
2011-04-08,190.354,192.297,190.776,4300
2011-04-11,189.697,191.415,190.523,3500
2011-04-12,189.941,191.621,190.992,20600
2011-04-13,190.157,191.189,190.523,30500
2011-04-14,189.772,191.358,190.542,9600
2011-04-15,189.979,191.086,191.086,13900
2011-04-18,189.772,190.148,190.054,15300
2011-04-19,186.187,190.073,186.394,5200
2011-04-20,187.248,189.003,189.003,9300
2011-04-21,187.801,190.307,188.242,2400
2011-04-25,184.526,187.52,185.774,11000
2011-04-26,186.722,191.405,187.707,16500
2011-04-27,187.501,189.265,189.265,15000
2011-04-28,188.383,188.824,188.505,2100
2011-04-29,187.707,188.364,187.717,3400
2011-05-02,186.91,189.218,188.083,3800
2011-05-03,187.351,188.974,187.707,30000
2011-05-04,187.707,188.233,188.111,2600
2011-05-05,187.463,187.811,187.463,4400
2011-05-06,186.844,188.224,186.844,7300
2011-05-09,185.033,186.769,185.033,3600
2011-05-10,181.992,186.431,186.253,14100
2011-05-11,186.281,187.604,186.3,9000
2011-05-12,186.065,186.647,186.131,2600
2011-05-13,183.7,184.441,183.953,2000
2011-05-16,183.043,185.633,183.841,2700
2011-05-17,182.076,185.521,184.939,5200
2011-05-18,183.906,186.196,186.196,5800
2011-05-19,183.437,186.018,183.672,5500
2011-05-20,183.953,184.676,184.676,6800
2011-05-23,180.143,184.864,180.95,3200
2011-05-24,179.946,181.851,180.011,4300
2011-05-25,176.276,179.401,178.322,16800
2011-05-26,177.43,179.054,178.491,15700
2011-05-27,177.571,180.133,180.04,11300
2011-05-31,180.387,183.841,183.568,17300
2011-06-01,177.412,182.264,177.412,25000
2011-06-02,175.506,177.947,175.91,2900
2011-06-03,174.333,177.393,175.065,12000
2011-06-06,174.587,175.938,175.506,8300
2011-06-07,172.7,175.835,172.7,19200
2011-06-08,171.105,173.019,172.597,25100
2011-06-09,172.597,174.868,173.367,18800
2011-06-10,167.106,172.437,170.1,17600
2011-06-13,165.633,171.011,167.951,19300
2011-06-14,167.379,169.603,167.829,40500
2011-06-15,167.379,171.086,169.237,5500
2011-06-16,168.494,172.133,170.186,9200
2011-06-17,170.788,174.257,171.568,23600
2011-06-20,170.168,173.345,172.988,15600
2011-06-21,172.546,175.395,174.68,9300
2011-06-22,173.373,175.432,174.088,11600
2011-06-23,171.39,173.552,171.587,15900
2011-06-24,168.767,171.794,169.218,51800
2011-06-27,170.158,174.934,170.769,11800
2011-06-28,170.76,172.415,172.133,6200
2011-06-29,172.02,176.09,176.062,21400
2011-06-30,175.846,176.852,176.006,6500
2011-07-01,175.31,178.779,178.779,11800
2011-07-05,176.175,180.18,176.175,5400
2011-07-06,176.495,179.249,178.318,5900
2011-07-07,178.619,179.804,179.804,3700
2011-07-08,173.966,179.512,176.137,18000
2011-07-11,173.919,175.658,174.126,9700
2011-07-12,174.173,178.516,175.197,12000
2011-07-13,174.116,177.783,175.554,26900
2011-07-14,173.101,176.382,173.101,14800
2011-07-15,172.443,174.755,172.781,15000
2011-07-18,169.857,173.261,172.198,20900
2011-07-19,172.057,174.624,173.533,5000
2011-07-20,172.133,174.577,173.185,12300
2011-07-21,174.417,177.256,176.842,13200
2011-07-22,173.185,176.081,174.567,2800
2011-07-25,172.236,175.508,174.314,13500
2011-07-26,171.662,175.103,171.662,14300
2011-07-27,168.993,172.039,168.993,6300
2011-07-28,169.171,172.208,169.322,10700
2011-07-29,167.159,172.48,169.331,25100
2011-08-01,162.637,171.164,167.545,30600
