,Low,High,Close,Volume
2010-12-09,16.641,17.103,16.859,147600
2010-12-10,16.803,17.09,16.889,192800
2010-12-13,16.726,17.133,16.791,270200
2010-12-14,16.752,16.902,16.803,146800
2010-12-15,16.718,17.107,16.889,203000
2010-12-16,16.842,17.359,17.329,150600
2010-12-17,17.205,17.569,17.453,256000
2010-12-20,17.526,17.868,17.577,124600
2010-12-21,17.509,17.735,17.629,156600
2010-12-22,17.304,17.714,17.445,83000
2010-12-23,17.487,17.842,17.594,103200
2010-12-27,17.389,17.539,17.44,51600
2010-12-28,17.056,17.487,17.073,112600
2010-12-29,16.838,17.09,16.957,134400
2010-12-30,16.808,17.013,16.825,121200
2010-12-31,16.62,16.859,16.641,60000
2011-01-03,16.513,17.09,16.829,181200
2011-01-04,16.731,17.244,17.094,472400
2011-01-05,17.043,17.487,17.458,166200
2011-01-06,17.261,17.607,17.496,196000
2011-01-07,17.201,17.731,17.355,158800
2011-01-10,17.0,17.338,17.304,239400
2011-01-11,17.291,17.539,17.517,182600
2011-01-12,17.723,18.475,18.009,201600
2011-01-13,17.902,18.197,18.078,150000
2011-01-14,17.958,18.21,18.099,143800
2011-01-18,17.868,18.24,18.078,196200
2011-01-19,17.911,18.137,17.979,159000
2011-01-20,17.701,18.095,17.954,181000
2011-01-21,17.919,18.129,18.065,234400
2011-01-24,18.052,18.27,18.107,87200
2011-01-25,17.979,18.231,18.21,174800
2011-01-26,18.227,18.595,18.33,147000
2011-01-27,17.911,18.304,18.078,109800
2011-01-28,17.539,18.103,17.543,279200
2011-01-31,17.487,17.881,17.564,162000
2011-02-01,17.629,18.561,18.497,121800
2011-02-02,18.317,18.569,18.458,107000
2011-02-03,18.001,18.462,18.304,83200
2011-02-04,17.992,18.308,18.125,84600
2011-02-07,18.022,18.445,18.317,97800
2011-02-08,18.141,18.583,18.51,53800
2011-02-09,18.313,18.591,18.471,67000
2011-02-10,18.36,18.746,18.604,85000
2011-02-11,18.343,19.132,19.123,246400
2011-02-14,18.763,19.569,18.844,130000
2011-02-15,18.677,18.896,18.772,64200
2011-02-16,18.604,18.943,18.784,136800
2011-02-17,18.613,18.802,18.656,129200
2011-02-18,18.54,18.802,18.712,161400
2011-02-22,17.94,18.707,18.158,200600
2011-02-23,17.511,18.27,17.549,106600
2011-02-24,17.266,18.141,18.12,187600
2011-02-25,18.115,18.437,18.33,138400
2011-02-28,17.669,18.471,18.227,414800
2011-03-01,18.085,19.059,18.587,276800
2011-03-02,18.308,18.81,18.626,140200
2011-03-03,18.677,19.278,18.965,250200
2011-03-04,18.549,19.119,18.699,102600
2011-03-07,18.356,18.952,18.476,125400
2011-03-08,18.411,18.96,18.806,207600
2011-03-09,18.527,18.832,18.677,129400
2011-03-10,18.154,18.583,18.193,172000
2011-03-11,17.952,18.197,18.025,227800
2011-03-14,17.845,18.218,17.935,218400
2011-03-15,17.133,17.759,17.571,286000
2011-03-16,17.219,17.644,17.241,275400
2011-03-17,17.326,17.596,17.326,226000
2011-03-18,17.301,17.532,17.412,418600
2011-03-21,17.549,17.978,17.965,239800
2011-03-22,17.862,18.103,17.978,117000
2011-03-23,17.622,18.043,17.841,143400
2011-03-24,17.97,18.549,18.446,383400
2011-03-25,18.493,19.067,18.664,183600
2011-03-28,18.566,18.87,18.6,110000
2011-03-29,18.6,19.17,19.016,140600
2011-03-30,19.119,19.668,19.514,208800
2011-03-31,19.531,19.955,19.814,163000
2011-04-01,19.801,20.11,19.968,147800
2011-04-04,19.908,20.157,20.157,155000
2011-04-05,19.972,20.474,20.268,124400
2011-04-06,20.277,20.684,20.44,199800
